	autosomal recessive cutis laxa type 2B	PYCR1-related de Barsy syndrome	hypomyelinating leukodystrophy 10
identical protein binding	1.0	1.0	0.0
brain development	1.0	1.0	1.0
mitochondrion	1.0	1.0	1.0
cellular_component	1.0	1.0	1.0
oxidation-reduction process	1.0	1.0	1.0
oxidoreductase activity	1.0	1.0	1.0
cellular response to oxidative stress	1.0	1.0	1.0
cellular amino acid biosynthetic process	1.0	1.0	1.0
L-proline biosynthetic process	1.0	1.0	1.0
proline biosynthetic process	1.0	1.0	1.0
regulation of mitochondrial membrane potential	1.0	1.0	0.0
negative regulation of hydrogen peroxide-induced cell death	1.0	1.0	0.0
pyrroline-5-carboxylate reductase activity	1.0	1.0	1.0
