	prune belly syndome	attention deficit-hyperactivity disorder	"tremor, hereditary essential, 1"	cone-rod dystrophy 10
signal transducer activity	1.0	1.0	1.0	0.0
signal transduction	1.0	1.0	1.0	0.0
G-protein coupled receptor activity	1.0	1.0	1.0	0.0
G-protein coupled receptor signaling pathway	1.0	1.0	1.0	0.0
integral component of membrane	1.0	1.0	1.0	1.0
membrane	1.0	1.0	1.0	1.0
dopamine neurotransmitter receptor activity	0.0	1.0	1.0	0.0
adenylate cyclase-inhibiting dopamine receptor signaling pathway	0.0	1.0	1.0	0.0
dopamine receptor signaling pathway	0.0	1.0	1.0	0.0
