	COG4-CDG	COG5-CDG	COG6-CGD	hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome
identical protein binding	1.0	0.0	0.0	0.0
endoplasmic reticulum	1.0	0.0	0.0	0.0
cytosol	1.0	1.0	0.0	0.0
endoplasmic reticulum membrane	1.0	0.0	0.0	0.0
autophagy of peroxisome	1.0	0.0	0.0	0.0
macroautophagy	1.0	0.0	0.0	0.0
"retrograde transport, vesicle recycling within Golgi"	1.0	0.0	0.0	0.0
Golgi transport complex	1.0	1.0	1.0	1.0
Golgi vesicle prefusion complex stabilization	1.0	0.0	0.0	0.0
