	isolated congenital digital clubbing	autosomal recessive congenital ichthyosis 2	pachydermoperiostosis	autosomal recessive congenital ichthyosis 3
cytosol	1.0	0.0	1.0	0.0
protein homodimerization activity	1.0	0.0	1.0	0.0
response to ethanol	1.0	0.0	1.0	0.0
extracellular space	1.0	0.0	1.0	0.0
extracellular exosome	1.0	0.0	1.0	0.0
catalytic activity	1.0	1.0	1.0	1.0
cellular_component	1.0	1.0	1.0	1.0
nucleoplasm	1.0	0.0	1.0	0.0
oxidation-reduction process	1.0	1.0	1.0	1.0
oxidoreductase activity	1.0	1.0	1.0	1.0
NAD binding	1.0	0.0	1.0	0.0
lipid metabolic process	1.0	1.0	1.0	1.0
female pregnancy	1.0	0.0	1.0	0.0
positive regulation of apoptotic process	1.0	0.0	1.0	0.0
transforming growth factor beta receptor signaling pathway	1.0	0.0	1.0	0.0
negative regulation of cell cycle	1.0	0.0	1.0	0.0
positive regulation of vascular smooth muscle cell proliferation	1.0	0.0	1.0	0.0
fatty acid metabolic process	1.0	1.0	1.0	1.0
basolateral plasma membrane	1.0	0.0	1.0	0.0
15-hydroxyprostaglandin dehydrogenase (NAD+) activity	1.0	0.0	1.0	0.0
ductus arteriosus closure	1.0	0.0	1.0	0.0
parturition	1.0	0.0	1.0	0.0
prostaglandin E receptor activity	1.0	0.0	1.0	0.0
NAD+ binding	1.0	0.0	1.0	0.0
prostaglandin metabolic process	1.0	0.0	1.0	0.0
