	hereditary spastic paraplegia 15	congenital cataracts-facial dysmorphism-neuropathy syndrome	Seckel syndrome 6	nephronophthisis 15
cytoplasm	1.0	1.0	1.0	1.0
cytoskeleton	1.0	1.0	1.0	1.0
cell cycle	1.0	1.0	1.0	1.0
cellular response to DNA damage stimulus	1.0	0.0	1.0	1.0
DNA repair	1.0	0.0	0.0	1.0
centrosome	1.0	1.0	1.0	1.0
cell division	1.0	1.0	1.0	1.0
nuclear speck	0.0	1.0	0.0	1.0
ciliary transition fiber	0.0	0.0	0.0	1.0
"DNA damage response, detection of DNA damage"	0.0	0.0	0.0	1.0
