"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"MSECnonull_KENDALLC_GEECE"	0.706357847736144	0.384298905355013	0.457502576356322	0.552961570349257	0.97509374	0.94813698	0.97126484	0.97551582	0.5462222	0.238	0.2965986	0.3821333	0.9993312	0.9974051	1	1	0.525280224949184	0.139074206188191	0.000815924999999995	0.00122717358558869
"KENDALLR_GEECE"	0.618777532950474	0.498242920559111	0.251178463083194	0.700623254333275	0.98468275	0.98003054	0.97370418	0.9860993	0.4511111	0.3325	0.1437642	0.544	0.9848039	0.9934557	0.9934122	0.9838976	0.517205542731513	0.195864676304955	0.01110765	0.00525725397934448
"MSER_KENDALLR_GEERE"	0.742054617680031	0.249343127760691	0.329773957941539	0.722338757457144	0.98402178	0.96127128	0.9760663	0.98657595	0.594	0.1425	0.1977324	0.568	0.988418	0.996481	0.9926345	0.9918464	0.510877615209852	0.257783787926291	0.00765502500000001	0.00330959399360402
"MSEC_KENDALLC_GEECEnonull"	0.748994340241841	0.418280341333187	0.361928602861889	0.467223285069436	0.86534097	0.82794184	0.84985554	0.87164133	0.5993333	0.265	0.2216244	0.3056	0.9982765	0.9921646	0.986375	0.991712	0.499106642376588	0.172057272909368	0.007867975	0.004867422042091
"MSER"	0.64292970820482	0.152357083966331	0.461031174315309	0.727310264779364	0.98016868	0.97071571	0.9766526	0.98500782	0.4777778	0.0825	0.3006803	0.58	0.9825723	0.9941899	0.9878398	0.9749248	0.495907057816456	0.254562379848467	0.0151183	0.00816223271782909
"MSEC_KENDALLR_CORC_GEECE"	0.595450651133021	0.440534755094429	0.442374429875354	0.374503825085444	0.79593448	0.8496131	0.71770191	0.84333462	0.4244444	0.2825	0.2861678	0.2304	0.9972283	0.9998861	0.9740857	0.9998784	0.463215915297062	0.0936387791000445	0.00723037500000001	0.0125186225891336
"MSECnonull_KENDALLC_GEECEnonull"	0.467526150981702	0.460874537465773	0.461252914152118	0.397061049093062	0.86696195	0.78286457	0.83368996	0.85666207	0.3051111	0.2995	0.2997732	0.2477333	0.9996592	0.9993228	0.9998393	0.9995904	0.446678662923164	0.0332187548103886	0.000397075000000024	0.000214217107549028
"MSER_KENDALLR_GEECE"	0.490900199181449	0.117613884214824	0.342336964597242	0.677403521033723	0.98152525	0.9641324	0.97651677	0.98579315	0.3266667	0.0625	0.2070295	0.516	0.9872412	0.9952278	0.988174	0.9857408	0.40706364225681	0.23670158678915	0.01090405	0.00420898662823567
"MSER_KENDALLR"	0.625532775879598	0.225975081912537	0	0.726349289761064	0.97941677	0.97320567	0.96390969	0.98462348	0.4595556	0.1275	0	0.576	0.9791833	0.9926582	0.9940228	0.982912	0.3944642868883	0.34035813861296	0.012805925	0.00728003730639481
"MSEC_KENDALLR_EUCC_GEECE"	0.545848187304987	0.208623053714865	0.239348001178347	0.488207984484176	0.77716278	0.78559669	0.77585095	0.87814069	0.3764444	0.1165	0.1360544	0.3229333	0.9924695	0.9970316	0.9940035	1	0.370506806670594	0.171276724192814	0.00412384999999998	0.00333932556913318
"MSEC_KENDALLCnonull_GEECE"	0.294095874762098	0.337430085152057	0.489348203569532	0.202691399336283	0.97700945	0.97878208	0.96392957	0.97364267	0.1724444	0.203	0.324263	0.1128	0.9984695	0.9989557	0.9968571	0.9980352	0.330891390704992	0.119638990089213	0.00192062499999998	0.000897413064963191
"MSEC_KENDALLCnonull_GEECEnonull"	0.279151901609072	0.367328568846073	0.275992952471384	0.397733211510518	0.84533987	0.79421111	0.80062113	0.84264354	0.1622222	0.225	0.1600907	0.2482667	0.9998264	0.9997278	0.9998972	0.9994304	0.330051658609262	0.0618694583024309	0.000279549999999962	0.000205466128595434
"MSECnonull_KENDALLCnonull_GEECEnonull"	0.256826949822264	0.321434402497795	0.171454233381782	0.404219180340519	0.84062578	0.80762309	0.7896895	0.8383882	0.1473333	0.1915	0.09379509	0.2533333	0.9999871	0.9998228	0.9966298	0.9995584	0.28848369151059	0.0986213230721579	0.001000475	0.00158965656117917
