"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"KENDALLC_GEECE"	0.987287367690993	0.982029346136412	0.932797958943585	0.912397834994957	0.98937054	0.9867873	0.98502512	0.98707434	1	0.97	0.9029478	0.8821333	0.9748939	0.9943608	0.9646892	0.9448128	0.953628126941487	0.0368483677268902	0.030310825	0.0206527804876043
"MSEC_KENDALLC_GEECE"	0.970115140242938	0.958547664347996	0.971924741821691	0.898959731779937	0.98927261	0.98592027	0.98520448	0.98607273	0.9533333	0.925	0.952381	0.8813333	0.9874984	0.9946203	0.9922874	0.9173056	0.94988681954814	0.0344646363560493	0.027072075	0.037199866422464
"KENDALL_GEE"	0.944912459052123	0.964398658435794	0.919227387061875	0.961030671972015	0.99118749	0.98785769	0.98813401	0.98863912	0.9666667	0.95	0.8857143	0.9709333	0.9241158	0.9792405	0.9553763	0.951328	0.947392294130452	0.0206125637191862	0.04748485	0.0225858577985576
"KENDALL"	0.943168481265892	0.860766673485941	0.924312076436499	0.95063801208865	0.99249783	0.99026771	0.99232238	0.99237723	0.97	0.785	0.9238095	1	0.9177814	0.9527215	0.9248152	0.90592	0.919721310819246	0.0408343671082325	0.074690475	0.0198686275012267
"MSEC_GEECE"	0.946850045184655	0.886221310681489	0.938595205471072	0.888909298588791	0.98991482	0.98635413	0.98501253	0.98280371	0.9033333	0.798	0.8888889	0.8037333	0.9947717	0.9963734	0.9941899	0.9942784	0.915143964981502	0.0320417116419797	0.00509665000000001	0.00101290870434275
"MSEC_KENDALLR"	0.939034759433471	0.816113375652805	0.952193214346614	0.935969415631985	0.98914925	0.98500808	0.98826475	0.98914656	0.98	0.718	0.9809524	0.9653333	0.9013569	0.9452848	0.9250723	0.9083392	0.910827691266218	0.0635338573269094	0.0799867	0.0195668773272589
"KENDALLR_GEERE"	0.913928938632359	0.856500988189185	0.939578739902392	0.933260651843829	0.99163326	0.98936128	0.99129152	0.99162859	0.9	0.775	0.952381	0.952	0.9282958	0.9571582	0.9271161	0.9152448	0.910817329641941	0.0378191683803745	0.068046275	0.0178067100239161
"MSER_GEERE"	0.84458278975981	0.867478775904123	0.905937955249854	0.984540931007394	0.98715757	0.97471121	0.98764912	0.98852818	0.7366667	0.786	0.8380952	0.9813333	0.9895434	0.9678038	0.9857317	0.9877696	0.900635112980295	0.0613990012450121	0.017287875	0.0100601583650143
"MSEC_KENDALLR_GEECE"	0.962295634502259	0.760893069231768	0.912332434774845	0.945245071793624	0.98687524	0.983279	0.98027649	0.98626486	1	0.64	0.8573696	0.984	0.9273312	0.9380949	0.9748249	0.9094272	0.895191552575624	0.091902493742645	0.06258045	0.0275980842963783
"MSEC_KENDALLC"	0.962996150209364	0.873888572148151	0.706481720214126	0.946720702465383	0.99287084	0.99072647	0.9913506	0.98906555	0.98	0.798	0.5571429	0.92	0.9465723	0.9657278	0.965197	0.97504	0.872521786259256	0.117277820202398	0.036865725	0.0119307237839607
"KENDALLC"	0.953538468396809	0.781829076222757	0.773074238559818	0.914318624126743	0.99421112	0.99197399	0.99312725	0.99183397	1	0.667	0.6571429	0.8933333	0.9112026	0.9444177	0.9386722	0.9363136	0.855690101826532	0.09181945769484	0.067348475	0.0146987366639393
