	Calb2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_23	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_169	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930483O08Rik	0.0	3.47	0.0	0.0	0.0	1.72	0.0	0.0	3.92	2.61	0.0	0.0	0.0	0.0	1.78	0.0	1.08	0.0	0.0	1.63	0.69	0.36	2.15	0.0	0.36	0.0	0.0	0.0	1.19	5.38	0.26	0.0	0.71	1.42	0.33	0.53	0.0	0.0	0.0	0.0	0.49	0.0	2.46	0.0	2.16	3.28	0.0	1.41	0.53	1.27	0.0	0.47	1.34	0.23	0.0	1.06	0.41	0.0	0.58	0.26	0.25	0.0	0.35	0.0	0.37	0.0	0.0	0.11	0.0	1.45	14.19	0.0	0.0	0.0	0.97	0.74	0.5
9430020K01Rik	0.0	0.0	0.0	0.12	0.0	0.0	45.73	30.51	24.28	18.04	24.43	29.97	0.0	0.67	0.0	20.04	16.23	23.01	3.38	0.05	7.63	33.5	0.0	87.8	0.0	16.63	46.55	37.63	3.68	2.37	7.83	39.65	4.92	64.9	1.73	8.59	0.0	4.97	0.0	0.0	26.15	45.45	53.48	91.93	55.36	92.07	43.43	42.58	31.06	0.62	0.0	66.31	18.19	1.11	0.07	30.87	22.91	20.91	18.68	27.9	21.21	8.78	20.58	2.94	16.94	39.8	22.05	38.34	58.14	24.02	0.0	5.89	16.55	0.02	74.16	66.09	69.17
A730011L01Rik	0.74	2.0	2.31	1.51	0.12	2.16	3.25	2.38	3.14	1.88	3.08	5.71	0.92	2.16	3.26	2.37	3.06	1.48	2.1	2.97	3.62	52.39	2.35	1.64	3.79	10.11	0.41	0.66	3.66	1.18	0.97	3.32	2.42	1.07	2.42	4.0	0.54	2.08	4.28	2.32	19.99	6.54	4.03	5.08	2.46	4.41	4.09	2.9	4.9	7.59	4.72	5.7	5.19	5.23	1.3	2.44	5.34	6.41	7.36	6.2	10.97	4.7	3.92	12.66	3.19	2.95	14.42	8.95	4.24	3.93	2.31	2.57	1.04	3.39	18.35	17.54	19.37
A830019L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.6	82.34	0.15	0.0	0.0	0.0	15.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.74	0.5
AI836003	0.0	42.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.92	0.0	0.0	0.0	0.0	0.48	0.0	0.0	13.99	64.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.33	0.0	0.0	0.0	0.0	0.0	0.26	3.24	106.55	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	13.31	10.03	10.29	2.18	7.45	3.72	0.26	3.74	7.51	0.0	0.0	13.31	0.0	38.99	0.1	0.19	0.0	0.0	38.48	22.93	25.6	23.89
Adsl	3.31	9.08	195.34	21.24	6.61	125.67	44.04	131.95	12.25	14.76	13.94	31.68	0.0	81.33	11.27	92.38	115.15	163.95	12.37	65.49	20.06	12.47	25.35	13.26	16.65	128.13	14.64	96.88	32.49	5.73	6.68	4.43	310.62	5.87	127.41	11.3	23.92	251.98	5.35	32.72	82.82	122.13	151.53	19.04	62.41	282.71	15.54	98.18	13.69	133.57	12.9	37.83	129.5	22.55	24.41	20.63	37.43	66.32	63.75	53.11	94.28	85.32	79.42	10.24	11.92	89.96	93.23	17.3	11.76	13.11	15.88	142.37	5.67	6.67	25.44	28.74	26.9
Amy2a2	0.47	0.19	0.42	0.0	0.0	0.36	0.13	0.24	0.1	0.06	0.41	0.42	0.0	0.09	0.2	0.2	0.17	0.26	0.08	0.17	0.35	0.56	0.64	0.2	0.12	0.15	0.18	0.17	0.31	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.31	0.95	0.25	0.43	0.25	0.21	0.1	0.33	0.76	0.66	0.09	0.55	0.37	0.51	0.09	0.21	0.24	0.16	0.04	0.16	0.14	0.28	0.09	0.18	0.31	0.27	0.21	0.63	0.12	0.17	0.04	0.31	0.14	0.05	0.05	0.1	0.08	0.03	0.26	0.19	0.21
Amy2a3	0.47	0.19	0.42	0.0	0.0	0.36	0.13	0.24	0.1	0.06	0.41	0.42	0.0	0.09	0.2	0.2	0.17	0.26	0.08	0.17	0.35	0.56	0.64	0.2	0.12	0.15	0.18	0.17	0.31	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.31	0.95	0.25	0.43	0.25	0.21	0.1	0.33	0.76	0.66	0.09	0.55	0.37	0.51	0.09	0.21	0.24	0.16	0.04	0.16	0.14	0.28	0.09	0.18	0.31	0.27	0.21	0.63	0.12	0.17	0.04	0.31	0.14	0.05	0.05	0.1	0.08	0.03	0.26	0.19	0.21
Amy2a4	0.47	0.19	0.42	0.0	0.0	0.36	0.13	0.24	0.1	0.06	0.41	0.42	0.0	0.09	0.2	0.2	0.17	0.26	0.08	0.17	0.35	0.56	0.64	0.2	0.12	0.15	0.18	0.17	0.31	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.31	0.95	0.25	0.43	0.25	0.21	0.1	0.33	0.76	0.66	0.09	0.55	0.37	0.51	0.09	0.21	0.24	0.16	0.04	0.16	0.14	0.28	0.09	0.18	0.31	0.27	0.21	0.63	0.12	0.17	0.04	0.31	0.14	0.05	0.05	0.1	0.08	0.03	0.26	0.19	0.21
Birc5	0.5	1.68	2.4	9.84	0.17	2.25	4.08	2.46	1.38	4.78	2.85	2.65	0.0	1.56	2.65	1.56	2.87	1.03	0.55	2.15	1.72	1.62	2.08	2.39	3.04	0.65	0.0	0.0	1.98	1.11	0.99	1.33	1.47	1.18	0.68	2.08	0.47	1.97	2.35	1.17	0.74	2.07	2.56	0.26	3.26	67.7	1.91	48.74	4.0	3.21	2.05	3.08	1.51	1.84	6.07	1.39	9.59	1.25	4.71	1.02	0.81	9.59	2.23	1.41	2.2	0.37	1.6	1.93	2.01	0.53	1.11	0.82	0.7	1.98	2.05	2.35	2.26
