	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
1810058I24Rik	0.0	213.89	4.25	60.4	0.86	191.81	50.46	37.88	41.36	0.8	0.0	0.0	0.0	0.0	101.03	0.0	4.68	0.0	0.0	0.0	100.2	0.0	0.0	0.0	71.02	0.0	0.33	112.43	0.0	35.45	2.54	69.64	59.66	2.09	59.36	0.0	162.15	297.99	0.0	85.28	0.0	280.66	0.0	219.72	0.0	94.79	0.0	176.33	48.1	23.23	30.54	23.36	36.77	9.27	26.12	41.53	39.02	0.0	142.29	62.46	51.7	0.0	227.47	9.12	0.0	0.0	0.0	0.0	0.0	99.06	26.4	0.0	0.0	0.0
2210403K04Rik	67.84	43.73	16.52	211.51	227.02	90.11	342.62	165.78	102.9	577.03	238.01	0.22	0.0	128.38	98.89	377.58	244.93	122.59	255.46	155.3	157.2	124.35	238.74	227.68	77.84	100.57	20.69	246.26	38.05	0.0	320.1	108.58	81.31	158.78	29.29	21.62	289.51	535.37	253.33	0.1	214.11	662.51	60.17	41.85	96.01	106.46	207.69	127.63	64.5	172.15	95.42	133.76	110.8	112.98	128.75	109.84	116.8	147.37	105.19	116.9	165.52	83.93	46.83	2.48	31.07	0.25	0.0	0.0	20.33	59.75	248.83	131.4	207.57	43.22
2810405K02Rik	217.95	133.99	307.6	0.0	548.34	0.0	82.3	1.02	243.84	168.48	376.87	178.01	0.0	0.0	0.0	0.0	204.62	0.0	192.08	155.05	76.34	138.09	0.0	279.7	313.92	156.84	68.01	152.67	240.74	217.6	320.99	83.89	186.57	3.82	250.79	145.61	821.36	543.83	250.73	312.06	253.91	733.46	0.0	84.8	101.89	219.98	268.11	186.43	92.83	142.8	77.11	99.04	148.08	121.78	60.54	87.53	76.65	95.09	506.72	118.83	150.37	0.38	0.0	223.32	147.66	558.18	0.0	0.0	8.82	146.46	129.01	119.99	104.49	0.0
4930511M06Rik	84.09	33.19	90.84	115.36	118.85	176.76	81.03	116.39	80.68	120.41	40.61	94.17	111.19	68.02	85.63	43.02	80.0	44.98	80.36	60.42	39.33	64.23	25.64	33.0	25.39	47.76	49.85	107.85	4.23	99.82	56.15	106.14	130.61	108.46	134.26	210.55	140.32	140.38	147.34	181.09	201.17	131.18	118.18	98.16	86.36	69.42	59.76	46.9	71.44	64.95	67.57	87.18	90.85	56.44	67.12	50.82	56.93	77.48	105.27	51.25	175.51	54.81	34.02	44.3	75.14	66.04	34.39	17.43	70.83	73.01	100.5	100.71	82.04	103.95
4932411L15	243.72	91.55	167.94	235.52	212.81	173.39	107.77	247.23	107.16	261.3	24.9	147.65	136.36	169.6	198.71	27.99	157.78	114.55	138.22	206.82	60.18	146.74	9.78	88.43	113.7	101.51	155.15	183.88	2.23	315.58	89.56	219.01	276.22	147.92	372.7	351.14	374.15	311.42	950.5	522.89	434.28	700.55	171.7	202.09	274.13	200.7	100.38	58.24	147.09	150.6	153.8	151.33	185.34	135.74	139.21	93.31	92.64	77.22	113.8	121.86	262.83	91.6	182.22	84.08	114.95	171.75	96.79	76.68	35.89	107.19	203.83	80.65	139.07	249.89
9530091C08Rik	41.67	2.73	4.55	2.64	14.83	8.13	3.88	9.24	4.3	8.95	4.38	53.28	4.25	3.98	3.02	4.5	4.46	3.3	3.91	3.65	3.9	4.32	2.54	2.34	1.82	2.88	3.38	6.91	0.41	65.85	3.53	21.03	21.54	19.44	40.24	18.36	70.06	63.25	18.82	13.92	131.22	30.78	24.7	3.97	7.26	4.09	5.64	2.51	4.64	5.84	5.26	5.9	5.38	3.04	9.13	6.35	4.41	6.25	9.06	2.71	9.15	3.72	3.42	3.58	34.17	4.47	2.09	3.77	4.96	3.77	26.69	5.49	5.36	11.55
A430107P09Rik	45.48	14.58	54.69	79.65	97.89	119.79	45.72	98.81	50.17	82.32	38.42	51.4	63.73	69.65	60.19	11.58	57.15	33.55	52.82	47.5	29.76	45.18	48.61	27.0	25.32	35.29	94.03	48.72	7.62	84.81	51.48	74.64	103.02	94.53	134.11	160.02	91.26	107.05	233.22	142.08	162.4	92.72	57.78	73.59	94.43	48.65	34.08	20.77	44.52	42.71	38.36	60.91	53.92	39.86	55.8	35.52	34.58	54.38	73.98	43.09	170.72	39.14	56.15	29.01	46.33	30.5	36.03	24.08	43.02	61.14	86.13	64.03	44.55	106.75
A730017L22Rik	76.75	32.91	71.26	84.87	97.49	196.16	58.93	94.04	58.27	104.03	38.8	77.27	80.67	92.38	60.24	28.11	46.43	54.39	43.72	51.83	33.9	51.81	36.76	33.81	32.28	52.85	66.82	93.73	0.0	139.42	52.92	115.68	135.88	116.13	194.05	180.87	142.06	110.89	192.57	231.89	229.8	181.16	80.07	187.94	100.14	64.08	49.62	34.72	57.84	59.64	71.85	80.3	80.78	46.04	63.38	45.98	45.05	108.57	86.6	81.04	201.0	41.83	80.26	24.15	46.32	52.56	46.43	42.77	42.6	66.15	122.2	191.64	81.65	119.9
Abhd11	45.42	101.55	0.0	0.0	0.0	0.0	67.1	165.26	0.0	0.0	339.29	137.57	0.0	0.0	36.31	0.0	87.66	1.05	0.0	0.0	0.0	0.0	0.0	198.0	143.8	110.22	0.0	138.73	0.0	0.0	59.34	41.49	80.08	37.73	242.4	0.0	0.0	484.17	267.81	229.5	0.0	646.61	0.65	0.0	96.27	131.37	92.97	12.8	68.97	33.67	40.57	46.62	47.79	72.39	35.08	33.74	55.66	0.0	220.7	105.51	128.8	0.0	0.0	0.0	0.0	0.0	0.0	13.5	132.3	0.0	115.03	3.72	0.34	0.0
Abl2	1.02	1.61	2.4	13.44	73.98	3.6	0.95	2.19	1.05	48.0	8.73	10.79	4.79	1.8	2.81	0.59	20.79	0.97	1.5	16.46	1.8	18.26	0.54	14.41	0.3	2.64	55.47	31.04	0.0	2.51	16.39	3.42	14.73	30.59	29.51	12.71	1.87	86.44	22.8	4.11	1.3	125.63	1.48	16.26	3.59	0.84	0.66	1.19	9.01	7.75	11.99	10.49	11.46	11.3	5.91	7.32	8.53	1.32	1.69	5.51	30.22	4.35	11.91	7.41	0.7	1.29	0.58	0.59	0.26	1.25	13.05	1.44	1.44	1.23
Agap3	9.21	4.85	0.0	0.0	6.48	0.0	2.48	33.57	9.17	88.87	0.0	26.42	0.0	0.0	25.66	9.41	65.21	2.04	2.54	2.13	13.66	0.12	1.33	27.13	12.2	24.07	12.59	3.11	0.11	32.98	31.93	9.98	9.08	1.53	133.82	88.23	0.4	3.61	33.76	0.0	24.6	88.33	30.15	34.74	0.0	13.92	0.0	1.12	14.21	2.07	19.46	9.28	4.16	3.34	2.61	6.5	6.61	1.1	0.11	7.39	0.0	5.62	0.0	13.08	41.03	0.0	4.44	3.63	0.0	0.0	6.05	0.0	3.69	2.29
Amy2a2	0.27	0.15	0.02	0.08	0.44	1.33	0.23	0.11	0.54	1.04	0.09	0.14	0.2	0.09	0.12	0.18	0.0	0.06	0.24	0.19	0.1	0.31	0.18	0.08	0.12	0.07	0.04	0.21	0.0	0.27	0.34	0.25	0.66	0.11	0.26	0.16	0.11	0.14	4.31	0.36	0.61	0.08	0.57	0.2	0.15	0.44	0.36	0.13	0.16	0.14	0.28	0.33	0.6	0.18	0.31	0.11	0.21	0.63	0.06	0.04	1.42	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08	0.5	0.13	0.2
Amy2a3	0.27	0.15	0.02	0.08	0.44	1.33	0.23	0.11	0.54	1.04	0.09	0.14	0.2	0.09	0.12	0.18	0.0	0.06	0.24	0.19	0.1	0.31	0.18	0.08	0.12	0.07	0.04	0.21	0.0	0.27	0.34	0.25	0.66	0.11	0.26	0.16	0.11	0.14	4.31	0.36	0.61	0.08	0.57	0.2	0.15	0.44	0.36	0.13	0.16	0.14	0.28	0.33	0.6	0.18	0.31	0.11	0.21	0.63	0.06	0.04	1.42	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08	0.5	0.13	0.2
Amy2a4	0.27	0.15	0.02	0.08	0.44	1.33	0.23	0.11	0.54	1.04	0.09	0.14	0.2	0.09	0.12	0.18	0.0	0.06	0.24	0.19	0.1	0.31	0.18	0.08	0.12	0.07	0.04	0.21	0.0	0.27	0.34	0.25	0.66	0.11	0.26	0.16	0.11	0.14	4.31	0.36	0.61	0.08	0.57	0.2	0.15	0.44	0.36	0.13	0.16	0.14	0.28	0.33	0.6	0.18	0.31	0.11	0.21	0.63	0.06	0.04	1.42	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08	0.5	0.13	0.2
Aplp2	249.63	84.25	239.21	194.06	61.39	0.43	160.06	70.82	273.47	13.02	100.59	4.21	35.64	95.77	31.79	80.11	2.04	26.47	322.85	236.14	10.43	117.61	58.0	139.75	10.13	8.22	116.87	152.12	4.17	155.07	14.36	159.72	216.63	206.02	171.5	377.85	376.63	234.07	405.67	3.99	499.89	389.27	176.52	94.37	89.61	27.85	55.77	49.68	137.09	95.25	99.72	134.35	105.1	95.05	73.99	107.63	111.18	49.06	135.1	43.98	142.87	79.42	23.06	68.86	107.83	166.46	43.78	57.56	150.35	83.11	86.88	188.36	187.66	170.86
Arhgap33	0.79	0.1	0.0	0.0	0.0	0.0	0.17	17.3	0.07	64.87	17.78	0.0	0.0	0.0	1.46	0.67	27.08	0.66	4.15	14.09	0.03	0.0	0.0	0.0	0.0	0.16	27.34	0.0	27.48	0.09	0.08	14.17	2.71	21.56	14.53	52.39	51.99	207.11	82.07	13.72	27.93	98.74	15.03	0.14	18.06	0.0	0.0	0.0	6.73	4.36	12.0	8.66	3.11	4.48	5.51	3.26	4.78	1.17	0.08	7.94	0.24	2.82	29.8	0.05	0.0	0.0	0.48	30.33	0.09	1.07	10.84	29.74	7.9	4.48
Asap1	22.87	18.17	9.57	18.66	88.28	1.36	38.57	20.04	29.58	43.42	2.78	32.28	140.11	24.12	11.06	0.0	13.72	4.19	1.18	34.74	0.13	34.62	55.09	53.27	0.0	0.0	26.49	105.99	37.01	34.24	18.08	37.99	13.74	11.11	78.51	97.07	23.59	104.39	173.38	15.78	78.29	165.26	0.0	92.68	39.73	81.96	1.35	0.07	39.93	34.69	20.9	19.27	18.35	17.03	13.24	29.11	28.63	37.92	5.75	27.22	148.38	34.14	3.3	4.47	20.18	0.1	70.71	50.55	0.0	9.12	154.47	21.91	81.88	1.21
Aup1	116.74	47.26	89.52	216.0	110.32	0.0	0.51	51.15	142.42	0.54	0.0	0.0	116.41	82.2	0.17	0.0	92.3	72.04	0.0	0.0	69.68	106.39	0.36	6.49	7.79	32.68	16.36	55.16	0.0	0.0	37.18	85.1	6.32	37.93	58.42	201.62	542.37	475.29	364.65	0.0	250.25	592.32	75.04	1.26	78.82	52.06	63.05	87.46	54.06	72.85	87.96	43.46	91.07	78.58	100.62	66.06	84.67	34.12	39.71	15.35	117.26	0.19	0.0	0.65	0.0	0.3	0.0	0.0	0.0	0.0	21.32	221.34	88.99	0.0
Bckdk	43.0	2.25	5.31	5.25	69.02	129.55	121.67	5.67	68.72	8.54	6.21	76.71	84.77	30.88	7.37	80.45	9.78	77.07	0.14	58.45	1.65	3.45	31.6	2.13	23.66	6.34	3.99	4.54	0.76	58.55	39.88	20.07	6.08	3.97	13.09	9.24	11.24	3.58	10.11	245.68	71.6	240.53	62.23	5.01	56.36	106.42	60.2	3.4	52.26	65.63	34.72	66.76	30.24	37.18	53.24	41.35	44.8	6.69	4.67	76.55	9.24	3.54	1.41	1.59	3.79	3.27	2.73	0.41	131.85	1.81	22.58	4.28	140.1	6.37
Brp44	0.0	64.94	218.33	0.46	69.57	0.0	163.34	204.5	217.62	30.38	0.99	0.0	64.66	1.67	63.52	12.91	60.15	25.59	53.18	5.11	0.15	11.56	28.6	0.0	3.63	4.32	0.4	12.91	145.38	153.13	23.65	215.6	532.11	178.47	68.83	87.67	95.62	254.05	104.97	0.22	164.49	500.46	0.0	220.1	85.83	73.98	63.94	21.73	13.11	29.52	14.51	26.58	43.43	16.83	82.62	22.42	29.46	7.93	47.7	17.02	2.63	30.09	1.74	0.3	0.0	0.0	0.0	0.0	55.92	46.94	4.49	0.0	78.38	116.89
Calm2	20249.89	18003.48	16034.76	20813.5	20740.74	17688.69	19533.68	16208.07	19081.81	18403.02	19635.16	19628.74	19578.34	16168.02	16955.98	24749.41	16122.09	14648.45	21064.56	17243.9	14076.58	18026.74	19971.06	20654.99	16501.66	19749.13	15401.69	17206.61	18789.68	15064.21	16381.97	18187.15	17343.84	19736.86	11653.95	12196.85	15587.82	13803.27	11755.04	16696.79	13245.49	11714.5	15861.65	20660.56	19581.9	19276.37	15519.65	13302.54	15475.49	15887.21	17363.25	16198.04	15858.62	15411.91	15343.8	16099.57	15686.41	15882.13	18281.5	14801.3	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	18704.89	19735.95	19191.1	17911.68	18621.16
Calm3	218.02	108.87	251.57	199.22	267.63	268.88	96.63	205.49	205.39	214.96	251.39	305.18	138.52	195.33	171.34	204.35	205.66	199.58	153.18	197.24	177.17	280.34	210.12	47.43	22.84	225.46	114.09	150.35	59.75	184.04	172.69	327.18	201.7	201.14	399.03	491.11	168.88	750.62	264.53	175.94	405.74	489.28	208.04	163.41	196.55	205.2	139.46	119.99	166.54	173.25	151.72	147.59	173.63	185.59	189.57	204.7	219.88	143.83	166.78	132.8	82.6	176.53	90.71	148.6	120.57	237.39	146.32	142.98	209.72	81.1	104.61	167.07	97.37	161.54
Cdk2ap1	0.0	0.0	21.74	1.83	0.0	139.75	101.62	8.11	13.25	179.92	14.01	147.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.59	71.1	0.22	0.2	0.0	121.51	0.0	0.0	0.0	54.17	0.0	60.89	34.23	0.66	91.81	35.16	130.54	857.97	80.73	1.64	250.64	437.69	35.74	212.63	53.21	119.11	3.42	0.26	18.67	13.82	16.06	9.86	6.6	19.07	3.24	9.02	6.84	0.79	0.0	20.61	0.0	0.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	71.89	94.65	0.2	13.57	0.0
Cdkl5	0.0	0.0	0.0	114.81	22.55	195.75	7.19	15.39	0.09	28.61	15.8	64.84	0.0	0.0	0.0	12.83	0.0	63.8	7.11	20.18	0.3	0.0	0.16	15.57	50.25	0.0	9.47	0.86	0.0	3.96	35.46	9.86	14.11	19.02	116.25	64.73	11.16	174.88	13.94	0.0	65.73	200.73	5.31	64.02	0.26	7.2	55.88	0.1	34.74	20.66	10.33	41.99	30.74	34.83	27.06	10.46	15.99	0.39	0.0	32.51	0.0	74.2	4.86	0.0	11.28	0.0	0.0	45.26	63.78	0.0	26.79	51.9	0.0	0.07
Chchd2	358.69	91.8	295.46	345.86	325.2	0.0	806.44	352.63	763.76	360.47	92.18	83.91	437.0	505.17	551.09	407.44	252.59	440.14	406.91	346.63	291.24	453.93	220.33	154.74	5.55	1.21	40.3	550.0	0.42	356.1	242.26	682.72	535.17	985.11	443.82	754.16	124.13	1015.01	482.26	205.11	1026.12	407.61	456.29	498.73	631.95	452.65	426.5	69.03	320.03	413.21	248.83	464.55	431.52	419.64	543.16	294.19	313.65	155.27	476.37	225.39	260.96	131.4	87.18	4.96	29.97	1.01	28.31	30.35	191.7	26.37	72.95	823.72	477.67	360.93
