	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_21	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_87	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_66	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_40	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66
4833420G17Rik	3.14	55.45	2.43	3.19	7.62	31.06	28.13	3.74	4.12	56.76	0.0	185.3	23.21	36.32	2.15	3.37	156.6	2.4	360.39	103.66	2.27	20.56	4.27	227.65	24.55	116.83	4.13	6.8	7.93	10.24	230.4	192.36	43.8	262.23	125.99	2.12	8.54	1.05	0.03	7.26	0.1	35.26	2.68	4.97	217.94	71.64	0.0	3.95	120.08	58.72	11.33	27.47	94.08	21.38	76.33	65.71	57.05	256.67	1.91	311.69	74.13	259.0	0.99	240.5	160.37	5.33	354.18	275.32
4930511M06Rik	120.32	100.96	39.41	96.49	6.66	138.1	126.16	44.02	82.59	114.39	0.88	109.48	103.99	127.45	123.6	48.01	173.22	147.23	172.75	91.51	130.7	186.75	70.56	78.7	28.21	82.16	123.08	186.26	187.38	135.8	169.01	98.51	78.54	142.32	97.08	25.98	61.84	61.27	32.42	53.22	20.94	145.38	78.32	84.05	151.44	144.93	0.0	149.44	146.99	113.38	93.65	85.23	102.98	121.62	82.16	98.71	52.22	156.37	160.86	88.29	170.22	145.44	139.86	82.93	140.7	101.66	116.65	129.89
Acer1	0.89	1.35	0.85	2.97	2.93	4.09	4.9	0.82	7.06	1.09	0.0	4.23	5.57	3.13	0.0	2.33	2.83	3.4	4.92	1.48	2.3	2.37	1.72	1.25	0.93	2.51	3.32	4.91	3.24	1.37	1.79	1.8	1.51	8.77	1.98	0.0	0.0	2.3	3.09	1.84	2.76	2.57	2.73	3.21	2.29	2.53	0.64	3.23	4.93	1.74	0.96	2.9	3.57	1.64	1.56	2.62	0.68	4.83	1.39	3.37	1.33	4.26	3.82	2.98	2.02	4.72	6.41	3.9
Acnat1	34.09	25.06	9.73	17.74	3.05	29.42	22.53	7.01	16.01	26.2	2.28	32.07	41.02	17.64	23.98	16.86	36.21	24.05	35.52	27.13	23.24	29.58	13.65	14.54	5.32	22.13	26.31	40.47	26.72	16.63	19.65	22.34	12.3	29.72	18.51	17.51	0.0	7.94	10.93	2.27	4.29	23.86	26.36	20.61	23.64	38.68	6.0	17.54	35.19	19.55	11.82	16.52	26.68	16.3	9.05	27.31	19.81	31.62	27.16	27.53	27.88	24.01	40.99	37.4	25.96	18.19	17.53	28.63
Cbx1	0.0	9.58	0.0	6.1	9.85	56.63	105.56	16.24	48.08	0.0	0.0	184.61	0.0	0.0	7.29	0.0	41.25	74.51	37.71	104.24	119.17	14.52	0.0	0.0	0.0	27.58	15.39	6.14	16.81	11.16	93.71	0.0	0.0	318.9	30.26	0.0	0.0	0.0	0.0	21.37	51.1	0.0	66.17	0.0	92.85	157.01	0.0	67.83	0.0	55.78	0.0	4.5	101.48	0.0	15.14	81.34	2.49	41.38	0.32	0.0	95.96	142.57	14.68	0.0	0.61	0.37	133.88	0.0
Celf2	108.07	37.46	17.81	54.74	15.48	138.13	62.95	14.31	30.89	116.5	0.09	44.89	81.56	0.0	0.0	0.54	75.42	22.27	132.4	114.96	148.07	40.55	40.65	64.83	7.25	93.33	76.32	81.03	28.72	0.0	139.73	46.19	17.5	393.25	35.02	0.0	0.0	10.57	0.0	0.13	0.0	46.32	57.39	33.63	29.87	102.5	0.68	22.06	4.93	156.93	1.2	83.94	112.2	38.84	30.06	67.6	26.75	119.42	97.71	30.36	33.03	46.67	106.2	0.18	127.4	101.4	112.94	63.81
Cfhr1	5.26	5.35	0.24	3.94	0.0	4.53	9.48	8.71	8.2	2.74	0.0	10.69	7.05	5.56	3.57	4.6	2.58	6.01	16.23	1.91	2.52	4.88	4.18	4.05	0.0	10.19	4.46	6.06	6.81	1.15	4.11	1.86	0.94	19.96	3.02	1.93	0.0	0.0	0.0	3.63	2.22	2.57	3.44	0.92	9.36	4.48	0.0	0.0	3.67	3.7	0.46	3.19	2.5	4.34	5.03	2.88	4.77	5.63	6.02	3.41	5.31	11.23	5.4	6.45	1.28	4.36	6.16	5.28
D830005E20Rik	52.49	125.71	28.13	71.21	38.56	192.35	65.67	31.59	86.97	100.55	0.0	106.77	148.43	80.16	64.68	36.74	143.14	135.87	123.74	137.16	124.68	169.55	61.59	59.15	52.68	115.38	225.94	150.81	113.61	57.88	177.61	79.96	71.41	79.62	49.5	8.46	8.22	6.75	9.73	8.2	25.64	47.55	59.98	122.02	128.68	158.2	0.12	97.12	124.82	99.98	95.3	52.49	93.6	104.26	108.57	63.99	33.99	135.03	98.31	82.89	91.06	118.61	103.36	227.74	94.47	77.77	109.33	91.88
Erh	730.47	388.35	367.88	534.65	431.93	171.84	166.49	277.01	527.14	581.12	8.46	670.28	754.14	193.37	742.94	378.45	381.17	521.15	451.68	594.62	693.16	539.17	339.14	960.5	124.91	85.88	149.97	617.86	736.37	0.0	790.61	310.3	580.33	882.45	367.28	0.0	0.0	0.41	0.0	0.0	316.09	346.15	245.84	51.94	529.96	443.76	0.0	615.63	260.54	214.31	226.82	209.17	384.82	16.36	911.26	577.56	124.53	441.29	674.05	1317.98	421.91	672.85	434.58	399.19	905.16	0.0	426.95	448.66
Exosc8	2.07	0.0	0.0	59.5	140.88	6.71	86.06	0.3	0.0	146.76	0.0	184.19	250.67	0.0	0.0	0.0	1.48	0.0	0.0	185.98	154.6	141.22	0.0	0.0	74.82	0.0	186.01	141.76	215.0	1.36	148.76	123.03	0.65	509.28	22.65	0.0	0.0	0.0	9.7	81.64	0.0	0.0	0.0	155.33	0.0	172.33	0.0	0.0	0.0	0.0	0.0	0.0	127.29	0.0	137.19	0.27	3.75	2.04	197.48	0.4	1.12	243.32	0.0	0.0	0.92	1.11	151.36	117.31
Gm10845	202.68	152.96	175.64	132.44	67.83	115.83	244.19	130.46	352.52	169.75	115.62	277.64	351.39	132.24	109.28	82.0	437.2	232.25	528.82	97.85	213.87	226.69	161.12	206.27	54.91	304.11	331.29	241.88	402.84	466.03	383.69	250.89	166.81	642.38	159.58	30.27	13.24	2.64	211.88	46.89	192.43	115.8	134.15	241.26	200.73	221.31	56.49	143.98	399.78	206.63	116.02	144.84	272.28	121.05	217.77	395.72	66.47	368.46	288.82	133.73	46.01	368.07	216.3	224.15	314.92	196.49	386.69	222.94
