	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Htr3a_tdTpositive_cell_109	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_64	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_47	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_68	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_32	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
1810037I17Rik	137.24	0.4	219.31	38.63	259.07	0.0	145.25	316.86	127.28	168.38	167.71	63.39	222.94	76.99	151.54	159.09	123.39	43.67	300.95	247.93	322.7	145.31	115.66	169.22	292.45	96.46	281.74	767.8	298.37	162.98	60.87	77.12	184.21	42.88	563.4	139.07	137.85	75.74	106.53	245.01	222.46	124.08	182.98	299.82	532.3	262.25	170.33	376.93	107.99	293.01	158.82	288.78	297.99	47.93	35.7	0.0	23.96	143.74	95.8	134.57	425.93	302.96	176.19	103.32	266.68	157.12	199.08	246.74	225.31	229.3	216.31	0.0	121.18	0.0	325.93	379.4	176.26	166.86	110.29	252.25	116.56	269.14	302.67	331.73	328.07	247.58	344.12	231.06	283.76	427.66	304.16	273.28	248.63	252.78	258.27	333.11	101.38	503.2	319.38	79.84	571.77	302.1	376.8	499.95	485.46	47.35	611.26	0.0	203.71	0.0	93.67	0.0	661.76	185.59
3110035E14Rik	22.32	72.44	103.27	173.42	192.19	77.66	0.82	1.67	7.84	186.08	164.84	0.17	1.09	0.85	129.3	814.4	0.0	1.37	13.2	83.23	760.31	355.47	660.18	275.51	389.01	638.56	504.21	276.55	993.2	268.91	307.58	184.44	433.22	907.52	668.16	909.26	381.06	364.88	543.58	499.17	813.83	648.09	1379.3	804.89	587.67	375.19	476.04	653.69	1418.55	1029.97	487.61	262.9	527.1	468.3	131.74	57.63	106.69	285.71	248.36	160.44	32.22	608.52	134.64	119.89	23.01	70.95	304.12	154.72	0.48	37.74	264.19	4.11	16.14	1.31	183.18	514.81	3.17	333.33	157.15	605.55	0.67	44.59	538.93	438.16	560.43	437.27	437.81	520.77	609.37	366.64	500.56	362.32	558.26	478.83	506.56	897.46	657.04	433.43	753.91	305.68	300.85	241.36	280.77	224.12	766.28	49.35	245.21	707.48	519.13	88.77	834.01	819.74	865.09	8.94
Adora1	0.0	7.11	0.86	63.21	85.67	3.78	0.0	49.05	52.8	0.03	23.31	0.65	0.0	83.4	0.0	126.98	0.0	0.0	42.17	76.48	85.99	16.48	95.0	66.44	48.09	31.13	106.25	49.29	100.56	63.45	46.63	68.13	50.24	48.02	157.38	5.23	101.45	116.65	182.89	249.16	71.55	120.93	83.7	54.28	118.43	70.86	68.53	194.92	71.55	38.75	25.26	1.11	0.0	23.66	0.55	0.0	17.73	0.57	32.26	26.59	9.11	129.56	9.91	0.0	20.67	5.82	3.8	0.29	0.0	31.1	45.42	0.0	39.86	0.36	65.31	125.03	0.0	0.87	0.0	1.24	0.0	0.0	84.29	94.07	112.58	67.81	81.27	65.84	105.27	69.26	42.3	65.35	75.48	62.05	59.29	68.83	1.91	32.97	0.06	31.22	111.92	44.87	0.08	63.63	0.46	29.38	0.0	104.84	74.49	36.4	36.32	117.3	104.13	1.63
Arhgap15	0.0	33.54	0.0	0.0	1.05	46.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.59	0.0	0.0	0.08	111.45	1.44	42.92	0.0	224.6	174.55	113.03	0.0	252.62	0.15	0.0	78.36	30.24	59.36	0.17	0.69	56.37	0.81	356.63	59.64	0.0	0.0	59.72	57.91	61.87	0.0	119.62	203.13	13.26	102.58	0.0	58.67	157.28	17.6	0.0	0.0	47.21	3.9	46.06	37.87	208.11	0.0	0.0	30.12	59.99	0.17	0.0	111.05	73.95	0.0	0.0	0.0	0.0	150.05	0.0	0.0	90.95	0.0	10.67	0.25	28.86	0.0	0.0	42.36	27.17	61.67	33.66	68.9	54.14	62.72	38.19	35.89	41.19	57.79	50.03	56.78	0.13	0.0	280.72	371.52	136.14	0.0	0.0	2.91	0.0	0.0	0.0	0.0	126.96	0.0	0.0	0.0	161.44	2.16	26.79
Arhgap25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.94	0.0	0.0	0.0	0.0	0.24	84.44	256.54	109.59	89.6	15.43	0.0	0.16	0.16	38.4	0.43	0.76	76.0	103.91	0.18	56.08	169.14	103.13	234.95	273.67	346.06	188.24	204.57	273.77	6.0	230.7	659.66	108.54	264.03	440.83	30.08	88.97	0.0	0.11	0.0	0.0	0.18	0.0	0.0	14.05	0.0	8.73	10.07	0.0	0.0	0.0	11.83	0.0	0.0	0.0	493.73	0.0	0.25	0.0	0.0	146.55	0.0	77.85	0.0	1.1	0.0	0.0	177.35	91.87	120.91	118.64	134.92	163.1	100.77	53.49	90.37	142.41	124.9	164.62	158.59	55.38	139.55	0.0	0.0	105.91	0.0	0.1	0.0	6.46	359.53	0.0	236.45	375.57	213.75	0.0	135.86	240.06	0.0	22.11
Arhgap44	250.44	130.15	135.87	145.67	184.61	270.11	191.74	192.79	192.62	115.99	180.34	508.95	192.62	271.02	238.78	194.7	124.22	395.93	93.79	347.49	165.58	353.7	242.37	495.68	575.3	349.63	468.9	535.07	44.48	200.1	317.61	140.99	226.87	185.22	238.14	279.88	531.65	139.0	222.7	166.75	253.95	304.09	248.47	568.04	514.32	474.81	317.21	399.35	503.14	474.1	504.99	568.39	260.51	301.77	92.51	128.31	173.37	200.08	193.03	91.68	75.87	266.16	169.52	131.02	108.29	150.31	49.58	40.62	310.95	345.54	506.78	205.04	267.17	295.23	74.47	298.68	169.11	360.77	199.6	349.5	211.1	412.62	559.0	523.67	419.64	470.51	491.4	445.6	427.8	337.39	377.8	284.47	492.83	399.35	425.14	300.48	562.68	273.95	86.98	58.36	161.61	153.63	261.98	384.55	434.82	5.63	357.64	306.39	377.07	182.57	397.35	169.84	178.46	261.68
Bcl11b	0.0	0.05	0.06	0.0	0.2	0.1	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.09	0.0	16.81	0.0	0.0	0.0	0.26	27.43	1.52	25.76	15.68	11.92	0.0	16.57	0.37	1.85	4.16	29.07	0.11	0.86	24.27	24.39	0.0	1.45	0.7	11.67	12.51	40.54	42.36	32.87	46.33	41.07	26.39	32.03	24.27	34.25	8.61	0.43	0.4	2.78	3.03	15.21	27.53	3.08	11.4	24.34	0.0	0.05	0.04	2.59	7.29	0.15	0.0	0.0	0.0	0.0	0.0	9.27	0.1	0.0	0.0	0.0	0.0	0.0	0.09	0.0	11.71	0.06	0.05	9.91	20.33	14.22	11.84	10.74	13.1	13.19	15.53	10.8	5.96	14.6	12.33	9.07	33.97	0.0	2.36	28.83	0.14	2.37	3.43	25.1	0.0	4.23	15.31	42.64	18.61	48.85	4.92	2.16	16.09	0.0	0.07
Calm2	20249.89	20813.5	20740.74	19533.68	13941.53	16208.07	13232.42	13195.04	15151.09	15809.6	16818.94	15927.68	19081.81	14581.48	15041.69	15272.15	14269.04	15844.12	19635.16	19628.74	13857.53	16717.89	19578.34	14560.37	14391.49	24749.41	21064.56	15023.72	18026.74	19971.06	16137.96	20654.99	19749.13	16455.41	13675.18	14145.83	14428.82	18161.55	14813.52	14881.23	15542.3	16924.34	15529.11	14314.3	15278.63	13320.27	12925.53	16040.81	14249.7	14305.03	19103.2	14027.74	15059.56	13555.82	16399.93	18291.8	15543.28	17199.59	13988.38	17145.93	18653.08	15098.71	18187.15	18504.84	19736.86	15330.41	15168.58	13771.67	12256.09	15940.81	15861.65	13467.59	14604.53	17647.75	20660.56	19581.9	19276.37	15688.38	14563.27	15519.65	14687.3	13389.17	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	16099.57	15686.41	18281.5	19423.54	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63	18134.58	18864.48	19735.95	19141.42	13275.15	19191.1	14736.34	17911.68	18621.16	17897.54	14225.77
Ccl27a	519.98	277.03	785.93	198.25	438.6	600.44	172.78	456.96	249.59	334.46	270.65	144.45	178.04	244.47	140.19	1231.41	0.0	352.59	925.48	537.2	1336.22	976.14	1063.72	1154.08	810.78	1288.23	893.7	2138.35	788.39	2006.29	1045.19	1819.06	1688.79	1162.38	1285.76	1622.78	1323.32	1667.32	1704.93	1503.74	1034.53	1641.64	1399.46	1741.97	1217.88	1286.19	1254.09	1650.06	1187.27	1028.98	993.71	49.42	376.5	533.63	438.83	768.53	944.85	573.41	623.35	463.43	468.04	267.7	545.52	796.0	497.69	325.49	388.9	311.23	116.84	231.63	1106.9	17.42	179.61	197.23	529.99	1209.13	261.34	250.63	532.6	991.65	86.57	579.55	1321.2	1162.53	979.2	1345.63	1102.98	880.63	1093.96	894.03	1239.48	1252.6	872.97	1276.69	1181.23	1844.92	1283.65	1029.48	2304.36	1094.95	2598.25	2073.39	1041.74	398.41	794.24	459.51	1282.51	858.11	1005.91	511.87	442.74	1110.4	232.6	318.33
Ccl27b	34.95	28.24	41.09	7.65	4.09	23.81	0.0	0.0	16.97	9.16	3.97	10.86	14.87	0.0	0.0	415.15	0.0	0.0	39.42	5.82	159.27	52.23	131.07	81.28	44.71	5.88	112.91	275.99	54.51	310.16	79.41	318.99	85.18	111.71	41.44	207.37	368.04	183.85	270.93	98.79	154.8	79.46	233.72	189.56	247.47	128.94	154.0	310.06	63.9	73.83	34.34	3.11	4.63	38.49	0.0	28.3	64.29	49.81	50.44	50.62	21.3	161.83	40.26	118.2	7.32	47.43	34.54	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	156.7	0.0	1.93	0.0	108.35	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	180.33	88.07	319.12	80.83	176.84	97.07	149.77	84.31	191.16	132.48	66.02	71.07	211.91	132.15	201.41	21.24	212.54	95.77	11.63
