	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_15	Nkx2.1_tdTpositive_cell_18	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Crtac1	0.0	100.93	0.0	0.0	0.0	0.0	54.83	0.0	5.49	0.0	0.0	0.0	0.0	0.77	0.0	1.44	0.0	0.0	0.0	13.15	26.01	61.53	63.55	21.03	5.88	28.74	7.93	4.59	42.31	193.8	50.1	42.16	33.56	21.17	52.95	99.1	2.85	13.51	35.15	60.65	2.68	59.69	0.5	0.0	0.46	41.06	115.38	53.55	0.41	56.36	105.12	29.05	7.44	1.62	58.44	83.03	18.59	5.25	32.28	0.0	78.86	16.11	62.93	13.85	94.74	0.0	2.66	43.42	6.59	13.97	28.06	29.55	0.0	21.33	7.22	26.12	5.23	44.66	76.58	18.77	63.93	64.43	0.0	91.89	46.82	89.63	19.42	0.0	0.0	0.42	0.0	56.41	29.31
Csrnp3	0.14	34.8	61.93	0.0	0.0	0.0	4.24	34.46	21.39	0.45	0.0	0.05	0.14	11.7	43.59	18.46	0.03	0.12	0.06	18.39	5.9	0.16	16.85	8.86	43.3	35.85	11.57	31.75	5.37	22.2	45.4	55.15	21.82	24.5	10.76	30.77	20.9	20.39	9.54	19.46	40.57	23.01	16.68	46.62	34.52	40.85	62.45	42.18	21.28	55.76	17.46	0.37	1.88	6.55	1.44	4.68	39.47	31.49	27.73	14.01	15.21	7.43	10.37	6.83	21.66	37.39	35.76	16.14	13.01	1.64	48.86	63.34	18.96	33.34	9.56	42.82	15.78	15.2	20.2	50.05	20.36	66.0	23.03	45.29	12.72	62.3	22.04	0.11	0.47	0.21	0.15	45.87	16.47
Dimt1	0.0	0.0	0.58	0.0	0.0	0.0	17.57	69.83	18.31	0.12	0.0	0.0	0.0	25.93	0.0	36.64	0.06	0.0	0.47	30.5	37.24	11.07	9.4	7.52	41.23	146.45	7.93	31.27	14.72	93.64	101.06	22.42	58.15	44.63	87.77	16.96	20.55	61.61	34.59	11.09	0.0	73.38	49.31	27.63	26.49	20.99	0.11	13.25	26.57	64.95	25.09	41.7	0.0	73.91	16.65	74.65	58.89	33.71	48.62	31.92	45.46	50.49	79.36	22.12	34.32	0.0	26.52	58.95	25.8	15.55	34.28	39.86	34.27	56.73	22.71	11.16	49.2	162.92	31.41	56.65	25.28	52.71	35.6	80.71	116.3	34.18	50.67	0.0	0.0	0.0	0.0	39.89	38.36
Dnaja2	0.0	96.61	3.71	0.0	0.0	0.16	103.54	198.53	88.33	161.97	0.0	0.0	0.0	230.7	59.43	210.49	0.11	0.0	0.21	158.33	104.84	69.78	78.58	33.64	137.19	248.9	57.29	152.25	64.08	118.15	114.94	183.07	218.84	199.54	19.86	193.19	25.04	191.78	85.56	133.41	155.17	131.24	108.32	143.09	123.37	199.66	259.42	161.4	56.72	442.35	329.3	185.61	118.26	134.95	82.08	220.45	117.84	58.73	214.65	47.06	59.91	122.17	150.14	164.03	263.46	64.85	196.67	87.86	104.67	158.91	140.54	47.84	70.93	255.61	60.55	101.72	6.15	2.5	202.74	108.59	137.11	29.8	19.56	103.64	53.25	73.74	282.66	0.37	0.58	0.78	0.0	190.51	253.26
Eral1	0.0	0.0	0.0	0.0	0.0	0.0	31.96	0.0	0.29	87.92	0.0	0.0	0.0	63.16	7.45	12.17	0.24	0.0	0.0	37.07	53.69	57.05	52.97	25.13	0.39	1.11	0.31	43.07	0.0	0.0	23.22	0.37	0.4	0.0	1.86	22.32	1.13	43.66	0.0	66.86	1.05	42.16	99.08	0.0	0.3	0.0	5.54	44.33	29.79	257.63	0.75	0.0	64.73	74.67	101.16	159.37	59.96	64.87	0.1	0.0	0.68	45.86	1.79	40.87	0.31	0.12	0.0	45.28	44.59	123.27	38.46	0.21	0.0	0.0	64.4	0.0	83.63	47.79	0.0	0.92	51.93	1.18	1.1	0.0	51.92	0.0	53.62	0.0	0.42	560.86	0.34	0.0	0.0
Fam168a	0.0	7.41	21.34	0.0	9.05	0.0	63.58	48.65	107.14	45.98	0.0	0.0	0.0	49.12	24.18	78.9	13.2	0.0	1.44	60.91	30.49	51.17	51.69	79.42	89.45	83.78	51.31	89.82	71.4	97.89	138.51	4.61	62.21	51.59	40.6	98.62	52.17	84.76	54.87	114.91	75.5	52.09	84.6	83.78	114.28	111.67	77.13	97.55	40.03	129.4	63.14	40.8	37.31	20.86	128.23	89.58	64.23	141.54	62.88	28.9	48.69	33.24	91.38	43.43	55.71	18.91	84.25	61.45	87.13	42.16	84.09	62.17	46.03	54.82	34.35	76.48	37.92	86.17	60.66	61.04	86.53	122.95	81.47	98.73	60.47	132.17	78.18	0.27	25.76	211.73	0.0	38.47	74.57
Fam18b	0.0	229.98	104.22	0.0	0.0	963.08	191.27	184.27	114.8	197.31	0.0	0.0	0.0	79.16	54.68	122.41	0.0	0.0	0.0	109.12	123.4	145.91	184.86	103.96	71.36	318.93	44.14	229.69	21.18	227.24	115.6	233.12	0.0	229.41	64.83	116.82	70.78	147.36	277.42	46.39	194.43	199.33	3.01	0.0	304.81	169.96	157.12	172.17	145.5	378.74	185.43	138.72	60.61	141.17	93.23	137.76	212.54	0.0	191.26	187.72	0.0	192.11	92.76	197.57	69.87	121.74	91.53	93.96	108.82	95.85	291.25	83.1	0.0	261.47	132.72	23.39	0.36	204.66	52.59	56.02	106.41	172.15	0.0	193.86	196.04	1.96	59.1	0.0	0.24	779.38	0.0	55.82	122.75
Gm14430	0.0	1.3	0.0	0.0	0.0	0.0	17.66	38.82	21.67	7.02	0.0	0.25	0.0	4.65	1.1	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	21.18	14.72	0.0	6.05	13.5	30.16	14.04	21.99	6.81	9.4	5.35	18.03	16.5	13.46	3.22	0.84	12.83	28.02	12.31	9.23	52.69	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.12	13.32	9.95	10.87	5.42	18.55	13.57	19.8	8.49	4.08	18.47	11.25	0.0	0.32	3.81	9.13	19.5	0.54	6.88	0.0	14.82	8.34	13.98	13.81	14.03	0.0	30.75	15.88	41.52	2.38	0.07	0.24	0.0	0.0	12.2	8.24
Gm14431	0.26	0.0	0.0	0.0	0.0	0.0	1.03	18.55	20.17	19.34	0.45	0.0	0.0	1.09	0.11	0.76	0.71	0.0	0.24	1.71	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	30.52	3.35	0.0	3.96	2.26	0.58	5.03	0.19	4.95	2.91	0.0	3.95	2.76	5.1	0.3	0.29	0.76	1.99	2.49	1.79	5.14	1.79	0.61	2.4	0.0	7.94	1.31	2.1	9.42	0.97	0.0	19.53	1.45	1.04	2.52	1.77	3.44	4.65	0.55	0.0	5.83	1.51	3.72	0.0	1.48	1.58	0.43	1.46	1.56	0.36	6.24	1.93	0.72	0.64	4.83	0.24	1.37	1.92	0.12	0.0	0.0	0.0	0.93	1.72
Gm14434	0.0	1.3	0.0	0.0	0.0	0.0	17.66	38.82	21.67	7.02	0.0	0.25	0.0	4.65	1.1	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	21.18	14.72	0.0	6.05	13.5	30.16	14.04	21.99	6.81	9.4	5.35	18.03	16.5	13.46	3.22	0.84	12.83	28.02	12.31	9.23	52.69	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.12	13.32	9.95	10.87	5.42	18.55	13.57	19.8	8.49	4.08	18.47	11.25	0.0	0.32	3.81	9.13	19.5	0.54	6.88	0.0	14.82	8.34	13.98	13.81	14.03	0.0	30.75	15.88	41.52	2.38	0.07	0.24	0.0	0.0	12.2	8.24
