	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_15	Nkx2.1_tdTpositive_cell_18	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Gm4724	0.0	1.3	0.0	0.0	0.0	0.0	17.66	38.82	21.67	7.02	0.0	0.25	0.0	4.65	1.1	3.32	0.0	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	18.96	26.14	10.3	21.18	14.72	0.0	6.05	13.5	30.16	14.04	21.99	6.81	9.4	5.35	18.03	16.5	13.46	3.22	0.84	12.83	28.02	12.31	9.23	52.69	3.07	20.8	2.82	24.87	7.2	11.03	16.3	13.12	13.32	9.95	10.87	5.42	18.55	13.57	19.8	8.49	4.08	18.47	11.25	0.0	0.32	3.81	9.13	19.5	0.54	6.88	0.0	14.82	8.34	13.98	13.81	14.03	0.0	30.75	15.88	41.52	2.38	0.07	0.24	0.0	0.0	12.2	8.24
Gm8898	0.26	0.0	0.0	0.0	0.0	0.0	1.03	18.55	20.17	19.34	0.45	0.0	0.0	1.09	0.11	0.76	0.71	0.0	0.24	1.71	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	30.52	3.35	0.0	3.96	2.26	0.58	5.03	0.19	4.95	2.91	0.0	3.95	2.76	5.1	0.3	0.29	0.76	1.99	2.49	1.79	5.14	1.79	0.61	2.4	0.0	7.94	1.31	2.1	9.42	0.97	0.0	19.53	1.45	1.04	2.52	1.77	3.44	4.65	0.55	0.0	5.83	1.51	3.72	0.0	1.48	1.58	0.43	1.46	1.56	0.36	6.24	1.93	0.72	0.64	4.83	0.24	1.37	1.92	0.12	0.0	0.0	0.0	0.93	1.72
Hapln4	0.0	0.0	0.0	0.0	0.0	0.0	61.57	2.06	41.38	59.93	0.0	0.0	0.0	92.86	0.0	104.79	0.0	0.0	0.17	65.14	55.19	24.87	43.61	23.79	103.96	0.0	53.67	69.88	26.6	45.71	52.52	0.0	11.88	0.76	0.0	71.64	22.99	68.58	107.81	67.19	21.45	27.6	55.46	59.67	0.17	24.38	66.91	66.3	53.16	161.04	30.7	31.52	37.89	5.02	56.97	44.5	30.51	15.6	108.62	50.3	1.98	112.74	76.99	34.79	41.45	50.5	10.92	67.41	37.32	32.28	45.07	61.52	44.07	43.76	59.55	83.37	58.58	10.78	43.62	81.43	21.36	38.59	0.0	16.58	125.39	55.47	60.25	0.0	0.0	0.0	0.0	35.37	1.17
Hspb11	368.91	18.62	0.0	0.0	0.0	0.0	48.23	0.0	0.0	0.0	0.0	0.0	0.0	7.33	0.0	0.0	0.0	0.0	0.0	0.0	39.44	0.0	0.0	21.31	85.6	0.0	58.34	30.85	167.14	73.79	0.0	0.0	0.0	0.0	56.77	48.48	48.24	66.31	35.54	0.0	0.0	0.0	1.27	0.0	0.0	62.65	0.0	0.0	0.0	159.7	0.0	125.29	47.26	0.0	30.72	29.38	25.82	0.0	0.0	0.0	66.71	33.1	0.0	28.21	0.0	7.55	0.0	0.0	0.0	6.83	33.99	9.06	0.0	0.0	0.0	0.0	0.0	63.85	0.0	50.17	17.56	0.0	0.0	0.0	70.88	27.02	31.75	0.0	0.0	0.0	0.0	48.05	0.0
Htr1f	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	53.9	5.43	31.32	0.06	0.0	0.0	2.6	1.68	57.76	0.0	5.45	3.08	0.0	40.42	1.09	2.66	0.0	0.83	0.0	0.0	0.0	23.94	0.0	0.0	0.0	13.6	0.0	4.76	0.24	0.0	0.0	0.0	0.0	0.0	31.18	4.28	94.61	0.15	20.02	4.0	0.0	0.3	0.0	0.59	0.0	30.1	0.12	0.0	0.0	21.13	0.11	5.01	3.32	0.5	39.29	0.0	2.2	0.0	43.99	21.36	0.0	0.0	3.82	0.0	4.57	0.0	2.01	59.39	0.0	0.0	0.15	0.0	0.02	0.07	0.0	0.0	0.0	0.0	62.05	0.0
Kcna1	0.0	47.87	0.0	0.0	0.0	0.05	219.47	110.04	129.7	58.68	0.0	0.0	0.0	74.68	0.0	109.21	0.0	127.99	0.07	218.51	203.62	67.88	155.4	214.98	258.51	191.86	97.04	120.88	231.33	88.23	194.23	83.41	255.22	281.96	47.83	237.12	92.66	175.41	198.9	245.4	169.48	209.54	455.33	33.81	55.56	151.11	248.36	167.48	105.87	123.08	159.56	126.88	28.07	81.48	229.17	158.39	203.93	98.15	147.2	138.68	12.5	121.61	254.23	229.92	210.97	151.3	186.92	125.95	175.67	169.76	275.53	136.3	173.91	195.32	140.07	97.29	175.06	124.46	83.12	92.79	139.69	209.91	178.97	267.03	155.8	87.06	247.3	0.0	0.0	0.2	0.0	93.58	67.55
Ldhb	7486.96	8138.08	8970.97	1483.13	4317.46	5274.92	9309.63	6819.53	7692.96	8550.52	0.0	0.0	5600.23	6832.63	5553.03	8752.31	603.94	0.0	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	8302.41	8517.89	5463.85	9220.91	9343.6	6570.82	8808.99	5554.49	6807.49	7074.56	8223.21	5652.61	8574.79	10165.1	9166.61	7814.88	9602.81	7343.35	7785.08	6321.13	7061.15	11261.44	7829.53	8285.69	6969.49	6159.05	10004.69	7259.91	6682.6	6616.59	7834.03	8757.21	7112.99	9074.03	13571.31	7287.29	6113.3	12546.17	7218.63	9106.97	8513.41	9755.78	7935.39	8904.1	8390.99	11010.48	8275.76	8671.45	7724.63	10182.84	7750.55	9082.37	7199.93	7322.67	8351.44	8111.86	8330.83	11746.38	4392.08	5217.81	5873.38	5577.5	6577.4	7324.1
Myo5a	0.0	1.4	4.61	0.0	0.0	0.0	42.77	88.03	42.06	25.16	0.04	0.06	0.0	46.8	44.05	53.44	0.04	0.04	0.44	45.27	92.3	11.11	69.14	40.3	61.52	25.89	39.25	44.13	71.73	65.33	111.23	58.54	46.76	73.9	68.07	75.09	34.12	39.28	32.14	47.35	32.46	33.66	65.61	24.09	5.31	68.38	80.69	45.14	30.47	68.54	41.79	47.17	23.02	62.9	105.49	55.97	53.54	70.21	130.28	20.14	46.56	56.34	69.17	55.96	60.56	109.54	9.71	29.67	57.57	42.95	28.13	16.52	69.49	47.53	36.2	38.36	50.63	71.79	73.22	41.34	48.43	66.62	83.32	145.14	63.74	95.3	42.52	0.14	0.11	0.5	0.0	132.28	66.05
Nceh1	0.0	39.79	84.38	0.0	0.0	0.0	192.8	224.01	47.96	147.14	0.0	0.0	0.0	58.72	91.31	81.33	0.04	0.0	0.13	198.98	141.6	155.9	175.42	285.55	296.48	137.24	114.1	153.62	146.4	185.13	167.56	176.63	112.52	155.03	110.84	155.85	200.8	160.31	105.83	198.35	81.17	63.27	156.69	322.33	38.06	200.95	83.12	214.75	107.21	193.31	28.28	111.17	98.16	54.08	118.55	157.38	167.55	134.23	212.95	152.85	205.57	243.71	144.62	75.83	71.87	126.29	92.41	245.96	140.11	154.46	236.98	150.73	129.93	77.3	54.19	85.09	75.57	120.17	83.43	240.7	231.56	172.72	100.85	73.36	183.02	148.77	165.58	0.08	0.09	0.25	0.0	19.86	115.01
Nefh	0.0	0.41	14.03	0.0	0.0	0.0	23.98	84.0	5.14	8.52	0.0	0.0	0.0	25.17	21.06	33.18	0.04	0.0	0.0	78.02	65.6	8.49	90.01	65.07	48.3	68.88	21.24	82.42	68.27	0.0	96.45	7.83	89.63	70.19	75.01	75.69	30.98	67.46	23.25	39.74	17.27	92.34	90.31	0.39	0.0	32.52	194.77	80.6	38.82	122.83	16.51	36.46	34.28	1.2	26.7	44.52	9.76	0.0	22.39	28.1	38.72	54.81	145.17	233.76	180.83	101.82	107.74	93.9	99.21	88.26	28.61	35.6	21.77	9.81	61.11	104.22	75.57	70.43	133.09	12.2	51.63	66.75	22.41	62.19	103.28	50.45	116.26	0.0	0.0	0.0	0.0	0.67	16.25
Pigk	0.0	0.0	54.58	0.0	0.0	0.0	19.69	0.0	102.73	41.54	0.0	0.0	0.0	28.96	53.66	13.2	0.14	0.0	0.0	79.92	61.6	87.23	21.57	59.79	30.55	111.48	44.64	28.8	37.5	164.92	76.39	0.0	68.11	34.82	2.77	26.37	52.96	44.44	91.13	16.23	61.61	63.44	35.62	4.37	77.6	26.46	52.25	84.93	73.53	154.37	90.24	77.05	46.66	89.28	4.79	49.79	45.74	28.1	57.88	6.74	96.12	82.77	58.35	38.0	75.31	63.38	27.68	85.46	78.81	76.47	44.67	68.09	34.4	45.69	6.22	11.11	12.25	125.98	35.45	26.47	42.34	18.43	25.47	43.34	53.64	34.35	45.14	0.22	0.34	0.23	0.0	34.91	18.48
Poldip2	0.0	0.0	59.0	0.0	0.0	0.0	37.36	6.69	38.61	0.0	0.0	0.0	0.0	26.15	0.0	41.42	0.0	0.0	0.0	21.76	10.15	0.0	48.92	15.0	71.28	4.43	0.0	80.86	55.02	7.08	78.55	1.94	11.03	19.73	0.0	1.05	79.91	112.96	33.98	28.28	0.36	1.85	3.36	0.0	101.9	0.0	0.0	51.55	2.72	94.19	94.01	59.62	0.0	4.36	0.0	48.88	0.0	3.73	4.22	0.0	17.13	103.64	10.35	38.78	21.04	0.0	14.57	1.17	37.37	9.31	6.75	38.4	44.57	0.41	0.9	44.99	20.23	14.1	51.39	79.73	95.9	5.96	60.77	0.0	7.8	0.17	32.89	0.0	0.21	0.19	0.0	89.93	76.78
Prkce	0.0	0.09	0.89	0.0	0.0	0.0	21.84	31.21	31.38	108.56	0.04	0.0	0.0	29.18	0.34	38.63	1.81	0.01	0.38	57.2	29.01	2.92	36.24	26.9	55.14	81.64	40.13	54.91	45.32	60.45	44.87	75.54	28.08	26.82	8.76	66.56	47.51	7.89	37.79	72.86	54.66	17.37	24.63	0.24	0.1	36.28	113.49	100.06	20.89	133.99	37.4	37.01	55.61	29.1	43.88	69.04	39.06	45.05	63.92	6.16	15.93	44.97	31.97	12.17	85.02	13.9	15.45	57.46	29.69	25.61	28.57	27.21	35.1	53.63	34.59	27.33	12.85	46.27	27.51	32.04	39.5	17.03	52.48	37.85	81.95	77.93	31.32	0.06	0.29	0.21	0.39	43.33	122.82
Prune2	0.0	135.06	20.75	0.0	0.0	1.62	201.64	86.43	216.6	116.37	0.04	0.0	0.0	194.98	99.16	249.24	0.06	0.0	0.75	226.77	166.43	130.57	55.6	226.69	179.21	174.28	300.9	218.1	137.04	153.72	282.87	194.87	220.32	293.82	94.03	168.01	151.65	179.6	265.99	149.3	291.62	172.86	221.57	283.44	112.37	109.55	73.92	220.22	169.96	146.35	104.21	116.38	29.63	134.27	151.19	140.49	151.58	130.33	162.07	132.02	132.94	258.78	210.79	123.11	209.94	139.85	153.66	135.03	93.3	135.55	225.09	113.69	94.84	183.97	71.62	71.63	171.37	159.62	140.87	130.7	162.03	97.35	99.97	129.74	229.52	156.8	158.93	0.14	0.33	0.55	0.0	269.58	153.88
Purb	0.0	43.68	77.23	0.42	1.87	0.05	98.19	158.72	92.5	153.29	24.39	0.0	0.0	90.09	13.35	99.21	0.02	0.0	0.76	116.39	81.4	123.18	67.06	78.59	58.74	123.24	58.12	132.9	114.64	194.23	128.65	32.5	101.73	111.86	130.67	59.97	66.81	81.24	70.82	42.72	47.43	96.92	83.34	49.95	69.03	27.21	50.48	94.94	48.21	160.04	65.7	62.48	42.51	103.78	120.28	97.22	102.64	67.09	100.59	58.97	67.78	88.64	89.02	57.36	90.4	93.8	38.19	125.47	30.31	72.09	79.64	116.25	132.42	46.02	100.53	69.4	94.06	136.68	46.64	101.89	57.26	158.58	102.07	78.82	73.94	167.12	30.67	0.12	0.58	0.3	0.0	71.39	44.3
Pvalb	0.0	1440.49	0.0	0.0	0.0	0.0	2506.7	2781.07	1946.93	2914.72	0.0	0.0	0.0	2258.23	517.72	3332.67	0.0	0.0	0.0	1987.37	1559.12	1319.97	2144.98	1365.09	1711.38	1726.65	1148.76	1185.42	1292.73	888.19	1298.9	649.51	1590.34	1199.86	636.78	1414.35	1105.16	1417.67	1488.24	1662.23	926.74	1383.0	1316.24	1251.83	538.76	1724.33	878.33	1917.82	724.01	1000.74	1740.57	1346.22	1202.67	1275.46	1233.97	1769.21	841.9	817.77	825.05	807.27	1277.26	1535.36	1815.89	1408.27	1665.81	1541.16	1731.8	1644.5	1698.2	1628.71	1974.07	1368.74	1237.21	1344.6	1295.74	1797.97	1759.25	1472.89	1914.29	760.46	1681.17	1432.88	894.38	1830.01	1749.01	1327.89	3516.69	0.0	0.0	0.43	0.0	2070.85	1584.75
Rdh9	0.0	1.12	3.72	0.17	0.0	0.0	9.83	0.92	3.19	7.1	0.0	0.0	0.0	1.07	7.88	2.64	0.23	0.0	8.87	4.39	2.08	0.65	6.01	2.65	1.14	13.33	2.42	17.98	9.56	7.73	7.31	0.28	1.17	3.22	10.13	4.72	0.43	4.94	2.35	3.46	7.8	4.21	6.5	0.31	1.12	0.0	3.89	8.32	11.52	21.23	9.81	5.42	10.36	6.2	6.8	5.8	0.0	11.44	5.42	0.51	2.03	3.6	3.9	2.57	0.0	11.27	6.88	6.1	13.43	6.12	6.46	1.56	8.29	7.82	0.68	2.77	9.44	3.84	3.52	3.91	4.82	12.97	3.53	5.25	4.31	12.19	6.29	0.0	0.24	0.14	77.12	3.7	9.81
Rian	0.0	142.28	11.5	0.0	0.0	0.0	96.96	57.21	30.21	66.19	0.0	0.07	0.0	35.09	206.48	46.76	0.0	0.0	0.0	52.93	60.88	33.98	57.74	64.79	58.43	65.3	51.05	66.68	58.92	79.74	98.89	56.67	68.3	129.14	3.43	98.35	54.51	132.04	67.14	25.5	11.89	73.93	89.98	86.11	67.55	97.41	148.27	66.1	63.92	163.6	56.29	32.5	48.97	10.22	45.4	61.88	109.47	95.55	61.62	40.71	44.47	17.5	38.36	54.37	29.35	53.22	40.98	106.79	17.21	67.85	45.64	50.14	30.73	51.58	44.39	30.47	114.59	56.26	27.95	17.33	7.16	93.67	163.28	70.95	75.21	56.06	72.66	0.0	0.15	0.44	0.0	45.14	63.86
Scn1a	0.0	151.79	90.66	0.0	0.0	0.0	164.69	221.45	317.03	174.37	156.49	0.0	0.0	163.61	165.44	211.06	0.0	0.0	0.23	224.39	267.02	239.85	238.43	242.13	97.3	202.33	176.15	227.08	254.04	366.22	313.67	101.93	293.52	196.38	219.78	337.27	113.69	240.23	217.68	194.2	243.42	254.6	307.26	200.69	148.11	168.6	355.86	235.49	189.14	283.85	309.48	172.76	263.44	141.06	247.59	181.34	183.9	210.01	243.22	152.68	191.99	292.98	195.71	228.51	242.89	168.68	151.99	247.48	130.34	266.57	144.03	201.78	224.26	191.92	154.67	240.36	147.16	201.02	135.64	174.14	261.02	266.67	244.13	189.91	264.17	196.03	221.77	0.21	0.45	0.22	0.0	212.81	223.47
Scn8a	3.32	8.92	32.03	0.0	0.0	0.0	85.11	62.17	20.57	31.96	0.0	0.02	0.0	33.74	69.79	27.19	0.04	0.0	0.11	60.36	56.0	37.8	24.16	49.68	76.27	32.22	47.58	45.92	79.76	107.62	96.35	20.23	99.5	115.41	63.94	60.77	42.02	76.4	46.92	73.98	33.42	66.85	103.08	13.92	39.53	28.69	33.4	97.65	44.98	47.76	68.89	108.22	70.42	56.0	106.67	48.67	64.95	115.71	56.71	68.66	62.0	92.64	69.2	65.33	42.13	93.13	74.65	65.81	88.97	52.44	40.27	46.6	34.15	65.37	11.47	52.31	33.3	81.6	57.61	58.06	88.43	111.86	66.47	64.08	121.49	62.12	81.71	0.19	0.15	1.33	0.0	77.39	30.13
Setd3	0.0	0.0	0.0	0.0	0.0	0.0	121.93	172.69	32.25	0.0	0.0	0.0	0.0	38.61	1.74	58.03	0.06	0.93	0.0	79.18	0.0	41.3	30.17	6.14	3.39	110.81	36.92	31.19	134.56	39.08	61.58	0.0	0.58	10.35	43.67	32.92	6.32	33.98	77.89	40.15	0.0	22.51	50.04	9.63	0.0	54.36	25.66	23.71	0.0	185.17	44.68	37.4	29.14	34.9	32.01	70.96	58.79	80.95	31.76	205.66	40.9	29.32	29.39	13.36	92.0	11.37	3.15	36.23	59.38	11.93	69.04	9.91	41.54	67.37	4.55	0.0	21.88	61.39	56.74	47.45	5.78	104.29	121.39	24.35	25.11	0.25	75.37	0.0	0.3	0.14	0.0	68.76	14.67
Slc24a2	0.0	176.59	78.59	0.0	0.0	0.0	331.39	178.3	210.82	420.49	0.38	0.0	0.0	115.5	100.09	155.95	0.0	120.93	0.28	172.15	150.96	170.46	264.55	154.79	263.46	291.85	226.55	233.37	205.99	316.71	283.84	85.06	257.24	244.33	130.81	203.59	172.67	291.39	199.02	247.58	172.66	266.29	283.6	307.31	131.39	223.98	303.47	284.0	162.87	249.74	341.43	109.47	159.47	229.87	299.9	304.97	190.12	185.76	151.31	171.31	127.86	244.07	202.85	214.57	132.42	218.99	191.88	314.41	226.68	226.75	170.1	140.04	227.92	167.65	161.6	176.2	200.53	237.91	247.62	168.29	190.94	230.67	330.08	356.83	263.01	345.73	269.92	0.2	0.31	0.48	0.0	204.05	313.01
Sntg1	0.0	0.0	0.06	0.0	0.0	0.0	19.21	98.96	5.57	0.22	0.0	0.0	0.0	45.71	33.13	64.23	0.0	0.0	0.0	81.52	11.28	61.81	11.99	36.82	46.69	56.9	0.58	38.05	7.09	98.91	72.26	0.0	48.62	74.22	23.37	28.08	40.08	57.56	52.68	35.71	96.07	30.41	17.83	59.57	0.0	45.22	0.0	42.94	0.0	129.91	14.47	21.33	98.83	0.29	3.37	54.28	8.6	75.38	8.91	0.0	0.0	13.75	17.43	6.58	32.53	8.12	77.26	62.14	33.6	40.24	16.49	23.27	9.13	45.05	0.0	38.25	7.06	2.45	4.51	95.49	49.18	95.69	0.17	18.3	11.1	58.96	38.42	0.08	0.0	0.26	0.0	43.43	4.31
Stau1	0.0	0.0	0.0	0.0	0.0	0.0	6.39	61.21	0.19	0.0	32.63	0.0	0.0	24.63	0.71	41.22	0.0	0.17	0.0	44.84	36.28	30.63	10.6	8.76	23.47	44.51	23.72	87.04	0.56	26.07	71.7	0.0	20.67	48.32	15.7	0.0	52.42	2.69	43.56	0.37	26.87	26.46	23.79	0.0	22.44	35.23	23.8	9.21	4.0	113.57	40.09	0.27	38.0	0.0	3.52	22.59	80.39	0.0	0.0	0.0	19.99	48.68	18.12	2.52	34.69	0.0	7.69	43.46	63.82	38.41	0.0	59.1	16.45	45.4	0.91	60.42	68.96	11.27	14.25	25.58	6.97	15.12	19.41	0.51	39.15	20.44	27.04	0.0	0.0	0.37	0.23	11.65	0.0
Tex264	0.0	0.2	0.0	0.0	150.06	0.0	0.0	47.78	43.45	0.0	0.0	0.0	0.33	34.63	0.3	50.86	0.0	0.0	0.85	3.8	159.86	81.76	62.42	52.57	68.11	31.34	104.81	73.84	140.38	130.64	97.97	162.03	27.06	87.88	62.24	122.86	45.02	116.54	50.83	40.58	39.56	147.94	48.48	72.64	7.79	93.66	0.0	30.35	48.03	204.55	0.0	102.78	89.28	62.28	52.34	59.38	148.93	0.0	164.24	0.0	154.87	6.56	56.62	80.2	42.33	0.0	61.87	55.03	69.75	145.78	184.48	57.8	256.85	131.81	58.84	91.32	86.38	103.95	120.01	53.64	50.63	68.6	2.61	105.43	3.3	15.18	20.79	0.0	0.59	0.0	0.0	135.41	0.0
Tomm40l	0.0	81.89	0.08	0.0	0.0	0.0	0.43	2.85	75.81	0.0	0.0	0.0	0.0	49.9	1.89	33.37	1.52	0.0	0.2	64.26	83.17	12.01	21.56	68.4	51.9	75.82	23.77	91.49	52.6	0.22	80.64	0.0	69.17	21.34	44.32	48.71	87.92	74.27	59.04	51.79	63.04	70.92	41.25	277.02	101.63	53.8	17.34	110.84	8.57	211.57	71.9	37.21	0.36	6.38	103.7	70.74	97.42	75.17	119.18	0.66	0.12	80.14	55.51	23.27	148.14	0.38	33.53	79.36	72.49	19.15	82.21	127.6	112.31	39.35	5.72	68.73	0.42	0.0	25.5	57.7	0.55	0.14	0.75	88.96	51.26	113.72	33.46	0.48	0.0	0.13	0.0	26.52	5.67
Trerf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	2.67	0.0	0.0	0.0	0.0	1.56	0.0	0.0	0.0	0.65	0.39	5.15	0.0	0.0	0.16	0.17	7.08	0.56	2.26	3.99	4.94	1.75	1.72	2.72	2.25	0.0	11.17	0.13	7.12	0.0	2.41	3.87	0.65	3.88	22.49	11.46	0.0	0.0	2.62	0.0	39.0	2.52	3.08	0.0	2.63	0.0	0.0	2.93	0.26	17.78	0.0	0.0	2.89	0.0	0.89	5.51	0.24	1.78	1.43	0.0	0.0	5.0	0.1	0.0	4.57	2.35	0.1	0.0	0.38	13.9	2.21	8.67	0.0	0.96	0.0	13.04	19.62	1.38	0.0	0.0	0.08	0.0	0.18	3.63
Uba1	0.0	150.29	121.53	1.04	0.15	0.0	197.18	103.93	45.05	0.07	0.24	1.97	0.0	40.07	90.3	66.63	0.17	0.0	1.27	123.17	51.65	13.65	88.02	117.29	152.53	111.74	81.78	91.16	18.23	91.63	110.65	143.94	82.42	149.04	86.29	77.7	71.32	111.64	89.33	13.69	76.08	91.41	52.95	85.5	75.29	150.63	51.85	14.9	75.3	270.59	91.83	224.9	159.1	35.41	1.29	105.29	154.5	147.19	104.12	87.99	29.8	89.18	117.01	33.16	116.07	94.6	13.32	58.07	165.99	89.83	160.78	1.07	43.72	105.25	40.8	56.47	217.74	97.54	49.42	62.77	64.18	78.43	72.86	48.07	47.81	181.96	72.51	30.84	765.83	44.98	240.65	163.7	229.33
Unc80	0.0	65.21	4.11	0.0	0.0	0.0	2.9	57.21	24.39	50.87	0.0	0.0	0.0	18.67	0.37	26.48	0.0	0.0	0.17	26.47	28.41	12.71	31.63	19.46	34.53	5.72	16.7	27.03	43.25	39.1	23.4	33.32	13.54	32.57	3.14	17.23	16.61	25.75	31.64	31.18	38.85	39.46	56.57	52.22	1.37	14.79	19.44	10.21	11.49	34.45	17.14	21.35	28.22	11.43	22.24	20.37	9.46	1.11	32.38	32.92	44.61	26.44	38.38	36.45	39.94	16.28	22.86	38.83	17.44	9.59	23.19	27.12	44.28	7.29	15.24	6.71	27.52	24.65	11.05	7.36	29.44	28.85	36.39	37.77	65.2	27.28	39.04	9.72	0.09	0.08	0.0	19.52	10.38
