	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_30	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Rbp4_tdTpositive_cell_174	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80
1700021F05Rik	0.0	171.13	168.77	122.43	347.97	243.77	0.0	0.0	0.0	30.43	51.96	129.13	103.77	139.68	26.63	43.86	69.85	119.11	59.83	87.39	0.0	174.88	127.09	63.36	31.66	8.02	50.34	0.0	5.55	105.83	112.24	101.73	199.98	0.0
2410006H16Rik	77.6	200.36	203.62	409.8	292.26	678.55	0.0	0.0	0.0	203.26	168.59	113.44	56.38	115.73	65.47	112.94	66.33	157.23	41.63	140.82	238.66	178.82	93.18	178.71	28.38	0.0	31.2	0.0	69.44	68.21	97.79	55.25	196.63	90.1
2900010M23Rik	387.37	323.25	330.39	925.76	894.69	1171.15	0.0	0.0	0.0	295.32	213.49	133.42	368.07	443.0	199.18	208.88	278.89	443.34	453.8	182.14	195.17	450.04	235.07	335.95	363.85	257.82	291.27	448.68	79.78	491.37	446.22	307.32	523.92	302.64
Aip	130.73	218.58	134.17	320.21	180.83	781.79	0.0	0.0	0.7	236.25	0.36	26.6	90.26	135.76	61.5	263.47	0.0	162.59	158.33	341.6	360.81	112.03	141.26	240.7	332.92	110.53	42.92	0.0	0.0	185.79	3.3	277.07	138.09	155.26
Akap2	2.47	19.51	23.34	0.74	22.49	13.34	0.0	0.0	0.0	0.17	15.58	24.0	0.42	0.0	1.51	16.75	0.29	0.0	3.78	6.77	11.14	1.1	1.39	0.83	0.53	1.34	0.0	0.0	6.93	9.77	8.97	1.59	2.48	31.62
Atp5e	540.99	477.61	978.45	922.18	515.83	747.27	0.0	0.0	0.0	318.07	365.08	366.69	243.32	281.31	468.78	331.21	425.46	333.55	458.26	246.53	451.09	365.62	446.42	394.64	359.07	412.4	407.53	554.9	170.29	353.02	341.53	292.75	575.19	481.72
Atp5h	1331.6	1568.99	2267.14	2345.01	1915.7	1620.66	0.0	513.96	1597.0	750.03	1374.8	1300.41	965.18	832.64	919.56	1298.34	1448.11	1597.06	967.45	1165.33	1561.91	1404.9	1447.3	1410.29	1239.93	970.16	1062.6	515.67	72.32	1312.13	1296.69	1201.04	1778.81	1138.91
Atp5j2	709.14	684.95	1821.42	1484.7	1445.28	1468.29	0.0	307.95	0.0	396.1	597.15	758.1	528.08	688.84	643.22	830.23	516.58	593.9	746.23	930.02	1371.44	709.54	822.31	509.85	891.67	655.64	465.26	633.12	5.57	639.65	969.48	692.35	832.89	911.27
Atp5l	1829.82	827.72	1748.24	2457.93	3856.07	1697.38	728.78	0.0	0.99	921.22	1180.84	1120.52	808.23	1041.25	1010.39	803.05	1055.07	1019.92	1046.07	793.4	1162.91	882.74	1532.07	1300.55	862.34	1173.24	862.83	425.97	100.17	1320.08	1270.45	1147.74	1288.59	1131.04
Atp6v1f	907.92	784.05	1177.03	1193.49	2708.01	1851.34	0.0	824.92	0.0	774.27	893.87	478.8	543.78	563.54	607.93	556.6	695.14	898.66	812.91	558.08	1336.31	816.86	927.85	1197.22	1200.43	1132.51	594.41	0.0	466.66	648.42	1060.53	1159.8	1053.45	819.87
