	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
1810027O10Rik	231.4	95.96	405.37	461.78	251.24	312.21	240.04	105.5	147.4	309.21	271.15	401.16	481.37	402.14	362.06	330.02	473.4	363.98	848.48	255.35	182.45	268.15
2010107E04Rik	1094.33	276.95	1703.11	2208.21	1274.49	1242.57	1527.79	1303.95	1948.71	1611.23	2783.67	2682.73	3186.93	1502.81	2276.35	2324.04	1576.66	2260.71	2999.48	1929.35	1869.65	1462.19
2310016M24Rik	260.81	179.37	529.94	298.03	601.66	396.37	442.97	295.52	659.87	613.3	675.25	1026.33	512.75	531.31	930.07	656.87	349.69	688.74	512.3	997.24	600.53	498.71
Arl3	225.47	0.0	239.72	362.24	102.29	70.94	322.46	167.06	104.99	148.81	264.12	310.14	47.79	132.28	566.76	144.92	282.66	142.85	232.22	271.92	240.76	168.01
Atp5e	626.63	752.6	845.24	975.63	515.4	841.13	653.06	486.14	847.25	758.78	1198.07	1748.01	1962.12	809.27	1785.14	1156.48	1085.82	1325.13	1488.93	838.69	953.33	902.07
Atp5f1	1763.95	857.81	2204.17	2376.25	2657.58	2079.65	2136.66	1751.03	1904.44	3325.77	1489.8	2093.72	2189.42	1998.8	3050.93	2214.25	1628.46	2442.47	2431.18	2519.73	2241.74	1956.25
Atp5g1	828.36	688.03	1992.15	2091.77	1601.3	1700.95	1465.69	1840.78	1403.83	2099.39	2500.85	3581.27	2818.55	2030.82	2629.55	2178.73	1453.13	2473.46	1698.39	2232.53	1896.69	1830.18
Atp5j	1673.51	1442.15	3456.02	3234.76	1569.45	2170.57	1785.65	2047.83	1822.87	2447.03	2279.53	3766.1	2682.67	2067.64	3079.37	2924.6	2298.14	1951.79	3212.21	1511.07	2171.72	1465.1
Atp5j2	842.44	1139.63	1862.4	1421.62	1156.89	1070.28	1043.09	1300.18	880.57	1752.79	1853.26	3168.02	2406.75	1732.7	3002.0	2226.34	1578.55	1981.17	2277.72	1463.22	1065.26	1203.87
Atp5k	809.6	620.59	1025.39	1629.29	1010.55	905.52	1009.4	1408.12	1213.56	1763.14	2025.03	2483.37	1756.14	1264.84	1755.86	2138.64	1402.22	1647.69	2716.74	1057.44	1466.67	1016.07
Atp5l	1155.95	1272.65	2170.11	2118.13	1233.64	1835.56	1575.48	1418.59	1369.01	1583.2	1682.08	2360.76	2588.6	1771.85	2128.52	2837.41	1511.15	2013.4	3236.32	1578.02	1759.35	1588.58
BC030500	29.08	0.0	17.8	25.39	12.0	1.72	28.75	2.59	17.46	5.19	49.92	117.59	207.03	15.76	66.58	128.2	19.85	38.82	32.45	75.05	92.32	48.33
Cox17	213.4	101.27	348.67	416.49	118.85	391.66	388.64	238.1	277.84	523.92	345.82	1036.54	322.33	438.11	1076.78	589.19	431.17	446.36	863.17	310.7	451.25	290.0
Cox6b1	1514.83	896.32	3153.71	2214.68	1873.52	1945.05	2000.28	2042.69	2408.22	2988.03	2912.63	4377.17	4369.31	2657.25	4540.71	3737.19	2181.81	2696.62	2912.89	2537.92	2643.84	2442.17
Cox6c	2035.86	1280.07	3269.88	2817.45	1635.76	2287.93	2564.36	1810.2	2158.97	3041.6	3040.22	4905.87	4674.98	2267.17	3704.39	3791.82	2551.7	2863.07	4155.91	2503.83	2279.17	2651.12
Cox7a2	830.01	481.93	1667.99	1430.66	987.69	1273.51	1187.45	932.87	1089.05	1090.04	1371.58	1857.99	2522.85	1216.21	1825.17	1802.2	1267.78	1523.61	2381.58	1536.62	1251.52	1325.59
Cox7b	1241.27	601.06	1782.69	942.05	704.77	1009.79	1025.46	1300.28	1103.48	1136.45	1425.72	1568.52	1869.19	1472.03	1628.67	1559.23	920.42	1207.69	2020.05	1224.97	1280.95	1273.55
Cox7c	1432.64	1011.57	2575.77	3024.12	1535.13	1611.42	2067.49	2603.25	1921.59	2214.6	1915.71	3205.96	3464.17	2514.68	3549.32	3407.46	1944.78	2375.93	3956.54	2861.74	1878.81	1986.95
Cycs	1511.44	1056.1	1963.67	2029.25	1875.82	1745.49	2101.96	1449.18	1363.27	1108.41	1809.28	2042.63	1655.59	1794.01	1946.44	1868.93	1424.8	1444.41	2181.87	1639.08	1801.77	1358.87
Fkbp3	1121.16	472.45	2693.29	2148.47	1622.46	1656.72	1178.59	1541.8	1224.61	1334.16	1366.64	1778.93	2470.7	1168.66	1941.72	2047.33	1739.29	1725.21	2237.71	961.18	1980.37	1418.82
Ldhb	7692.96	8204.16	10118.08	10894.4	9220.91	9343.6	10165.1	11261.44	10004.69	8757.21	13571.31	6113.3	5750.93	12546.17	5887.51	6645.35	9755.78	8904.1	7282.37	11010.48	10182.84	11746.38
Mrpl53	36.09	189.26	147.78	419.95	221.74	275.22	60.98	72.0	124.02	76.73	167.84	537.77	296.16	228.76	265.79	357.82	481.1	267.79	365.81	157.53	233.59	124.52
Mrps21	540.03	32.76	716.41	1089.46	632.54	502.94	737.61	695.4	566.5	372.36	638.4	946.87	1400.0	576.0	746.21	613.85	262.1	598.37	431.7	652.93	573.55	789.39
Mrps36	519.01	523.37	434.45	899.25	398.68	721.41	383.95	537.03	302.25	538.29	582.83	891.61	1104.06	403.32	549.82	351.97	600.01	669.37	314.65	141.8	681.82	573.66
Ndufa1	865.78	107.42	2178.41	2098.77	902.44	1456.38	1338.79	1444.04	1025.56	1550.01	1546.96	3141.24	2772.2	1491.0	2104.24	2191.48	1121.81	1170.24	1403.82	1749.35	1197.83	1167.06
Ndufa11	271.67	149.27	428.32	421.63	230.16	358.7	261.42	258.58	344.58	392.28	493.23	595.36	730.77	402.72	596.04	475.65	369.86	515.6	470.12	403.18	282.37	337.35
Ndufa12	1066.5	870.56	2152.61	1279.21	1605.12	1569.16	1134.13	1062.52	939.41	2155.07	1534.38	2174.9	1721.14	1799.32	1029.58	1694.97	1146.0	1490.2	1317.13	1309.39	1847.11	1441.55
Ndufa13	378.81	446.87	985.33	878.84	498.86	431.24	344.77	444.19	589.97	683.99	582.69	635.36	507.61	653.95	734.25	548.06	772.14	733.27	631.26	487.72	516.19	571.64
Ndufa2	361.4	595.22	1023.24	1194.08	549.01	479.72	437.8	642.33	699.17	846.54	716.72	1530.66	1450.85	583.03	1730.81	1253.04	673.33	447.79	1068.18	721.35	833.27	573.04
Ndufa5	656.6	798.05	1561.42	1704.48	828.89	996.2	951.19	729.88	983.58	1274.63	1080.06	2340.97	2377.69	1032.27	1001.95	1586.71	588.01	1234.95	1923.77	1346.64	1033.04	945.99
