	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_68	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Ctgf_tdTpositive_cell_22	Ctgf_tdTpositive_cell_23	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_71	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_31	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_34	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_33	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010107G23Rik	0.0	0.0	0.0	0.0	0.0	40.5	24.65	18.18	0.0	13.4	0.97	5.07	0.0	0.0	0.0	0.0	105.35	0.27	0.37	0.0	0.08	0.0	0.19	57.85	3.27	80.01	13.68	0.09	0.62	42.44	0.21	0.0	22.87	0.0	119.12	0.19	0.27	0.0	0.16	0.0	61.91	0.26	0.0	0.0	0.0	7.04	0.26	0.0	0.21	17.26	0.0	0.45	0.0	0.0	0.0	0.63	0.23	0.0	17.9	0.0	18.88	16.75	14.81	0.0	4.56	14.12	0.0	0.56	48.03	0.0	0.0	0.0	0.0	0.0	0.41	23.23	26.26	0.0	8.96	0.0	15.47	15.31	7.12	9.55	9.23	10.27	12.19	26.6	7.16	11.28	5.31	0.36	16.72	1.66	23.81	6.77	0.0	29.42	0.0	25.65	0.71	0.0	0.21	26.49	31.34	26.69
3010001F23Rik	0.0	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.1	11.34	6.09	0.0	0.0	0.0	0.0	0.0	0.0	67.59	0.0	0.0	0.0	0.0	0.0	70.72	28.43	0.0	0.0	0.0	0.0	0.0	0.98	0.0	85.89	0.0	0.33	0.0	0.0	0.0	13.65	0.0	0.21	0.0	0.0	0.0	0.0	14.35	23.07	0.0	0.0	26.82	0.38	0.0	0.0	0.0	0.43	0.0	0.0	3.64	0.0	0.17	13.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	7.78	0.0	11.98	7.33	10.47	0.0	16.08	5.42	2.15	5.38	2.48	4.18	81.58	0.0	0.0	0.0	16.22	0.0	0.0	0.0	28.82	0.0	0.0	0.0	5.16	3.44	3.25
3110007F17Rik	2.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.56	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.88	0.0	21.85	0.0	0.0	0.38	0.0	2.94	14.41	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.51	0.41	1.52	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	3.84	3.87
3110009E18Rik	0.0	0.0	0.0	0.0	0.0	16.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.58	0.0	35.24	77.63	0.0	21.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.94	0.0	0.0	0.0	36.97	0.0	0.0	97.65	48.84	167.04	0.0	0.0	76.07	0.0	0.0	0.0	0.0	0.0	0.0	58.75	9.21	0.0	0.0	0.0	0.0	19.88	79.13	0.0	0.0	9.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.31	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.75	21.3	6.81	0.0	13.03	0.0	14.88	21.94	8.02	12.21	9.59	4.85	8.89	0.0	0.0	29.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	4.0	2.76
3830431G21Rik	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	81.04	0.0	0.18	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.08	0.11	0.11	0.0	0.0	0.0	0.06	0.21	0.0	0.0	0.21	0.0	0.01	0.0	0.0	0.18	0.12	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.06	0.38	0.0	0.0	0.0	0.0	0.0	0.01	0.22	0.19	0.0	0.15	0.0	0.13	0.14	0.39	0.46	0.0	0.0	0.47	0.0	0.0	0.0	0.1	0.0	0.0	0.0	4.95	0.0	0.0	0.0	0.0	0.06	0.0	0.76	1.07	1.86	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.34	0.12	0.0	1.9	1.88	2.57
4833420G17Rik	100.28	4.46	0.0	0.0	117.16	19.83	46.64	54.83	78.96	84.95	4.33	15.17	317.51	21.97	119.33	42.56	335.2	35.92	140.85	3.22	7.26	1.54	73.65	163.97	201.31	98.23	160.95	17.19	64.88	94.32	11.29	27.68	52.67	0.32	5.11	18.97	214.03	27.89	7.27	168.15	166.54	105.18	84.07	50.43	54.63	102.23	104.43	12.83	112.62	69.66	45.22	90.44	123.12	4.27	39.61	101.15	85.22	28.11	6.96	43.45	78.25	200.77	102.67	96.54	5.45	132.25	64.46	240.11	8.08	45.92	118.38	6.34	10.17	18.06	0.0	99.56	2.13	13.14	102.38	60.94	119.15	86.15	84.43	117.68	119.78	93.64	93.64	56.13	104.96	78.72	76.81	15.58	7.96	6.13	67.94	126.05	59.06	51.75	41.58	17.69	24.13	5.67	118.03	39.69	38.72	34.84
4930483K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	0.0	0.25	6.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	1.28	1.56
4930593A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.45
5430405H02Rik	4.62	39.87	2.09	0.8	14.36	8.12	6.56	25.01	9.39	5.02	86.4	10.12	26.15	3.89	10.15	8.11	135.8	4.03	6.44	117.9	20.18	4.69	14.28	18.36	5.66	21.57	11.07	16.49	3.63	16.42	5.9	11.05	13.2	1.41	2.22	4.93	2.95	19.07	2.63	3.23	5.59	138.47	2.86	8.24	5.26	14.35	10.42	11.49	8.64	21.95	4.93	2.44	7.02	8.41	2.06	6.0	5.61	0.0	20.72	13.65	1.04	7.14	9.97	64.42	2.77	12.48	12.62	5.42	16.07	23.23	22.17	31.19	16.17	17.78	19.34	18.92	11.0	20.06	19.7	15.31	30.84	15.03	10.17	8.14	32.0	32.77	23.01	23.63	20.76	16.82	22.69	34.39	4.32	4.32	19.68	6.03	2.8	7.84	2.94	6.27	27.89	2.01	3.81	9.49	9.85	9.05
A630066F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	133.66	0.31	0.0	0.0	112.01	0.0	0.0	0.0	0.26	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.87	0.0	0.0	0.0	0.0	0.49	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.21	72.4	0.0	0.0	0.25	0.0	0.0	0.0	2.07	0.0	1.29	0.0	0.0	0.0	0.29	0.0	0.0	0.83	0.0	8.71	1.06	11.36	0.16	2.2	5.65	5.14	0.0	0.0	0.0	0.0	0.0	0.0	56.75	0.0	0.0	178.35	0.4	0.0	2.8	2.02	2.89
