	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22
1700021F05Rik	0.0	0.0	0.0	0.0	77.17	0.0	113.42	0.0	0.0	0.0	0.0	0.0	120.87	91.78	71.04	114.3	71.65	259.18	77.26	37.98	255.72	5.77	5.55	0.0	8.27	0.0
2700089E24Rik	0.16	76.6	0.0	189.91	278.04	99.98	234.08	174.2	254.58	0.0	28.84	35.69	297.62	236.28	351.49	329.99	329.22	369.98	294.79	827.48	119.09	250.11	1.43	143.31	0.07	0.0
Acn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.22	0.0	0.0	0.0	0.0	0.0	16.63	133.77	247.59	54.58	163.67	443.72	566.97	387.33	102.12	0.0	0.0	0.0	0.0
Adamts15	0.0	0.21	0.08	0.0	0.19	0.0	0.03	0.0	0.07	0.0	0.29	0.18	0.08	5.64	0.06	21.29	6.23	62.93	0.8	4.67	3.41	0.28	0.08	0.0	0.0	0.0
Aldh5a1	0.0	0.0	0.0	0.0	76.29	0.03	35.72	0.05	3.91	0.0	0.0	0.18	12.28	4.71	4.14	27.0	33.54	0.24	12.48	44.17	33.77	11.38	0.18	0.0	0.0	0.0
Ankrd29	0.0	0.0	0.0	0.0	0.0	0.1	0.91	0.1	0.33	0.0	0.0	0.0	60.41	13.48	32.06	84.38	126.0	44.88	4.79	111.4	48.54	133.13	0.0	0.0	0.06	0.0
Ankrd34b	0.0	0.0	0.0	0.0	20.2	0.0	82.19	0.08	0.0	0.0	0.0	0.0	0.96	13.0	9.32	20.64	15.62	5.85	0.07	108.61	1.83	37.18	0.0	0.0	0.05	0.0
Arl4c	0.0	0.0	0.0	0.0	8.66	0.0	12.25	0.0	0.91	0.0	0.0	322.93	0.24	14.01	0.0	7.37	66.82	55.91	37.3	11.65	9.44	29.55	0.0	0.0	0.0	0.0
Ciapin1	0.0	0.0	0.1	33.85	0.27	0.11	0.35	1.11	6.78	0.0	0.1	58.28	25.11	15.35	0.0	57.52	50.93	72.44	42.21	45.3	0.04	37.06	3.14	0.0	0.04	0.14
Cox15	0.42	0.04	0.0	14.03	0.0	0.05	0.0	7.7	0.0	0.12	0.0	2.08	14.04	15.66	9.07	12.3	14.19	42.32	0.39	1.93	0.08	0.88	2.6	0.39	0.22	0.0
Cox6a2	0.0	0.0	0.0	0.0	272.67	0.0	194.78	0.0	0.0	0.0	0.0	0.0	144.21	35.83	215.1	242.79	351.01	977.42	1400.2	1638.0	377.34	684.64	0.0	0.0	0.0	0.0
Dnajc12	0.0	0.0	0.0	114.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	66.88	13.0	0.0	28.21	140.57	0.41	2.6	0.0	0.15	0.46	0.0	0.22	0.0	0.0
Fam134b	0.0	0.0	0.0	0.0	13.85	0.05	62.34	107.58	1.01	0.0	0.0	0.0	22.42	35.39	25.1	13.62	108.86	204.85	189.79	4.05	198.21	60.71	0.0	4.15	0.0	58.81
Gm561	72.73	1.04	0.83	116.14	180.71	409.74	65.16	0.0	0.0	0.0	0.0	0.0	53.28	82.67	467.18	255.73	141.83	109.79	353.12	283.82	171.2	64.06	8.72	0.0	0.44	0.0
Iqgap2	0.0	0.0	0.0	0.0	4.05	0.0	18.27	1.71	0.4	0.0	0.0	0.18	0.49	6.64	0.6	27.14	28.84	0.35	63.35	0.18	0.05	17.75	12.87	0.0	0.0	0.0
Kcns3	0.0	0.0	0.0	0.0	1.0	0.0	43.32	0.0	0.0	0.0	0.0	0.0	42.48	39.86	0.49	103.23	7.71	0.32	1.39	33.91	0.06	158.46	0.0	0.0	0.0	0.0
Mme	0.0	0.0	0.0	36.89	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	32.6	0.62	0.08	40.81	8.55	8.1	40.32	3.61	0.0	53.91	0.0	0.0	0.0	0.0
Mrpl12	0.0	0.0	0.0	0.0	181.4	0.0	15.74	0.0	1.61	0.0	0.0	1106.27	85.22	142.65	0.39	324.9	278.34	294.66	1.41	70.5	155.61	86.11	6.22	0.0	0.2	0.0
Nek7	0.46	99.13	34.89	25.31	16.14	13.49	26.14	0.18	0.24	0.0	59.41	0.56	122.56	52.03	273.46	150.92	152.27	36.71	68.54	164.03	114.97	21.28	2.36	0.07	0.39	0.22
Nudt19	0.0	0.0	0.0	0.0	87.11	0.0	12.45	0.0	23.45	0.0	0.0	0.0	28.77	40.46	9.12	47.81	21.54	0.48	11.68	121.16	132.51	5.48	0.0	0.0	0.1	0.0
Pde5a	0.14	0.4	9.18	0.68	0.36	0.06	7.08	0.06	0.55	0.36	2.03	2.84	7.42	8.8	47.45	88.69	23.25	0.47	3.02	33.59	0.31	16.36	1.03	0.31	0.13	1.18
Ppargc1a	0.06	0.0	0.0	16.49	0.17	0.04	9.91	0.25	0.77	0.0	0.0	0.57	15.08	36.01	35.48	46.15	40.06	106.79	74.27	17.65	54.33	70.07	0.19	0.19	0.0	0.0
Scn1a	0.0	0.0	0.0	43.33	44.68	0.0	72.53	112.18	4.14	0.0	0.0	1.63	48.91	103.63	141.43	150.84	133.35	138.26	43.63	212.34	107.28	119.89	145.18	0.0	0.02	0.0
Slc32a1	0.0	0.0	0.0	0.49	1.03	0.0	3.52	0.0	0.0	0.0	0.0	0.0	7.81	1.41	2.89	4.55	21.2	34.39	35.37	51.31	11.02	16.64	0.0	0.0	0.0	0.0
Slc4a4	0.0	0.0	0.0	1.33	24.54	0.0	0.07	3.89	33.94	0.0	0.0	100.36	16.03	10.58	25.52	11.16	14.08	24.71	0.08	17.9	74.41	10.45	0.0	0.0	0.0	0.0
Tmem65	0.0	0.0	0.13	0.0	75.4	0.09	1.35	2.29	0.18	0.0	0.0	1.15	46.07	28.18	51.04	77.0	42.01	118.9	154.41	103.33	29.39	17.11	0.0	0.0	0.05	0.0
Tnfrsf12a	0.0	0.0	0.0	2.82	0.0	351.92	0.0	0.0	0.0	0.0	0.0	2.57	0.0	46.2	49.83	48.99	216.27	390.45	244.96	2.49	177.38	139.14	0.0	0.0	0.0	0.0
Trnp1	0.0	0.0	0.0	0.0	0.0	0.0	30.6	3.05	61.47	0.0	0.0	0.0	21.67	13.23	1.63	0.0	42.79	183.51	0.44	134.26	3.41	64.1	0.0	0.0	0.0	0.0
Vamp1	0.0	0.0	0.0	41.62	0.0	0.06	17.47	23.04	0.0	0.0	0.0	0.0	4.35	28.88	10.68	10.85	55.98	134.89	73.41	89.26	56.52	59.22	0.0	0.0	0.0	0.0
mt_AF378830	27828.21	20589.52	27813.49	21159.16	52908.5	39259.72	41474.39	28070.96	55289.36	19204.33	13288.78	38878.51	46877.17	24786.78	51765.19	35741.21	38697.02	38916.35	37131.88	39549.63	34575.75	36514.83	30625.22	23800.22	18509.75	31935.37
mt_AJ409495	86.77	1060.03	718.55	2062.52	4236.72	3608.1	1493.86	1577.08	3062.57	210.7	665.32	1918.51	4138.35	3208.81	3523.31	3443.04	4109.97	1978.26	647.93	1257.03	1384.79	1051.98	4648.61	454.09	450.74	89.05
mt_AK131577	2188.6	2463.02	3952.67	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	1236.76	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	2736.29	2345.3	4291.04
mt_AK131578	1659.89	5300.91	6121.79	7430.57	16762.8	8513.15	12153.04	11422.04	21769.91	2884.71	1626.59	8062.39	13770.07	7051.05	13856.24	10103.99	12030.5	10380.84	11314.08	11470.13	11734.83	8923.7	20767.68	2857.57	4927.47	6185.23
mt_AK131579	30179.68	29492.22	29741.06	31227.24	73067.83	55281.42	56311.06	40069.68	94403.3	29552.38	12787.69	50469.69	60705.47	30389.16	56120.42	45312.1	46620.23	59803.41	36756.3	51796.42	39836.88	44271.34	50260.41	29540.1	19040.94	29300.66
mt_AK131587	556.85	858.0	844.72	1044.95	3019.3	1588.56	1637.67	1275.69	2697.07	416.49	565.29	882.4	2155.32	949.31	2411.97	1628.72	1401.06	1953.11	1613.66	1363.31	1138.01	1343.89	1707.02	625.89	689.17	648.71
