	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_14	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
4933439F18Rik	28.37	40.45	25.27	17.79	24.72	64.98	60.75	78.88	61.77	112.62	39.54	91.46	44.24	23.43	1.1	0.33	41.98	158.34	37.3	78.42	88.99	22.75	0.0	46.46	2.56	53.36	10.52	27.88	0.14	1.12	26.69	1.15	10.7	27.21	1.36	14.06	29.47	27.69	15.94	16.87	37.24	48.28	25.6	67.1	81.24	66.47	13.0	55.92	29.54	35.24	21.2	37.76	84.26	15.38	33.48	27.09	74.11	47.05	24.92	30.9	39.49	0.44	40.04	376.7	0.23	0.39	0.04	0.0	2.76	2.33	0.55	20.35	101.51	90.1	36.21	73.5	37.7	17.89	43.73	63.36	16.64	11.8	0.38
9430031J16Rik	8.58	0.0	0.0	0.0	0.0	54.2	21.59	81.79	30.17	4.34	21.62	75.72	114.2	79.46	5.43	0.0	16.45	16.04	8.86	4.07	80.22	0.0	0.0	60.03	27.61	24.92	13.21	4.74	0.0	0.0	1.07	1.15	0.0	0.04	0.0	0.0	0.06	0.08	2.86	0.0	0.26	5.69	1.19	2.51	53.86	61.98	0.0	37.66	0.0	0.0	0.0	39.62	15.67	0.0	0.0	9.82	0.0	4.14	0.0	0.0	0.65	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.96	0.0	13.39	0.0	5.07	8.56
AI593442	80.59	323.88	38.1	7.31	33.91	940.95	335.01	309.67	280.04	133.37	448.77	302.02	432.79	930.59	377.85	738.95	382.64	548.38	246.88	428.23	195.76	160.23	0.0	317.74	280.48	209.03	9.26	67.92	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	81.46	98.11	144.98	55.31	533.11	245.47	68.57	388.52	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	0.0	152.57	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	94.22	35.51	352.94	52.25	14.94	357.67	70.92	154.52	70.24	57.92	20.52	345.47
Afap1	15.48	69.64	25.52	14.95	5.27	182.95	199.77	319.39	94.51	161.01	645.57	305.27	324.66	131.61	247.79	2.22	61.52	90.41	208.33	142.1	192.31	74.18	164.36	269.62	160.3	58.12	13.01	11.95	0.09	0.42	2.35	28.39	33.9	0.09	25.69	2.62	10.49	20.74	13.18	53.58	26.61	2.54	2.73	0.0	148.78	266.07	20.38	130.93	21.23	44.83	12.3	158.64	0.07	0.15	2.55	37.12	21.46	36.35	1.1	0.13	47.53	0.0	39.14	1.03	0.22	0.0	0.51	0.0	0.13	0.43	0.25	44.99	82.65	88.18	14.99	11.68	229.93	20.6	80.17	3.26	31.28	10.46	81.01
Ap2b1	13.85	59.04	14.01	15.46	24.3	63.32	31.59	14.31	95.42	120.77	36.46	104.74	207.66	112.7	132.42	7.84	63.02	21.38	30.16	39.87	28.15	20.15	0.0	69.43	46.99	15.9	12.38	18.13	17.01	6.47	15.79	41.46	32.45	39.52	34.05	26.79	4.93	24.45	38.38	9.6	29.66	1.35	24.66	5.96	48.22	140.85	62.91	85.38	12.43	29.11	27.59	48.03	12.93	34.72	8.92	27.72	17.62	16.14	45.73	51.81	42.06	5.55	53.54	0.65	0.0	3.03	0.0	0.0	0.0	32.07	0.23	20.81	52.43	41.86	16.32	38.21	93.32	29.52	59.15	20.72	54.56	36.85	26.67
Atxn1	11.83	19.71	4.58	24.27	21.21	14.47	12.26	63.41	77.85	47.7	50.53	48.69	43.8	39.45	41.1	0.0	73.06	27.19	81.81	34.12	48.8	21.57	0.0	65.66	14.3	57.19	5.63	5.46	11.34	0.83	0.49	33.86	9.25	1.67	0.7	23.53	7.34	2.12	4.19	3.29	5.54	9.3	9.13	1.78	18.11	53.79	17.62	25.65	4.07	9.36	3.86	55.29	0.0	0.86	0.0	4.6	3.16	0.0	11.54	0.0	2.64	0.0	1.67	0.0	0.0	0.0	0.1	0.0	0.79	0.0	0.0	7.93	38.82	16.28	6.96	2.4	20.04	2.54	38.4	14.45	0.26	3.46	4.53
B230217C12Rik	43.2	167.75	5.33	41.25	166.98	159.62	133.93	167.01	111.54	212.41	321.06	330.83	239.82	93.18	0.0	143.35	390.98	209.2	558.88	0.0	83.01	55.44	0.0	110.23	305.53	319.42	194.13	48.88	160.84	80.18	175.78	211.99	236.44	39.16	144.75	49.07	70.32	80.53	204.27	30.3	274.09	195.67	136.13	168.5	291.81	0.22	160.73	205.3	96.67	181.26	123.65	267.04	0.0	204.59	289.54	84.88	195.46	55.63	415.13	138.5	113.0	0.0	183.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98	232.93	84.53	240.97	117.18	77.65	102.32	217.0	393.55	45.18	168.34	0.0
Bzw1	38.62	354.14	182.27	7.12	39.94	201.66	313.49	267.21	360.37	311.07	292.23	346.6	222.75	765.33	425.11	219.4	740.48	251.71	319.51	278.92	302.39	589.47	0.0	169.48	328.09	199.57	144.43	265.6	156.69	0.17	104.2	144.77	244.16	150.74	166.79	237.36	96.62	161.98	135.48	78.55	148.44	218.87	116.8	14.82	282.53	383.53	155.74	299.06	118.7	185.57	93.58	320.67	0.0	89.53	25.01	140.37	2.47	171.49	162.85	107.84	106.21	0.87	112.14	0.34	388.74	0.0	0.16	0.0	0.0	467.99	214.85	155.72	143.02	186.45	46.89	88.6	375.76	116.55	447.94	160.48	200.97	62.61	156.75
Cap2	0.0	0.7	0.0	34.5	0.08	138.23	0.82	150.81	92.16	36.79	39.72	1.24	139.06	48.63	55.63	9.92	68.69	82.01	137.04	23.13	8.21	25.35	0.0	34.84	57.79	125.25	19.43	0.1	2.94	0.03	40.53	0.18	33.55	0.51	9.57	24.1	23.17	19.83	0.0	4.5	22.47	0.0	0.15	11.83	76.9	71.44	32.68	66.77	0.0	10.5	0.0	4.34	0.0	0.07	0.06	41.33	29.16	0.0	25.67	0.0	20.33	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	17.6	24.08	0.65	12.74	0.0	69.81	15.69	9.41	0.0	20.4	0.0	0.19
Cbx3	1044.47	763.89	777.52	365.33	1222.05	2190.11	1232.91	1843.07	1345.27	1169.05	1697.4	1527.74	1075.7	1115.58	744.45	557.93	1407.94	1540.49	1690.61	1426.58	1806.6	1354.19	568.96	1488.52	1576.39	1343.98	606.12	825.59	649.35	1351.44	1165.26	1252.21	1667.46	1163.9	668.14	1076.55	633.01	929.5	572.59	676.41	706.14	773.87	992.95	921.11	1539.44	909.02	761.73	1391.69	682.07	665.94	627.13	1768.69	1211.34	798.58	993.39	720.72	818.81	710.79	731.98	852.21	783.59	1454.93	1576.33	1.44	211.9	0.0	655.98	890.36	276.38	465.48	321.69	1425.7	2009.32	2268.75	840.76	821.19	1166.49	789.21	1769.75	879.86	626.28	851.88	809.5
