	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_13
1810014F10Rik	0.0	101.55	38.67	0.0	53.92	93.5	0.0	126.24	155.53	102.89	0.37	44.65	33.27	55.07	25.63	0.0	60.92	38.76	144.87	102.37	27.15	121.91	27.25	46.85	34.64	75.43	141.96	115.54	37.2	0.0	102.57	59.29	70.6	162.07	231.84	0.0	0.0	76.16	62.9	41.81	32.88	78.18	0.0	111.74	41.09	50.26	84.87	33.1	88.7	110.23	117.47	87.59	90.05	85.4	76.47	124.25	82.96	98.81	96.82	98.94	97.0	45.96
A830007P12Rik	19.55	6.66	10.87	12.21	9.68	14.33	11.86	7.93	26.55	12.25	12.35	24.21	11.6	10.14	18.09	21.4	13.69	11.2	15.05	13.81	6.2	12.32	11.04	13.42	6.05	49.85	15.76	7.86	13.99	10.22	10.77	7.03	16.25	14.47	72.83	8.31	3.7	16.52	15.59	20.4	13.58	11.96	31.2	22.09	11.78	18.85	29.45	6.97	83.79	74.19	70.56	90.68	67.74	69.4	71.24	96.59	64.6	66.23	88.52	83.55	73.36	25.81
Adh5	0.42	1.82	120.1	119.53	96.15	47.17	73.38	144.2	78.7	95.69	88.48	90.4	0.0	69.84	57.13	38.42	120.77	48.13	0.0	87.57	121.42	74.33	60.18	46.32	0.0	0.0	145.76	59.65	125.38	114.98	60.27	89.49	0.62	47.49	0.25	0.0	0.24	120.53	51.77	0.45	95.34	78.5	221.85	428.45	0.13	130.24	316.91	113.65	182.62	122.37	186.83	221.97	128.49	124.05	182.05	138.71	132.06	224.45	139.02	169.42	174.88	413.16
Arhgap25	0.0	0.0	0.0	0.0	0.15	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.78	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.35	91.87	120.91	118.64	134.92	163.1	100.77	53.49	90.37	142.41	124.9	164.62	158.59	0.14
Atp6v1g2	375.34	796.26	861.34	699.99	872.01	438.98	936.69	488.63	544.36	719.53	444.73	690.47	680.61	1150.12	588.54	640.91	1119.97	785.69	580.58	504.27	269.93	490.25	482.35	363.7	291.95	387.5	530.95	358.83	859.46	389.37	416.07	808.66	700.92	725.31	803.71	0.0	0.0	1191.24	631.48	1249.48	845.32	724.23	1229.06	1419.8	715.81	712.51	1261.72	1504.03	1336.11	1177.54	1284.45	1041.19	1471.31	1333.23	1225.96	1309.77	1391.63	1384.57	1091.15	1031.21	1010.36	1346.15
Banf1	48.01	135.09	51.79	124.95	124.88	68.54	163.19	0.0	65.8	145.06	0.0	182.13	102.41	180.05	101.73	103.12	72.28	75.01	159.13	110.52	59.62	0.0	34.51	27.38	181.79	0.0	111.09	152.94	195.5	216.73	48.86	183.94	154.11	110.84	293.71	0.0	0.0	84.38	84.91	0.0	125.47	55.18	153.25	254.68	102.15	129.0	95.36	328.58	279.6	220.9	209.45	324.85	165.53	243.5	206.9	290.8	242.8	280.75	221.86	211.25	213.13	45.35
Brp44l	748.64	552.32	272.07	870.48	233.33	451.01	523.07	331.8	499.95	636.68	650.11	822.95	362.11	534.26	891.93	332.7	640.77	583.23	388.44	572.32	693.91	496.77	547.29	711.27	474.62	747.3	429.47	625.37	246.94	637.32	519.59	800.81	490.2	784.9	1754.6	1466.44	793.24	516.92	997.57	990.14	374.08	306.17	299.16	1167.82	952.39	883.56	944.71	740.87	1236.73	1273.38	983.28	1434.43	1057.55	737.54	821.24	1117.03	890.37	951.76	1140.16	1012.1	1075.08	1428.27
Brsk2	4.4	3.19	10.83	5.35	2.25	9.53	8.85	19.48	11.5	5.03	8.47	15.21	0.15	3.72	4.57	10.44	3.18	2.72	0.48	12.23	0.12	4.74	8.23	4.35	0.0	28.87	6.13	8.86	10.87	30.91	6.58	18.98	12.99	15.81	40.45	0.0	0.0	11.88	11.7	0.17	5.4	0.11	46.28	27.19	0.0	1.04	15.11	20.29	35.97	21.87	18.31	34.93	18.49	22.82	27.96	22.3	20.47	15.23	16.22	18.08	21.57	10.37
Ccl27b	0.0	0.0	8.68	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	200.74	0.0	0.0	0.0	4.89	46.94	1.61	0.0	33.56	3.25	0.0	7.83	3.13	1.88	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	182.32
Clvs2	2.05	79.28	51.13	0.0	0.0	79.35	2.39	3.73	0.16	0.21	96.71	8.7	39.75	0.0	74.49	5.18	47.17	47.09	1.21	18.61	0.0	58.72	34.66	1.92	61.26	0.0	0.1	46.15	6.35	76.83	58.78	64.33	8.1	40.15	164.92	0.0	0.0	20.1	24.21	21.1	41.98	0.0	0.19	159.03	13.28	33.36	65.42	0.04	41.55	57.11	48.29	79.29	78.4	59.76	76.13	61.31	126.68	95.14	69.59	96.28	74.6	19.69
Cycs	476.31	462.18	439.29	619.22	668.83	668.37	543.13	570.4	485.75	833.35	540.85	683.82	417.57	527.08	489.38	622.03	548.27	439.14	540.3	440.58	465.76	410.29	466.36	561.05	394.04	454.21	479.62	649.71	504.86	451.9	598.92	608.49	399.93	640.48	737.22	215.68	2.89	610.37	563.97	540.59	365.95	559.01	695.78	932.03	534.28	800.84	1147.18	596.91	845.24	753.47	768.2	831.75	903.08	757.38	781.39	950.2	743.59	824.34	832.68	751.62	742.95	884.08
D14Ertd449e	60.83	0.0	80.3	8.86	58.08	104.24	84.45	33.12	0.27	66.49	167.6	39.89	37.31	93.18	101.19	44.19	32.43	66.19	117.18	80.37	91.74	21.01	0.23	67.71	1.0	79.13	118.49	1.1	27.92	0.13	0.0	48.26	22.6	119.97	84.94	0.0	0.0	96.23	32.12	68.2	32.93	10.83	19.05	146.44	28.96	5.15	140.5	0.37	52.94	94.8	56.89	143.48	72.5	75.84	78.45	67.45	57.68	72.77	67.34	70.32	57.71	50.36
D9Ertd402e	1.25	0.23	0.74	0.34	26.05	0.33	0.08	0.1	58.87	0.14	0.32	2.95	0.25	0.25	0.11	0.22	2.08	0.0	0.15	33.16	4.39	1.73	31.86	46.37	31.23	0.0	1.56	34.65	0.0	27.16	0.5	0.38	0.23	24.07	44.09	0.0	0.11	0.1	0.3	0.24	0.87	0.0	0.38	33.37	27.36	1.36	0.31	0.03	11.0	8.11	20.01	3.69	16.89	19.99	4.53	21.62	29.74	3.52	12.41	9.26	9.85	58.62
