	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_1	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_88	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_121	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_18	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_189	Rbp4_tdTpositive_cell_190	Rorb_tdTpositive_cell_16	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_47	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_42	CAV_VISp_Contra_tdTpos_cell_1
Acsl4	81.34	2.42	9.22	196.22	114.8	70.64	79.95	129.62	170.18	90.61	238.48	111.36	164.67	139.95	174.34	130.12	54.93	69.79	86.07	95.59	190.24	99.86	61.44	85.08	73.59	64.27	151.73	157.47	45.46	125.54	60.82	92.49	18.39	15.24	12.96	23.23	35.96	18.69	36.06	38.66	44.13	41.11	21.96	203.17	75.73	57.28	27.45	113.67	90.57	69.97	162.37	44.73	195.74	213.88	24.3	187.36	234.74	207.83	296.74	88.33	245.43	50.8	175.88	159.62	152.75	198.82	135.92	98.25	59.02	3.81	253.22	207.32	64.65	141.34	137.1	128.32	26.04	131.32	166.07	72.46	20.27	164.66	102.83	87.17	39.2	114.01	80.99	91.48	74.0	109.56	52.67	1.81	43.51	9.65	15.58	3.15	24.73	38.11	101.28	52.19	55.26	272.54	77.51	59.87	212.11	112.48	130.79	147.02	163.18
Agap2	2.79	3.85	2.82	0.62	2.38	3.24	2.09	5.16	3.95	3.19	6.67	4.05	2.65	4.42	8.93	1.76	0.47	6.79	1.26	3.81	2.46	2.06	5.69	5.87	1.24	0.47	5.14	7.27	5.89	6.67	5.44	4.48	0.86	38.91	2.13	2.27	3.52	1.5	22.08	1.96	5.93	4.56	4.85	1.58	4.26	1.7	4.23	2.1	5.68	3.91	4.06	1.28	6.75	10.87	3.79	5.7	13.58	12.88	7.78	10.14	7.97	10.15	6.95	12.4	4.67	3.75	1.1	2.05	2.67	1.7	5.01	5.24	3.55	5.08	1.31	3.13	2.85	7.25	2.45	3.24	3.02	4.99	3.74	2.27	2.46	3.88	5.08	5.91	4.82	6.14	3.74	0.11	2.59	1.98	0.26	0.85	0.85	1.26	3.34	2.57	1.44	1.02	1.61	2.46	4.86	3.84	2.07	4.0	1.33
Alkbh5	1.4	9.96	0.1	2.83	14.99	19.37	19.63	16.31	40.12	22.4	51.5	30.54	16.86	14.22	20.27	7.64	5.63	39.36	8.85	42.35	24.23	9.2	94.16	48.21	0.15	1.99	11.42	43.07	37.28	18.09	38.21	14.16	0.38	0.13	0.19	12.75	1.67	2.06	8.25	2.82	5.2	24.06	48.88	26.66	29.06	1.1	30.63	13.62	22.6	7.89	11.26	4.9	32.14	50.84	17.8	24.13	31.76	35.67	24.37	15.44	18.86	5.59	22.43	12.0	21.94	56.1	7.84	0.12	19.44	22.59	85.01	77.13	34.19	46.55	9.23	37.1	16.91	23.93	22.14	15.51	68.36	59.62	26.14	13.71	3.99	52.16	32.1	43.33	24.21	22.43	28.16	0.0	0.0	0.04	35.47	0.16	4.79	0.63	10.97	7.71	3.12	53.56	20.95	13.14	22.37	33.19	9.04	4.08	2.24
Arglu1	375.7	252.01	85.32	407.93	380.93	258.93	519.54	525.62	627.63	571.4	612.17	817.83	475.92	432.82	404.38	296.03	199.87	805.43	518.26	419.3	427.59	373.48	598.19	404.95	346.7	349.75	288.96	499.5	583.99	420.72	251.94	452.04	334.37	206.13	174.7	167.6	365.83	273.35	208.79	434.41	571.87	547.86	318.4	400.24	402.5	185.58	276.8	119.07	333.79	364.41	318.91	262.85	700.14	810.17	351.66	905.28	675.88	870.07	651.59	559.01	633.39	655.65	582.66	674.6	551.84	621.05	195.7	213.26	342.37	402.32	616.35	1064.23	559.85	617.21	658.34	716.6	421.02	724.38	477.19	633.2	585.81	793.24	447.34	420.7	292.67	936.81	664.84	667.19	412.15	587.16	829.04	177.73	152.95	83.52	193.19	355.64	211.26	171.32	401.35	538.1	304.05	402.01	504.0	332.42	986.95	747.81	367.72	750.42	320.11
Atp5d	154.27	4.34	0.47	57.39	22.55	3.05	82.02	72.8	116.24	2.44	327.15	143.78	203.06	328.18	208.37	16.96	20.0	34.18	109.05	121.62	107.23	15.08	86.09	48.25	27.32	52.71	139.56	8.04	140.54	24.45	33.25	406.6	26.51	15.93	102.39	0.3	9.06	26.46	0.74	61.91	154.12	196.49	104.96	116.74	67.97	55.25	248.34	242.74	34.41	16.64	76.5	87.26	101.48	247.59	392.87	338.71	125.59	102.92	315.29	417.7	347.01	508.93	291.51	126.39	289.31	64.82	79.12	35.65	142.81	101.76	150.44	714.07	1.81	146.23	0.0	242.12	625.94	348.0	77.42	105.11	369.92	287.2	57.73	40.65	50.78	22.1	100.67	115.85	350.0	457.3	72.48	0.0	0.19	116.84	29.44	106.18	18.76	82.41	61.42	6.91	18.2	35.45	36.06	21.54	44.8	326.19	44.57	76.81	25.49
BC018473	15.73	11.67	10.33	63.03	6.66	22.06	31.31	89.6	38.1	54.37	17.9	59.21	7.43	17.88	33.31	10.13	11.11	6.38	7.43	16.08	15.94	8.92	34.03	18.82	8.46	6.61	78.54	48.31	18.62	19.23	30.69	37.17	18.42	2.94	2.08	5.96	8.28	7.26	3.92	21.72	12.32	10.55	8.28	31.9	57.75	14.09	35.25	0.33	88.82	23.53	22.13	11.59	128.3	62.33	76.1	254.6	259.81	177.36	64.85	52.57	43.93	107.74	58.28	117.42	27.88	83.42	11.68	16.67	15.37	7.94	80.67	140.68	32.2	31.89	15.16	34.05	44.03	35.36	33.22	17.51	53.14	53.24	11.83	10.47	2.32	2.08	3.4	3.98	54.38	31.52	38.76	4.93	3.83	2.65	2.89	5.3	1.22	2.63	16.21	12.67	6.88	17.61	28.24	7.45	79.6	33.97	17.26	31.39	20.22
Birc6	23.58	14.9	15.64	14.83	25.72	32.73	8.52	35.69	35.02	91.49	31.29	42.64	40.42	26.73	27.27	21.16	28.57	38.22	24.86	49.73	25.33	35.57	31.08	54.04	6.93	8.84	23.34	29.68	10.2	52.95	42.48	7.76	9.96	2.46	23.27	2.6	39.62	23.21	19.59	9.46	34.66	61.24	33.78	82.41	39.29	13.49	18.31	55.85	34.06	34.26	41.74	4.89	71.87	63.81	30.38	62.3	59.31	43.44	66.1	30.27	51.5	36.41	45.17	49.14	36.21	39.37	20.64	10.95	19.99	16.7	44.18	42.66	36.27	37.99	27.36	22.3	56.42	41.76	22.07	24.17	71.3	20.49	31.24	22.2	20.29	52.2	37.97	45.13	25.48	73.96	60.52	6.13	1.08	38.36	27.63	2.67	3.92	11.67	34.76	30.42	39.1	12.8	63.5	33.42	35.55	26.6	36.51	63.9	4.05
Bmyc	30.43	1.61	0.0	73.17	0.0	0.85	1.39	0.0	0.0	0.0	310.9	107.71	0.0	0.0	139.53	0.45	0.0	126.53	53.44	0.0	203.41	0.0	21.87	1.99	0.0	1.43	40.2	73.7	48.53	0.0	3.42	134.51	0.0	0.0	0.0	0.0	10.1	0.43	0.0	0.0	0.0	0.0	71.15	88.9	0.0	0.0	74.67	0.0	0.0	0.31	6.49	7.71	0.0	83.07	33.24	40.49	53.95	0.0	9.81	61.76	194.5	79.36	173.86	65.82	120.4	0.0	71.31	12.16	0.41	48.48	52.61	134.91	0.0	36.13	18.65	41.75	68.61	0.0	66.5	0.0	174.12	51.58	27.33	15.11	18.05	4.11	25.8	36.02	0.0	85.63	0.0	18.85	0.0	0.0	0.0	0.0	6.84	0.0	5.57	1.93	0.0	0.52	48.83	0.76	24.98	1.52	83.52	97.3	1.18
Brp44	0.0	0.0	64.94	34.49	17.64	0.0	0.46	37.18	69.57	293.88	0.0	143.99	163.34	49.26	157.68	21.19	135.6	217.62	19.57	69.37	60.06	0.41	157.38	30.38	0.99	0.0	85.25	64.66	12.91	60.15	25.59	53.18	0.81	28.6	0.0	3.63	4.32	19.34	0.4	6.84	0.0	115.94	21.46	121.39	60.97	7.37	232.79	145.38	25.15	4.26	64.41	23.65	41.59	215.6	172.81	115.5	273.71	165.79	137.41	532.11	178.47	204.5	324.22	115.49	213.98	34.67	208.05	3.99	1.01	0.84	0.22	186.12	27.8	12.14	99.37	87.3	220.1	85.83	73.98	109.83	51.75	1.32	13.11	14.51	18.73	10.28	22.42	29.46	193.01	47.7	2.63	30.09	1.74	0.3	0.0	0.0	0.0	0.0	56.39	55.92	46.94	0.0	18.65	4.49	0.0	0.0	108.11	116.89	82.13
Calm2	20249.89	13213.71	18003.48	13923.37	17347.27	14663.17	20813.5	17375.4	20740.74	14599.68	15333.52	17910.32	19533.68	15108.94	15197.49	15809.6	15927.68	19081.81	18790.75	14801.84	14729.23	17934.64	18187.15	18403.02	19635.16	19628.74	18662.45	19578.34	24749.41	16122.09	14648.45	21064.56	15023.72	19971.06	20654.99	16501.66	19749.13	12652.74	15401.69	14428.82	18161.55	15529.11	19103.2	14713.29	14763.39	18291.8	15032.95	18789.68	15208.85	14038.93	18742.78	16381.97	18653.08	18187.15	15694.77	17763.8	15862.68	18504.84	15222.86	17343.84	19736.86	15168.58	13771.67	17323.44	13183.43	14799.16	17700.79	17126.41	18784.2	15089.88	16696.79	17522.3	17284.76	17261.61	15940.81	16300.18	20660.56	19581.9	19276.37	15928.43	18006.13	14687.3	15475.49	17363.25	18644.66	18004.95	16099.57	15686.41	15064.78	18281.5	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	14315.19	23557.63	18704.89	18134.58	18864.48	19735.95	19141.42	19191.1	14736.34	18621.16	15134.85
