	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
5730494M16Rik	271.83	145.43	32.68	10.83	66.24	106.75	123.69	36.82	45.77	96.09	39.73	62.8	64.48	57.08	199.75	8.38	20.84	2.73	72.51	13.82	49.7	69.57	126.98	133.58	63.25	192.4	104.07	7.24	135.04	87.86	90.45	141.81	114.95	109.91	103.37	126.7	34.04	58.0	240.1	21.97	9.43	82.73	94.56	110.72	139.51	113.42	82.3	71.34	206.48	236.4	114.08	144.5	220.62	153.19	141.71	42.5	208.72	12.87	54.23	206.12	167.26	46.36	246.07	112.86	73.85	108.9	95.74	75.03	131.74	45.97	66.74	84.79
Adamts3	37.75	21.02	0.0	0.0	0.0	75.83	29.85	55.9	0.0	0.0	0.0	0.0	65.3	84.95	0.0	0.0	37.48	0.0	30.47	0.0	0.0	0.0	34.68	130.2	112.19	60.66	136.27	71.43	86.91	88.21	77.58	61.35	1.15	126.73	32.58	11.66	29.88	21.74	96.07	0.03	0.0	109.19	0.0	0.0	33.46	12.23	36.66	16.7	49.36	53.56	28.2	88.36	17.26	41.17	17.92	0.0	0.03	0.0	0.0	52.23	0.0	11.68	51.27	107.18	0.0	0.0	20.5	60.45	0.0	0.0	81.8	0.0
Carhsp1	3.37	0.0	0.0	0.0	0.0	15.84	166.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.95	80.52	10.82	0.0	39.55	153.14	47.4	0.35	59.11	0.0	103.02	27.21	103.82	55.03	0.0	0.0	24.96	8.45	0.0	30.66	0.0	0.0	41.07	61.35	49.77	0.0	97.78	107.47	79.87	103.3	16.08	51.65	135.12	84.67	103.38	0.0	55.76	74.38	0.0	0.0	25.43	85.66	0.0	0.0	125.84	46.55	0.0	0.0	59.66	0.0
Ccdc109b	73.58	0.0	0.0	0.0	0.0	40.38	46.45	0.0	0.0	0.0	0.0	0.0	0.0	86.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.41	222.24	66.85	139.94	16.79	82.35	93.54	0.0	158.84	396.43	35.09	109.94	172.03	93.55	0.0	0.0	74.32	0.0	0.0	60.89	0.0	0.0	71.97	0.0	132.22	0.0	210.88	103.72	69.83	44.68	49.25	0.0	34.02	3.41	94.76	0.0	1.78	159.61	0.0	0.0	78.56	93.56	0.0	0.0	105.74	48.84	0.0	0.0	100.3	0.0
Cdca7	3.81	0.0	0.0	0.0	0.0	9.02	88.9	0.0	0.0	0.0	141.04	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.98	17.12	0.0	0.07	0.23	93.52	0.05	0.0	142.14	97.21	79.45	44.05	10.0	50.61	23.24	89.2	0.0	0.0	7.46	0.0	0.0	36.89	42.81	120.25	0.0	20.4	53.07	9.47	53.74	0.0	0.0	31.27	0.1	4.61	0.0	36.41	7.29	0.0	0.0	123.07	75.64	0.0	0.0	3.91	0.0	0.0	0.0	0.0	0.0
Chodl	536.39	0.0	0.0	0.0	0.0	252.84	903.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	982.69	256.6	819.29	256.98	488.2	222.97	860.46	422.68	404.72	896.24	711.19	880.34	763.54	553.67	870.48	448.03	613.46	474.95	0.0	663.27	0.39	0.22	755.78	755.0	1003.23	0.0	654.9	834.46	598.31	734.0	370.77	308.64	473.67	206.61	1026.21	0.0	278.02	919.94	0.0	0.0	778.1	500.43	0.0	0.0	457.71	450.84	0.0	0.0	414.37	0.0
Chrm2	118.16	0.0	0.0	0.0	0.0	153.73	90.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.69	194.63	97.47	46.53	113.64	3.88	163.09	9.12	225.62	464.97	166.2	117.07	35.27	163.51	52.34	123.69	153.01	86.72	0.0	319.55	0.0	0.0	17.41	108.94	125.6	0.0	174.91	376.19	164.19	123.52	235.68	8.94	170.2	186.33	354.32	0.0	49.03	290.03	0.0	0.0	204.66	120.08	6.44	89.67	240.7	201.16	0.0	0.0	91.5	0.0
Clic1	196.84	0.27	0.0	0.0	0.0	53.49	153.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.11	151.28	189.01	53.1	81.27	0.0	243.94	417.12	284.24	122.84	260.05	0.0	119.48	150.27	246.11	103.93	178.11	237.86	0.0	0.0	0.0	0.0	364.77	144.4	0.0	0.0	131.54	0.0	387.97	0.0	175.07	375.68	140.0	0.41	112.13	17.02	243.24	206.82	0.0	0.0	331.6	194.69	0.0	0.0	0.0	111.56	147.63	0.0	111.41	0.0
Col25a1	105.51	0.04	0.0	0.0	0.0	157.17	53.1	0.0	0.0	0.0	0.0	0.0	8.45	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.81	188.12	112.58	73.8	52.24	73.38	149.22	215.77	135.24	189.62	83.02	193.16	144.43	121.63	148.61	109.9	136.42	130.55	0.0	137.43	0.05	0.0	108.43	163.51	174.58	0.0	181.35	216.29	77.46	62.74	214.54	46.45	73.67	56.63	183.87	0.0	54.91	76.11	0.0	54.73	103.28	69.39	0.0	0.0	124.05	115.01	0.0	31.11	104.45	0.0
Cpne4	123.89	27.81	67.55	0.0	0.0	37.83	32.19	3.08	10.4	0.0	82.04	63.31	51.66	19.39	0.0	0.0	4.08	33.53	50.84	0.0	0.0	8.84	169.95	53.44	24.55	69.89	141.33	5.83	46.6	183.3	277.08	284.17	258.66	230.81	172.69	47.31	125.99	37.92	255.07	103.43	1.88	225.78	0.0	5.17	109.68	110.34	118.04	2.16	185.98	35.45	188.32	105.75	66.57	453.56	115.38	129.48	137.62	0.0	98.21	272.66	0.0	1.38	206.98	224.49	0.0	0.0	17.68	175.11	0.0	0.12	151.36	0.0
Elmo1	618.88	0.22	16.6	0.0	0.0	851.65	788.11	146.03	0.05	0.02	194.63	42.82	849.54	347.48	58.05	0.0	249.7	71.41	9.39	0.0	0.0	46.19	1021.25	1220.91	895.85	606.8	928.26	994.49	1258.98	918.61	1041.42	706.71	570.5	799.58	1069.68	933.17	1256.73	675.33	853.89	679.22	84.83	1030.28	94.48	0.33	781.84	863.41	790.17	96.78	748.46	864.66	1000.03	812.21	831.35	1068.24	946.85	759.04	887.64	103.81	1028.76	1172.42	0.33	49.11	949.59	899.54	1.63	0.0	434.01	943.63	0.56	172.19	756.72	410.13
Fam84a	139.24	0.0	30.06	0.0	0.0	240.82	94.75	0.0	79.32	0.0	36.91	0.0	21.64	0.0	55.31	70.15	0.06	71.59	2.08	36.28	57.97	0.0	72.54	196.14	92.19	126.44	88.97	159.3	23.11	65.44	46.82	139.19	201.62	172.24	126.37	93.07	74.08	169.0	112.05	48.77	0.0	146.69	5.83	18.35	64.92	91.84	122.75	0.0	351.99	131.57	85.05	68.37	174.14	88.2	120.4	54.93	77.72	0.0	121.83	86.84	0.3	142.61	195.21	78.35	10.42	73.7	194.71	120.73	27.61	58.57	163.8	0.0
Fndc1	28.19	0.0	15.41	0.0	3.29	44.25	3.46	0.0	0.03	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	16.11	17.81	0.01	18.47	30.14	25.04	15.46	42.08	29.38	11.96	3.82	14.96	49.42	3.78	0.05	0.0	52.14	5.8	0.0	2.54	0.0	0.0	0.0	1.54	19.74	0.0	7.85	10.0	30.87	11.7	44.82	89.64	0.0	20.15	3.05	0.0	2.33	16.48	0.0	0.0	0.0	37.52	0.0	0.0	11.05	12.17	0.0	8.44	0.03	0.0
Gabrg1	118.62	0.0	38.07	0.0	0.0	188.89	35.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.78	0.0	0.0	129.19	38.64	57.52	105.84	194.15	0.0	157.02	44.29	65.96	122.07	344.55	96.68	180.1	97.11	179.81	195.85	80.26	35.92	0.0	61.45	0.0	0.06	99.72	111.62	62.31	0.0	102.95	216.61	157.36	153.64	64.32	459.0	272.89	161.31	200.05	0.0	183.16	127.21	38.08	0.0	115.93	79.38	58.66	13.18	72.63	0.0	14.23	87.75	157.51	0.0
Gm2897	87.98	8.75	41.26	0.0	10.76	21.91	31.09	0.0	1.41	0.0	0.49	0.0	0.0	0.0	120.68	0.0	0.0	0.0	2.15	3.43	0.0	45.49	4.14	64.5	68.43	35.08	0.19	3.47	117.74	8.57	6.01	29.52	15.03	44.44	47.82	9.99	68.63	16.31	55.07	85.94	1.73	73.12	0.0	21.31	71.68	10.77	12.55	1.25	0.22	4.4	22.94	3.03	50.09	75.25	87.7	19.61	18.0	0.0	11.92	20.64	14.29	16.34	23.61	65.32	25.74	5.08	43.33	79.51	13.14	10.5	11.5	0.0
Gm5424	201.74	45.21	4.71	0.0	0.0	377.85	441.27	117.14	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	41.81	0.0	67.01	125.64	0.0	571.2	314.49	321.03	202.4	387.62	102.98	589.46	203.58	235.03	335.25	291.95	345.12	172.8	473.62	642.86	201.66	464.1	433.54	0.0	499.45	0.0	0.0	310.59	229.05	361.3	0.0	113.05	380.37	456.63	357.61	465.62	318.24	376.53	255.3	579.47	0.0	143.01	309.21	190.31	88.98	407.2	357.66	146.29	43.97	312.26	478.55	105.62	0.0	525.64	0.46
Gpr126	87.21	0.0	0.0	0.0	0.0	4.37	60.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.67	25.47	72.45	54.83	24.53	0.0	84.71	0.0	32.36	42.88	14.31	30.27	27.62	36.51	9.08	7.98	36.94	47.39	0.05	36.18	0.0	0.0	41.82	5.28	58.73	0.0	1.68	8.51	42.49	0.25	63.17	4.11	37.5	16.14	48.32	0.0	0.0	20.67	0.0	0.0	26.07	39.9	0.0	0.0	21.5	0.28	0.0	0.0	95.59	0.0
Gucy1a3	128.45	0.0	0.0	0.0	0.0	95.2	114.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	69.41	156.13	11.8	1.28	62.38	3.03	150.84	98.62	50.12	45.26	129.12	49.49	51.93	148.96	177.3	133.57	140.57	133.16	0.0	185.94	0.07	0.06	108.68	126.56	65.63	0.0	77.47	12.05	116.78	176.79	64.28	93.64	48.45	26.9	115.45	0.0	172.84	57.45	0.0	0.0	87.89	38.32	0.0	0.0	142.03	71.83	0.0	0.09	84.55	0.15
Idh1	182.81	1.75	0.0	0.0	0.0	330.46	174.96	0.0	31.67	163.32	54.02	0.0	112.53	108.25	0.0	0.0	0.0	0.0	18.25	0.0	98.97	0.0	148.63	169.88	234.69	329.78	260.98	131.54	176.89	67.14	280.42	161.63	33.52	267.3	129.79	65.36	139.88	157.18	273.59	149.72	0.94	237.82	0.0	0.0	107.86	138.6	55.85	0.5	66.21	2.15	222.87	268.32	274.03	66.2	161.66	62.3	137.58	13.95	58.5	50.68	86.83	48.88	194.49	147.06	26.94	19.46	122.48	211.68	77.62	143.45	28.56	0.0
Ifi35	18.28	0.0	0.0	0.0	0.0	85.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7	0.0	0.0	0.0	78.07	0.0	0.18	61.49	43.62	0.0	39.08	58.95	39.33	41.23	111.21	0.0	74.0	29.06	106.88	88.21	28.77	127.47	0.0	45.07	0.0	0.0	73.04	66.55	0.0	0.0	0.0	104.4	107.55	0.21	134.21	138.39	35.92	34.55	81.85	0.0	43.51	81.5	0.0	0.0	40.11	45.52	0.0	0.0	0.0	15.19	0.0	0.0	0.0	0.0
Lhfpl5	53.74	0.0	91.99	0.0	0.0	325.91	216.16	0.1	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.36	0.0	0.0	0.0	237.84	0.0	267.93	63.02	123.57	339.45	139.82	63.45	64.11	158.65	13.38	97.67	23.66	143.37	73.53	233.78	154.31	309.9	89.71	251.59	0.0	0.0	100.45	49.77	217.99	96.42	43.94	101.3	155.37	130.14	44.5	175.19	124.47	93.06	188.78	0.0	50.0	139.39	97.78	0.0	157.08	34.93	0.0	0.38	0.47	103.8	123.25	0.0	106.14	0.0
Ndst4	75.25	0.0	0.0	0.0	0.0	84.37	64.52	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.19	7.01	17.28	7.92	0.0	41.81	84.33	4.88	17.13	57.11	8.28	47.7	21.03	32.88	3.16	8.23	38.6	16.02	0.0	20.83	0.0	3.74	25.13	15.12	78.79	0.0	0.0	7.71	2.38	9.43	44.68	0.41	0.99	2.91	8.37	0.0	0.98	2.81	0.0	0.0	139.1	29.64	0.0	0.0	58.76	0.69	0.0	0.0	59.36	0.0
Nos1	46.02	0.0	0.0	0.0	0.0	202.92	42.73	0.0	0.0	4.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44	0.0	1.51	0.0	39.77	73.67	63.27	0.27	12.45	39.14	55.38	27.95	18.1	41.34	76.81	2.54	13.21	17.6	45.72	55.93	38.37	110.11	0.0	88.64	0.0	0.0	28.29	39.46	49.11	0.0	106.91	8.7	40.74	36.94	67.51	19.89	47.8	17.32	72.89	0.0	22.87	91.8	0.0	0.0	105.95	44.52	2.72	0.0	54.97	29.94	0.0	0.0	80.78	0.0
Npy	138375.8	56190.59	64781.64	359.05	9073.51	173305.25	115124.65	43922.94	108594.8	96206.73	82245.2	42632.64	68542.73	67463.47	65548.38	14635.6	57444.26	77711.12	125016.83	13383.72	34339.27	80627.8	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	145032.54	180453.32	92572.95	38762.64	128781.07	137945.15	48908.54	70964.58	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93
Ntn1	28.91	0.0	0.0	0.0	0.52	58.4	2.85	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	12.56	4.74	2.97	36.31	35.01	15.97	21.32	12.62	15.37	13.3	8.6	32.73	2.93	2.25	6.17	9.37	23.17	11.45	0.0	48.42	1.29	0.0	3.39	1.45	57.66	0.0	5.39	30.99	10.83	7.09	15.61	5.38	2.03	11.28	4.88	0.0	24.0	4.06	0.0	0.0	7.02	19.66	0.0	0.56	37.18	10.42	0.0	0.0	24.14	0.0
Pcdh19	21.09	0.03	6.19	0.0	0.0	31.98	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	0.93	12.64	0.01	18.93	19.3	0.02	22.21	2.71	2.16	5.38	12.46	5.29	0.35	0.0	0.0	3.74	21.04	0.03	26.06	0.0	0.0	0.7	8.14	2.63	0.0	0.0	5.81	15.84	18.58	0.51	14.67	7.25	0.18	0.02	0.0	0.11	7.13	0.0	0.0	7.85	10.33	0.0	0.0	0.0	0.0	16.55	0.0	2.69	0.0
Pcp4	5117.81	1173.96	162.25	573.73	69.15	2700.07	2456.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.87	0.0	0.0	0.0	965.23	539.6	151.1	2707.24	1633.17	3355.21	3496.46	4184.47	1643.19	4733.38	1627.95	1001.01	4414.79	2697.98	3406.65	2293.07	2322.85	3277.1	2366.59	1985.64	2655.91	0.0	2432.23	1.11	0.0	2404.75	2737.2	3369.7	0.48	5082.23	4231.51	2588.48	2700.52	3031.22	2420.66	2924.06	1642.49	4518.09	0.0	2463.45	5005.09	344.14	0.0	3469.96	4368.46	100.06	35.89	2954.53	1005.69	34.47	1.47	3291.17	877.45
Pcsk2	180.69	2.54	2.13	9.16	13.29	221.77	128.1	0.0	35.17	48.56	53.84	55.9	86.5	87.53	1.02	0.0	64.33	82.98	23.88	48.71	14.37	1.2	158.34	166.47	100.0	57.13	132.07	130.52	136.25	204.8	130.88	137.42	234.47	48.61	290.57	224.27	306.38	110.52	102.44	48.65	18.98	188.94	0.0	46.63	162.06	211.69	89.7	0.0	37.92	117.88	312.5	258.93	222.54	150.35	189.76	361.76	139.03	0.0	107.49	128.49	1.2	0.65	220.11	234.2	0.0	46.2	179.01	136.13	3.7	1.55	94.17	6.35
Pde1a	1056.47	92.04	180.04	138.11	0.0	1042.27	950.26	1.24	0.3	0.14	1.02	0.0	0.32	0.0	0.43	704.14	0.65	0.27	0.23	190.2	179.14	0.27	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	1131.66	0.08	0.0	932.64	817.01	562.01	0.02	458.1	666.67	670.07	978.64	820.3	965.51	956.64	1201.44	653.65	0.0	667.13	704.18	34.5	425.11	1202.55	1140.82	28.94	206.39	1108.75	711.88	557.17	518.0	1090.81	0.81
Prdx1	531.94	150.5	478.58	489.86	363.91	264.93	560.01	379.26	145.2	415.31	0.0	56.47	55.88	71.91	0.0	0.0	281.38	0.0	194.31	139.92	156.26	153.13	652.66	643.69	451.7	581.35	414.63	507.91	665.58	644.37	473.39	583.97	513.31	564.95	487.19	637.31	520.56	331.69	663.27	508.56	366.83	405.63	360.75	265.51	648.84	747.41	538.71	513.98	1011.51	909.45	648.6	575.55	531.58	532.34	993.28	573.18	370.44	0.55	590.47	627.68	275.02	0.11	589.28	577.82	529.0	253.17	623.16	691.44	286.06	108.21	341.56	93.06
Ptn	673.11	9.82	0.35	0.16	0.49	812.29	673.66	0.37	0.0	0.1	0.4	0.0	0.33	0.81	0.63	0.6	0.0	0.48	0.26	107.84	0.33	0.32	864.64	587.51	703.92	360.44	557.52	470.71	1000.84	823.94	768.82	861.01	682.03	883.04	774.06	540.5	667.62	782.49	733.15	500.94	0.0	853.93	0.15	0.0	439.66	511.49	734.62	0.55	307.65	832.36	785.19	618.37	534.27	610.7	491.59	769.29	474.09	0.0	668.26	503.95	0.34	0.07	1201.15	786.52	0.0	0.0	970.8	712.37	117.55	78.99	951.64	0.71
Ptprt	55.21	0.0	0.0	0.0	0.0	54.32	32.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	12.04	45.41	38.56	38.92	1.88	20.06	24.63	34.14	27.66	16.58	85.61	20.06	39.86	16.13	53.0	28.52	60.27	11.85	30.54	0.0	45.87	0.0	0.0	9.19	53.57	67.19	0.0	94.83	8.39	23.1	11.83	0.76	2.68	25.5	0.0	48.33	0.0	12.11	37.18	0.0	0.0	51.57	22.04	0.0	0.0	35.56	0.23	2.28	0.0	2.43	0.0
Rasgef1b	199.83	0.0	0.0	0.0	0.0	243.34	295.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.58	470.1	254.82	104.91	137.09	243.05	123.15	121.24	42.1	184.0	84.43	183.56	160.29	282.49	284.45	225.38	175.96	17.14	0.0	149.48	0.0	0.0	4.3	191.85	188.65	0.0	138.23	10.29	103.99	369.6	61.82	6.48	192.44	60.87	94.19	0.26	109.58	193.08	0.0	0.0	301.94	80.21	0.0	0.0	170.93	148.99	0.0	0.0	145.84	0.0
Rerg	66.82	0.0	0.0	36.93	0.0	2.33	33.42	0.0	0.0	0.0	9.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.76	49.17	81.84	0.0	0.0	65.79	87.53	0.05	95.98	86.48	28.76	90.76	75.23	0.0	47.97	0.0	32.51	22.21	0.0	49.41	0.0	0.0	0.0	0.0	46.43	0.0	86.7	0.0	33.84	37.9	19.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.47	22.76	0.0	0.0	43.15	2.06	0.0	0.0	46.15	0.0
Scn9a	3.17	0.0	0.0	0.0	0.0	2.66	4.28	0.01	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	4.34	3.85	0.99	0.02	11.19	10.02	6.05	10.38	0.0	13.31	9.91	7.28	21.84	0.0	5.79	7.78	10.34	0.0	5.38	0.0	0.0	11.52	6.63	5.67	0.0	33.36	9.75	16.16	6.24	14.93	9.26	9.29	11.83	10.66	0.0	0.0	15.59	0.0	0.0	6.96	9.32	0.0	0.0	0.0	10.21	0.0	0.0	2.45	0.07
Slc4a4	47.44	0.12	0.05	0.0	0.0	83.77	11.78	0.62	0.0	0.06	1.15	12.1	0.09	8.94	1.09	0.0	0.03	0.0	1.01	0.0	0.07	0.14	7.89	24.99	13.12	0.5	10.79	18.92	11.16	1.54	7.24	13.74	24.09	48.27	28.84	11.72	22.92	17.94	10.96	18.17	21.16	56.95	0.04	1.54	10.96	0.42	30.2	0.0	12.56	36.62	14.47	23.36	5.0	0.0	6.55	19.05	3.39	0.0	0.0	17.73	0.0	0.0	22.36	14.28	0.06	0.0	22.81	4.1	0.0	0.0	2.5	0.0
Slc7a3	636.91	0.0	171.58	0.0	0.0	347.18	400.99	6.23	0.0	19.64	162.97	132.63	14.3	0.0	0.0	0.0	0.0	0.0	2.15	103.22	1.13	102.62	800.76	223.13	393.12	206.53	705.0	719.79	386.13	890.69	691.96	556.94	666.01	511.0	574.41	851.11	494.24	372.45	364.55	330.7	0.0	638.53	10.18	57.83	429.97	904.79	360.78	0.0	87.12	459.18	344.21	647.36	369.21	528.41	379.68	479.8	615.76	0.0	1026.21	435.9	169.56	0.0	384.4	396.76	4.69	317.02	275.89	759.81	0.0	0.0	195.8	18.53
Sp9	65.96	0.0	10.53	0.0	0.0	14.85	26.81	63.71	0.0	4.78	142.21	0.73	12.7	23.31	12.23	0.0	26.87	65.34	33.62	0.1	21.03	3.16	17.87	11.43	23.52	82.95	69.47	42.52	94.73	31.22	20.39	51.87	30.84	50.59	17.7	29.48	51.57	52.32	57.07	41.15	14.11	42.11	20.03	13.67	42.96	20.28	72.27	10.88	110.79	36.67	53.32	62.4	32.58	26.05	17.82	33.9	35.94	0.0	20.97	56.35	0.0	5.4	78.5	33.09	0.0	0.0	32.88	8.43	0.0	0.0	39.95	24.85
Tacr1	89.77	0.42	0.8	0.36	0.9	129.84	78.58	1.81	0.86	1.61	1.2	18.03	1.73	8.91	3.95	5.34	1.15	0.85	1.5	0.57	1.12	2.27	149.04	43.86	213.74	138.34	84.9	53.94	37.14	101.07	91.23	192.27	63.54	62.76	99.85	53.14	249.16	184.38	22.39	2.39	2.66	46.09	1.12	0.32	67.26	109.4	96.13	0.99	55.28	69.94	43.79	71.68	92.68	111.49	63.62	14.98	224.61	0.17	9.35	190.24	0.61	0.32	16.37	94.85	1.48	1.3	26.76	31.58	1.75	3.23	40.47	0.91
Uchl1	700.12	346.83	419.0	337.47	309.64	514.54	662.53	508.43	180.93	351.13	97.77	213.24	132.65	123.53	90.01	0.0	25.63	327.49	175.98	378.31	244.91	148.63	506.7	416.37	449.34	577.97	525.12	646.7	675.27	795.52	615.89	483.98	871.67	579.14	878.04	850.37	735.65	471.72	498.49	559.7	96.83	780.25	254.5	330.7	593.4	467.29	624.32	157.02	488.6	557.81	702.17	694.22	996.9	665.43	712.79	811.73	527.26	0.0	965.25	635.74	440.37	183.58	908.08	924.8	374.97	413.47	731.88	628.24	448.72	460.58	659.75	129.38
