	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_38	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_108	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
3110035E14Rik	22.32	254.86	285.63	38.68	156.99	103.27	39.2	192.19	1.67	0.85	129.3	0.0	1.37	3.96	21.96	566.42	660.18	451.6	638.56	504.21	307.58	446.63	433.22	543.58	499.17	813.83	653.69	1029.97	487.61	262.9	527.1	314.61	57.63	285.71	293.78	248.36	425.64	662.42	608.52	23.01	13.32	1.17	6.34	0.0	0.48	37.74	264.19	4.11	16.14	1.31	183.18	21.85	514.81	3.17	538.93	438.16	560.43	437.27	437.81	520.77	609.37	366.64	500.56	362.32	558.26	657.04	433.43	753.91	305.68	241.36	280.77	224.12	766.28	707.48	519.13	834.01	819.74	865.09	8.94
3110039M20Rik	59.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.32	0.0	0.0	36.9	0.0	19.41	0.0	96.49	0.0	0.0	97.35	0.0	0.0	0.43	20.19	0.0	0.0	52.97	3.84	0.24	44.96	36.09	0.0	0.0	18.0	0.0	22.42	39.53	2.31	0.0	17.09	0.0	0.0	0.0	0.0	0.0	0.0	8.66	0.0	12.0	0.0	0.0	48.98	0.0	0.0	7.43	19.82	27.6	2.48	23.28	29.16	8.83	41.9	5.16	32.83	15.42	0.0	19.65	5.57	68.69	1.77	0.0	0.0	0.0	0.0	0.0	36.95	18.93	0.0	106.1
Atxn3	22.02	0.0	0.0	88.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	0.0	0.0	0.0	0.0	0.22	5.24	483.82	0.35	110.0	0.4	17.27	0.1	0.0	14.05	121.86	0.0	1.44	98.32	12.5	1.96	79.82	1.24	0.0	5.62	0.0	118.97	0.01	0.62	0.0	0.05	0.06	0.0	0.0	0.0	73.0	0.8	86.03	84.09	0.0	0.0	0.0	0.0	30.21	0.99	11.81	4.92	9.11	28.66	35.72	7.52	15.05	19.89	10.02	0.0	10.97	6.43	76.69	0.0	21.63	0.0	155.31	16.66	0.0	0.91	0.0	0.0	0.09
Calm2	20249.89	17347.27	13664.07	17062.36	13048.7	20740.74	17688.69	13941.53	13195.04	14581.48	15041.69	14269.04	15844.12	16241.12	18187.15	16595.47	19578.34	12237.43	24749.41	21064.56	16137.96	14734.58	19749.13	14813.52	14881.23	15542.3	16040.81	14305.03	19103.2	14027.74	15059.56	12291.43	18291.8	17199.59	18789.68	13988.38	14143.35	16470.2	15098.71	19736.86	15587.82	9633.09	18784.2	2751.38	12256.09	15940.81	15861.65	13467.59	14604.53	17647.75	20660.56	16637.95	19581.9	19276.37	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	19423.54	22860.58	23322.9	25106.81	21777.08	23557.63	18134.58	18864.48	13275.15	19191.1	17911.68	18621.16	17897.54	14225.77
Ccl27b	34.95	2.68	87.91	26.22	0.0	41.09	0.0	4.09	0.0	0.0	0.0	0.0	0.0	32.42	70.05	56.03	131.07	47.74	5.88	112.91	79.41	188.03	85.18	270.93	98.79	154.8	310.06	73.83	34.34	3.11	4.63	0.0	28.3	49.81	127.16	50.44	8.22	387.32	161.83	7.32	235.28	5.35	72.74	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	4.74	156.7	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	88.07	319.12	80.83	176.84	149.77	84.31	191.16	132.48	211.91	132.15	21.24	212.54	95.77	11.63
Crym	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	825.1	1015.38	989.95	463.5	732.56	0.18	316.57	381.18	494.95	290.06	487.41	635.56	578.28	1003.74	0.0	0.0	0.17	682.09	266.1	276.1	796.19	0.0	531.47	278.18	91.03	0.0	0.0	0.27	0.0	45.54	0.0	872.86	0.0	0.0	0.0	0.0	0.0	746.02	0.0	457.32	634.66	671.02	785.96	432.99	468.95	742.03	537.19	532.03	405.94	438.96	346.44	472.94	8.55	502.99	614.16	693.03	772.26	1263.83	217.67	777.0	322.7	354.01	265.06	1.67
Ddah1	23.2	0.0	0.0	0.14	10.72	0.11	0.0	0.0	60.74	0.0	93.22	0.0	0.0	0.31	174.48	335.63	378.2	851.39	199.5	183.8	68.24	162.1	78.67	256.83	304.69	311.52	73.68	171.61	0.58	0.0	0.0	0.28	0.0	0.16	0.0	0.0	99.97	89.35	63.74	11.46	129.76	0.0	112.27	0.0	0.0	0.0	457.9	0.0	0.0	0.0	0.0	0.16	378.82	0.17	365.66	365.64	300.62	254.93	323.76	352.14	394.78	421.15	449.98	219.73	343.88	105.35	91.36	3.0	23.12	53.26	0.0	197.03	147.1	545.69	0.0	227.46	364.4	0.0	0.14
Ddx27	0.93	0.49	33.98	3.28	4.67	84.61	8.86	0.0	0.92	3.37	1.08	3.76	0.17	0.21	0.49	0.25	16.08	1.49	0.0	6.58	1.22	71.49	83.96	11.67	13.3	13.51	31.92	0.41	0.16	44.75	5.77	1.04	0.74	14.31	0.0	0.51	57.71	7.21	2.02	4.63	3.92	3.15	3.49	0.0	6.54	0.0	5.76	0.31	2.38	20.94	16.25	18.19	0.54	1.26	22.63	34.85	15.92	14.41	13.09	18.14	4.07	1.02	26.12	17.38	10.95	11.66	0.44	0.0	0.0	0.0	0.15	1.13	3.46	12.88	10.63	16.58	35.71	0.83	1.05
Dlg3	48.96	0.0	42.57	27.8	38.71	19.77	0.0	0.0	0.0	0.0	36.3	21.7	1.82	72.16	0.13	0.0	0.0	27.63	12.19	34.21	65.33	50.96	22.82	1.99	6.87	1.53	58.25	44.67	1.78	21.49	11.26	5.72	10.97	53.23	0.11	61.77	11.87	19.55	0.06	15.35	31.95	3.58	70.42	0.0	22.69	0.0	0.0	8.52	6.46	0.0	8.39	38.81	1.76	46.24	11.14	22.47	15.79	18.87	17.77	15.34	18.95	10.79	4.94	17.25	21.46	90.31	5.27	4.06	10.92	3.23	0.0	1.49	79.23	0.0	8.42	14.51	16.17	7.88	0.76
Dnaja3	9.96	23.95	15.73	38.71	192.47	39.55	0.31	0.0	82.67	0.0	0.0	158.67	13.01	0.94	101.81	28.82	57.27	109.82	26.97	108.05	1.4	63.01	95.09	0.0	56.57	22.06	106.85	0.0	0.55	0.0	35.41	0.16	109.62	3.38	81.56	91.01	169.23	104.73	0.0	18.26	2.37	0.0	7.77	0.0	25.77	46.8	0.0	0.0	0.0	40.86	1.48	130.08	23.35	0.25	60.4	32.91	32.88	28.13	34.66	30.89	40.93	34.34	51.64	22.31	43.57	0.0	65.67	0.0	0.0	0.0	18.78	58.3	46.02	22.73	15.78	71.55	0.0	0.0	45.9
