	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_16	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_180	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
9030418K01Rik	0.0	0.0	0.0	0.0	0.0	0.0	69.76	0.27	0.0	1.24	40.21	0.0	0.28	0.0	0.0	0.0	122.99	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.8	0.0	0.0	36.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.6	0.0	0.0	0.0	11.03	0.48	0.89	0.0	3.9	9.18	11.07	1.26	0.0	11.14	5.56	5.04	4.93	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	38.18	36.44	33.14	34.81
9430020K01Rik	0.0	0.0	0.0	0.0	29.47	0.08	0.0	45.73	30.51	24.28	18.04	59.19	24.43	45.04	0.67	84.77	43.39	69.95	23.01	0.14	3.38	0.2	10.07	0.0	59.36	0.0	41.47	15.78	46.55	0.4	9.54	3.68	2.37	4.92	64.9	49.37	1.73	5.08	47.99	8.59	0.0	4.97	26.15	16.48	0.0	0.33	23.47	14.86	20.15	1.02	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	20.37	0.0	0.07	30.87	22.91	38.77	20.91	18.68	10.43	21.37	27.9	21.21	8.78	20.3	21.16	20.58	2.94	39.8	25.29	38.34	58.14	24.02	2.82	0.0	5.89	16.55	0.02	74.16	66.09	69.17
Abca3	0.0	0.0	0.0	16.1	0.0	0.0	0.0	4.61	0.54	2.9	0.34	15.88	0.31	29.0	24.26	0.77	10.64	0.0	2.04	33.62	0.0	3.3	0.0	0.0	2.66	0.0	29.65	6.02	0.71	0.06	4.85	0.0	0.0	0.0	0.0	0.25	35.54	2.35	0.39	3.63	0.0	0.66	73.31	0.98	0.0	0.24	0.06	30.12	0.1	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.72	4.1	9.28	4.86	6.46	14.5	6.55	3.54	13.15	3.35	7.21	3.23	2.29	0.0	4.49	0.25	0.26	0.0	0.0	0.05	0.0	0.77	0.0	13.98	50.64	49.23	52.54
Actn1	0.0	5.83	2.01	3.03	14.26	0.0	44.31	15.51	44.06	18.67	7.23	18.48	21.57	45.09	8.71	28.95	37.7	3.76	8.97	16.69	17.88	25.28	9.13	56.25	31.02	0.0	44.44	37.83	37.08	31.75	33.61	11.38	7.56	28.59	9.37	14.23	26.02	27.47	10.08	14.14	0.0	13.53	1.39	20.03	20.01	15.47	28.54	15.81	34.7	15.02	15.95	0.0	0.0	0.0	0.0	0.0	11.94	8.6	54.41	38.99	8.09	0.0	27.84	44.07	43.33	49.85	25.83	45.87	45.92	31.97	43.18	66.19	38.87	41.49	36.84	15.36	14.27	2.69	26.66	12.43	15.29	39.9	6.91	18.02	36.39	27.73	72.48	66.41	70.2
Atp2b4	0.0	0.0	0.0	26.68	0.12	9.36	105.51	55.11	107.72	95.89	14.18	37.44	54.07	65.09	88.74	43.37	77.13	27.84	86.02	76.1	59.83	60.38	0.38	0.0	38.8	0.04	129.81	24.09	55.4	2.55	35.2	72.33	0.1	0.0	49.36	11.14	44.54	57.27	74.59	46.53	0.0	0.0	5.07	3.78	0.0	14.61	2.46	26.09	13.2	0.0	16.45	0.0	0.0	0.0	2.03	0.0	0.0	0.0	28.01	11.25	0.08	0.0	40.11	29.31	29.76	36.9	27.45	57.49	59.41	18.99	22.19	20.87	34.12	21.24	21.85	10.72	0.0	62.07	3.35	28.86	25.66	75.86	92.49	29.44	5.98	21.91	114.5	105.28	114.98
Atp8a2	0.0	0.0	0.0	0.0	0.0	0.0	45.81	0.0	5.22	19.55	3.49	23.94	3.37	0.59	0.34	24.58	45.13	0.0	27.67	1.06	0.0	27.39	0.56	0.0	0.0	0.0	25.25	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.09	0.0	0.0	1.97	0.0	0.0	0.15	17.87	0.0	11.43	0.11	0.0	1.53	0.0	24.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	0.0	28.9	0.0	5.36	0.0	2.98	0.51	2.28	4.94	7.51	1.81	3.0	4.8	4.67	1.67	1.12	0.09	0.0	5.13	0.0	0.0	9.48	6.31	0.0	0.0	0.0	0.0	22.76	20.31	22.95
Bbs10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.24	0.12	31.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	87.36	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42	0.0	3.24	5.77	9.26	3.23	7.31	0.27	0.0	0.11	5.25	3.66	0.0	0.0	0.0	62.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	4.25	4.18
Bbs5	0.0	204.84	181.99	0.15	0.0	0.0	113.62	0.0	0.5	118.61	206.08	62.66	9.42	81.93	69.45	61.27	300.08	83.75	0.0	43.87	0.32	73.4	0.0	0.0	203.4	0.0	325.92	24.2	297.14	0.0	67.16	48.76	181.51	107.14	5.56	304.08	159.08	119.01	42.0	48.98	0.0	134.07	0.59	69.93	0.0	0.0	15.2	72.43	17.94	17.12	2.35	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.32	37.02	0.32	57.46	99.41	112.68	88.12	102.81	41.22	68.11	85.75	52.92	75.35	60.1	62.85	65.42	91.33	40.06	97.64	178.82	175.53	120.6	0.43	200.14	160.53	0.0	137.23	26.06	26.54	23.51
C920006O11Rik	0.0	0.0	0.0	0.0	205.65	0.0	0.0	11.13	0.0	0.0	0.0	0.0	0.0	11.91	0.0	55.88	75.21	0.0	0.09	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.09	0.0	0.0	116.91	15.31	0.54	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	6.26	2.78	24.07	2.84	0.95	6.98	4.65	15.28	1.91	2.65	2.52	3.64	6.85	0.0	9.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	4.82	3.42
Camk4	2.11	1.16	4.84	6.46	30.05	3.14	5.71	18.6	52.49	52.14	32.96	30.58	31.51	65.18	60.76	23.29	43.56	20.75	27.38	6.35	20.83	40.2	31.53	1.05	91.11	2.77	51.78	80.29	42.33	52.22	5.46	59.82	3.8	16.64	50.53	57.39	34.8	71.9	103.08	45.27	0.66	25.44	6.09	41.55	1.09	102.85	27.07	36.44	31.1	34.18	89.15	2.3	1.22	2.39	0.94	0.97	1.72	2.07	92.23	53.54	12.48	2.38	44.47	60.11	44.16	49.0	47.89	55.57	73.83	35.12	56.48	47.26	59.3	47.34	48.68	64.71	16.52	5.19	18.22	9.73	24.92	30.44	37.11	23.72	7.3	85.12	69.62	59.4	72.95
