	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1700047I17Rik2	6.75	0.66	3.78	0.8	2.8	0.52	0.82	0.11	2.15	5.1	16.25	26.59	49.44	15.13	16.63	10.18	6.68	0.3	2.96	3.42	1.72	0.0	0.0	8.35	0.75	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	5.51	4.19	26.95	4.03	3.22	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	0.26	18.26	23.92	11.71	14.52	8.08	15.19	2.86	9.76	6.64	1.29
4930430F08Rik	44.38	16.75	9.04	0.0	0.0	0.0	0.0	0.0	0.0	178.58	0.7	0.0	0.0	78.91	116.44	2.71	25.43	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	45.51	49.47	0.07	0.94	76.91	0.37	0.0	0.39	4.57	36.36	12.6	13.76	36.89	20.21	0.0	1.5	0.12	36.2	14.99	78.89	71.67	8.97	52.51	31.43	10.02	6.75	0.0	33.5	133.55	40.41	0.0	28.86	15.65	44.17	99.28	27.18	1.1	103.46	10.88	0.0	0.04
4932411N23Rik	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	1.69	2.0	0.98	1.11	1.58	1.4	0.69	4.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	1.38	1.07	0.95	0.07	0.0	0.88	0.87	0.08	0.3	0.12	0.33	0.33	2.5	0.39	0.0	0.0	0.44	0.3	0.18	1.17	0.29	4.26	0.89	1.68	0.21	0.39	1.39	1.29	1.81	0.07	0.0	0.08	0.44	0.0	0.9	0.0	0.0	1.05	0.58	1.0	0.0
4933413L06Rik	6.65	28.65	2.03	0.0	0.0	0.0	0.0	3.42	0.0	54.11	54.16	71.24	30.14	61.64	103.44	12.54	78.28	0.0	0.0	0.0	0.0	0.0	0.0	5.31	7.91	3.85	3.88	3.89	3.56	20.0	25.25	1.59	1.33	31.19	4.92	2.79	5.71	0.41	0.63	30.36	17.05	0.8	22.78	15.37	1.39	7.99	2.48	11.62	24.29	1.19	1.62	71.25	13.92	7.4	2.22	0.77	14.95	22.16	11.66	25.43	15.24	7.3	23.53	9.78	7.92	3.36
6430548M08Rik	48.17	21.78	0.09	0.0	0.0	0.0	0.0	0.03	0.0	45.16	65.66	138.95	103.13	163.37	221.57	74.98	37.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	16.28	34.92	1.11	9.59	4.14	0.05	82.39	12.97	0.3	14.54	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.69	3.75	0.0	20.63	0.04	37.59	39.74	0.94	34.63	97.34	58.43	0.16	18.76
AI593442	80.59	38.1	33.91	0.0	0.0	0.0	0.0	0.0	0.0	335.01	280.04	133.37	448.77	432.79	548.38	428.23	160.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	81.46	144.98	55.31	533.11	68.57	388.52	80.54	100.5	111.22	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	0.0	94.22	52.25	140.62	208.55	14.94	70.92	209.69	70.24	57.92	20.52
Aldh5a1	19.85	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	27.27	0.04	15.92	0.0	23.28	146.41	23.28	4.79	0.0	0.0	0.0	0.0	0.01	0.0	0.0	12.81	14.66	0.17	0.0	39.83	0.22	0.14	2.83	25.46	0.0	0.07	5.25	0.05	0.0	0.0	3.74	17.02	27.8	0.0	20.39	0.04	0.08	0.0	0.0	17.86	0.0	2.37	24.01	27.51	0.0	0.0	0.0	0.0	0.08	0.0	34.1	0.0	21.18	0.16	0.0	5.09	0.51
Ank3	7.78	54.56	28.11	0.0	0.0	0.03	0.0	0.0	0.0	91.14	57.94	58.43	85.62	120.56	186.57	109.83	81.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.13	17.22	28.44	21.68	61.19	18.62	3.39	39.85	21.47	31.26	20.23	54.73	8.95	52.83	25.15	11.63	138.55	49.62	56.5	47.33	45.6	2.6	83.83	16.15	25.32	38.91	15.13	40.94	76.41	30.24	68.54	0.0	23.59	38.29	109.49	99.15	19.65	66.03	32.52	24.12	21.28	3.95
Bhlhb9	18.87	5.83	59.73	0.0	0.0	0.0	0.0	0.0	0.0	41.51	5.64	0.0	43.29	95.82	75.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.77	55.92	8.52	68.21	24.05	3.02	39.22	24.4	0.11	30.92	0.14	2.16	33.96	58.01	37.85	45.36	0.0	0.0	59.38	40.55	0.0	61.51	16.46	62.74	133.36	44.59	0.0	0.0	0.0	49.86	9.44	0.0	0.1	29.65	90.61	159.85	91.47	40.56	0.0	33.0	85.19	0.0
Cadps	133.42	70.08	73.33	0.0	0.0	0.0	0.0	0.0	0.0	248.86	201.95	121.81	317.62	196.48	109.85	116.8	183.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.59	24.72	55.6	2.32	65.38	13.28	121.44	91.96	10.28	79.95	12.37	71.04	28.59	105.33	59.75	17.34	134.45	102.55	148.21	57.86	47.69	85.53	55.2	55.13	62.1	46.81	84.96	101.58	74.74	56.9	15.74	0.0	54.2	50.99	70.06	66.35	69.57	133.53	58.89	70.44	27.24	16.88
Cept1	106.4	26.16	184.81	0.0	0.0	0.0	1.7	0.17	613.98	245.04	159.56	186.07	261.37	141.56	515.43	6.17	281.02	173.67	0.0	0.0	426.99	0.0	0.0	0.0	14.77	185.36	0.04	121.62	73.74	16.98	65.44	142.48	42.57	88.12	0.0	170.53	133.59	111.89	214.31	97.85	206.87	175.53	11.28	116.55	54.98	28.72	0.0	204.05	180.09	72.46	71.1	171.93	209.64	76.33	17.17	0.0	79.01	182.21	81.18	390.12	93.62	107.26	220.83	85.16	72.28	163.52
D3Bwg0562e	82.61	86.4	0.9	0.12	0.85	0.14	0.46	0.98	0.0	59.13	23.97	222.27	206.12	162.42	142.81	42.02	39.6	0.5	1.52	0.18	2.1	0.02	0.0	0.51	14.01	1.8	3.97	24.65	54.38	23.16	8.86	29.05	31.78	47.62	21.69	33.55	27.76	34.86	29.19	87.62	52.01	48.36	53.17	7.09	1.58	4.62	7.95	9.09	0.66	4.55	23.03	31.46	38.57	1.96	19.18	0.12	28.49	25.38	39.4	59.45	16.06	63.13	152.0	23.66	11.96	49.29
Dmxl2	7.66	77.85	2.09	0.0	0.0	0.0	0.39	0.0	0.0	30.61	32.7	111.47	158.77	194.75	32.14	69.7	34.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.06	24.71	33.37	7.34	27.39	14.54	5.33	11.52	0.06	13.01	9.07	21.97	8.92	15.94	26.42	38.89	27.53	14.26	28.92	45.67	21.78	26.46	43.87	27.43	0.75	17.7	7.45	36.08	40.31	5.87	5.24	0.0	5.71	49.22	11.74	36.01	21.64	2.77	18.39	10.68	12.39	11.15
Dnajc6	85.91	47.31	11.12	0.0	0.0	0.0	0.0	0.0	0.0	130.77	119.15	168.1	220.25	255.48	83.91	215.02	22.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.69	116.94	46.51	28.18	19.96	93.38	74.77	26.78	1.47	28.01	59.77	19.37	40.17	54.17	20.96	31.48	76.44	24.88	107.61	49.46	70.65	27.94	61.06	77.4	43.56	48.12	25.11	11.35	32.72	43.21	46.19	0.0	3.36	62.72	22.04	124.26	44.22	50.0	137.71	37.21	30.45	53.99
Elavl4	114.25	94.1	125.86	0.0	0.0	0.0	0.0	0.0	0.0	84.32	95.39	55.6	15.16	104.59	293.07	56.77	366.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.53	23.99	45.48	44.61	35.2	67.18	45.01	179.37	79.59	23.15	50.75	83.5	53.27	55.96	2.16	101.98	172.53	105.88	29.68	6.08	99.02	92.65	89.86	150.73	79.74	39.47	81.07	60.51	36.64	58.73	145.13	0.0	58.25	164.54	0.27	157.0	77.58	62.14	152.88	144.32	82.24	80.23
Fam177a	6.75	0.66	3.78	0.8	2.8	0.52	0.82	0.11	2.15	5.1	16.25	26.59	49.44	15.13	16.63	10.18	6.68	0.3	2.96	3.42	1.72	0.0	0.0	8.35	0.75	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	5.51	4.19	26.95	4.03	3.22	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	0.26	18.26	23.92	11.71	14.52	8.08	15.19	2.86	9.76	6.64	1.29
Fam49a	0.0	0.14	32.32	0.0	0.0	0.0	0.0	0.0	0.0	126.16	239.08	58.17	414.23	398.32	211.64	299.17	137.2	0.09	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.17	0.11	0.14	0.36	0.28	34.39	30.06	0.0	11.84	0.0	26.89	0.0	55.2	0.0	0.1	93.4	0.06	291.47	20.75	32.24	20.99	0.05	69.94	41.62	26.64	24.36	149.56	14.34	26.64	0.0	0.0	9.99	1.32	65.04	82.28	0.0	0.0	43.77	0.16	44.31	0.04
Gad2	320.61	411.41	371.93	0.59	0.0	1.33	3.08	0.21	0.62	462.02	762.48	1445.41	1293.84	985.01	899.36	1076.3	453.92	0.16	0.07	0.34	0.77	0.75	0.0	0.71	245.09	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	301.16	198.65	804.54	283.25	486.53	218.1	261.36	348.54	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.0	388.23	245.39	533.08	406.16	315.14	194.46	331.26	230.51	290.56	429.79
Gdap1	108.11	143.9	44.73	0.0	0.0	0.0	0.0	0.0	0.0	109.64	131.15	195.78	144.8	166.98	206.79	47.76	42.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.37	19.53	9.94	7.56	41.55	17.96	49.94	16.18	40.91	40.54	42.63	19.11	59.26	30.68	62.13	82.06	92.23	103.74	50.16	27.84	43.82	8.62	85.05	10.33	40.79	19.22	48.07	15.87	39.68	43.12	80.98	0.0	92.67	26.15	3.07	47.25	41.11	44.57	19.9	74.1	123.86	64.97
Gm11127	13.63	21.84	11.65	0.0	0.0	0.62	0.0	0.36	0.0	25.63	106.98	20.1	46.95	39.47	85.16	38.55	25.33	0.0	0.97	0.0	0.0	0.0	0.0	0.0	13.55	20.49	13.79	6.89	35.21	4.98	9.19	12.41	35.18	21.92	17.88	5.03	11.15	15.17	17.68	37.11	42.92	27.56	31.67	14.59	14.83	25.53	23.73	15.2	18.99	15.97	26.28	18.04	16.98	8.93	25.76	6.92	11.06	15.52	24.54	43.36	21.82	8.75	17.38	11.17	10.28	1.58
