	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1700019E19Rik	89.21	5.79	0.0	0.0	5.96	34.78	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	222.35	0.0	0.0	0.0	0.0	7.13	0.0	0.0	104.41	0.65	62.88	5.66	199.9	0.0	47.09	2.63	175.99	6.1	0.0	169.31	0.0	0.0	0.0	0.0	57.71	2.87	0.0	0.0	0.0	0.0	254.34	58.76	0.0	134.87	0.0	19.57	125.99	10.28	50.61	0.0	36.66	0.0	33.14	49.89	0.0	0.48	0.0	0.0	0.0	0.0	0.0	58.26	49.5	0.0	0.0	23.82	6.78	98.63	0.0
6330403K07Rik	679.79	65.65	841.83	635.4	577.68	1240.96	0.0	0.0	149.87	16.6	0.53	88.22	176.83	121.74	251.26	0.0	18.56	33.19	0.0	0.0	0.0	907.71	1350.06	655.92	1058.02	685.74	1029.7	337.86	542.7	667.83	941.07	1151.65	888.52	793.04	559.16	681.8	1159.17	863.16	440.11	113.25	80.76	525.05	0.18	269.55	633.41	193.74	0.0	607.2	245.61	441.66	368.83	432.33	608.72	0.0	541.24	909.53	412.79	203.97	0.0	0.45	0.0	0.0	0.0	0.0	0.0	453.94	754.64	850.62	758.5	490.82	1418.71	723.18	761.04
Atp6v0a1	133.99	44.6	201.73	50.99	0.91	190.58	0.0	78.62	157.71	259.62	167.67	278.06	188.27	74.89	362.62	256.13	197.24	31.71	0.0	93.38	0.0	182.12	300.92	80.31	153.81	225.05	187.14	166.55	56.58	225.42	278.48	88.16	146.5	292.96	274.23	150.71	175.29	165.73	6.19	86.32	91.56	148.19	122.74	118.97	153.23	87.94	138.93	89.08	126.26	81.13	61.83	261.71	35.69	0.0	87.06	281.73	119.81	170.79	0.0	0.09	0.0	0.12	0.0	33.43	0.0	40.48	47.94	96.12	96.36	257.61	58.22	90.66	89.06
Bcl11a	131.45	76.5	77.27	54.34	139.42	275.84	0.0	0.0	0.03	63.15	50.49	93.3	92.4	0.2	293.61	89.5	1.04	32.15	0.0	1.16	0.0	118.2	218.24	163.6	180.26	90.58	213.74	1.25	50.53	58.31	127.31	180.97	138.3	160.01	137.86	96.48	58.45	190.92	80.8	208.12	163.67	107.02	10.07	177.84	70.55	94.75	72.44	98.6	204.06	82.34	178.76	5.83	84.36	0.03	33.73	40.27	119.49	30.85	0.0	0.06	0.0	0.0	0.0	0.0	0.0	131.14	66.39	145.12	83.18	0.0	188.8	59.78	134.53
Bub3	68.4	130.23	207.27	0.07	176.46	39.08	0.0	0.0	116.14	54.26	116.12	0.0	156.42	13.8	308.26	209.44	150.5	139.32	0.0	105.76	0.0	130.73	70.85	188.66	145.14	0.16	177.13	124.64	30.3	264.13	56.03	196.1	142.95	77.41	40.53	119.68	51.39	224.73	162.44	191.9	278.72	143.33	131.8	144.09	137.06	299.56	188.91	105.51	337.92	199.23	151.59	109.56	232.65	0.15	221.66	143.02	215.78	155.4	0.0	1.03	0.0	0.45	0.0	0.0	0.0	42.84	68.07	31.2	55.25	169.04	138.1	141.75	181.56
Cadm1	115.85	33.26	116.85	20.83	52.44	101.26	0.0	0.0	55.62	4.0	39.01	93.1	1.95	67.17	303.44	77.98	28.08	44.61	0.0	0.97	0.0	50.19	66.69	185.28	40.57	109.58	19.26	126.17	79.75	123.35	79.39	152.52	62.29	113.54	147.48	87.15	66.89	76.19	53.19	31.24	4.26	35.74	22.86	89.11	214.29	126.23	10.61	73.05	131.02	103.14	110.02	81.25	80.49	0.18	95.85	120.64	100.3	31.54	0.0	0.33	551.8	0.0	0.0	0.0	0.0	69.35	206.17	99.15	97.32	103.02	54.13	46.23	47.89
Cadm2	111.22	33.62	78.06	31.52	26.2	16.9	0.0	0.0	14.2	48.18	64.39	4.07	0.45	6.01	138.41	0.0	50.68	31.25	0.51	49.83	0.0	66.68	110.26	47.23	0.51	42.14	97.32	27.66	87.48	41.19	80.81	41.71	21.86	23.46	55.03	58.18	44.49	59.75	28.05	46.32	7.89	83.18	20.12	44.0	37.98	73.36	21.48	74.61	55.31	32.0	56.32	23.45	13.13	0.1	86.38	63.5	39.52	74.68	0.0	0.18	0.4	0.3	0.0	0.12	0.0	33.16	29.36	60.23	92.17	43.15	76.24	28.7	71.27
Cd200	553.82	236.8	475.72	389.99	517.51	889.24	0.0	29.85	331.47	666.65	355.99	77.13	383.97	576.55	2063.71	726.28	777.28	332.06	0.0	1135.98	606.33	961.44	754.18	907.13	779.23	365.71	1009.43	741.01	523.98	539.55	940.92	1040.53	697.67	790.43	620.0	1138.6	1110.22	723.08	700.81	619.9	299.79	700.99	299.02	589.71	936.27	562.29	294.43	626.34	910.38	1163.47	827.35	799.33	697.6	0.4	712.26	754.94	1086.79	553.62	0.0	0.45	0.0	0.0	0.0	0.0	0.0	1123.19	507.14	958.65	750.79	505.09	859.75	885.13	1026.5
Cdh13	352.33	0.4	547.69	0.0	162.71	144.76	0.0	0.0	2.69	307.63	134.02	0.0	1.48	0.27	1710.29	0.0	52.54	0.0	0.0	161.93	0.0	343.68	857.46	563.85	124.82	414.96	655.6	299.96	348.05	362.9	384.76	698.81	228.25	502.75	355.17	443.86	219.62	239.23	207.76	88.81	0.11	121.3	1.57	470.44	546.23	338.3	85.81	89.14	162.49	223.03	89.81	148.0	431.92	0.14	384.93	269.98	533.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.62	562.88	455.55	361.06	0.0	857.35	237.36	260.13
Cntn1	448.3	161.21	179.3	164.6	189.33	307.19	0.0	0.0	47.48	40.75	110.98	210.47	300.93	433.68	1651.0	92.89	150.21	150.22	0.0	126.67	0.0	362.69	221.84	290.37	382.4	423.99	523.59	315.36	398.45	373.45	434.07	262.77	316.29	295.72	189.45	235.91	235.69	375.34	133.0	262.3	121.74	423.78	99.79	235.61	210.14	321.71	92.32	187.61	108.64	200.54	410.28	322.03	373.48	0.05	168.19	399.93	336.45	625.13	0.0	0.06	0.0	0.08	0.09	0.27	0.24	387.87	335.3	254.0	463.81	664.34	408.58	308.66	303.05
