	Calb2_tdTpositive_cell_10	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_9	Ntsr1_tdTnegative_cell_51	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_130	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Vip_tdTpositive_cell_29	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_42
2810029C07Rik	47.62	0.0	18.42	0.0	0.23	0.0	0.0	0.0	63.66	84.59	109.58	0.0	88.07	0.55	97.2	50.85	0.08	0.05	0.02	84.38	0.0	0.0	0.0	0.0	126.69	0.0	0.0	0.0	0.0	361.88	0.0	0.0	106.39	118.98	86.07	0.0	64.08	0.0	0.0	71.54	0.0	0.19	0.0	0.91	0.0	32.4	0.0	0.0	0.0	0.0	57.05	135.97	0.0	10.31	19.01	3.66	0.92	0.0	2.02	117.99	0.16	0.61	114.0	0.0	0.0	13.56	30.31	7.08	13.95	12.21	49.71	29.03	27.65	42.98	25.94	33.7	104.4
4933413L06Rik	9.35	0.54	0.43	5.15	5.31	1.9	7.61	6.03	13.14	6.7	5.18	19.19	2.41	3.24	7.52	16.85	5.12	26.85	0.89	2.54	3.45	0.69	3.5	47.73	3.09	2.02	0.0	0.0	0.0	7.28	1.46	2.65	61.38	3.38	19.28	0.0	22.24	12.44	24.53	25.9	2.91	125.74	4.98	6.47	8.22	2.39	1.35	38.32	37.48	8.46	13.94	1.76	0.79	1.33	4.93	14.72	2.01	1.32	1.48	23.11	3.9	3.83	15.78	8.77	0.0	20.5	44.63	51.27	39.46	23.36	32.27	22.66	31.43	54.29	33.99	35.42	35.92
5930434B04Rik	115.12	0.41	0.27	0.28	84.15	1.54	0.45	0.53	0.88	0.0	0.0	0.0	0.0	0.35	0.9	22.84	1.38	0.08	31.26	0.88	0.0	0.94	0.61	1.36	99.85	0.35	0.0	3.03	0.0	0.44	6.21	0.95	146.7	108.09	53.2	0.0	8.41	0.0	0.46	0.0	137.67	0.25	0.32	39.34	0.0	0.0	0.0	90.64	8.19	10.76	0.0	0.0	0.58	0.0	0.0	0.92	5.59	1.14	0.57	1.52	0.11	0.0	7.59	0.48	0.0	18.14	5.08	8.04	5.67	33.65	10.4	8.89	10.53	11.35	19.8	6.76	0.73
A630007B06Rik	0.73	0.0	36.38	0.12	0.0	0.0	55.51	0.0	0.0	43.0	10.15	0.0	2.13	18.66	0.04	62.05	0.04	48.46	2.52	36.41	0.0	0.0	4.48	0.0	78.52	0.0	0.0	433.97	0.0	7.09	19.17	0.15	52.05	93.1	1.58	0.0	57.96	0.0	0.0	33.12	58.6	4.75	58.25	50.64	0.0	0.0	26.15	0.0	0.0	36.13	14.69	150.03	0.0	0.0	2.41	4.72	0.0	0.0	0.0	0.0	1.6	37.79	0.0	0.0	0.0	12.89	24.43	21.14	21.29	28.58	16.55	20.31	14.16	9.65	9.75	8.57	61.57
A830018L16Rik	9.86	0.12	1.0	1.06	8.85	2.07	1.06	27.68	3.42	0.47	0.59	1.52	24.65	0.95	23.64	17.98	0.88	22.5	69.12	3.9	48.39	43.19	5.32	101.78	117.87	0.17	0.11	0.2	3.46	0.27	1.19	0.68	49.93	101.03	34.53	0.36	19.32	42.64	2.68	118.17	54.64	47.72	7.79	1.49	1.73	47.04	32.19	33.76	81.64	25.5	7.84	3.34	27.12	24.59	1.08	5.95	0.98	9.26	6.56	32.52	1.07	25.95	4.53	96.63	0.39	85.85	44.61	67.64	53.36	42.79	59.76	58.29	62.35	60.59	62.4	59.44	93.34
Adam23	2.73	0.0	8.55	0.46	107.23	23.24	1.86	26.97	10.5	8.69	1.98	3.65	0.32	65.66	5.85	32.35	1.84	6.57	1.06	16.03	4.73	4.02	21.86	3.45	5.86	0.0	0.0	0.0	0.0	4.46	54.47	2.39	57.87	15.62	5.7	0.0	13.38	8.3	9.32	112.06	5.76	23.45	0.73	2.06	0.0	5.55	0.0	8.58	1.2	0.92	15.67	0.0	0.0	0.65	32.28	2.54	29.31	3.82	6.5	0.88	1.4	2.97	39.04	19.76	14.51	22.0	25.35	12.85	13.43	10.82	15.86	26.52	30.2	32.83	25.01	23.44	59.83
Adcy1	33.43	0.0	1.9	30.43	0.36	6.05	90.67	0.0	3.72	4.07	90.16	32.05	12.45	42.18	18.64	70.0	45.13	22.96	22.43	44.86	0.0	13.85	3.09	52.98	17.2	0.0	0.0	0.0	0.18	43.49	32.48	53.72	44.19	6.13	8.45	0.0	37.49	41.41	16.74	73.76	75.46	26.21	24.25	41.69	0.0	7.81	19.58	22.0	7.57	2.2	16.24	28.51	47.93	7.97	13.61	42.28	21.62	11.07	36.12	19.64	44.56	5.95	35.18	0.0	0.0	35.81	36.15	48.06	34.32	43.89	51.06	41.72	54.26	51.82	49.75	57.0	50.99
Aig1	0.0	0.0	68.93	0.0	119.34	0.0	161.86	0.0	0.0	0.0	91.71	0.0	0.0	0.13	0.22	64.06	56.39	153.35	22.41	31.03	0.0	45.52	0.0	0.85	189.88	0.0	0.0	0.0	0.0	163.94	33.18	38.25	148.57	224.34	24.97	0.0	72.46	0.0	0.0	68.44	0.0	70.63	200.33	157.33	0.0	0.0	0.0	0.0	0.0	0.0	6.12	30.36	0.0	8.55	68.81	0.58	0.0	114.29	11.57	102.74	82.73	1.15	0.0	0.0	0.0	88.67	47.17	37.85	96.41	131.56	79.35	94.22	95.86	46.65	84.52	85.3	118.63
Cacng2	0.1	0.0	21.97	1.19	5.85	0.0	11.06	0.0	4.86	2.5	3.29	0.0	3.14	1.25	0.0	15.73	3.48	5.59	6.95	7.48	0.0	0.42	1.6	2.98	25.29	0.0	0.0	0.0	0.0	0.0	5.26	0.0	8.08	3.53	16.08	0.0	16.2	0.0	0.25	0.72	2.66	1.51	0.18	0.0	0.0	0.0	2.14	5.72	7.35	1.51	1.08	0.0	3.63	0.0	1.88	3.27	3.49	11.75	0.45	0.0	4.84	2.85	3.52	0.0	0.0	3.44	2.11	3.59	2.39	0.82	6.02	6.05	7.77	3.41	4.05	4.93	3.29
Ccl27b	5.97	0.0	16.65	5.53	133.13	0.0	8.96	4.09	3.85	0.0	0.0	16.96	16.97	1.5	45.01	6.93	3.5	2.2	9.16	3.97	10.86	14.87	14.96	0.0	38.65	0.0	0.0	0.0	0.0	0.0	18.38	0.0	182.96	54.51	3.11	0.0	15.77	3.5	0.0	0.0	0.0	118.45	21.22	0.94	0.0	0.0	0.54	2.42	5.6	4.67	2.66	0.69	1.07	34.73	4.74	20.39	33.18	3.38	0.0	9.21	16.22	2.15	0.0	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	61.27	76.52	71.98	212.54
Dhx8	7.1	0.0	0.1	1.36	7.75	0.0	18.68	0.07	5.2	0.0	17.76	7.6	5.51	9.38	11.54	9.61	6.25	0.03	0.02	2.27	0.12	0.0	0.0	0.34	0.94	0.0	0.0	0.0	0.0	0.0	0.35	1.12	0.01	0.12	4.94	0.0	8.37	0.0	0.72	0.0	4.35	0.5	0.0	8.23	0.0	64.67	34.16	0.17	6.81	39.16	3.18	0.0	0.0	0.14	3.51	7.96	0.31	1.35	0.15	5.03	0.0	14.89	0.0	7.93	0.0	8.51	6.33	1.73	11.49	9.39	9.03	14.7	6.92	12.09	8.45	9.02	10.98
Dmd	9.13	0.22	15.59	15.82	3.78	17.24	29.58	27.56	37.08	12.04	41.4	29.87	6.23	30.23	52.47	15.62	30.16	17.23	0.08	16.28	14.11	0.06	0.05	16.48	23.79	0.0	0.0	0.02	0.0	0.71	12.75	13.25	17.89	50.73	22.54	0.0	11.4	5.36	26.54	36.52	21.42	23.0	15.09	28.22	0.57	21.8	29.74	5.96	10.37	41.2	39.51	15.94	13.38	7.49	9.47	11.49	0.74	17.01	5.99	16.72	10.74	0.17	1.83	9.49	0.32	28.37	30.68	37.72	28.35	22.61	39.47	29.93	27.1	23.47	21.95	16.38	67.17
Enc1	3927.72	1241.01	3711.69	3694.68	4617.29	3647.17	4133.68	4193.41	4319.15	3876.16	4964.77	4079.98	3282.46	3134.05	3323.28	4371.04	5244.75	4858.01	4969.83	5086.85	5961.43	4272.89	3934.88	4083.82	3103.23	1501.57	735.12	1295.71	522.45	3113.26	3056.19	4241.61	1454.96	3158.03	3477.82	0.0	3133.4	3345.6	4486.48	3979.52	4614.47	3728.36	3721.76	4102.95	0.0	3827.54	4287.75	3432.72	4482.7	4537.38	5364.46	4142.42	5158.5	3656.83	4744.08	3919.74	3922.04	3946.3	6135.31	3828.37	4563.79	3766.5	4140.23	3620.13	2525.95	2266.72	1863.11	2049.37	2024.38	1690.35	1796.82	1984.03	1493.52	2712.97	2372.29	2355.4	1211.35
Epb4.1	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	4.77	0.0	0.02	0.0	0.0	0.11	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.6	22.52	0.0	0.0	0.0	0.47	0.0	0.27	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.8	0.0	0.0	12.73	0.0	1.46	4.79	2.43	5.69	7.61	4.38	4.72	2.42	2.69	3.04	3.06	28.44
Fgf10	1.32	0.33	0.43	0.2	1.24	1.52	0.93	0.87	1.33	0.44	0.42	1.47	0.52	0.72	1.25	1.17	0.63	1.33	0.14	0.97	0.81	0.4	0.39	1.9	0.96	0.04	0.44	0.0	0.42	0.0	0.68	0.87	0.95	42.87	12.68	0.11	0.89	20.94	53.02	172.65	11.21	0.54	0.62	1.55	0.0	0.4	0.84	3.36	44.57	10.5	1.22	0.37	0.37	1.01	0.83	0.13	18.93	0.46	0.2	0.65	0.66	0.74	1.15	1.69	0.1	5.1	13.36	25.86	22.24	1.81	6.11	1.27	18.45	28.96	21.82	23.17	22.88
Foxp2	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.03	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.29	16.09	0.0	0.0	0.07	0.0	0.0	0.02	0.0	1.45	0.0	0.04	0.0	0.0	0.0	0.11	0.09	0.09	0.0	0.0	0.22	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	36.75	48.04	27.02	63.78	29.71	62.67	64.09	55.0	73.1	59.52	53.91	27.08
Fut9	15.68	0.0	31.44	19.35	48.1	0.0	33.62	84.23	31.25	21.32	23.51	1.73	31.31	13.84	11.78	30.93	13.84	35.16	24.81	69.06	16.66	12.74	44.05	27.26	37.82	0.0	0.0	0.0	0.0	35.68	11.5	12.63	82.28	112.95	93.65	0.0	35.02	25.64	4.09	39.12	28.62	35.03	107.98	32.17	0.0	41.49	39.84	4.74	62.22	27.45	5.24	68.69	0.06	60.61	38.84	86.19	16.75	9.75	3.6	0.79	19.05	8.97	31.13	29.82	0.0	74.92	56.25	63.31	58.22	61.53	59.84	62.85	55.73	59.7	44.78	40.12	30.2
