	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_61	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_3	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
Ccl27b	34.95	19.36	2.22	2.68	26.22	48.33	28.24	133.13	0.0	41.09	8.23	29.04	7.65	14.87	38.65	207.42	32.42	497.2	70.05	39.42	5.82	141.26	152.11	131.07	5.88	112.91	310.16	318.99	272.53	85.18	178.93	34.34	0.0	28.3	210.22	21.3	40.26	114.35	118.2	7.32	177.16	0.0	159.53	72.74	7.71	34.73	156.7	0.0	33.18	177.66	75.81	61.27	76.52	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77	84.31	258.72	132.48	66.02	71.07	132.15
Cdkn2d	495.96	326.5	0.74	273.55	12.3	104.38	577.17	0.0	56.48	142.43	452.76	130.61	0.61	75.3	83.7	0.0	159.68	286.37	0.34	412.68	158.3	210.25	113.71	9.33	281.08	98.45	301.04	291.15	6.51	8.23	280.12	145.32	30.17	368.27	165.16	163.2	148.77	3.93	304.48	273.72	148.82	0.52	258.45	1.06	0.0	267.08	0.0	142.21	182.34	138.22	208.65	196.7	262.85	124.21	246.26	0.23	189.64	204.8	312.25	216.84	89.22	170.24	233.07	108.71	260.12	243.58	108.26
Chchd1	60.51	261.68	335.59	170.18	0.0	65.86	115.12	352.37	98.05	390.33	355.85	218.91	332.77	231.25	140.15	277.6	268.13	125.71	31.13	37.61	269.15	46.73	210.95	133.66	331.08	207.9	238.57	208.9	459.51	143.35	265.42	298.46	56.12	265.9	66.86	321.46	249.17	265.39	310.47	313.33	346.51	0.0	109.33	287.89	0.0	293.55	150.08	71.56	330.4	244.1	188.67	209.7	208.1	206.61	824.66	256.13	405.32	298.34	293.24	288.43	218.96	182.63	284.74	191.85	279.8	77.65	318.74
Ckmt1	139.49	836.05	853.18	505.14	325.4	399.44	204.78	285.07	703.4	127.57	329.59	1239.07	403.59	257.48	476.24	267.87	173.89	191.0	816.12	242.91	700.64	1062.23	540.02	1008.53	683.71	332.47	1103.6	407.93	1102.41	577.86	822.69	819.86	447.54	1609.73	919.03	357.07	627.78	369.57	722.99	132.0	784.47	0.82	544.61	248.1	893.12	631.22	469.83	1292.73	432.64	635.82	595.0	402.95	517.3	209.59	0.55	982.64	1222.06	598.5	467.0	794.74	684.96	392.74	1750.85	620.97	1408.54	382.56	864.51
Cox7a2	419.45	933.28	834.22	498.38	435.93	402.9	459.43	519.76	705.68	620.11	518.85	397.01	928.63	762.01	285.91	388.9	417.1	506.52	759.3	557.23	812.43	280.67	703.92	473.96	761.66	855.25	1111.41	684.87	809.97	603.48	713.47	435.37	384.82	802.71	954.87	897.37	1113.38	1101.78	1316.54	1273.09	1270.53	0.45	556.18	244.18	955.79	833.96	501.33	727.89	775.91	800.57	873.3	609.89	704.77	364.08	1084.74	943.06	1229.03	984.69	1411.28	867.03	2086.6	696.59	1251.94	694.74	768.01	681.66	559.53
Crym	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.87	385.41	1015.38	463.5	732.56	1218.98	476.57	522.05	381.18	561.7	1003.74	0.0	682.09	277.13	109.23	194.07	25.82	222.81	91.03	349.7	0.0	0.0	0.27	0.0	0.0	746.02	0.0	0.0	785.96	405.94	438.96	485.44	346.44	472.94	8.55	1020.45	594.42	502.99	567.76	614.16	693.03	154.07	1263.83	640.63	765.35	777.0
Dad1	505.22	1050.09	563.03	420.46	244.24	244.86	555.66	589.72	433.51	768.11	279.24	800.38	841.45	581.33	449.39	380.86	131.44	521.88	267.37	206.96	217.14	427.85	648.51	627.45	978.85	426.63	884.84	675.73	858.56	1508.97	1064.27	208.96	211.76	983.05	564.04	824.93	879.01	845.23	673.01	974.33	986.29	1327.57	560.68	326.25	1035.71	358.22	1130.76	357.93	185.25	609.79	713.37	577.01	762.84	379.13	797.32	558.7	1077.04	613.93	696.64	1099.01	975.07	783.92	330.8	452.69	766.05	877.83	635.02
Dpy30	472.26	203.77	423.59	0.0	122.48	104.86	149.6	104.41	147.95	0.0	100.89	127.47	0.0	96.11	160.58	0.0	146.79	162.05	265.12	127.25	468.84	314.22	152.62	148.28	322.05	171.8	297.54	199.57	310.43	296.41	513.34	391.15	100.27	252.93	267.19	257.71	328.72	519.94	271.96	135.83	157.63	0.0	495.91	234.12	190.83	330.63	219.07	200.53	0.0	250.81	292.97	259.46	226.48	175.73	546.35	257.23	196.98	251.98	452.0	290.89	865.9	0.0	299.71	404.56	315.73	430.98	301.73
Dynll1	583.38	1447.06	496.44	530.1	788.4	323.08	574.76	261.11	881.46	638.66	297.07	446.13	437.11	609.64	724.05	341.33	355.7	752.79	485.48	824.75	536.87	908.1	1164.81	1353.73	1517.62	679.8	1787.36	1558.91	2014.4	1119.76	1033.21	1323.04	713.16	1368.59	1582.89	959.34	1031.08	891.12	1043.41	1282.2	982.58	2.0	514.41	834.7	1171.29	755.33	774.32	995.89	858.24	1308.63	1381.08	731.94	923.72	566.27	853.25	1303.01	1539.4	1282.72	1703.06	1362.68	1104.32	836.96	884.62	702.2	542.04	890.97	643.79
Dynlrb1	543.05	2549.26	1059.34	1081.6	600.45	420.94	696.53	416.91	377.63	1122.69	744.32	379.15	502.18	882.58	1116.45	650.73	493.07	1032.84	1036.37	1656.62	1064.54	1275.38	833.88	1487.93	1750.9	925.94	1418.8	1269.93	1755.87	1189.46	1096.72	872.53	700.58	1214.23	1079.22	1631.4	1721.35	1959.77	1589.35	2041.75	1369.56	2.0	1025.84	804.99	1190.85	1169.92	1375.59	993.88	1087.04	1106.4	1229.98	1065.32	1084.38	423.21	2230.13	2763.58	1451.0	2248.34	942.32	2742.1	1985.54	1572.46	1319.07	762.12	1836.25	915.06	1136.3
Eif3i	324.43	353.9	548.82	625.52	123.24	336.56	831.59	166.96	165.76	310.61	0.0	934.65	712.21	337.17	229.48	501.48	471.41	581.62	334.04	590.81	225.92	370.04	407.03	536.68	574.15	354.92	685.82	825.03	560.02	65.46	416.51	473.49	314.94	635.84	533.5	371.5	275.2	408.2	275.05	579.27	481.76	1.5	342.71	4.11	464.67	90.64	548.52	516.15	205.77	473.58	494.26	288.86	389.93	430.74	214.33	92.2	283.71	642.71	843.29	608.14	540.68	973.71	499.99	154.46	152.82	382.94	528.83
Eif3k	344.3	1147.73	280.15	145.85	121.45	288.43	315.1	391.67	463.87	115.88	508.22	367.1	675.66	506.24	588.3	546.79	440.08	732.88	380.85	534.41	336.35	425.85	730.15	552.45	318.89	469.34	566.65	1445.21	176.66	217.36	637.15	168.85	237.7	893.92	599.27	534.41	512.56	857.84	631.11	811.48	734.26	0.88	728.99	166.3	342.62	121.69	621.55	488.96	141.98	538.18	619.61	348.36	431.77	564.76	291.78	526.75	594.48	348.23	250.91	1137.81	531.88	810.32	291.68	612.72	268.59	148.23	528.59
Esd	309.66	419.49	202.31	145.94	233.04	82.25	226.14	289.71	126.06	39.04	160.53	0.0	137.4	297.03	240.11	109.85	330.68	107.96	106.47	339.66	290.77	255.71	131.43	448.42	271.22	237.39	95.43	449.55	457.05	55.81	255.15	9.83	215.91	345.39	286.25	279.8	280.77	118.5	238.42	264.91	535.82	0.61	168.66	319.11	40.48	96.33	1.58	255.57	257.51	208.24	218.41	240.61	203.8	41.87	204.14	399.72	156.22	65.99	275.7	195.75	208.97	126.22	599.43	236.64	799.55	153.85	252.64
Fabp3	753.92	632.58	447.66	940.24	486.34	473.8	328.31	889.05	791.3	812.6	1035.99	190.92	324.84	408.87	340.46	523.76	760.81	937.39	250.53	771.04	798.64	313.06	683.44	751.24	423.34	493.02	743.28	802.04	620.7	705.24	1110.7	704.86	328.34	600.41	786.18	952.0	575.37	606.87	849.14	1342.05	992.73	0.54	428.51	492.41	1389.57	378.45	1040.21	438.75	366.67	617.84	692.5	497.46	520.57	559.22	1743.89	1748.53	1065.4	668.66	179.37	1152.98	1077.97	430.34	634.94	432.85	400.2	807.58	536.35
Fezf2	0.0	101.14	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.82	32.3	6.25	68.52	0.0	106.74	8.72	53.69	29.44	0.0	0.0	0.0	61.86	169.92	0.55	44.12	47.71	47.22	19.04	33.32	0.0	0.0	0.29	0.0	0.0	79.42	0.0	0.0	60.4	24.81	21.06	24.74	0.0	0.12	4.09	4.3	0.0	152.52	45.58	0.1	168.53	41.41	10.21	205.24	0.56	56.52
Gcc2	250.36	14.82	9.01	24.41	3.75	51.29	0.23	69.7	5.14	7.15	2.09	19.61	9.4	41.56	19.64	40.73	45.29	10.38	9.7	8.66	7.8	4.06	47.85	1.93	44.75	78.22	34.9	70.73	16.87	44.76	88.5	0.06	8.75	25.96	80.79	38.01	20.11	33.97	24.46	59.87	59.48	0.1	65.93	40.66	19.04	31.54	20.32	47.67	72.27	59.78	43.85	53.52	47.71	108.54	73.78	11.06	27.39	28.52	26.97	35.46	36.2	97.86	30.71	4.67	175.79	2.26	145.91
Gm13306	34.95	19.36	2.22	2.68	26.22	48.33	28.24	133.13	0.0	41.09	8.23	29.04	7.65	14.87	38.65	207.42	32.42	497.2	70.05	39.42	5.82	141.26	152.11	131.07	5.88	112.91	310.16	318.99	272.53	85.18	178.93	34.34	0.0	28.3	210.22	21.3	40.26	114.35	118.2	7.32	177.16	0.0	159.53	72.74	7.71	34.73	156.7	0.0	33.18	177.66	75.81	61.27	76.52	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77	84.31	258.72	132.48	66.02	71.07	132.15
Gm2506	34.95	19.36	2.22	2.68	26.22	48.33	28.24	133.13	0.0	41.09	8.23	29.04	7.65	14.87	38.65	207.42	32.42	497.2	70.05	39.42	5.82	141.26	152.11	131.07	5.88	112.91	310.16	318.99	272.53	85.18	178.93	34.34	0.0	28.3	210.22	21.3	40.26	114.35	118.2	7.32	177.16	0.0	159.53	72.74	7.71	34.73	156.7	0.0	33.18	177.66	75.81	61.27	76.52	88.07	319.12	80.83	235.31	83.58	176.84	97.07	149.77	84.31	258.72	132.48	66.02	71.07	132.15
Gng3	890.52	1174.97	827.29	510.13	511.95	726.04	747.47	655.29	579.57	651.72	694.03	507.34	354.67	538.15	446.73	625.75	975.29	534.66	731.1	1746.86	964.83	886.43	757.74	466.69	562.21	435.55	1440.03	1480.92	1065.38	638.12	1170.04	472.89	622.42	912.63	636.35	1102.49	975.18	841.84	849.7	1218.64	1059.2	1.34	744.39	785.34	793.19	394.08	663.23	624.86	802.73	716.39	684.22	509.42	663.92	419.07	1457.83	2011.91	1106.57	1185.31	1429.14	1365.08	1153.21	1178.72	566.2	736.42	682.0	652.07	847.64
Grcc10	1076.13	1098.12	498.49	612.54	256.16	270.87	1294.93	392.22	423.86	564.18	591.41	337.3	429.38	793.88	628.35	160.46	666.88	883.19	682.11	558.43	801.89	211.81	63.5	499.11	518.25	354.14	791.02	1385.12	1156.76	252.48	1195.25	701.43	330.05	1398.92	702.28	607.2	774.3	664.07	550.46	661.09	1063.79	3.69	282.92	52.18	346.34	262.44	287.54	183.85	621.9	565.34	682.64	436.2	495.88	200.53	714.75	1008.29	651.6	428.75	313.64	137.53	905.6	652.83	585.85	384.06	367.35	956.34	198.94
Gtf2h5	386.79	381.92	201.3	146.42	318.17	210.61	174.44	76.29	375.26	254.95	60.61	12.93	352.52	105.05	133.53	440.66	189.89	631.99	222.78	357.03	573.26	179.69	204.29	146.34	424.69	271.91	435.65	313.83	681.99	244.8	285.41	193.64	182.71	429.07	259.47	451.26	362.89	318.42	406.53	404.71	312.14	0.56	360.18	15.39	23.21	76.82	244.2	301.35	335.39	399.99	412.11	328.15	366.61	82.19	518.83	351.21	359.09	226.69	422.12	280.83	539.84	324.64	513.43	344.24	238.86	361.61	411.34
Higd2a	367.66	483.74	263.13	494.74	529.4	139.33	456.81	583.17	108.68	708.59	0.0	563.06	81.16	331.42	447.72	0.0	422.08	396.31	377.18	652.2	661.17	260.54	196.89	262.85	352.8	132.7	623.92	572.22	344.5	515.21	670.24	248.58	198.73	1022.2	156.37	365.72	487.09	516.47	375.29	452.28	650.57	0.0	334.98	255.43	98.15	460.58	140.78	61.42	515.08	366.63	397.88	272.45	339.03	130.12	669.18	719.7	824.29	596.65	817.73	723.44	916.48	388.75	414.12	269.75	586.95	377.4	822.37
Lsm7	477.79	929.2	468.77	581.16	416.99	375.72	497.53	199.34	209.53	682.46	184.38	297.56	914.5	695.28	304.29	202.48	369.11	290.89	227.42	667.08	351.91	444.93	462.61	705.29	308.77	407.99	478.36	472.73	219.73	471.61	201.85	337.77	136.03	756.6	497.88	699.54	548.19	887.39	995.94	382.62	611.93	0.76	462.33	616.1	393.97	376.19	386.76	405.03	433.94	372.82	477.47	424.03	490.8	609.28	592.22	880.71	484.87	332.14	173.71	795.09	1134.21	678.92	467.78	497.18	545.5	451.52	398.29
Mea1	169.14	466.48	308.15	148.23	473.48	299.75	758.93	481.43	323.46	0.54	244.68	188.87	464.28	484.61	117.25	199.03	168.25	614.37	468.09	594.19	538.39	201.58	129.28	485.57	0.0	80.06	495.05	770.35	261.7	508.66	330.5	371.83	86.82	665.71	132.35	305.93	374.96	361.77	296.32	293.3	478.44	0.8	299.59	565.62	273.17	433.41	189.21	271.64	612.76	404.95	325.3	332.68	350.93	2.01	145.11	1.18	914.9	501.86	721.22	806.04	860.12	676.25	497.13	347.76	330.39	0.0	558.31
Mgst3	425.73	1504.2	593.73	441.19	645.79	632.85	338.73	0.0	1256.62	639.45	990.43	389.44	601.54	272.68	557.96	1087.54	2046.28	798.42	1059.09	1436.95	1813.48	134.52	578.69	841.57	885.87	354.05	2185.81	1471.2	1802.81	1722.12	1304.02	716.54	976.4	1214.57	781.72	1341.74	1228.47	1629.34	1394.18	1236.38	1576.27	1.63	883.05	511.92	851.29	588.98	773.05	816.42	465.32	1205.3	959.83	806.9	904.28	446.18	552.38	1510.05	2175.37	1432.37	1753.02	2162.3	2513.32	1786.8	2051.12	1345.67	1161.98	1002.28	987.05
Mkks	213.74	77.68	0.03	143.93	0.0	42.06	11.83	45.02	20.19	61.92	31.67	125.02	11.22	77.5	2.15	63.47	23.08	81.27	15.39	97.98	0.0	0.0	32.04	135.73	48.55	37.42	90.79	0.42	81.16	36.44	39.96	2.21	123.86	58.18	161.52	90.13	68.78	118.22	91.57	83.22	79.12	0.0	25.95	136.63	29.15	48.29	0.28	128.73	34.84	44.42	80.92	65.36	69.07	89.77	232.44	37.89	69.57	13.13	92.32	86.44	118.55	56.29	147.89	14.62	86.0	6.76	28.72
Mrpl20	413.19	1292.81	0.33	383.76	256.44	377.74	158.6	711.78	608.79	541.69	1046.45	547.49	564.55	913.33	370.43	66.17	725.01	457.23	108.74	628.84	1025.74	647.5	316.1	269.22	911.6	663.79	414.93	466.87	455.64	888.51	1102.66	367.66	171.15	688.89	623.83	647.61	542.98	232.26	152.42	626.07	654.04	0.0	575.06	386.98	451.05	572.99	861.95	407.42	360.2	480.01	585.28	414.3	475.27	467.18	564.92	1631.69	640.99	175.45	333.28	1318.96	496.2	1078.77	229.35	458.86	581.78	803.94	204.76
