	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_61	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_3	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
1810006K21Rik	392.04	207.52	124.04	282.39	151.13	71.2	219.72	144.96	211.69	349.59	0.0	118.46	271.71	282.35	200.57	124.25	492.38	733.6	95.33	184.19	438.51	283.27	415.83	444.29	234.46	44.43	289.82	759.73	601.47	368.12	390.17	333.96	105.05	605.86	375.3	337.67	568.44	324.97	440.84	510.81	769.22	1.73	717.95	2.67	128.34	154.74	0.0	361.41	434.47	275.16	286.53	200.88	271.03	358.0	248.61	903.15	546.52	139.57	677.04	563.8	413.73	339.42	311.55	343.8	426.96	105.16	281.27
1810046J19Rik	245.81	310.49	87.49	202.86	333.3	107.49	0.0	640.08	154.96	533.43	453.21	0.0	458.69	247.12	202.47	108.0	845.95	846.94	433.51	301.07	10.9	217.42	371.22	440.24	211.18	347.37	777.17	770.54	457.34	183.03	738.93	1.7	198.2	294.04	207.88	266.07	320.9	160.54	425.86	436.78	299.99	0.46	403.47	176.59	310.34	496.44	518.31	69.58	206.32	415.86	526.98	259.97	296.6	531.48	284.23	174.4	17.86	801.49	797.13	796.14	886.68	421.74	76.18	510.12	319.35	31.73	204.57
2410015M20Rik	146.49	638.72	89.93	421.29	65.61	145.36	95.4	186.85	0.0	285.67	499.08	1.42	93.36	153.66	262.5	0.0	145.93	60.45	197.75	91.78	111.6	220.46	231.24	132.03	158.94	316.17	86.59	299.68	330.2	303.3	439.88	53.76	175.84	433.7	104.89	249.96	336.11	233.04	211.55	115.0	437.51	0.0	149.37	156.81	69.21	52.54	179.48	153.85	124.0	216.63	208.64	168.61	190.78	150.11	317.89	1.59	107.84	421.58	489.58	814.04	390.67	137.46	566.54	368.61	433.49	85.99	77.99
Acot13	346.71	264.5	321.2	125.78	301.05	0.0	273.64	129.94	0.0	397.1	227.81	237.76	248.15	190.62	185.79	0.0	289.06	162.51	160.98	213.98	0.0	278.46	790.85	759.47	626.15	241.99	1301.4	296.0	953.71	618.04	436.52	530.28	247.5	687.19	407.39	0.66	565.81	480.57	455.33	542.8	619.27	229.86	600.34	408.2	667.61	226.4	432.32	208.25	112.67	646.54	373.76	423.24	417.58	254.09	360.64	392.53	924.42	1063.18	98.21	951.78	1338.94	730.32	892.11	727.66	493.09	334.53	229.37
Actr2	560.81	652.93	663.77	612.25	651.0	646.14	964.31	586.22	773.05	1062.63	537.36	1038.04	653.52	662.27	563.55	574.26	647.04	457.74	709.77	813.99	642.2	522.12	1106.39	1037.19	927.03	914.44	582.01	592.9	722.68	640.24	416.04	487.28	754.15	632.59	696.19	818.44	1441.31	1328.29	1293.66	830.45	1050.66	145.49	606.96	553.21	708.39	636.19	828.1	881.51	516.08	809.02	600.77	1090.94	747.48	1057.87	973.9	990.22	585.97	795.39	1284.4	817.74	677.0	1052.72	777.1	993.35	982.24	1007.46	1262.71
Apoo	1084.61	504.39	206.81	421.66	518.09	367.06	866.47	232.78	539.94	370.68	262.15	317.55	791.83	661.64	282.79	212.2	173.82	0.0	598.77	555.65	0.0	165.6	285.03	156.13	1187.07	432.05	218.71	449.61	720.08	416.65	191.3	337.46	0.0	318.62	526.67	910.36	540.8	1147.21	434.57	546.54	573.25	1.45	61.49	1196.76	997.3	662.11	569.82	405.06	1093.97	329.0	333.62	296.07	307.39	0.0	293.63	503.12	590.55	580.5	1089.37	872.53	382.3	0.0	676.21	208.21	394.88	253.13	287.22
Atp5e	577.56	1059.3	257.11	209.79	389.16	388.91	235.58	235.57	357.74	438.9	372.0	249.33	812.59	459.38	272.94	338.53	213.09	532.31	331.34	735.08	835.54	381.44	408.37	514.25	703.4	276.11	1443.64	1776.23	1722.06	1053.06	541.37	481.73	270.06	818.66	859.73	678.58	707.15	1031.55	938.24	548.08	824.98	0.0	461.0	501.0	307.1	537.49	830.36	422.18	536.97	720.93	701.51	398.61	570.77	467.91	517.72	764.04	1188.53	633.16	230.45	718.33	1347.96	258.42	541.89	197.11	237.57	242.67	482.71
Atp5k	689.92	1234.9	734.57	750.95	486.38	665.86	784.85	836.22	584.11	755.4	648.16	887.48	686.64	843.51	497.79	383.46	477.97	581.03	461.91	1372.93	693.96	485.34	744.73	601.2	679.01	696.2	837.08	1802.5	1418.19	1316.62	1190.55	623.37	446.19	1521.99	1240.85	942.64	1390.01	1364.32	1857.05	1109.8	1374.1	2.65	745.89	249.8	448.56	748.76	875.24	579.52	1297.82	836.7	887.9	546.33	686.77	450.81	684.7	1630.23	1079.96	719.46	1346.56	942.15	1595.42	737.86	779.5	371.45	818.99	693.12	597.27
Aurkaip1	341.0	149.96	20.23	58.24	0.0	88.02	0.0	64.32	204.1	80.83	0.0	53.89	145.1	87.07	153.85	119.81	111.98	207.23	160.29	359.7	83.95	79.95	80.33	168.54	234.99	249.04	242.43	571.39	90.95	346.72	224.63	85.86	107.01	233.1	252.69	99.29	175.36	238.46	106.06	194.81	295.07	0.27	195.36	8.06	114.1	118.86	149.54	225.17	122.03	193.74	189.16	152.56	201.29	62.67	199.43	0.24	291.87	318.49	285.95	187.76	203.09	216.64	243.3	86.73	286.32	50.15	1.86
BC002163	255.31	1105.58	130.06	372.26	37.32	179.56	493.87	363.68	273.09	283.27	108.31	342.92	277.61	630.05	437.3	464.8	672.89	120.77	392.93	622.67	293.94	272.69	410.28	219.99	474.83	351.31	378.16	593.91	546.2	509.82	233.58	712.12	667.75	468.08	454.43	506.8	562.99	677.58	644.61	668.3	588.53	0.0	485.25	431.27	541.95	335.63	178.8	303.66	206.03	367.88	480.75	372.94	309.2	42.55	289.55	285.11	367.23	233.59	39.27	719.02	1062.48	769.85	480.76	670.89	452.29	440.11	344.96
Calm2	20249.89	18003.48	16054.22	17347.27	17062.36	15575.16	20813.5	17375.4	14472.78	20740.74	15500.91	17910.32	19533.68	19081.81	18790.75	16051.41	16241.12	17934.64	18187.15	19635.16	19628.74	18662.45	17716.09	19578.34	24749.41	21064.56	19971.06	20654.99	16501.66	19749.13	15401.69	19103.2	14110.11	18291.8	18742.78	18653.08	18187.15	17763.8	18504.84	19736.86	17323.44	2628.99	17126.41	18784.2	17522.3	20660.56	19581.9	19276.37	18006.13	17363.25	18644.66	18004.95	16099.57	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	18704.89	18864.48	19735.95	19141.42	19191.1
Ccdc72	637.1	853.7	291.13	692.01	795.17	718.52	767.59	314.83	822.67	686.9	371.28	646.11	471.92	700.44	755.98	243.58	834.13	739.2	745.41	425.68	1258.97	629.54	649.8	1060.3	847.97	593.42	1413.26	451.92	420.49	1319.92	774.69	904.51	353.33	770.56	977.37	995.58	1178.06	1298.17	1174.8	1229.51	1037.45	0.0	896.68	407.93	563.14	788.26	1096.65	513.83	674.04	832.76	994.53	746.3	730.79	346.13	1806.81	301.87	1269.81	573.89	1013.4	977.75	1184.69	1111.25	779.9	626.99	642.83	316.46	634.26
Ccl27a	519.98	302.84	454.5	303.07	602.29	609.56	277.03	623.3	320.03	785.93	1263.09	280.73	198.25	178.04	129.82	672.45	399.36	1620.01	966.21	925.48	537.2	832.33	1152.36	1063.72	1288.23	893.7	2006.29	1819.06	1851.87	1688.79	1325.55	993.71	127.72	768.53	531.21	468.04	545.52	864.63	796.0	497.69	1240.72	0.0	1469.56	1165.94	424.79	529.99	1209.13	261.34	589.94	1345.63	1252.6	872.97	1276.69	1283.65	1029.48	2304.36	2492.69	1750.06	1094.95	2598.25	2073.39	1041.74	1122.65	794.24	459.51	1282.51	1005.91
