	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_43
0610007P22Rik	0.0	0.0	0.0	127.17	0.0	62.12	26.44	0.0	0.0	2.39	0.0	147.53	0.0	13.43	77.54	0.0	0.0	10.96	41.37	73.32	46.29	50.61	0.55	23.21	24.21	55.15	57.32	72.14	8.35	5.93	17.62	7.08	14.54	22.68	28.75	44.01	15.19	22.93	16.26	26.3	18.61	0.0	0.25	0.0	120.49	0.0	0.0	0.0
0610011L14Rik	2.24	14.07	0.0	0.0	0.0	0.09	0.06	0.11	91.58	9.84	18.21	44.77	2.81	60.62	42.28	0.0	46.72	56.03	8.9	6.84	0.0	68.04	0.18	23.75	23.98	74.68	49.4	0.51	39.79	21.32	28.22	22.09	20.78	22.52	49.05	22.7	35.86	37.99	42.99	38.17	36.91	0.0	0.0	0.0	47.85	5.34	1.19	0.0
2210016L21Rik	1.2	3.39	135.14	371.31	56.22	38.05	0.93	210.13	2.81	0.53	0.62	6.32	233.36	9.88	48.57	95.29	82.13	68.44	110.78	74.88	34.9	228.58	105.24	26.54	36.3	6.53	58.46	147.99	27.43	136.07	180.01	141.22	123.72	151.28	135.78	217.98	133.08	114.54	63.2	113.95	95.6	23.61	0.66	2.05	1.3	52.31	0.0	71.66
2610029G23Rik	0.0	41.11	0.0	0.0	0.0	30.03	94.15	0.0	0.0	16.27	9.54	0.19	0.0	0.12	24.16	15.79	74.72	20.82	39.88	25.57	7.42	30.42	179.89	33.04	0.0	152.89	13.8	56.01	20.17	34.73	54.18	22.42	38.99	40.35	60.66	17.06	38.3	55.67	37.06	40.9	36.37	0.0	95.96	2.02	10.56	64.37	129.03	0.0
4933407L21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.62	3.02	0.0	0.0	107.74	0.0	0.0	0.0	15.87	0.0	0.0	0.0	0.0	0.0	8.78	0.91	4.58	0.0	10.43	13.75	13.85	9.92	10.2	5.3	0.0	0.0	3.16	0.0	0.0	0.0	0.0
9530068E07Rik	0.16	1.63	99.36	0.18	0.0	0.62	25.1	0.0	0.0	46.22	0.0	0.0	12.7	2.68	0.0	0.0	46.63	14.32	1.47	0.3	0.0	88.22	9.92	129.51	0.0	0.0	135.65	1.44	2.79	50.34	27.2	24.89	28.96	28.15	22.03	18.87	30.29	10.12	7.52	21.25	30.9	0.0	0.0	0.0	0.0	0.0	0.0	0.31
Aqr	0.0	7.27	44.77	2.1	0.0	2.23	0.0	0.78	7.67	1.72	0.0	0.0	13.15	0.0	0.0	1.04	6.48	3.68	11.12	14.6	6.88	29.97	0.0	1.83	8.35	18.79	1.03	29.71	5.78	6.98	13.71	6.24	18.97	1.28	17.8	13.91	10.86	8.01	14.03	11.16	12.88	2.42	0.0	0.0	0.0	0.0	0.0	0.0
Arhgef10l	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.15	0.0	0.0	0.0	0.07	7.25	0.0	0.0	0.0	2.93	0.17	0.0	10.02	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	3.73	0.52	1.4	0.0	0.04	0.34	0.08	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.61
Atm	0.02	0.0	0.03	2.1	0.07	0.04	1.88	0.03	0.03	1.69	0.0	0.05	23.7	0.36	0.0	0.02	0.57	0.38	3.36	0.21	0.0	10.13	0.15	0.05	0.19	1.86	1.04	0.07	9.64	2.06	2.07	2.06	1.86	3.65	7.51	2.27	0.89	3.96	1.84	2.47	1.54	0.09	0.0	0.0	0.42	0.03	0.0	1.34
Atxn7l1	13.89	15.85	0.22	26.57	0.0	94.91	153.49	0.0	109.47	81.6	0.0	0.0	0.0	24.45	58.24	0.0	39.3	6.03	54.06	1.59	0.0	170.4	0.0	13.21	66.06	0.0	0.0	11.61	1.44	49.89	22.47	36.58	10.0	45.64	55.9	42.63	42.71	32.2	33.19	43.93	40.18	0.0	0.0	0.0	0.0	0.0	17.74	0.0
