	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110005A03Rik	0.0	0.0	44.77	0.0	0.0	0.0	0.0	0.0	100.12	0.0	0.0	0.0	0.0	154.88	0.0	4.81	45.2	0.0	0.0	0.0	0.0	0.0	0.0	47.64	97.78	0.08	0.0	0.0	1.22	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.13	0.0	0.0	198.96	52.83	0.0	0.0	0.0	0.25	0.0	0.0	80.17	47.76	4.08	0.0	0.0	60.91	0.0	0.0	0.0	0.0	121.25	42.68	0.0	0.0	0.0	68.05	23.23	28.49	25.52	26.26	26.28
1700047I17Rik2	6.75	0.66	2.26	5.1	2.63	0.8	2.8	0.31	26.62	16.25	49.44	4.73	15.13	31.83	3.6	14.23	10.18	6.68	3.14	0.15	6.26	0.85	0.0	0.75	7.92	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	26.95	4.03	30.94	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	16.78	0.0	6.42	2.02	18.26	23.92	8.08	4.82	15.19	6.64	1.29	13.41	14.19	17.56	16.4	17.92
1700054N08Rik	0.0	33.82	2.04	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	30.44	79.4	0.0	0.0	44.28	4.16	0.0	0.0	0.0	51.91	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93	0.1	28.31	0.0	0.0	0.0	0.0	46.88	0.0	97.62	0.0	0.0	1.44	0.0	0.0	0.0	9.05	0.0	0.0	22.18	0.0	0.0	9.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.66	24.09	56.5	60.27	59.05
2900076A07Rik	0.0	21.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.06	123.22	3.64	9.05	0.0	0.0	0.0	0.0	702.28	0.0	0.0	0.0	0.0	0.1	0.0	0.0	1.76	0.0	28.45	0.0	25.99	1.43	7.05	4.45	0.0	0.0	0.0	47.33	124.01	0.0	33.65	53.33	4.05	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.0	13.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.48	10.57	8.22	8.53	9.25
A530064D06Rik	1.52	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.64	0.02	5.27	0.51	0.93	0.52	1.52	1.57	5.22	4.24	0.0	0.0	0.19	1.27	0.0	1.07	1.7	0.3	2.41	0.93	0.25	0.77	1.03	0.2	0.47	0.5	3.64	0.0	0.52	4.1	0.35	1.38	9.96	1.66	0.38	0.19	2.59	0.0	0.57	2.31	0.66	0.0	1.48	1.46	0.86	1.95	0.0	0.0	10.18	0.39	0.17	0.31	3.8	0.41	0.37	0.06	0.88	1.03	1.62	1.54	1.42
Adar	19.54	12.3	33.28	0.0	0.0	0.0	0.0	0.0	69.83	76.89	46.55	49.14	50.48	44.89	0.0	0.0	9.22	26.11	0.0	0.0	0.11	72.89	0.0	17.82	6.22	2.81	28.03	18.54	47.09	27.34	6.34	54.69	67.23	3.02	15.09	38.72	47.32	39.56	93.55	12.69	104.81	0.0	13.0	3.82	41.24	85.84	21.6	15.88	8.32	25.23	10.53	39.46	28.4	29.9	0.0	0.0	0.0	35.31	10.86	9.51	70.3	24.73	35.32	8.09	28.06	34.14	104.36	101.16	101.08
Ahdc1	0.1	0.0	0.0	0.0	0.31	16.77	21.42	0.0	0.2	12.38	0.0	1.56	2.47	0.37	0.0	7.92	0.77	0.03	0.0	0.0	0.0	0.43	1.12	0.12	0.0	2.39	0.3	0.08	0.11	0.22	0.25	0.14	0.04	0.29	0.36	0.14	0.77	2.34	0.5	0.04	1.33	2.99	0.22	0.38	0.36	1.72	0.37	2.0	0.52	0.12	0.96	0.28	0.44	3.06	0.0	0.0	0.0	0.34	1.27	0.22	0.08	0.56	0.0	0.29	0.85	1.34	21.02	21.81	21.88
Alg12	0.35	4.92	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	142.01	0.36	0.0	0.0	0.0	0.0	0.0	83.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.11	0.0	0.13	0.17	0.0	0.0	0.22	0.0	0.0	0.0	80.72	0.16	167.82	0.0	0.0	0.0	0.0	0.0	0.0	5.22	0.16	0.0	0.91	0.0	0.0	7.95	12.29	0.0	0.7	0.0	0.0	0.16	0.0	0.0	4.2	91.83	19.7	9.19	9.67	9.55	10.12
Amy2a2	0.3	0.17	0.01	0.0	0.0	0.07	0.0	0.08	0.49	0.15	0.0	0.62	0.09	0.49	0.6	0.11	0.51	0.22	0.06	0.0	0.0	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.52	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.0	0.0	0.0	0.02	0.0	0.09	0.12	0.08	0.12	0.13	0.24	0.11	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.01	0.0	0.0	0.07	0.0	0.08	0.49	0.15	0.0	0.62	0.09	0.49	0.6	0.11	0.51	0.22	0.06	0.0	0.0	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.52	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.0	0.0	0.0	0.02	0.0	0.09	0.12	0.08	0.12	0.13	0.24	0.11	0.26	0.19	0.21
