	Calb2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
6330439K17Rik	0.39	66.17	82.52	29.31	0.08	0.06	0.16	94.64	52.11	0.42	81.92	0.1	0.19	0.38	1.11	4.04	64.46	27.51	68.51	35.71	147.9	90.88	53.15	29.26	42.65	98.41	31.17	62.87	25.42	45.03	78.78	36.75	57.98	14.04	203.68	25.13	2.8	8.92	68.13	45.47	34.87	23.91	33.11	8.22	53.56	20.36	59.75	0.1	0.32	0.1	0.0	0.18	8.5	54.12	5.92	41.52	65.85	50.66	65.74	91.57	87.37	75.63
6430548M08Rik	0.0	48.17	21.78	0.09	0.0	0.0	0.0	216.64	65.66	0.0	74.98	0.0	0.0	0.0	0.0	0.03	0.07	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	16.28	34.92	0.77	1.11	9.59	0.05	95.03	12.97	0.3	14.54	69.81	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.75	0.0	0.83	0.0	0.0	0.0	20.63	7.23	0.04	0.94	34.63	5.69	58.43	0.16	29.52	18.76
Acp1	38.23	138.04	15.82	99.57	0.0	0.0	0.0	317.6	62.92	48.93	225.86	0.0	0.0	0.0	0.0	75.86	80.23	108.65	78.37	50.36	43.28	144.5	128.14	128.26	79.61	91.47	96.63	44.98	117.53	82.44	69.13	101.6	31.12	73.69	197.57	79.75	113.62	117.78	114.72	116.24	168.49	128.51	90.91	130.29	86.87	59.2	107.97	0.0	1.12	0.22	0.0	0.0	142.64	44.13	59.91	66.32	185.84	239.33	118.92	176.3	201.64	111.04
Adam22	8.65	32.9	44.8	25.68	0.0	0.0	0.0	305.0	48.93	0.0	73.51	0.0	0.0	0.0	0.0	41.9	17.43	96.4	92.99	33.39	77.28	116.38	77.13	10.69	58.81	39.42	61.55	21.03	30.68	66.67	79.61	33.59	27.75	53.55	94.76	19.06	41.49	14.98	83.05	85.04	26.6	24.18	42.31	48.37	21.89	96.95	50.06	0.0	0.63	0.0	0.0	0.0	34.66	107.85	44.54	54.73	20.48	31.94	33.64	20.59	76.93	34.52
Amy2a2	0.06	0.3	0.17	0.0	0.0	0.0	0.0	0.49	0.15	0.0	0.51	0.0	0.0	0.04	0.06	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.06	0.0	0.04	0.0	0.02	0.11	0.0	0.09	0.08	0.25	0.12	0.12	0.2	0.13
Amy2a3	0.06	0.3	0.17	0.0	0.0	0.0	0.0	0.49	0.15	0.0	0.51	0.0	0.0	0.04	0.06	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.06	0.0	0.04	0.0	0.02	0.11	0.0	0.09	0.08	0.25	0.12	0.12	0.2	0.13
Amy2a4	0.06	0.3	0.17	0.0	0.0	0.0	0.0	0.49	0.15	0.0	0.51	0.0	0.0	0.04	0.06	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.52	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.22	0.0	0.06	0.0	0.04	0.0	0.02	0.11	0.0	0.09	0.08	0.25	0.12	0.12	0.2	0.13
Atp1b1	16.88	460.32	401.56	307.14	0.0	0.0	0.0	287.43	1232.5	0.0	419.28	0.0	0.0	0.0	0.0	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	139.05	232.31	418.76	244.76	422.87	352.98	298.32	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	231.1	0.0	1.92	0.0	0.0	0.0	351.47	652.86	221.22	305.28	288.3	723.26	428.03	230.53	674.02	251.06
Atp2b2	1.48	86.42	76.45	56.69	0.0	0.0	0.05	84.92	148.62	0.0	277.33	0.0	0.0	0.0	0.0	45.89	113.86	59.35	43.28	31.62	101.17	20.38	48.19	36.23	34.79	109.68	69.93	28.43	41.96	28.73	56.98	64.83	49.0	77.5	266.38	9.22	54.87	39.53	119.87	26.81	90.24	23.5	12.67	16.08	61.18	52.91	39.05	0.0	4.57	0.3	0.06	0.0	147.76	69.52	30.78	61.39	39.6	198.29	164.4	34.82	150.22	65.9
Atp6v1b2	0.0	350.58	509.13	417.12	0.0	0.0	0.0	557.69	912.87	0.0	689.52	0.16	0.0	0.0	0.0	663.64	349.97	497.52	315.73	562.46	329.28	615.5	420.76	654.11	590.24	508.46	743.32	495.1	201.45	448.6	458.57	527.96	232.22	227.33	620.64	333.46	284.67	498.03	706.28	228.66	497.39	533.07	508.63	526.15	221.99	543.48	451.98	0.0	3.39	0.0	0.0	0.0	407.29	661.49	392.39	583.77	614.55	170.98	365.97	249.88	374.97	849.01
