	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
2810468N07Rik	0.0	0.0	0.0	67.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.15	0.0	0.0	95.11	0.0	0.37	57.79	6.89	0.0	21.79	119.68	57.39	0.0	0.0	4.71	0.0	0.0	0.0	0.0	0.0	74.64	0.0	52.93	0.0	0.0	91.96	0.0	83.37	0.0	0.0	0.0	0.12	0.18	54.63	58.43	40.11	0.0	49.48	98.46	90.81	0.0	0.0	0.0	85.84	0.0	0.0	58.15	0.0
4933434E20Rik	662.32	292.75	170.95	964.77	0.0	0.0	0.25	706.47	369.12	817.48	481.63	184.7	553.77	423.1	427.91	333.71	347.93	0.27	213.86	604.77	178.0	979.35	643.49	0.0	0.0	0.0	0.51	848.15	406.12	357.25	0.0	3.24	378.98	364.53	421.19	497.77	667.97	753.7	600.32	1011.98	525.22	572.06	518.13	542.41	525.79	581.11	493.55	443.8	1084.54	766.86	450.14	205.17	622.49	454.41	603.09	627.12	666.73	560.35	225.46	179.03	664.69	167.3	796.7	784.57	330.74	0.15	797.12	628.74	492.28	730.17	558.78	657.96	1272.87	287.67	414.58	484.27	365.08	620.4	566.79	589.78	341.27	315.91	1064.85
6330403K07Rik	679.79	65.65	841.83	1240.96	0.0	0.0	0.0	0.0	149.87	16.6	0.53	88.22	43.51	74.79	176.83	121.74	66.77	0.0	0.0	18.56	33.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.24	0.0	0.0	907.71	1350.06	655.92	1058.02	685.74	1029.7	337.86	542.7	667.83	941.07	1151.65	888.52	793.04	559.16	681.8	1159.17	863.16	440.11	113.25	80.76	525.05	0.0	0.18	269.55	633.41	193.74	0.0	607.2	245.61	441.66	368.83	432.33	608.72	0.0	541.24	909.53	412.79	453.94	754.64	449.31	462.35	850.62	758.5	332.64	195.11	1418.71	723.18	279.82	513.57	761.04	0.0
Aarsd1	36.85	215.65	111.83	213.4	0.0	0.0	0.0	0.0	206.72	207.22	10.64	152.73	139.06	189.11	9.47	64.88	418.04	133.03	12.39	0.0	98.38	0.13	0.0	0.0	0.0	0.0	0.0	0.0	317.57	140.39	0.0	0.0	113.07	201.61	138.02	2.56	95.33	146.02	89.14	137.68	135.13	128.14	42.51	70.55	78.01	176.79	114.52	212.22	105.63	317.23	0.0	188.16	235.53	83.51	60.28	160.86	38.67	99.18	8.06	0.0	75.51	70.93	277.93	157.25	76.51	0.0	152.88	197.26	148.73	199.04	94.5	1.37	45.94	169.45	127.83	31.85	185.27	136.69	163.97	4.65	237.38	190.68	107.65
Acot7	1418.93	1626.67	1388.5	1541.14	0.0	0.0	0.0	0.0	599.94	1120.39	980.25	228.5	975.07	867.72	382.92	439.95	483.09	440.49	1000.75	822.38	577.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1367.67	850.82	0.0	0.0	1490.56	1014.52	1219.01	907.74	1275.35	2095.74	1294.27	1543.77	1650.64	1417.64	1860.27	1948.4	1482.37	1437.83	2107.95	1229.04	1668.03	1789.76	497.68	723.01	1299.65	701.76	826.14	1079.68	1494.24	1189.07	620.76	777.46	1112.74	1166.42	1807.08	1209.36	1526.19	0.47	1617.85	1560.12	1658.06	1573.32	1372.93	1493.96	903.73	1536.65	1486.65	1461.62	1377.87	1089.81	2115.92	1243.32	1649.54	1412.11	367.07
Ahsa1	155.36	393.58	285.37	296.62	59.65	0.0	0.0	0.0	15.57	0.0	276.0	565.58	27.03	250.09	313.68	89.83	115.85	210.16	165.13	202.38	258.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.99	137.38	0.0	0.0	195.43	150.77	142.69	7.21	230.66	246.47	210.91	147.45	187.9	390.58	213.44	296.21	219.8	359.57	281.27	85.66	273.23	87.74	158.53	285.04	328.92	136.02	204.5	207.06	16.75	181.36	390.38	157.64	90.71	243.39	359.02	208.49	176.94	0.12	278.43	331.08	234.21	156.66	119.78	92.91	331.02	161.58	172.09	324.28	406.09	476.78	342.21	280.47	326.11	534.84	333.94
Arpc5l	188.49	55.13	128.02	67.98	0.0	0.0	0.0	0.0	0.0	51.79	45.06	93.54	0.0	8.92	52.05	45.47	37.91	5.83	0.0	0.0	92.2	0.0	0.0	0.0	0.0	0.0	0.0	826.58	0.0	0.0	0.0	0.0	115.35	186.75	58.56	103.29	43.73	146.82	46.23	45.55	71.6	99.51	115.81	48.49	140.47	133.71	50.09	189.17	64.03	85.47	100.57	125.67	44.84	63.84	86.48	99.5	57.11	10.86	0.46	63.08	179.92	94.91	143.04	34.89	71.95	0.0	58.59	50.38	89.62	139.17	170.77	0.0	148.28	128.66	77.57	83.12	106.79	57.93	57.75	150.55	166.82	70.55	140.45
Bicd1	24.19	6.12	7.03	36.21	0.0	0.06	0.0	0.0	0.0	16.78	31.57	0.0	0.0	42.05	56.74	24.93	22.27	28.06	0.0	41.69	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	64.94	0.0	0.0	17.25	22.92	9.79	2.23	40.12	14.14	23.94	19.28	19.49	40.23	0.0	16.34	16.65	21.01	0.9	5.56	5.71	16.17	4.17	0.03	56.09	0.0	5.91	0.61	18.51	17.0	0.0	2.33	0.04	22.66	67.51	42.67	19.36	0.03	30.75	14.18	19.01	0.0	27.89	12.43	25.61	0.0	9.28	0.0	0.09	2.4	7.1	1.95	38.43	32.11	20.52
Cacna1e	46.96	0.0	36.75	49.44	0.0	0.0	0.0	0.0	19.72	4.67	0.05	1.5	0.67	16.25	13.51	0.0	0.0	26.78	14.78	0.0	21.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.13	10.17	0.0	0.0	68.63	70.4	31.42	61.95	52.8	44.42	85.87	47.18	45.56	70.61	52.21	61.29	64.15	28.26	95.05	71.94	55.34	24.05	0.0	28.79	100.89	19.38	4.91	52.61	32.45	57.48	0.0	48.36	54.36	68.87	107.12	54.1	80.51	0.08	63.49	83.89	46.05	38.24	46.37	3.45	14.91	89.96	46.07	4.01	0.33	40.41	39.23	30.9	24.27	28.54	0.0
Calb2	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.44	1.07	1.05	0.0	0.37	1.39	0.4	0.0	0.0	0.0	1.21	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	1127.86	482.48	1.19	0.24	515.98	49.32	2142.16	580.66	0.0	1501.42	0.0	2359.89	1904.17	1360.18	23.79	1.81	21.27	0.0	0.0	61.92	0.0	0.59	620.59	1767.67	1043.01	0.2	905.77	0.54	633.72	1574.73	69.36	1238.7	4.49	2321.19	1467.54	60.88	1356.98	0.49	0.0	0.0	1502.75	1341.85	0.33	2.31	1165.81	2.6	0.66	9.99	0.06	9.06
