	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Calb2_tdTpositive_cell_39	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_8	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_8	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_189	Rorb_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_38	Tac2_tdTpositive_cell_2	Vip_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_13	CAV_LP_Ipsi_tdTpos_cell_14	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_2
3110035E14Rik	22.32	133.6	98.17	72.44	103.27	39.2	173.42	295.42	0.0	0.0	8.02	0.0	480.5	424.95	566.42	660.18	397.72	638.56	400.8	504.21	276.55	268.91	184.44	433.22	364.88	1379.3	1418.55	487.61	42.6	108.95	138.32	300.81	53.96	147.99	144.83	146.0	160.44	32.22	662.42	608.52	134.64	119.89	79.75	23.01	70.95	304.12	228.52	7.72	6.34	377.53	74.14	264.19	403.41	183.18	514.81	170.56	171.62	0.0	362.32	558.26	116.98	897.46	47.23	103.07	657.04	433.43	753.91	98.22	447.07	305.68	300.85	241.36	54.78	280.77	106.33	224.12	766.28	49.35	245.21	519.13	819.74	865.09	273.08
Ano3	137.03	107.8	146.78	201.68	86.45	0.0	59.08	142.79	0.0	0.0	0.0	126.01	72.11	350.29	137.99	339.23	254.05	69.12	128.22	274.29	136.11	123.36	365.92	306.77	288.58	230.58	118.03	226.23	38.2	47.54	15.66	79.45	56.06	204.33	201.56	36.69	119.97	52.74	681.76	137.11	64.01	28.43	52.1	86.95	73.0	27.38	33.73	25.57	92.13	199.39	0.0	263.31	165.23	82.16	144.96	3.36	49.73	0.0	247.28	214.75	50.77	347.85	92.58	26.55	166.24	159.6	153.31	342.04	772.9	173.24	279.18	133.96	27.87	121.6	8.56	431.48	257.7	17.85	341.02	299.42	134.39	539.12	120.99
Calm2	20249.89	17572.6	15482.31	20813.5	20740.74	17688.69	19533.68	14201.56	12046.19	13944.2	11591.34	18403.02	18662.45	17716.09	16595.47	19578.34	15749.2	24749.41	16122.09	21064.56	15023.72	19971.06	20654.99	19749.13	18161.55	15529.11	14249.7	19103.2	14457.45	15094.42	13452.25	15244.76	15032.95	17206.61	15064.21	18742.78	17145.93	18653.08	16470.2	15098.71	18187.15	18504.84	17343.84	19736.86	15330.41	15168.58	17323.44	12635.73	18784.2	17284.76	17261.61	15861.65	16465.48	20660.56	19581.9	18006.13	17350.63	12746.71	18644.66	18004.95	15882.13	18281.5	15494.93	13415.77	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	14315.19	23557.63	18704.89	18134.58	18864.48	19735.95	19141.42	19191.1	18621.16	17897.54	14027.62
Foxp2	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.5	78.2	38.28	25.77	34.47	82.85	116.83	85.35	16.17	90.98	19.64	41.27	138.98	128.83	142.54	43.93	0.0	0.0	0.0	0.0	0.0	29.75	0.0	0.0	0.0	0.07	0.99	61.58	0.08	0.09	0.07	0.02	0.0	0.04	0.0	0.04	0.0	25.13	0.0	0.2	91.8	0.0	0.0	0.4	0.0	0.0	30.97	73.1	0.0	27.0	0.0	0.0	44.23	56.01	68.05	8.76	10.93	6.19	0.0	34.99	0.0	66.43	0.0	23.09	50.78	0.0	115.95	88.88	27.08	116.33	0.0
Gadd45a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.25	4.68	49.4	109.06	40.51	48.15	357.2	145.91	143.67	22.87	74.17	52.46	208.91	118.82	86.5	93.82	2.98	13.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.61	29.72	0.0	223.22	96.65	15.64	2.86	0.0	15.82	14.6	12.37	0.0	0.0	0.0	36.61	0.0	21.49	40.5	0.0	37.44	13.44	0.0	13.17	48.81	49.14	0.0	71.26	0.0	0.52	217.04	46.8	8.07	29.09	49.99	25.14	31.18	7.85	0.0	140.19	0.0	18.58	98.97	4.09	102.55	125.77	143.32	345.15	12.88
Garnl3	0.0	37.53	2.33	0.0	86.54	0.0	0.22	0.0	25.32	0.1	0.0	62.76	161.08	203.78	153.02	42.25	239.51	15.28	225.64	290.59	117.07	45.6	49.27	134.78	167.06	340.26	142.29	259.93	0.0	11.55	17.67	54.53	58.23	71.81	74.38	0.08	0.12	6.84	354.24	290.87	12.79	7.68	16.09	13.42	23.03	35.98	28.11	50.06	0.43	183.39	0.0	12.24	290.83	32.23	188.95	0.0	34.61	0.0	100.3	145.51	39.09	102.19	23.15	16.08	96.18	8.53	18.95	77.0	46.06	109.55	13.32	56.93	39.32	15.07	0.59	69.34	182.43	9.84	139.36	50.98	355.05	44.07	0.19
Gng12	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.46	35.4	103.16	77.9	76.61	23.53	114.63	137.06	15.84	31.9	64.6	18.51	72.4	116.89	1.37	7.02	0.0	0.0	0.0	11.33	0.0	0.0	0.0	49.02	1.68	0.0	217.73	73.88	8.14	0.13	0.28	0.18	0.0	0.0	6.2	0.0	0.0	122.22	0.0	122.83	0.0	0.0	29.61	0.0	0.0	0.0	42.99	47.62	0.0	0.0	2.56	0.0	314.32	83.07	50.24	16.64	4.68	0.31	0.07	2.44	17.78	91.29	18.79	86.96	0.0	0.0	0.46	55.64	101.25	20.38	0.0
Hs3st4	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	129.46	73.11	50.67	3.73	95.12	165.97	102.94	78.5	101.15	113.59	61.79	55.74	98.23	138.56	61.74	30.97	0.07	0.64	0.0	0.26	0.13	1.94	0.0	0.0	0.14	0.15	53.67	36.4	0.27	0.0	0.78	0.0	38.84	2.28	0.11	0.1	87.49	76.86	0.0	38.02	167.16	0.0	45.94	0.0	0.0	0.0	103.83	149.32	0.32	64.69	0.0	0.0	0.0	34.57	7.56	175.27	0.1	161.4	88.96	94.93	0.22	222.4	0.09	169.59	12.12	0.11	43.12	203.53	8.68	231.79	0.0
Ifitm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.68	446.79	255.0	314.26	437.54	258.22	561.73	197.96	151.22	1033.6	642.26	767.98	55.14	0.0	337.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.36	68.19	0.0	0.0	0.0	50.11	0.45	42.35	0.0	0.0	0.0	591.65	0.0	0.0	414.78	0.0	140.22	0.0	0.0	0.0	317.95	102.28	0.0	0.0	0.0	0.0	568.34	1779.8	205.43	333.02	0.51	312.35	117.24	361.2	0.0	166.39	0.43	287.78	296.48	0.0	134.16	178.38	88.28	99.86	0.0
Ipcef1	6.1	1.71	22.54	103.21	83.49	0.0	60.87	1.28	4.14	0.0	0.0	155.37	199.13	287.32	296.7	156.25	202.97	225.42	40.69	64.32	8.93	12.81	70.8	114.83	60.71	148.2	109.72	81.76	0.41	0.15	0.17	23.52	0.55	0.22	0.0	27.23	0.43	8.1	78.25	149.64	2.84	6.65	1.18	156.61	33.4	10.34	24.44	0.24	27.04	139.04	87.71	94.87	67.14	24.29	133.49	33.29	0.16	0.09	57.92	115.53	0.47	67.16	27.84	20.5	131.09	94.2	113.87	72.96	49.16	65.54	79.27	81.94	0.47	109.75	21.51	116.18	106.59	0.03	132.52	73.18	256.62	4.42	105.22
