	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1500011K16Rik	0.0	84.29	55.06	93.43	210.26	57.69	47.59	30.29	8.56	4.36	0.0	29.45	0.0	73.43	46.69	24.77	11.29	34.68	90.68	99.95	59.92	30.4	37.04	53.73	44.83	47.35	80.46	0.0	45.05	14.23	91.66	10.5	56.47	32.22	0.0	0.0	120.56	49.07	51.64	60.01	1.42	69.25	115.52	0.0	0.0	0.0	81.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.72	74.05	114.94	10.05	11.69	30.02	45.49
2700094K13Rik	110.88	77.13	0.0	238.51	548.8	224.59	42.15	129.27	0.0	62.14	0.0	0.0	0.0	143.77	49.26	32.35	0.0	58.73	38.17	49.78	9.25	84.71	76.4	107.12	39.69	0.0	61.36	59.72	7.1	97.37	44.73	14.33	99.51	15.39	139.04	103.04	110.58	136.87	62.61	31.78	35.47	78.01	29.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.39	26.68	164.1	37.96	69.01	57.49	193.19
2810422J05Rik	86.55	126.98	5.2	63.76	490.95	59.75	324.46	12.76	30.07	118.25	0.6	0.0	0.83	276.07	8.16	0.0	58.13	6.75	93.71	37.53	94.58	168.55	50.54	41.44	9.5	72.2	0.26	206.36	97.68	201.11	73.67	1.91	88.62	57.94	5.75	9.34	2.15	89.92	86.42	117.56	57.57	0.13	51.95	0.0	444.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	554.49	0.0	602.42	0.0	0.0	0.0	0.0	47.46	178.72	3.72	45.39	188.0	37.49	0.38
Ap1s1	193.73	5.25	0.0	385.48	533.71	1.5	166.08	0.99	140.71	232.79	140.78	0.12	0.0	91.34	74.56	131.05	49.2	0.38	0.13	246.5	15.76	176.57	46.03	221.63	216.37	218.45	191.46	34.06	96.25	77.46	59.18	83.2	269.88	112.66	3.42	116.73	200.31	148.03	149.25	250.56	57.1	212.9	180.26	62.85	0.0	0.0	0.48	0.32	0.22	0.0	0.0	0.0	209.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.62	265.46	139.32	38.68	243.25	204.68	55.5
Bccip	0.53	167.19	68.29	174.57	750.29	53.08	140.02	6.49	198.32	79.47	422.22	155.53	0.0	25.3	144.66	146.82	97.09	102.75	101.38	86.63	96.65	154.82	194.05	134.14	103.35	109.0	149.96	68.23	44.82	74.08	85.55	129.3	41.78	68.56	1.93	5.05	68.35	165.58	185.05	33.04	129.49	70.05	127.92	523.48	0.0	1.38	6.46	0.66	0.0	0.0	13.04	0.0	549.6	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.35	91.96	293.87	55.57	182.0	249.3	97.91	72.6
Caly	262.7	784.25	330.66	675.57	962.14	502.52	721.56	652.46	296.32	165.07	129.6	0.0	193.23	208.07	497.55	440.52	662.63	663.86	637.79	303.26	559.16	460.22	315.96	794.13	407.06	791.11	415.36	743.16	485.31	798.92	290.77	424.31	627.17	626.51	360.06	463.45	332.61	829.37	474.3	238.63	340.44	871.47	441.73	0.0	0.47	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	556.41	544.36	409.43	722.68	480.53	665.22	670.47
Ccl27b	0.0	3.68	0.0	22.17	28.87	8.68	11.67	0.0	0.0	11.32	0.0	0.0	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
Cct2	246.15	191.6	141.76	200.87	320.78	185.4	80.85	0.0	14.61	215.93	395.85	345.76	0.0	81.26	129.32	160.75	417.17	82.39	134.76	153.05	113.63	240.72	90.81	205.1	182.43	111.79	165.84	289.65	111.8	246.7	288.04	206.04	45.99	219.6	279.69	202.48	202.66	169.95	251.68	175.74	215.74	177.38	208.19	0.0	0.0	0.0	0.0	255.84	0.0	47.65	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	43.89	0.0	83.95	277.76	125.0	155.26	90.84	194.58	141.18
Clpp	294.94	619.3	258.96	432.67	676.48	572.54	365.73	151.71	57.72	177.59	329.51	0.13	223.41	326.72	210.92	190.54	328.83	171.94	163.42	172.51	239.41	289.98	386.39	187.72	236.15	151.74	367.84	362.04	208.06	296.12	237.34	320.93	145.72	101.88	318.18	378.39	332.12	280.52	241.18	268.31	222.52	238.19	219.09	2.47	279.0	0.0	263.82	261.38	361.17	502.0	0.0	582.24	0.21	1.1	0.0	0.0	0.0	0.0	348.8	440.64	365.7	392.56	307.71	253.15	123.12	233.99	310.97	162.71
Cntn3	0.0	15.25	0.0	29.15	29.57	0.1	3.08	0.0	7.69	0.04	0.0	0.0	0.0	35.22	20.19	0.14	0.0	0.02	0.05	0.04	16.03	0.0	4.98	0.0	0.0	14.54	22.71	21.6	0.0	10.87	0.0	1.02	0.0	4.32	0.0	0.04	0.0	0.0	3.29	3.18	16.28	11.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	2.28	0.32	0.0	0.0
