	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_49	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_108	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Gadl1	0.17	0.55	0.0	0.12	0.23	2.24	0.35	0.71	3.02	0.37	0.0	0.19	0.85	0.38	0.26	0.09	1.01	0.61	0.44	0.3	0.43	0.0	0.18	0.83	0.0	0.31	0.32	0.67	0.24	0.51	0.31	0.32	0.14	0.11	0.0	0.51	0.18	0.13	0.15	0.46	0.22	0.07	1.48	1.41	9.38	1.88	12.51	0.91	1.27	0.37	0.28	0.67	0.35	1.59	0.23	0.22	0.09
Gm10389	21.57	24.84	7.29	29.06	68.13	48.54	26.93	71.5	128.11	23.87	5.17	15.45	16.97	16.52	17.13	14.18	38.99	14.71	15.16	30.99	27.41	17.83	16.91	25.77	15.63	19.36	18.9	13.47	20.94	27.7	16.52	24.15	28.37	19.32	24.79	19.4	15.1	18.7	28.66	14.31	16.1	32.33	117.06	257.83	335.85	113.08	158.58	78.33	64.8	18.13	33.41	17.6	45.81	42.35	17.83	13.06	15.85
Gm10785	15.74	11.76	3.16	2.11	28.38	34.3	23.67	28.81	217.26	13.03	0.0	16.15	10.73	9.86	6.12	5.47	13.18	8.2	17.56	10.27	12.56	8.49	6.22	37.37	10.85	9.28	50.44	12.07	11.71	8.21	8.05	9.41	8.86	9.09	6.57	14.23	10.36	5.79	11.91	47.14	10.46	11.73	34.94	116.4	191.53	293.97	113.8	47.87	42.54	37.0	9.88	24.52	21.48	126.67	9.52	4.91	3.34
Gm10791	1.97	2.52	0.47	2.13	1.02	3.01	5.5	10.02	15.13	3.14	0.0	1.66	3.16	2.44	0.95	0.42	4.03	2.78	1.65	2.35	2.76	1.32	3.34	0.26	2.11	1.38	2.35	1.72	0.98	3.72	4.47	1.78	2.13	1.11	0.17	1.75	19.47	1.84	1.43	1.5	0.97	3.46	4.83	20.88	17.57	22.65	29.81	6.27	9.07	1.97	2.08	2.27	4.25	7.04	2.53	3.7	1.78
Gm17821	159.2	144.83	44.72	35.58	109.53	489.16	175.54	392.7	774.86	204.39	61.65	108.53	130.67	139.94	149.2	83.86	160.33	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	120.35	127.92	138.45	152.69	111.04	147.65	141.67	132.54	99.22	155.3	179.51	109.01	105.43	150.54	115.41	117.21	136.93	401.03	1734.48	2668.83	785.03	1413.94	612.7	679.51	95.33	105.99	117.85	275.8	308.99	86.22	102.26	55.36
Grk4	275.35	249.85	69.61	41.37	231.81	753.52	355.92	787.67	1190.75	399.75	150.12	236.99	204.95	245.04	240.48	102.42	241.45	169.68	283.81	240.39	306.53	210.57	195.29	285.03	180.95	192.65	247.82	275.11	257.46	241.86	250.51	228.18	197.09	147.67	214.23	294.46	180.43	163.58	259.05	198.1	194.5	226.99	649.65	2967.09	4387.41	1300.77	2134.42	972.74	1117.19	179.18	198.88	169.99	469.1	488.85	151.93	154.37	84.18
Il21r	0.0	0.0	0.06	0.0	0.22	0.21	0.53	0.72	1.3	0.0	0.0	0.0	0.0	0.03	0.11	0.06	0.0	0.0	0.0	0.0	0.16	0.11	0.14	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.11	0.0	0.0	0.12	0.0	0.13	0.67	0.0	0.11	0.19	0.66	1.11	1.39	8.74	0.42	1.35	1.17	1.79	0.0	0.0	0.0	0.21	1.49	0.0	0.0	0.0
Intu	4.8	5.92	4.27	2.81	5.11	133.57	11.64	29.7	37.17	6.79	0.0	2.67	7.13	9.24	6.08	1.41	9.87	6.86	7.2	4.76	10.05	5.33	5.4	3.29	3.48	5.0	7.85	4.52	6.49	12.26	13.35	5.8	7.85	5.41	1.63	10.34	4.17	4.99	8.12	6.0	4.28	4.54	12.64	101.98	129.87	47.38	52.31	22.28	26.89	2.2	5.38	6.8	8.49	63.6	2.91	2.59	1.82
Kcnq1ot1	41.78	32.9	9.39	6.11	28.19	131.42	50.52	106.03	162.48	54.93	16.2	26.73	39.0	38.23	36.61	16.83	40.13	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.95	28.87	31.87	41.06	30.82	41.47	37.15	37.47	23.92	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.11	105.16	465.29	644.25	193.24	306.38	197.14	188.82	29.47	30.75	27.94	65.94	80.16	17.87	24.37	13.18
Meg3	847.89	648.89	323.53	38.17	502.48	841.3	368.04	852.23	3304.35	500.8	0.0	298.81	393.24	538.5	317.11	233.81	650.68	356.91	444.3	304.96	632.18	518.69	448.52	769.21	298.72	510.23	539.11	313.62	805.45	358.07	563.91	688.91	573.92	490.95	422.92	645.92	452.48	469.33	448.96	518.15	439.05	538.61	829.5	3532.04	4664.96	1212.89	2348.0	790.56	812.13	443.23	645.27	302.67	1514.79	1829.83	343.21	471.89	240.66
