	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
2610017I09Rik	985.61	917.03	885.38	586.65	971.08	363.66	134.14	362.8	863.57	352.67	233.06	486.47	126.72	857.71	91.49	1088.35	811.87	325.29	260.34	850.92	76.56	0.0	3.96	0.0	248.64	785.69	501.69	117.87	913.41	375.26	168.57	63.09	252.74	319.4	322.06	331.44	166.15	886.0	784.98	370.35	399.72	378.66	376.98	193.65	431.82	374.07	78.21	474.66	428.23	48.82	100.69	107.58	110.7
4930511M06Rik	115.16	110.72	97.25	131.29	85.43	142.88	146.52	118.85	99.1	91.87	135.9	82.85	124.35	98.34	98.35	105.72	68.67	93.98	89.38	125.93	79.86	74.48	43.02	80.36	64.23	74.57	137.6	75.37	63.57	70.04	87.69	32.0	157.94	77.2	104.17	98.75	63.49	149.94	85.66	75.93	106.74	95.4	162.95	135.57	111.6	176.41	59.76	73.99	61.97	87.18	66.16	50.82	56.93
6530418L21Rik	120.61	37.94	192.03	35.57	33.8	24.39	7.52	248.6	73.63	23.44	89.73	116.49	129.67	120.43	163.75	65.36	32.17	81.77	99.65	0.18	46.61	70.93	0.07	6.57	0.42	68.18	173.0	0.0	34.44	16.9	62.77	61.26	9.53	12.99	74.61	50.16	62.16	181.77	20.35	0.3	22.26	0.0	113.46	116.67	196.41	88.62	0.0	0.0	0.07	39.3	28.86	23.51	20.58
9930111J21Rik1	15.9	16.95	6.92	17.54	11.42	17.16	43.37	9.45	9.69	17.2	26.53	20.0	7.55	12.65	14.13	8.52	9.24	4.86	5.0	15.62	3.15	5.17	1.55	6.94	4.7	13.55	20.34	10.51	7.49	9.94	12.04	1.71	14.9	7.32	38.31	6.48	7.78	42.35	28.6	9.31	21.24	3.04	31.36	27.2	28.04	14.76	9.19	1.63	4.77	9.29	4.62	5.65	4.85
A430107P09Rik	78.5	99.82	64.48	90.43	40.12	120.14	104.79	97.89	62.9	86.3	77.86	75.82	107.53	82.21	87.57	67.16	35.57	39.26	65.7	63.95	65.93	78.33	11.58	52.82	45.18	40.34	124.14	32.69	49.48	31.45	69.66	24.19	72.25	70.46	83.58	68.96	53.29	90.96	80.64	79.49	108.54	55.62	121.73	81.05	74.18	73.5	34.08	41.39	22.87	60.91	37.09	35.52	34.58
AI593442	2231.86	1482.95	2321.96	3479.06	970.25	855.23	2391.09	1568.93	973.61	1789.19	2417.7	1939.47	1885.38	1716.98	3270.62	1878.22	1627.34	675.1	2041.84	1758.77	203.99	765.96	818.44	263.73	827.28	451.51	1373.93	104.98	1041.38	436.51	177.6	146.11	175.29	495.53	869.01	804.98	1267.28	1196.81	1554.95	1262.52	1223.05	247.05	1718.67	2108.91	2989.26	2242.53	351.28	215.35	671.51	337.41	1141.26	591.02	692.68
Acnat1	34.59	41.94	29.83	34.0	16.15	28.61	45.59	25.24	17.54	28.88	39.97	18.37	30.43	21.84	29.48	17.08	18.88	15.78	25.22	26.1	22.75	17.75	16.45	12.14	13.58	20.41	31.02	19.94	10.78	11.82	19.98	3.25	22.29	29.23	19.77	21.2	15.95	18.55	24.61	22.94	24.43	14.32	30.09	32.66	25.74	29.88	11.56	15.91	14.75	16.55	10.44	11.33	11.11
Akap5	252.12	71.17	175.93	142.27	219.99	257.7	180.69	126.39	362.79	343.18	92.61	294.42	251.38	268.46	128.92	274.28	359.58	115.62	229.05	235.25	96.57	16.35	92.4	115.15	63.52	179.55	299.76	92.08	127.32	77.41	173.81	139.93	127.69	165.79	121.15	187.64	202.55	158.1	130.32	288.38	118.42	27.34	367.34	245.37	129.86	465.55	52.36	229.45	57.03	78.67	91.64	94.33	86.04
Atp2b2	1181.71	926.66	889.75	998.14	834.43	859.29	971.22	1414.78	1063.46	918.56	770.76	624.91	841.4	782.14	680.19	831.17	964.8	913.09	646.52	358.36	907.77	755.87	461.05	510.73	986.38	570.28	740.17	286.67	704.13	383.82	549.45	634.51	389.44	452.31	695.68	585.43	608.79	866.97	1038.29	894.42	774.04	1102.87	852.76	960.1	1128.44	784.72	417.31	287.87	411.04	451.27	359.21	327.32	306.97
Bhlhe40	133.3	188.87	234.62	0.1	0.15	450.15	591.32	293.56	0.0	305.91	596.08	656.57	475.58	169.25	384.46	203.42	460.31	279.86	334.45	334.3	0.0	0.0	0.0	0.0	0.0	121.97	128.16	7.57	116.02	97.82	67.81	0.0	0.18	210.89	68.01	0.27	418.64	447.58	449.61	195.59	131.16	0.0	203.88	519.89	1093.36	693.05	0.17	25.89	0.0	14.32	13.86	5.62	15.69
