	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Neto1	35.36	47.22	27.12	0.0	188.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.02	6.31	0.0	2.2	34.52	0.0	13.12	68.85	14.45	0.11	5.26	0.0	33.86	2.46	36.0	31.96	0.18	33.25	9.14	0.0	0.0	0.0	18.88	83.58	33.77	6.16	67.44	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	28.22	0.0	35.7
Nop56	243.53	131.25	146.14	0.74	345.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.35	245.53	155.07	148.38	305.52	208.67	160.69	241.59	225.9	225.79	171.69	390.89	289.74	233.68	232.81	185.4	397.69	166.11	281.65	422.23	178.75	276.31	237.65	100.38	53.24	258.16	180.58	126.94	186.73	0.0	0.34	0.0	0.0	0.54	0.0	3.0	103.8	267.12	182.27	389.45	149.89	220.94
Npy	138375.8	173305.25	115124.65	0.0	12448.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2
Nup35	99.19	30.73	29.14	0.27	297.61	198.98	0.0	0.62	0.0	0.0	2.23	1.43	62.1	36.06	108.78	0.0	0.89	33.02	32.62	0.0	43.64	0.39	41.33	2.56	3.31	0.43	0.22	41.51	124.6	2.45	0.04	42.38	0.69	280.37	0.06	35.7	9.67	0.21	0.28	2.69	5.62	1.56	0.25	3.92	0.36	0.0	0.0	0.19	36.7	13.52	0.25	29.63	6.34	0.13
Pdxk	27.42	177.1	75.53	0.29	113.48	0.19	0.16	7.87	0.0	0.0	1.64	0.0	50.58	43.71	48.37	118.23	42.08	46.4	23.54	69.49	45.6	49.02	33.86	115.24	45.77	17.49	11.98	21.82	43.21	31.66	44.34	28.84	26.09	47.07	85.88	55.24	7.36	22.64	35.89	33.9	45.36	0.0	0.89	0.0	0.3	0.79	0.0	13.76	46.36	19.68	31.76	68.13	48.33	59.37
Ppip5k1	20.96	16.87	0.62	0.0	34.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.02	18.81	12.36	32.03	13.42	37.31	6.59	0.22	0.33	6.76	0.07	16.3	0.06	0.0	29.08	0.0	0.39	12.92	15.44	13.85	54.65	0.0	6.29	10.93	8.8	12.63	10.18	23.73	10.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.08	14.7	15.11	18.08	12.77
Prepl	202.35	240.8	169.97	0.0	629.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	398.69	356.47	216.56	74.19	393.64	221.97	87.75	188.8	460.26	384.04	338.92	219.4	226.76	807.7	307.12	66.58	179.08	159.93	226.61	190.94	97.49	130.68	316.94	267.22	287.47	247.64	303.64	406.72	362.43	0.0	0.0	0.19	0.0	0.32	0.0	0.0	201.18	123.46	248.65	304.27	207.38	321.38
Psmd1	88.18	252.46	74.27	0.0	447.82	0.84	0.0	0.0	2.3	0.0	0.0	0.0	198.53	166.6	269.49	215.0	62.88	205.83	235.74	105.32	135.95	366.07	267.72	234.71	186.92	7.71	170.32	225.77	298.11	108.03	219.79	212.38	96.28	66.68	27.64	136.6	182.33	162.13	104.23	315.76	366.45	0.0	0.2	0.0	0.0	77.83	0.0	0.0	106.28	51.54	101.5	150.66	194.58	210.73
Rab11b	97.23	99.71	131.49	0.52	337.27	0.78	124.47	0.11	0.0	0.36	0.12	0.7	108.91	170.34	88.56	67.95	113.83	124.83	142.83	146.08	231.16	148.1	133.94	173.4	126.96	134.11	132.47	107.51	92.71	108.6	144.09	132.01	32.62	98.62	80.14	44.76	151.25	133.92	61.11	106.39	105.51	0.2	545.48	0.35	0.57	0.61	1.16	0.0	156.31	78.97	114.02	176.73	128.13	171.15
Rab15	17.97	0.44	70.63	0.0	114.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.21	8.66	37.9	31.53	0.96	30.64	22.18	27.69	9.3	31.39	2.97	10.08	27.83	0.27	10.14	76.36	8.96	0.0	3.06	0.0	0.0	0.0	11.98	29.88	25.05	0.09	14.3	34.07	14.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.23	10.15	0.66	23.77	0.1	28.25
Rcan2	109.3	96.9	99.34	0.0	1248.69	0.27	0.09	0.0	0.0	22.48	0.24	0.0	97.98	279.6	2.06	93.89	45.15	76.27	33.23	84.99	86.48	38.11	67.38	134.33	75.53	238.17	98.01	123.74	60.89	34.11	83.59	130.98	131.79	53.25	74.62	108.03	90.54	107.64	175.49	153.34	90.29	0.0	0.2	0.19	0.1	0.0	0.0	570.91	86.88	163.4	55.12	215.47	57.08	17.98
Rnf14	226.54	389.45	481.78	0.0	882.61	0.0	0.0	0.0	0.0	0.0	0.16	0.0	428.75	479.4	532.66	267.44	333.84	526.58	249.64	462.76	519.88	300.27	239.8	483.09	520.86	277.01	508.67	82.79	233.91	376.6	415.64	135.72	112.18	344.3	299.74	273.44	189.37	422.33	472.1	212.0	205.08	0.0	0.45	0.21	0.0	0.0	0.0	0.0	337.66	217.61	522.16	519.41	380.3	302.96
Slc1a4	36.46	40.02	0.0	0.0	166.26	0.12	0.0	0.0	0.0	0.16	4.63	0.0	15.04	0.0	0.04	0.0	0.0	0.0	21.57	0.0	33.49	0.0	17.97	0.0	27.03	0.05	30.47	0.0	66.3	18.78	6.01	0.0	9.7	77.13	2.64	0.07	0.0	0.83	29.92	18.15	22.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.01	110.89	1.21	0.0	39.6
Slc38a1	24.44	73.67	96.31	0.0	181.06	0.0	0.0	0.0	0.0	0.0	0.13	0.05	35.38	95.09	53.77	20.92	40.36	78.67	45.6	72.78	76.47	24.3	16.52	56.12	19.45	73.85	44.6	74.18	11.84	12.04	6.97	30.82	69.57	62.85	57.21	33.53	1.43	40.71	71.66	36.71	42.17	1.52	0.0	0.0	0.0	0.0	0.0	0.0	53.18	14.2	85.24	51.91	21.41	34.31
Snord116	0.0	6.02	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	14.21	5.74
