	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_70	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.86	0.0	0.0	0.0	114.76	107.75	0.0	0.0	0.43	2.53	121.59	0.0	0.14	25.92	0.0	0.63	44.12	18.43	0.0	59.55	124.85	20.93	0.0	25.73	3.87	18.23	0.0	0.0	3.38	1.09	26.64	20.55	0.0	70.56	30.98	0.0	7.17	2.28	0.0	0.0	0.0	0.0	0.0	0.16	0.0	8.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1500032L24Rik	208.04	198.66	163.78	0.0	85.47	54.77	69.29	139.28	125.8	74.95	0.0	180.83	177.39	109.47	283.19	0.0	196.52	273.76	322.84	175.61	389.16	21.42	101.67	26.0	515.16	134.73	270.91	271.77	394.9	92.95	41.65	135.22	262.81	289.56	345.68	56.73	262.84	343.87	243.38	205.35	302.11	165.54	33.9	614.71	0.0	127.76	0.0	52.2	1.52	110.77	174.29	142.3	53.45	217.18	54.66	233.31	183.09	0.0	47.39	0.9	207.26
1700020I14Rik	146.58	21.28	462.3	26.66	125.4	65.05	92.08	121.7	11.8	40.02	82.45	89.12	21.01	120.13	81.77	105.41	237.86	217.69	302.28	98.38	119.44	243.29	98.41	118.48	74.63	278.2	197.67	247.29	195.63	165.51	180.93	146.54	123.6	317.67	136.43	47.86	138.06	40.7	187.64	67.0	83.98	166.13	355.38	67.17	201.45	205.39	237.9	405.62	292.78	97.08	1.33	228.48	200.45	66.33	10.45	112.04	75.76	33.5	49.99	0.0	0.0
5730437N04Rik	99.15	0.0	147.07	0.0	0.0	81.35	0.0	19.27	47.31	178.26	0.0	0.0	134.1	77.34	107.28	0.0	84.32	13.33	18.34	90.86	16.52	64.42	28.93	115.24	18.89	184.17	138.6	28.85	99.12	0.35	59.76	40.65	0.0	141.47	72.44	0.0	50.02	48.35	0.0	49.94	4.59	148.75	8.33	0.0	80.22	14.42	0.0	164.52	0.0	0.0	79.82	76.73	3.96	21.03	19.06	18.17	72.29	0.0	0.37	0.0	0.0
AI836003	9.84	0.21	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	27.3	2.04	4.17	64.23	0.0	0.0	28.1	123.24	0.33	27.06	19.36	0.0	0.22	0.0	13.49	113.14	3.41	94.04	107.22	2.42	28.55	152.57	192.74	21.33	53.21	40.32	23.18	0.67	98.91	95.4	0.14	69.21	4.37	129.91	0.0	0.0	0.0	0.14	0.0	0.0	26.54	0.0	0.0	0.0	67.97	0.0	0.0	0.0	0.0	19.84
Abat	0.14	24.21	0.0	0.47	0.0	0.0	89.38	2.15	0.0	232.47	81.12	36.23	77.1	181.08	67.41	159.85	62.61	221.48	84.27	151.59	276.76	155.39	168.71	162.01	82.59	127.93	161.63	143.29	134.97	96.33	231.12	130.46	147.05	235.3	403.15	155.24	168.73	314.92	117.26	151.59	134.81	137.66	250.26	185.71	280.39	149.32	0.0	0.0	0.29	0.0	37.31	42.69	18.69	0.0	101.64	122.98	156.6	2.43	0.08	44.19	74.22
Ank	0.52	7.1	0.0	0.0	25.59	0.0	137.22	182.67	1.04	125.73	0.0	103.16	116.59	0.13	0.0	0.12	62.85	80.66	68.09	44.4	134.08	10.02	0.21	72.16	55.97	64.86	137.08	55.69	102.03	40.83	148.73	41.79	102.34	94.53	13.9	173.07	117.33	89.43	98.2	70.43	104.77	228.79	115.28	15.44	4.64	137.62	67.37	61.94	21.56	88.02	86.13	18.76	75.49	114.91	32.56	184.43	35.36	55.92	0.0	256.23	158.95
Atp1a3	220.89	190.9	101.01	171.88	98.7	108.49	121.05	74.01	134.2	427.43	227.53	203.34	184.56	467.06	348.02	202.36	276.73	527.8	325.33	270.28	330.53	616.8	448.55	210.37	446.84	339.35	329.14	420.98	309.45	419.08	235.24	538.83	185.11	594.6	326.95	397.64	581.6	693.05	630.86	722.19	699.36	582.99	623.12	655.42	779.11	558.12	174.15	128.48	181.5	54.03	85.02	95.83	188.88	24.05	404.06	647.34	928.04	492.51	265.5	198.24	41.71
Atp1b1	644.28	560.62	785.99	349.84	587.26	546.26	237.62	192.51	401.3	754.92	447.13	248.65	123.23	697.6	601.31	0.0	1267.23	1446.77	1225.14	720.71	1030.67	882.38	1022.89	784.33	703.67	984.01	498.97	1187.8	509.85	911.76	823.83	1066.64	829.93	1205.41	787.52	780.34	830.98	1104.98	950.84	1128.79	933.81	1141.29	1251.43	976.82	1234.01	1033.58	327.77	376.72	37.74	205.65	359.63	181.01	476.22	226.44	389.51	1061.33	625.27	435.13	69.78	281.17	301.08
Atp5a1	2407.94	1992.03	1029.97	1091.15	823.02	869.28	609.47	711.91	607.24	1576.05	925.55	880.16	1218.86	1348.18	1276.85	1132.13	926.22	1062.46	1064.82	1401.89	1812.82	1444.25	1810.02	1534.83	1497.31	1185.01	1657.38	1385.09	1014.74	1474.33	2033.41	1202.7	1448.94	1600.55	1345.52	1310.77	1237.72	1416.75	1261.38	1490.19	1164.03	1191.41	1234.9	1283.06	1395.12	1079.61	793.8	951.52	673.62	562.03	1026.5	739.24	804.78	712.3	644.01	1373.11	1359.9	2079.74	858.38	1331.41	823.06
Atp6v1e1	1096.27	1389.45	1277.57	1065.25	2100.86	1244.77	1155.58	1294.67	1181.84	1780.12	1656.97	739.36	1114.32	1259.02	1472.36	426.12	1665.07	1406.74	1811.11	1754.05	1603.02	1477.09	1680.56	1020.99	1116.54	1181.42	1165.58	1620.87	1756.67	1421.69	1239.43	1312.87	1833.93	1370.1	1307.86	888.61	1516.47	1571.32	1673.54	1191.85	1256.84	2145.61	1470.99	1785.82	1658.05	2158.37	954.62	1043.13	419.28	858.24	1676.26	1397.4	924.68	760.63	1195.12	1573.99	968.17	1191.78	1039.35	1669.75	1620.33
Atp6v1g2	3042.63	463.8	664.7	2285.42	1219.98	1312.72	1124.43	1265.06	1029.46	1634.43	1984.77	1444.96	426.45	1000.67	16.6	0.86	2205.07	1394.83	1450.04	2614.22	1190.66	2691.7	1580.66	3636.29	1230.57	1514.79	1221.41	1372.9	976.42	1508.11	1758.71	1562.14	1900.65	1410.98	1761.07	1267.15	1286.9	1929.62	1772.7	1554.62	1301.93	2572.33	1240.88	1862.44	1587.08	1784.47	912.16	2034.23	1413.57	1818.91	1770.25	1885.11	1388.58	1483.55	1814.92	2042.87	2039.46	475.89	739.31	555.35	491.29
Atrnl1	50.39	0.0	0.0	0.0	3.29	0.21	26.86	0.06	28.59	0.0	0.0	0.0	0.0	64.69	0.0	0.0	0.0	26.5	0.0	10.79	25.7	3.19	0.0	46.87	10.32	10.99	5.96	27.21	21.99	38.63	23.68	1.76	0.07	44.86	12.59	28.98	28.26	60.38	36.66	32.85	34.49	0.2	25.01	22.97	49.88	37.58	15.97	0.13	0.1	0.0	0.09	32.12	0.33	31.41	4.35	45.19	32.27	0.0	0.0	0.0	0.0
Brcc3	545.84	281.0	762.41	0.0	101.95	0.0	202.64	280.8	300.49	332.23	291.85	406.81	238.53	319.88	177.79	18.63	339.56	101.7	137.61	595.87	474.93	468.19	789.64	178.82	32.74	71.26	216.96	279.83	454.92	348.39	113.4	158.17	205.3	77.61	120.9	190.19	52.84	64.4	262.11	191.14	84.68	50.32	179.04	510.63	218.8	450.9	3.45	488.81	44.04	313.18	140.72	5.74	612.55	320.58	222.31	207.52	153.85	314.62	162.15	0.88	0.42
Btbd2	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	2.24	0.0	0.0	12.71	0.0	0.0	0.91	0.0	0.0	0.0	43.08	7.07	0.0	10.45	0.0	0.0	0.0	0.05	6.07	13.19	16.11	0.0	22.42	0.0	6.89	0.0	19.76	0.0	0.0	0.0	52.5	60.0	0.0	0.0	0.59	0.0	13.66	36.77	0.0	0.0	0.0	44.86	55.81	0.0	0.0	0.0	92.59
Btbd3	119.76	5.11	106.44	12.79	65.22	45.53	91.5	214.0	4.03	22.41	0.18	199.0	0.25	98.17	328.51	0.0	16.64	126.06	73.62	24.28	61.61	128.08	130.73	14.1	183.29	56.5	49.81	136.39	145.35	97.07	93.14	25.28	33.97	66.16	68.87	133.01	68.42	107.22	123.79	143.94	58.75	326.54	138.21	390.5	317.56	21.86	38.77	122.38	147.59	75.5	56.07	38.96	15.99	15.38	25.75	136.77	2.15	0.22	27.36	5.59	0.1
Cacng2	0.0	0.0	1.6	5.57	1.32	0.0	4.1	5.59	0.42	0.0	0.15	0.17	1.23	19.18	0.0	0.0	0.0	7.18	9.09	11.79	6.67	15.75	6.76	0.0	7.05	4.15	6.87	8.78	0.18	6.89	53.65	27.11	15.09	4.5	5.44	0.37	23.35	15.61	6.15	7.62	11.99	6.83	20.57	10.99	14.21	4.59	3.87	0.0	6.12	2.41	15.37	2.19	10.22	0.45	2.78	13.09	2.36	5.05	9.26	0.0	1.59
Cadps	156.31	86.12	16.82	41.41	85.63	54.28	39.0	50.22	72.31	54.24	17.5	3.47	125.86	150.01	173.95	0.08	65.05	100.45	167.94	33.06	123.31	142.88	229.95	86.25	140.98	103.93	60.1	175.21	30.38	58.51	113.69	109.92	96.99	106.17	90.24	101.94	125.22	142.8	117.51	144.63	150.33	102.21	198.31	181.12	202.49	251.39	57.99	0.0	33.28	0.0	37.72	0.69	14.72	0.24	55.39	149.01	113.58	150.85	9.89	164.53	37.53
Ccdc136	6.28	0.0	105.48	0.0	0.0	0.0	31.12	0.28	0.0	30.71	0.0	0.0	15.71	42.77	0.0	1.2	4.62	42.53	26.74	24.22	19.68	7.92	11.64	0.16	3.01	20.72	0.0	22.09	14.68	26.76	0.1	21.99	0.0	6.21	19.87	17.72	70.72	54.7	11.02	15.26	57.09	110.48	1.33	0.58	30.35	3.51	0.0	0.27	2.9	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	12.87	0.15	3.72
Ccdc92	0.0	0.0	0.0	19.28	0.34	0.94	3.7	2.68	0.0	0.0	0.0	0.0	0.0	13.71	0.0	74.88	25.29	12.4	80.17	0.0	1.23	11.08	5.34	0.22	0.0	7.11	0.88	27.5	0.0	0.0	42.56	1.06	0.1	10.02	7.88	0.0	1.47	21.05	20.66	0.0	33.61	39.11	18.51	10.43	0.0	127.71	0.0	0.0	0.07	0.0	0.0	0.0	0.0	21.56	1.67	0.53	52.26	0.0	0.0	0.0	0.0
Cct6b	0.31	0.56	0.0	0.0	0.38	0.0	0.0	0.0	0.34	0.26	0.0	0.55	0.0	0.0	2.41	0.0	0.54	0.0	0.71	0.0	0.0	0.34	0.0	0.86	0.0	0.0	0.73	0.45	0.0	0.58	0.71	0.34	0.89	0.0	0.51	0.0	41.16	0.0	0.0	0.73	0.22	0.38	0.22	0.0	0.54	0.0	0.36	0.0	0.0	0.86	1.03	0.72	0.42	0.0	0.54	0.0	0.0	0.3	0.1	1.17	0.26
Cdr1	72.1	25.68	4.52	3.02	123.26	0.0	24.45	141.06	41.24	105.12	0.0	1.04	0.26	26.92	19.4	0.18	41.9	53.51	122.63	43.04	61.15	75.89	26.03	32.98	60.83	26.02	26.12	76.3	0.0	48.12	29.6	209.47	58.21	65.84	18.92	88.69	24.28	91.04	71.66	82.87	53.86	144.47	204.25	83.67	77.38	43.26	8.27	30.39	96.9	18.16	0.0	33.27	58.66	35.77	1.42	62.29	46.17	17.86	1.5	0.0	22.0
Cdt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cend1	1040.15	350.99	115.37	218.16	399.1	251.71	280.48	252.19	135.36	883.68	473.54	6.75	184.32	472.8	589.19	496.89	540.8	390.67	576.33	973.08	532.23	412.1	657.49	455.98	441.71	698.79	546.67	517.57	236.85	518.39	901.11	349.56	649.86	775.77	541.33	521.14	889.9	741.15	459.15	782.64	762.57	620.37	915.92	1126.05	870.71	552.83	217.87	232.85	226.89	234.77	0.37	423.39	94.52	323.15	523.72	952.06	726.83	284.63	470.02	145.95	472.77
