	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Actr2	560.81	615.16	652.93	612.25	556.83	651.0	646.14	964.31	586.22	1062.63	698.77	653.52	634.89	511.34	653.38	563.55	573.44	813.99	642.2	522.12	809.09	1037.19	927.03	643.91	712.72	914.44	477.32	582.01	592.9	640.24	416.04	481.75	474.2	487.28	632.59	696.19	1114.33	818.44	1441.31	1328.29	1293.66	624.43	830.45	1050.66	343.9	447.01	708.39	557.15	832.13	746.45	636.19	828.1	881.51	516.08	930.07	693.24	600.77	1090.94	747.48	725.62	1057.87	973.9	990.22	585.97	795.39	1284.4	817.74	677.0	1052.72	993.35	982.24	1007.46	1262.71	875.98	688.11
Apoo	1084.61	777.15	504.39	421.66	47.2	518.09	367.06	866.47	232.78	370.68	428.74	791.83	173.78	263.66	595.56	282.79	292.52	555.65	0.0	165.6	70.12	156.13	1187.07	496.33	367.46	432.05	0.0	218.71	449.61	416.65	191.3	140.08	344.37	337.46	318.62	526.67	559.43	910.36	540.8	1147.21	434.57	698.92	546.54	573.25	408.69	261.06	997.3	837.75	431.83	653.7	662.11	569.82	405.06	1093.97	357.69	402.99	333.62	296.07	307.39	276.75	0.0	293.63	503.12	590.55	580.5	1089.37	872.53	382.3	0.0	208.21	394.88	253.13	287.22	467.29	0.0
Atp5e	577.56	302.28	1059.3	209.79	252.45	389.16	388.91	235.58	235.57	438.9	487.2	812.59	430.32	290.1	269.8	272.94	447.53	735.08	835.54	381.44	587.59	514.25	703.4	502.52	649.55	276.11	195.74	1443.64	1776.23	1053.06	541.37	434.57	324.69	481.73	818.66	859.73	678.05	678.58	707.15	1031.55	938.24	564.39	548.08	824.98	287.45	496.89	307.1	395.07	557.13	406.41	537.49	830.36	422.18	536.97	261.9	556.52	701.51	398.61	570.77	496.33	467.91	517.72	764.04	1188.53	633.16	230.45	718.33	1347.96	258.42	197.11	237.57	242.67	482.71	511.22	527.58
Atp5k	689.92	329.97	1234.9	750.95	607.3	486.38	665.86	784.85	836.22	755.4	610.42	686.64	537.18	525.49	407.56	497.79	287.34	1372.93	693.96	485.34	401.74	601.2	679.01	602.66	463.36	696.2	413.99	837.08	1802.5	1316.62	1190.55	829.88	294.39	623.37	1521.99	1240.85	1796.03	942.64	1390.01	1364.32	1857.05	1043.48	1109.8	1374.1	761.49	611.35	448.56	1015.43	715.78	741.92	748.76	875.24	579.52	1297.82	906.59	772.67	887.9	546.33	686.77	747.78	450.81	684.7	1630.23	1079.96	719.46	1346.56	942.15	1595.42	737.86	371.45	818.99	693.12	597.27	527.77	788.71
Atp6v1f	463.72	826.86	1525.92	856.66	531.38	923.22	699.2	1946.46	1018.65	1813.94	766.43	591.3	929.97	755.65	1101.6	1217.01	1198.29	1392.17	1502.92	1118.38	923.71	1305.29	1767.38	1383.23	1002.67	684.43	138.05	2541.76	1420.5	1688.74	1581.45	881.41	727.42	1556.43	1166.64	1000.46	1417.81	1418.55	1163.7	1559.48	1532.48	1422.49	930.63	1483.97	904.07	1188.56	591.29	1053.22	1310.85	590.92	1324.93	1069.16	996.82	969.41	967.31	1515.78	1458.23	974.15	1017.15	1068.25	1090.06	1275.2	2268.66	2063.11	1206.04	473.99	3722.27	2548.27	1164.92	824.87	1208.37	553.26	1553.49	686.85	764.55
Atpif1	1158.36	1072.5	2193.56	1494.76	697.6	736.91	894.0	1060.18	1126.07	1451.87	1071.73	916.33	1245.74	738.18	801.56	438.94	1689.28	2359.67	2099.65	293.71	811.89	1268.72	666.19	810.26	752.91	521.0	1094.37	3687.01	1861.2	1506.36	1449.89	1237.05	1195.51	1491.14	1799.15	1745.49	1315.81	1920.0	2257.99	2068.43	2204.34	2185.37	1927.22	2219.99	1177.45	1355.18	1980.79	666.71	936.19	744.41	1418.42	1113.58	790.96	1375.03	1233.19	1207.11	1325.6	904.08	1133.5	1138.31	831.48	840.17	2498.42	1805.12	1852.78	2011.06	1524.12	2753.65	1637.38	1329.19	1068.4	1144.28	1028.38	1019.1	935.56
Aurkaip1	341.0	48.91	149.96	58.24	361.58	0.0	88.02	0.0	64.32	80.83	296.53	145.1	135.6	171.51	70.23	153.85	215.47	359.7	83.95	79.95	277.28	168.54	234.99	141.14	139.38	249.04	126.03	242.43	571.39	346.72	224.63	162.14	210.12	85.86	233.1	252.69	99.67	99.29	175.36	238.46	106.06	113.68	194.81	295.07	132.1	162.59	114.1	154.7	111.04	219.54	118.86	149.54	225.17	122.03	118.55	224.09	189.16	152.56	201.29	176.86	62.67	199.43	0.24	291.87	318.49	285.95	187.76	203.09	216.64	86.73	286.32	50.15	1.86	89.31	126.38
BC002163	255.31	673.01	1105.58	372.26	155.45	37.32	179.56	493.87	363.68	283.27	177.49	277.61	267.37	240.51	167.32	437.3	291.62	622.67	293.94	272.69	227.41	219.99	474.83	602.46	242.7	351.31	734.06	378.16	593.91	509.82	233.58	616.13	61.22	712.12	468.08	454.43	379.75	506.8	562.99	677.58	644.61	435.14	668.3	588.53	434.79	235.63	541.95	140.81	369.15	153.94	335.63	178.8	303.66	206.03	159.88	608.04	480.75	372.94	309.2	350.24	42.55	289.55	285.11	367.23	233.59	39.27	719.02	1062.48	769.85	670.89	452.29	440.11	344.96	165.09	277.47
Calm2	20249.89	17572.6	18003.48	17347.27	15474.01	17062.36	15575.16	20813.5	17375.4	20740.74	14599.68	19533.68	16208.07	14134.14	14924.09	18790.75	18403.02	19635.16	19628.74	18662.45	16595.47	19578.34	24749.41	16122.09	16961.32	21064.56	18026.74	19971.06	20654.99	19749.13	15401.69	16924.34	15529.11	19103.2	18291.8	18742.78	17145.93	18653.08	18187.15	17763.8	18504.84	17343.84	19736.86	17323.44	14233.37	14418.29	17522.3	17261.61	15861.65	17647.75	20660.56	19581.9	19276.37	18006.13	15901.8	15411.91	18644.66	18004.95	16099.57	15686.41	19423.54	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	18864.48	19735.95	19141.42	19191.1	17911.68	18621.16
Ccdc72	637.1	994.65	853.7	692.01	485.54	795.17	718.52	767.59	314.83	686.9	216.12	471.92	496.87	557.52	707.54	755.98	365.25	425.68	1258.97	629.54	308.78	1060.3	847.97	310.55	865.24	593.42	231.48	1413.26	451.92	1319.92	774.69	727.12	325.09	904.51	770.56	977.37	949.42	995.58	1178.06	1298.17	1174.8	961.92	1229.51	1037.45	335.27	473.0	563.14	560.29	807.8	384.8	788.26	1096.65	513.83	674.04	607.2	963.95	994.53	746.3	730.79	766.39	346.13	1806.81	301.87	1269.81	573.89	1013.4	977.75	1184.69	1111.25	626.99	642.83	316.46	634.26	456.11	844.79
