	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
2310046A06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	0.0	0.0	15.97	144.46	0.0	1.59	138.16	60.22	231.4	0.0	71.1	167.68	0.53	0.83	29.8	79.16	189.31	23.77	86.62	0.0	86.59	203.04	0.0	0.0	0.07	0.1	0.0	0.22	0.26	0.0	0.0	0.0	0.0	0.0	0.0	137.84	0.0	0.0	0.0	0.0	0.0	28.3	240.44	0.0	0.0	55.51	0.0	0.0	0.0	79.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	269.92
2610101N10Rik	4.08	39.79	68.74	0.92	12.47	15.86	0.0	22.27	225.39	167.23	94.46	26.47	136.53	66.41	115.35	147.2	34.13	97.38	198.02	96.15	268.87	149.64	34.52	117.0	74.62	138.71	77.58	77.53	96.49	94.97	103.9	54.28	59.75	52.36	43.0	28.72	95.69	56.7	33.25	41.49	27.63	33.13	29.82	30.21	90.95	47.23	114.16	2.88	48.48	2.88	58.87	33.89	3.39	130.79	73.25	12.34	2.66	23.36	4.16	38.21	30.18	3.99	26.17	39.47	21.24	10.4	26.45	34.57	13.77	0.0	3.72	28.82	2.56	55.63	7.83	190.3	7.67	44.68	4.74	24.59	11.61	62.63
2700029M09Rik	7.24	42.11	2.38	0.0	0.32	55.96	0.0	0.0	0.0	0.0	27.21	181.61	120.01	24.11	34.15	34.86	17.83	93.33	70.55	251.28	22.24	55.56	0.0	17.67	0.0	12.93	0.0	0.0	0.0	42.81	0.0	0.14	9.25	20.77	0.1	0.0	20.36	0.0	49.46	54.54	29.92	9.41	32.04	10.21	27.35	1.31	3.03	9.18	0.0	0.0	50.03	34.61	14.0	29.19	31.4	49.72	0.0	0.0	120.41	0.61	0.0	31.93	11.36	17.79	0.95	25.3	0.0	47.03	39.3	0.0	0.0	5.05	59.72	41.69	26.26	0.93	0.0	1.62	4.0	0.26	13.34	122.18
2900055J20Rik	0.0	125.16	0.0	124.3	0.0	0.0	0.0	0.0	133.49	0.0	207.94	768.56	533.72	188.6	126.62	540.79	437.02	440.2	148.89	377.37	292.52	23.87	202.31	634.98	337.44	386.36	256.74	416.6	647.55	107.35	646.02	0.0	0.0	0.0	61.07	57.67	0.0	45.08	161.69	58.65	39.02	122.63	74.95	62.26	399.76	5.75	6.03	0.0	0.0	2.55	354.45	1044.34	51.44	148.71	219.21	122.13	0.35	0.0	150.03	129.48	0.0	0.0	41.92	33.82	46.87	2.76	47.61	126.98	138.02	0.0	40.72	320.32	0.34	197.22	0.0	93.79	33.99	105.06	0.0	154.36	263.51	418.21
6330527O06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2469.16	0.0	0.15	2032.96	2084.66	1553.13	1492.83	2866.05	3045.49	2389.13	1931.3	2801.26	2038.92	2505.48	0.51	2073.94	1079.08	1016.52	1415.06	1543.3	2220.03	2809.44	1972.36	0.17	0.19	0.24	0.12	0.34	0.55	0.85	0.52	0.0	0.0	0.14	0.0	0.0	1591.73	0.0	0.0	0.0	0.0	0.0	2101.26	1610.67	0.3	1485.16	2250.84	0.0	0.0	0.0	3176.18	0.0	49.06	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.48	0.0	0.16	0.0	0.0
6430548M08Rik	48.17	38.04	21.78	37.23	79.98	0.09	0.0	0.0	0.93	0.0	41.82	216.64	45.16	107.84	65.66	138.95	103.13	122.56	309.04	163.37	87.71	181.89	9.4	68.64	83.09	221.57	0.0	74.98	40.06	30.63	63.32	0.03	0.07	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	33.28	16.28	34.92	0.77	1.11	9.59	4.14	83.95	0.05	95.03	82.39	12.97	0.3	14.54	69.81	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.69	3.75	47.52	0.0	20.63	0.06	0.04	37.59	0.94	0.77	34.63	97.34	58.43	0.16	18.76	144.25
A830010M20Rik	0.0	0.32	0.0	47.48	0.15	16.82	0.08	0.0	115.79	0.07	23.98	93.22	0.25	76.12	108.91	110.97	117.4	90.99	53.55	102.68	0.0	64.18	0.2	89.12	104.57	0.06	6.8	115.65	39.25	47.49	30.29	25.14	8.89	33.89	0.7	0.03	0.04	33.54	0.18	48.56	14.36	22.02	4.08	64.72	51.06	17.99	50.62	0.0	14.59	0.15	78.55	32.04	24.74	47.85	35.87	17.63	33.11	2.47	76.33	1.1	0.0	18.38	21.4	24.89	44.29	18.49	35.83	19.71	26.34	0.0	33.09	37.0	10.47	33.9	1.46	47.99	0.05	74.34	27.55	25.15	23.57	0.88
A830018L16Rik	0.45	0.92	3.28	0.75	1.0	2.48	0.16	0.72	200.93	0.46	0.84	55.74	53.1	206.26	52.44	96.8	224.86	134.3	84.36	166.93	182.66	24.1	9.62	91.78	29.93	10.54	13.69	106.45	18.28	67.19	0.92	0.52	0.24	0.47	0.23	0.17	0.67	0.43	0.64	0.38	0.42	0.26	0.16	0.37	1.19	0.15	4.34	0.34	0.0	1.05	15.37	127.09	1.44	112.67	31.43	0.59	0.5	8.5	231.35	0.42	0.17	0.38	3.88	0.41	0.37	0.32	0.28	6.73	6.91	1.5	0.5	1.59	0.36	0.39	0.14	0.73	0.35	12.82	0.66	0.54	17.03	1.02
Abhd6	62.02	116.41	93.97	33.51	148.25	0.0	0.0	0.0	130.46	0.0	27.85	82.18	190.95	200.9	89.67	697.0	365.64	209.05	24.69	587.35	356.01	129.71	444.48	375.85	106.92	454.99	25.31	248.87	289.89	198.26	205.25	115.51	0.18	75.07	0.18	0.17	189.51	0.26	73.75	51.9	77.7	57.1	166.76	91.2	246.08	46.11	0.0	0.0	0.04	75.61	189.52	407.66	45.13	42.4	218.77	34.65	0.0	16.42	188.07	0.0	53.07	0.0	0.0	0.0	101.37	31.87	0.0	72.09	112.79	0.0	40.92	0.68	0.0	0.34	179.73	34.96	81.24	119.26	0.19	50.68	0.0	372.11
Adam22	32.9	52.79	44.8	25.16	107.35	25.68	0.0	0.0	38.03	0.0	125.72	305.0	107.03	199.24	48.93	81.38	303.82	425.69	146.82	236.18	277.57	125.36	130.73	93.28	18.9	128.99	113.21	73.51	66.06	20.76	65.88	41.9	17.43	96.4	92.99	33.39	77.28	116.38	77.13	10.69	58.81	39.42	61.55	21.03	90.53	30.68	66.67	79.61	33.59	27.75	68.59	225.88	53.55	94.76	66.87	19.06	41.49	14.98	83.05	85.04	26.6	24.18	42.31	48.37	21.89	96.95	52.41	50.06	66.17	0.0	34.66	80.61	44.54	36.36	54.73	136.31	20.48	34.63	33.64	20.59	34.52	124.57
