	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_117	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_93	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Arglu1	773.06	372.53	390.88	455.23	580.72	429.38	760.78	235.72	374.16	470.82	254.0	678.81	326.28	627.63	649.63	512.23	518.26	367.34	382.03	255.74	649.07	419.3	743.27	525.22	598.19	403.78	347.96	452.24	346.7	456.79	358.6	545.93	349.5	561.76	273.35	624.41	548.62	388.57	586.6	465.43	700.82	351.66	715.39	244.1	324.01	223.58	220.81	91.92	279.05	208.68	541.81	290.85	333.88	402.32	415.87	292.67	936.81	664.84	667.19
Cbx3	1058.76	685.6	830.72	593.06	1328.26	815.98	1140.67	825.3	768.77	700.23	611.1	1412.06	1008.26	1255.43	918.96	690.86	677.64	768.36	1078.53	991.65	1396.08	1387.05	1221.75	817.39	1289.15	1168.66	984.57	1131.0	567.28	918.53	1045.65	1105.39	781.48	912.99	751.97	1651.5	1327.28	1138.36	1460.53	1633.06	2047.23	916.85	1015.04	940.76	1452.6	526.88	521.56	278.64	456.13	635.05	1912.49	665.19	1009.28	717.91	2489.84	868.21	2349.35	1642.46	1754.06
Clasp2	136.62	92.63	93.21	10.81	40.96	48.96	36.09	43.03	68.01	38.2	33.05	90.83	74.42	58.61	60.72	38.44	13.18	28.6	67.21	38.69	166.56	99.15	52.04	94.2	96.24	151.43	46.88	50.49	36.52	44.51	103.18	132.36	34.32	52.19	31.11	120.06	94.57	107.73	180.8	126.04	117.14	107.85	170.85	173.5	77.69	12.71	34.18	7.02	18.79	56.91	145.4	71.67	81.85	45.39	192.59	34.12	143.91	99.8	122.92
Efha2	544.29	363.3	531.85	306.24	321.5	547.92	362.08	272.8	123.07	287.18	229.62	849.91	998.33	582.74	373.8	134.91	241.62	549.3	766.82	596.01	181.36	254.47	539.62	200.09	298.65	397.72	471.9	613.09	321.04	352.79	357.51	578.22	293.11	272.8	253.7	824.47	535.19	368.89	432.53	480.85	1057.3	347.82	403.13	450.61	315.5	157.58	393.87	60.76	236.02	399.0	464.6	93.39	396.16	278.78	578.49	333.7	923.36	637.18	613.6
Gsk3b	402.17	302.65	460.18	233.85	350.31	237.58	521.45	251.3	282.68	308.11	152.19	350.13	584.95	309.67	513.64	275.12	340.32	288.35	330.66	347.54	390.75	471.42	320.12	505.07	442.96	291.02	337.6	318.57	197.54	279.43	332.2	230.71	190.43	229.64	144.83	321.12	432.94	465.7	545.35	314.55	360.41	396.27	559.92	391.33	563.35	148.8	293.73	63.96	158.13	126.65	266.75	200.02	413.07	187.45	460.81	246.39	763.9	491.48	530.06
Inpp4a	362.54	350.44	524.08	210.98	256.62	446.93	265.46	274.24	318.89	424.43	213.55	363.01	334.0	637.01	236.48	169.26	351.47	408.7	338.29	138.38	420.61	524.92	298.44	298.79	122.61	367.0	537.1	290.7	111.52	294.76	270.22	312.21	117.72	329.95	279.52	658.26	654.76	495.28	732.18	727.13	568.51	436.7	375.39	374.67	321.73	150.46	176.1	62.22	104.81	156.9	464.41	207.19	296.65	235.83	496.3	302.09	933.22	683.89	741.12
Insig1	19.71	1.33	45.41	21.88	55.31	8.15	53.18	0.14	7.31	12.2	1.0	209.07	28.35	17.64	41.06	15.91	8.56	52.47	54.32	35.24	71.08	97.7	87.43	37.18	21.61	172.92	9.97	101.59	1.37	9.83	70.53	61.96	0.33	19.05	12.8	198.32	124.16	42.76	35.81	102.27	117.67	44.18	133.11	42.8	25.41	0.0	4.76	1.87	0.0	43.7	145.13	24.93	22.03	12.14	77.06	13.59	72.08	43.18	55.06
Kdelr2	235.15	48.36	33.27	32.08	59.19	46.9	83.14	63.91	13.9	24.73	7.62	66.62	36.19	52.64	52.2	37.28	78.44	62.03	146.51	27.02	103.99	65.45	222.7	34.39	113.63	51.94	59.31	0.8	5.38	0.17	88.1	79.01	36.83	75.35	14.76	186.7	55.25	81.31	135.93	183.76	201.72	40.17	210.11	163.96	88.4	0.17	15.87	5.81	3.01	7.37	108.56	8.03	112.4	40.37	162.99	37.36	138.21	85.14	113.98
Paip1	384.81	179.12	137.26	105.21	153.88	218.2	155.39	93.01	153.65	166.37	133.27	276.7	328.46	336.58	312.55	164.28	112.87	267.73	212.38	225.64	281.67	388.92	169.73	302.16	305.34	225.07	248.74	125.31	55.75	203.39	295.27	169.11	129.64	158.71	53.79	229.44	293.45	193.47	234.07	173.46	431.49	254.24	255.72	183.22	135.1	170.57	116.32	19.2	91.07	143.36	334.26	184.04	190.65	217.34	363.2	109.53	350.07	248.29	258.77
Pdcd4	245.14	197.36	118.49	162.51	134.63	169.65	110.47	75.03	99.22	139.65	100.52	295.08	137.71	344.36	125.58	124.68	203.79	252.89	192.3	314.08	340.99	269.08	134.85	157.66	74.76	157.08	165.05	158.95	109.39	82.55	150.33	104.94	40.28	144.23	57.28	334.93	183.84	187.31	234.2	162.2	263.29	145.21	201.55	95.56	176.09	105.21	95.82	29.31	23.86	69.61	230.18	78.69	200.9	137.88	266.93	67.66	297.93	202.86	258.19
