	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_32	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_70	Chrna2_tdTpositive_cell_79	Chrna2_tdTpositive_cell_80	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_72	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_39	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_77	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_89	Sst_tdTpositive_cell_92
2700060E02Rik	55.26	40.74	154.94	33.11	0.0	0.0	101.52	2.68	15.67	126.75	242.85	221.68	26.12	6.0	0.0	1.4	0.0	42.02	75.52	6.87	48.76	0.0	0.0	0.0	0.0	0.0	50.69	27.08	9.65	2.47	26.99	101.17	29.58	1.67	3.71	11.74	71.82	29.89	97.52	28.26	38.88	90.69	70.71	28.78	1.3	0.0	10.47	34.02	66.49	23.64	105.85	20.13	69.65	101.95	0.0	172.83	0.0	0.0	0.0	0.46	0.0	0.0	3.28	34.98	36.22	113.34	0.0	109.1	1.62	53.43	89.3	86.7	71.74	113.72	14.6	12.58
Acsl4	25.1	58.55	37.19	135.47	56.7	51.85	9.93	52.84	34.87	5.8	113.63	179.91	85.62	43.7	0.0	0.0	0.0	72.86	73.43	14.35	68.29	0.0	0.0	0.0	0.0	0.0	76.56	53.49	256.6	98.76	79.22	150.34	99.87	80.89	87.25	137.52	94.6	77.04	41.46	63.07	51.48	49.32	50.34	65.89	41.11	47.55	71.5	66.62	130.57	71.46	111.48	84.07	40.81	33.55	5.74	98.79	7.7	0.28	0.0	0.0	0.0	0.0	68.44	124.93	52.51	60.61	114.97	36.4	66.42	65.24	26.72	43.5	132.37	94.33	128.67	95.58
Amy2a2	0.08	0.07	0.0	0.05	0.17	0.0	0.25	0.01	0.01	0.0	0.15	0.76	0.17	0.05	0.0	0.07	0.0	0.48	0.32	0.34	0.22	0.0	0.0	0.0	0.0	0.21	0.06	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.04	0.02	0.11	0.03	0.35	0.62	0.35	0.09	0.0	0.3	0.25	0.13	0.2	0.92	0.2
Amy2a3	0.08	0.07	0.0	0.05	0.17	0.0	0.25	0.01	0.01	0.0	0.15	0.76	0.17	0.05	0.0	0.07	0.0	0.48	0.32	0.34	0.22	0.0	0.0	0.0	0.0	0.21	0.06	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.04	0.02	0.11	0.03	0.35	0.62	0.35	0.09	0.0	0.3	0.25	0.13	0.2	0.92	0.2
Amy2a4	0.08	0.07	0.0	0.05	0.17	0.0	0.25	0.01	0.01	0.0	0.15	0.76	0.17	0.05	0.0	0.07	0.0	0.48	0.32	0.34	0.22	0.0	0.0	0.0	0.0	0.21	0.06	0.13	0.22	0.1	0.29	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.04	0.02	0.11	0.03	0.35	0.62	0.35	0.09	0.0	0.3	0.25	0.13	0.2	0.92	0.2
Camk2b	1.22	39.11	1.01	29.35	7.72	7.7	37.84	136.62	42.96	66.44	7.11	74.71	52.24	101.69	0.0	0.0	0.0	81.04	47.16	83.19	89.21	0.0	0.0	0.0	0.0	0.0	8.38	11.14	13.63	5.33	74.42	18.98	17.41	40.11	2.33	25.39	41.51	7.63	25.05	5.29	25.65	43.27	14.51	1.02	7.47	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	0.0	72.99	0.0	0.27	0.0	0.0	0.0	0.0	3.38	35.93	14.56	68.31	1.89	133.16	54.42	1.52	68.23	47.99	23.48	78.21	214.07	12.73
Celf4	59.99	79.46	1.0	101.9	125.34	38.84	76.21	19.82	61.99	53.52	86.19	73.71	133.49	22.37	0.0	8.15	0.53	84.35	110.08	94.41	133.38	0.67	0.0	0.0	4.94	4.0	128.1	66.26	299.24	175.95	148.95	64.94	153.12	224.32	231.4	243.79	163.62	207.49	153.5	162.01	116.99	92.04	151.14	97.02	72.41	93.79	369.25	118.07	93.35	94.71	132.43	108.34	106.24	119.84	0.0	227.71	0.0	0.7	3.98	0.0	0.0	1.31	99.61	65.84	43.82	86.59	149.46	251.4	49.7	82.62	213.38	47.53	23.38	247.2	206.96	102.09
Cntn1	161.21	397.62	250.2	249.82	179.3	329.93	110.28	270.89	164.6	96.84	469.94	728.34	350.5	455.74	0.0	0.0	0.0	913.94	388.39	347.36	644.65	0.0	0.0	0.0	0.0	0.0	221.84	290.37	382.4	423.99	523.59	398.45	373.45	434.07	262.77	295.72	189.45	235.91	235.69	375.34	133.0	423.78	235.61	210.14	321.71	187.61	108.64	200.54	410.28	322.03	373.48	168.19	399.93	336.45	0.96	625.13	0.0	2.82	0.0	0.24	0.0	0.0	387.87	325.34	533.8	310.41	643.94	345.33	664.34	423.16	262.36	352.48	322.8	495.1	438.43	302.83
Ddx1	301.57	393.89	142.4	186.02	170.32	513.54	11.64	135.15	135.99	9.89	445.39	420.03	97.05	109.33	0.0	0.0	0.0	312.18	425.04	408.2	268.31	0.18	79.03	0.0	0.0	0.0	164.03	190.83	81.01	152.52	310.49	93.01	215.85	97.02	229.24	332.92	174.36	99.9	353.3	233.8	240.76	113.14	189.63	156.15	54.16	8.21	161.49	214.64	123.98	265.23	207.82	250.39	94.25	105.39	1.25	224.78	0.0	0.72	0.0	0.0	0.0	14.39	122.7	35.49	511.91	205.84	177.31	162.08	19.86	148.86	415.21	94.33	228.8	397.02	393.01	160.53
Dgkg	46.92	98.79	56.27	170.09	71.53	37.19	8.66	114.21	77.77	65.95	185.87	116.33	100.33	71.74	0.0	0.0	0.0	213.15	328.3	33.58	133.05	0.0	0.05	0.0	0.0	0.0	88.98	98.09	5.69	88.01	11.0	62.68	137.71	74.05	178.53	166.61	101.66	175.83	60.86	64.78	88.81	98.77	76.82	60.97	50.81	62.18	10.41	58.39	107.12	39.33	51.19	100.67	71.87	41.98	0.0	128.11	0.0	0.06	0.0	0.1	0.0	0.0	103.68	40.3	80.11	186.31	124.97	195.56	134.7	124.25	118.98	91.58	94.23	319.7	148.73	207.61
