	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_63	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Cux2_tdTpositive_cell_62	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_123	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_40	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_48	Ntsr1_tdTnegative_cell_53	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_92	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_139	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_16
6530418L21Rik	27.25	0.0	62.72	76.76	82.87	0.0	8.01	62.75	0.0	51.17	38.7	0.0	1.08	49.34	0.14	47.62	29.84	44.41	18.61	62.56	1.2	59.12	24.75	79.32	74.76	3.52	0.12	2.18	8.75	0.11	0.41	17.81	0.08	0.0	131.32	0.33	106.5	0.0	129.44	93.62	132.57	66.82	124.55	16.9	169.4	114.46	62.77	0.71	9.53	62.16	0.46	26.28	0.0	23.51	20.58	2.5	4.67	0.09
Abcf2	36.56	0.0	132.41	282.41	172.77	161.74	256.32	155.65	0.0	235.49	86.13	0.0	118.75	127.2	103.48	26.94	410.62	110.26	265.9	161.61	163.81	369.71	286.68	0.23	126.4	133.59	82.43	246.0	97.1	121.39	86.5	313.12	101.43	0.0	240.82	70.58	138.67	0.0	109.22	348.7	208.72	80.3	175.51	132.98	316.53	36.38	214.46	226.2	148.89	141.33	0.0	76.47	0.59	284.09	257.44	90.3	111.54	19.77
Adss	11.47	0.0	15.16	50.94	3.33	16.25	27.88	37.8	0.0	17.15	14.05	0.0	0.18	25.22	7.83	11.98	4.84	49.81	12.65	95.06	15.93	2.82	69.95	134.47	57.16	19.29	0.0	2.82	0.0	93.52	0.0	70.48	74.65	0.0	48.74	0.6	49.42	0.15	56.31	0.0	48.32	70.18	156.22	231.84	34.9	92.91	92.0	53.52	0.0	47.11	52.75	52.54	0.0	35.64	25.61	8.01	0.0	9.12
Aldoa	11485.19	10293.64	13597.95	9857.88	10922.55	8666.32	9594.87	11706.21	7569.05	9573.26	10937.95	8914.99	12694.2	9609.04	7552.26	9491.64	12406.05	9484.01	9502.06	10709.74	9426.51	12801.23	13515.12	11035.27	10804.73	9782.05	14715.13	13848.9	11472.28	10282.88	9962.29	9747.34	11924.07	7349.77	12605.63	11555.54	10987.04	8202.56	10425.55	10549.04	10059.54	9510.92	10471.46	8717.85	9065.74	9329.73	8815.05	9972.73	10302.96	8451.62	10945.65	11548.81	11283.91	10997.44	10660.26	10590.73	12521.72	10558.94
Ankrd33b	2.83	0.0	11.72	4.38	36.09	0.0	26.25	79.18	0.05	1.49	0.2	0.0	7.8	44.94	0.18	6.69	32.83	69.67	42.08	38.85	78.97	95.12	39.14	105.33	8.43	79.6	11.37	0.23	71.32	6.24	1.57	58.37	2.65	0.0	94.3	30.32	17.73	0.05	23.1	56.96	85.49	83.08	135.94	3.68	42.73	45.88	57.09	67.83	124.18	87.18	0.0	6.8	0.0	22.54	13.55	18.63	22.49	38.65
Anxa6	0.0	0.0	65.86	155.19	459.07	0.0	5.5	0.96	0.0	80.88	109.78	0.0	33.59	69.97	0.0	79.83	56.45	170.34	100.4	397.78	161.66	144.99	56.57	63.35	168.19	149.25	116.28	179.0	50.49	142.5	31.81	131.16	11.35	0.0	1.27	116.38	104.46	0.0	60.75	186.23	91.59	130.62	198.79	374.54	192.18	224.25	304.52	134.64	221.92	118.93	93.66	22.01	0.0	132.46	149.19	0.0	86.41	181.27
Camk1d	0.07	0.0	10.23	10.1	2.53	0.0	0.0	20.94	0.0	12.51	7.14	0.0	10.25	0.0	0.04	11.53	26.79	35.5	24.64	4.77	26.19	11.93	12.32	13.24	0.36	0.14	39.52	0.05	0.05	0.53	0.0	14.37	76.76	0.0	6.96	18.21	62.04	0.0	81.29	16.27	0.78	54.76	30.23	18.63	12.82	2.73	57.47	4.33	8.0	20.27	0.0	6.75	0.0	13.9	15.76	0.05	0.41	0.04
Chchd4	26.67	0.0	85.23	0.0	0.0	0.0	162.5	24.48	0.29	18.35	49.66	0.0	0.0	7.15	0.0	0.88	179.87	100.05	0.0	166.5	277.72	96.48	210.78	8.76	123.36	0.0	134.08	139.35	4.6	0.0	0.0	88.87	61.48	0.0	29.54	259.82	134.39	0.0	99.35	68.46	335.37	0.0	128.4	130.46	0.32	74.36	182.85	113.0	0.0	95.39	0.53	224.49	0.0	64.69	70.43	11.93	0.0	13.98
Clstn1	121.57	0.0	39.56	13.35	216.92	0.0	107.87	54.82	0.0	19.68	11.21	0.0	21.04	6.66	25.49	31.54	12.83	43.18	41.73	49.38	36.34	45.01	27.09	58.87	28.42	11.35	0.24	8.12	21.28	28.41	11.93	39.5	65.59	0.0	41.02	61.27	47.99	0.0	67.16	106.62	117.05	152.73	17.65	66.43	65.62	53.18	110.17	135.89	20.48	52.83	0.77	14.58	11.75	47.83	50.34	15.94	23.11	10.77
Cobl	67.27	0.0	7.04	28.3	18.83	0.0	9.04	0.0	0.0	37.38	19.12	0.0	0.0	51.59	0.0	67.67	27.73	5.51	0.55	13.8	25.35	0.29	0.06	9.71	6.03	0.0	13.75	0.0	0.0	0.0	0.0	28.12	0.52	0.0	60.41	7.31	14.49	21.07	0.05	63.53	0.1	23.01	41.36	111.06	7.59	46.11	0.06	65.92	0.0	86.3	1.58	38.61	0.0	5.03	8.74	0.0	1.26	42.03
Dcun1d4	15.21	0.0	33.96	53.61	3.25	0.0	22.0	140.52	0.0	0.0	5.26	0.0	179.88	38.65	0.31	33.22	195.36	126.9	73.4	230.27	1.24	28.84	0.0	2.42	0.04	13.49	34.71	0.08	22.46	2.53	0.0	119.45	0.21	0.0	2.95	47.68	95.04	0.0	28.03	106.28	11.3	0.23	59.99	97.36	106.91	362.37	82.2	40.79	24.36	80.62	0.79	60.59	0.0	44.4	52.3	15.77	32.95	0.92
Dnm1	17.0	0.87	33.71	70.01	72.81	27.55	55.44	52.13	63.11	38.97	37.14	0.13	60.64	71.93	37.38	17.44	72.14	26.95	59.48	47.95	98.37	43.86	15.47	73.42	58.49	1.17	10.14	76.93	31.91	27.01	107.28	123.2	14.26	0.0	70.93	77.45	43.56	0.0	80.77	11.58	24.05	5.1	101.57	17.33	25.73	9.96	69.33	95.38	18.62	71.17	135.59	23.94	92.94	26.56	27.18	15.02	31.08	70.03
