	Calb2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_109	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101
A730017C20Rik	0.0	220.65	81.35	114.29	0.0	113.85	0.0	0.0	0.0	0.54	90.27	125.93	0.0	0.0	0.0	149.17	222.24	113.68	231.03	425.93	131.64	152.92	249.11	44.55	276.67	299.46	426.57	274.43	134.86	169.8	357.12	125.71	339.78	208.13	176.45	152.64	499.78	105.38	238.34	148.59	106.0	298.73	143.73	426.18	364.88	379.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369.93	231.48	32.06	52.91	0.0	252.18	178.8	187.61	309.17	4.17	79.79	205.26
Acot9	0.0	105.11	0.0	66.96	0.0	143.33	0.0	0.0	19.72	0.0	253.61	1.81	0.0	0.0	0.0	169.1	157.6	182.94	204.32	176.4	77.25	131.13	66.1	86.16	65.34	213.18	12.99	100.01	106.27	56.8	0.0	105.91	0.0	76.83	72.3	47.9	141.38	0.0	198.34	62.61	0.0	0.0	7.19	145.28	76.09	73.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.08	247.09	0.0	77.08	132.9	128.85	90.01	0.0	170.04	69.55	0.0	1.42
Crhbp	0.0	7362.95	0.0	6339.49	496.64	8007.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10382.36	7732.3	8618.73	8376.74	13129.11	7427.0	7498.9	13484.99	11786.92	8116.93	13619.24	9099.84	14829.4	11772.85	12350.96	8610.23	10536.89	8212.23	7354.85	9475.0	11364.94	8211.03	2934.61	7935.89	11440.08	11398.61	10468.61	11572.06	10497.6	11678.84	8467.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12702.79	13766.7	1069.07	4586.89	5894.05	9058.73	12082.35	3594.21	9589.51	4843.07	6345.83	11803.92
Cygb	17.47	97.59	6.38	79.86	0.47	223.61	0.0	0.0	11.85	0.0	0.0	5.72	0.0	0.0	0.0	82.95	67.02	58.91	73.97	131.57	43.99	103.8	29.87	189.84	144.8	255.56	154.66	14.82	143.46	259.52	163.19	99.1	149.21	32.74	118.87	126.09	70.59	0.0	80.33	103.82	63.02	53.48	67.63	69.55	19.1	188.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	234.2	213.92	0.0	36.57	15.78	87.17	122.29	36.71	97.6	62.65	70.21	70.07
Elmo1	0.0	618.88	0.0	851.65	0.0	788.11	0.0	0.0	0.02	0.0	9.39	0.11	0.0	0.11	0.0	1021.25	1220.91	895.85	606.8	928.26	994.49	1258.98	918.61	1041.42	706.71	570.5	799.58	1069.68	933.17	1256.73	675.33	853.89	679.22	1030.28	781.84	863.41	790.17	748.46	864.66	1000.03	812.21	831.35	1068.24	946.85	759.04	887.64	0.0	0.22	0.59	456.74	19.0	94.71	103.81	135.56	0.0	0.0	149.73	1028.76	1172.42	0.33	0.0	49.11	949.59	899.54	434.01	943.63	0.56	172.19	756.72
Fam46a	21.61	136.0	0.0	168.77	3.78	104.57	0.0	0.0	126.34	0.18	46.52	0.0	0.0	0.0	0.0	234.76	163.66	185.69	23.09	256.16	324.19	125.34	257.38	240.66	269.88	91.43	141.92	407.92	160.44	35.64	1.64	80.58	121.89	81.37	82.88	193.95	146.46	80.51	134.77	64.55	221.42	128.21	173.06	163.5	159.35	117.39	43.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.03	248.13	40.12	0.0	54.75	233.08	164.76	188.4	116.74	62.21	35.59	234.12
Fxyd6	439.61	1258.92	1119.28	1315.02	297.16	2034.75	0.0	0.38	0.59	1.1	0.57	182.83	0.0	0.0	0.0	1975.2	1223.79	2025.66	2007.25	2291.2	1461.07	1368.79	1685.28	2253.15	2060.95	2099.33	2279.12	2422.83	2327.07	2923.97	2288.52	1793.9	2065.79	2354.93	1668.23	2887.92	1899.8	669.3	2182.04	2023.45	1507.95	1630.87	1572.19	2320.04	2571.73	2110.0	0.0	0.0	0.77	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	1738.28	1934.42	1156.97	0.0	0.0	2172.5	2600.93	1530.91	2351.57	635.92	302.32	1668.92
Gap43	296.16	855.81	378.29	1133.64	825.25	1750.68	0.0	0.0	405.4	0.0	216.22	284.77	0.0	0.0	0.0	1219.62	942.57	1080.02	949.0	1335.07	1008.54	744.78	1140.29	1005.77	973.26	1207.97	872.35	1160.32	1409.82	1876.66	788.96	987.8	610.34	1237.15	778.38	665.87	1010.79	421.63	667.55	973.59	1078.03	971.86	857.51	1016.28	1256.41	1073.79	0.0	0.0	2.14	0.0	299.11	553.98	0.0	0.0	0.0	0.0	0.0	1331.72	1477.64	1279.93	41.45	579.17	992.48	1125.39	828.19	936.21	323.59	828.24	1573.67
Gm5424	0.0	201.74	151.35	377.85	0.0	441.27	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	571.2	314.49	321.03	202.4	387.62	102.98	589.46	203.58	235.03	335.25	291.95	345.12	172.8	473.62	642.86	201.66	464.1	433.54	499.45	310.59	229.05	361.3	113.05	380.37	456.63	357.61	465.62	318.24	376.53	255.3	579.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.01	309.21	190.31	124.49	88.98	407.2	357.66	312.26	478.55	105.62	0.0	525.64
Mtap1b	243.79	622.93	388.32	640.71	181.82	705.39	126.82	0.0	256.01	0.16	166.17	507.27	0.0	0.04	0.0	642.04	693.42	515.84	338.1	581.32	436.82	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	585.71	622.21	828.88	497.91	565.21	422.07	627.12	653.61	281.51	498.79	775.94	714.96	511.06	620.64	649.18	779.66	530.59	62.61	0.15	0.56	0.0	235.11	479.1	0.06	0.05	0.05	62.49	57.5	714.61	683.52	201.63	404.13	320.07	873.28	599.0	669.52	668.23	803.22	490.94	530.24
Npy	0.0	138375.8	0.0	173305.25	1.46	115124.65	0.0	0.0	96206.73	0.0	125016.83	1.84	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	48343.46	38762.64	128781.07	137945.15	95298.15	137580.94	65503.76	65353.97	120620.2
Pam	294.98	530.04	128.85	674.41	89.47	680.78	15.26	54.39	148.65	0.0	137.05	23.39	30.34	76.43	101.26	323.05	201.52	203.46	820.33	840.91	531.93	756.87	754.48	616.4	838.37	436.31	608.52	483.95	458.87	647.99	605.15	721.55	654.47	647.23	567.46	782.31	401.81	631.75	760.4	511.35	420.96	455.93	495.66	213.68	244.26	428.76	17.65	71.76	6.25	8.97	57.6	34.79	0.0	2.31	9.08	18.18	0.78	750.37	904.92	156.3	161.05	112.02	503.87	647.05	198.83	271.2	85.75	50.43	385.01
Prune2	31.36	153.0	134.64	189.32	110.1	389.7	0.0	0.0	107.63	0.15	10.49	60.43	0.0	0.0	0.0	255.53	164.27	231.22	185.29	421.31	210.54	531.1	481.8	270.53	323.02	325.96	207.26	267.73	254.22	405.55	170.2	314.16	359.99	193.86	419.08	270.07	287.43	291.22	268.14	262.38	248.72	162.31	473.37	304.36	415.43	254.16	0.0	0.0	2.03	1.91	73.11	145.05	0.0	0.0	0.0	30.45	0.0	568.16	326.96	227.3	187.51	357.34	333.29	342.18	156.46	237.45	140.63	124.71	299.77
Slc7a3	0.0	636.91	111.37	347.18	0.0	400.99	0.0	0.0	19.64	0.0	2.15	0.0	0.0	0.0	0.0	800.76	223.13	393.12	206.53	705.0	719.79	386.13	890.69	691.96	556.94	666.01	511.0	574.41	851.11	494.24	372.45	364.55	330.7	638.53	429.97	904.79	360.78	87.12	459.18	344.21	647.36	369.21	528.41	379.68	479.8	615.76	0.0	0.0	0.0	21.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1026.21	435.9	169.56	0.05	0.0	384.4	396.76	275.89	759.81	0.0	0.0	195.8
Slmo2	0.0	44.24	0.0	148.38	0.0	15.83	0.0	0.0	0.27	0.0	176.19	0.0	0.0	0.0	0.0	43.94	72.29	160.66	73.85	54.46	0.29	17.36	127.69	65.78	191.18	0.0	1.43	18.16	43.72	50.31	0.0	81.11	26.88	117.67	42.73	32.46	120.91	0.0	56.59	76.38	0.0	0.0	0.92	124.14	76.3	108.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.73	144.87	0.0	11.81	49.27	50.88	83.52	54.63	0.22	63.57	79.87	70.47
Snord116	0.0	0.0	0.0	6.02	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.15	2.64	7.66	12.13	1.71	14.21	8.48	0.0	5.74
Snord116l1	0.0	0.0	0.0	6.02	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.15	2.64	7.66	12.13	1.71	14.21	8.48	0.0	5.74
