	Ctgf_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTpositive_cell_174
mt_AK131577	2463.02	4750.49	11869.87	6129.44	5183.26	12410.34	4432.18	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK131578	5300.91	7430.57	16762.8	8513.15	11422.04	21769.91	5962.69	13770.07	7051.05	13856.24	10103.99	12030.5	20767.68
mt_AK131587	858.0	1044.95	3019.3	1588.56	1275.69	2697.07	915.84	2155.32	949.31	2411.97	1628.72	1401.06	1707.02
mt_AK131866	4988.0	4909.56	10981.38	7073.32	6534.52	13378.95	4001.53	9529.06	5085.24	8705.53	6476.53	7375.78	6708.39
mt_AK132015	2463.02	4750.49	11869.87	6129.44	5183.26	12410.34	4432.18	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK132098	2463.02	4750.49	11869.87	6129.44	5183.26	12410.34	4432.18	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK140265	6723.34	6798.14	11204.42	15757.24	8109.23	16103.86	6323.36	18285.22	10074.32	13642.02	14320.55	13558.45	10954.06
mt_AK141672	328.17	223.85	718.75	676.41	384.56	1012.29	353.47	848.45	370.02	628.61	491.87	596.43	611.29
mt_AK141702	9536.36	3432.7	17697.18	12088.49	9005.29	19571.14	8047.25	16893.51	7647.64	12065.1	8795.94	10640.49	10282.89
mt_AK142736	3753.73	5244.26	7897.7	9310.48	5647.23	13837.49	3470.52	11295.75	6239.55	9501.73	9000.57	8688.9	5400.26
mt_AK144853	0.0	2447.68	2796.77	3188.9	2161.94	3536.4	1284.97	3465.77	2122.03	3989.68	1860.08	2488.11	1599.42
mt_AK162500	7487.15	8637.55	18017.62	16972.65	13510.06	31266.91	8277.79	18115.72	9254.81	13178.06	12142.02	13163.08	16571.2
mt_AK163440	2304.73	3868.16	10342.78	8550.15	5482.9	13495.59	4414.78	9855.03	4634.31	5459.26	4388.54	7296.27	7693.2
mt_AK165190	5300.91	7430.57	16762.8	8513.15	11422.04	21769.91	5962.69	13770.07	7051.05	13856.24	10103.99	12030.5	20767.68
mt_AK165865	12982.26	13053.79	24175.67	21297.17	15629.19	39977.13	14822.76	28666.62	15105.79	20551.69	20384.34	18446.12	17852.86
mt_AK167037	2463.02	4750.49	11869.87	6129.44	5183.26	12410.34	4432.18	9933.94	4157.77	10889.61	6360.73	6412.84	5861.73
mt_AK167184	397.05	836.99	2384.8	1878.49	1642.08	3423.96	802.08	2525.36	1135.98	1354.76	1378.25	1680.84	1223.74
mt_BC012020	6259.08	6266.52	24916.9	13394.51	7678.65	19336.5	6913.52	17105.16	8286.38	14716.37	10157.99	10550.74	12492.22
mt_BC020382	2358.94	2962.96	7043.44	6670.22	4413.36	11101.16	3575.16	6595.7	2602.16	5277.85	4544.98	4047.25	3806.51
mt_GU332589	14764.74	12161.57	22738.66	26493.16	13267.12	28909.02	8314.26	31086.28	16090.8	21460.06	22390.28	20242.91	19212.31
mt_X57779	4209.86	4746.57	9293.52	6673.74	6605.62	13394.37	3686.06	9044.92	4690.52	8949.42	5467.39	7051.59	4799.34
mt_X57780	4209.86	4746.57	9293.52	6673.74	6605.62	13394.37	3686.06	9044.92	4690.52	8949.42	5467.39	7051.59	4799.34
