	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_34	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_54	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
0610010B08Rik	0.0	1.16	8.86	0.24	36.95	0.0	0.0	0.0	10.16	120.0	35.46	25.57	0.28	0.1	0.0	0.0	6.21	3.21	48.31	2.52	0.45	45.53	30.03	1.11	12.26	41.3	1.56	26.9	8.58	37.24	21.59	28.14	15.71	25.13	13.5	34.19	37.78	14.76	8.18	2.68	0.7	22.01	30.43	28.48	12.76	43.91	28.97	10.96	28.79	2.35	32.18	11.07	16.27	11.1	8.29	9.06	4.52	15.46	20.28	12.05	56.16	1.46	20.25	6.15	10.73	5.5	15.13	14.51	0.26	15.4	24.77	11.97	0.47	13.97	38.82	74.99	6.95	43.58	0.0	40.09	11.65	8.71	29.79	47.55	35.95	41.86	0.37	19.66	39.96	18.48	30.0	44.43	0.0	7.16	0.06	0.49	1.55	2.54	0.06	0.25	10.16	6.87
1810046J19Rik	279.41	79.56	309.52	315.51	121.91	0.0	0.67	0.0	110.62	231.35	187.14	141.57	110.12	0.0	0.0	0.0	109.34	52.71	243.47	0.0	0.85	163.92	75.97	243.58	145.82	238.45	170.12	146.07	54.53	335.81	115.18	135.37	230.85	119.39	365.0	203.18	254.78	281.34	328.45	201.42	114.12	64.08	184.71	233.86	207.01	0.0	238.99	224.84	222.4	104.29	139.06	169.04	203.39	174.63	0.0	0.0	223.11	204.03	0.0	151.77	72.59	47.83	9.92	172.35	118.26	164.18	405.88	196.82	212.95	147.74	206.99	107.28	307.4	265.63	0.0	276.03	149.5	137.93	158.64	23.43	194.96	117.34	327.52	102.08	233.89	241.35	126.21	87.71	112.13	149.41	230.32	167.07	136.54	210.01	0.0	0.59	1.05	0.0	0.0	0.0	208.29	0.0
Asb13	2.35	0.52	0.58	0.0	320.53	3.53	0.0	1.1	117.71	59.54	91.75	176.39	4.82	2.38	1.63	1.3	114.95	26.24	114.19	4.3	0.8	30.83	161.33	82.46	0.75	144.51	164.22	117.42	117.3	285.5	89.88	132.98	41.81	211.53	289.47	58.41	143.11	210.88	107.82	20.64	0.33	31.92	16.47	88.71	152.27	343.06	207.61	323.57	62.45	105.99	220.02	104.03	66.24	266.41	79.41	164.95	74.87	268.21	3.74	287.36	141.69	2.86	33.9	275.5	82.14	208.97	195.63	153.5	104.64	185.79	42.17	83.4	121.56	30.46	229.08	122.05	52.68	353.95	51.58	208.36	63.68	60.18	75.08	135.41	220.94	226.38	4.17	223.34	78.61	96.38	75.9	98.89	7.33	179.11	2.51	1.21	4.68	5.78	1.23	2.35	55.05	2.77
Cds1	0.0	3.67	0.0	0.0	28.62	0.0	0.0	0.0	17.81	45.84	23.3	33.13	0.51	0.1	0.0	0.0	32.37	55.35	30.84	0.0	0.15	86.58	75.15	74.62	50.17	66.65	35.75	28.74	109.63	43.99	34.02	20.63	50.76	28.61	24.93	39.87	65.62	49.56	19.14	80.4	7.38	22.79	45.83	49.21	33.76	0.53	0.0	4.32	4.63	37.6	0.0	55.33	38.31	19.88	6.5	0.0	76.97	77.96	0.18	136.04	94.74	0.0	0.2	0.13	1.68	44.03	65.63	88.88	58.31	53.48	34.91	39.3	43.08	0.79	95.62	47.72	17.87	32.11	0.4	0.0	2.09	50.45	24.03	61.59	149.85	74.66	52.06	73.49	61.08	3.3	117.57	4.58	3.32	59.69	0.09	0.0	0.09	0.0	0.0	0.0	88.38	154.89
Gabrb2	0.0	168.66	365.02	93.36	747.51	0.0	0.0	0.09	640.92	524.48	499.17	635.3	95.67	169.94	0.04	0.0	317.09	405.85	712.36	0.0	1.17	451.56	459.27	386.06	556.03	471.27	443.15	428.49	559.91	739.46	290.53	612.0	458.27	514.27	486.36	490.74	560.31	435.53	452.04	462.69	379.64	361.85	567.53	513.5	582.28	552.13	453.52	576.8	496.97	600.67	510.3	525.55	599.36	422.09	336.86	343.2	527.04	787.76	124.08	579.12	210.81	230.15	624.36	114.34	483.4	477.47	623.07	417.95	334.38	767.91	369.75	593.97	335.49	545.99	566.17	381.84	408.08	553.99	358.42	257.55	451.95	745.8	483.0	636.37	468.95	577.39	467.76	934.94	479.12	377.44	567.84	585.04	344.98	245.28	0.37	0.27	0.72	0.42	0.16	0.0	610.07	315.13
Gm14430	0.0	0.81	1.3	0.0	39.43	0.0	0.0	0.0	12.2	17.66	21.67	25.55	0.32	0.11	0.0	0.0	3.6	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	25.91	6.05	13.5	30.16	14.04	15.56	16.5	13.46	9.82	3.22	0.84	12.83	28.02	12.31	12.44	52.69	34.77	3.07	20.8	2.82	24.87	11.03	16.3	13.32	9.95	10.87	5.42	18.55	24.34	13.57	19.8	0.0	1.28	0.0	8.49	4.08	11.25	0.0	0.32	18.48	9.13	14.36	0.54	0.0	0.17	14.82	8.34	17.48	0.0	4.61	13.98	10.45	13.81	20.22	23.53	30.75	0.44	23.59	15.88	0.49	25.21	41.52	0.0	2.38	0.07	0.24	0.0	0.0	0.08	0.0	12.2	8.24
Gm14434	0.0	0.81	1.3	0.0	39.43	0.0	0.0	0.0	12.2	17.66	21.67	25.55	0.32	0.11	0.0	0.0	3.6	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	25.91	6.05	13.5	30.16	14.04	15.56	16.5	13.46	9.82	3.22	0.84	12.83	28.02	12.31	12.44	52.69	34.77	3.07	20.8	2.82	24.87	11.03	16.3	13.32	9.95	10.87	5.42	18.55	24.34	13.57	19.8	0.0	1.28	0.0	8.49	4.08	11.25	0.0	0.32	18.48	9.13	14.36	0.54	0.0	0.17	14.82	8.34	17.48	0.0	4.61	13.98	10.45	13.81	20.22	23.53	30.75	0.44	23.59	15.88	0.49	25.21	41.52	0.0	2.38	0.07	0.24	0.0	0.0	0.08	0.0	12.2	8.24
Gm4724	0.0	0.81	1.3	0.0	39.43	0.0	0.0	0.0	12.2	17.66	21.67	25.55	0.32	0.11	0.0	0.0	3.6	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	25.91	6.05	13.5	30.16	14.04	15.56	16.5	13.46	9.82	3.22	0.84	12.83	28.02	12.31	12.44	52.69	34.77	3.07	20.8	2.82	24.87	11.03	16.3	13.32	9.95	10.87	5.42	18.55	24.34	13.57	19.8	0.0	1.28	0.0	8.49	4.08	11.25	0.0	0.32	18.48	9.13	14.36	0.54	0.0	0.17	14.82	8.34	17.48	0.0	4.61	13.98	10.45	13.81	20.22	23.53	30.75	0.44	23.59	15.88	0.49	25.21	41.52	0.0	2.38	0.07	0.24	0.0	0.0	0.08	0.0	12.2	8.24
Kcna1	0.0	21.77	47.87	0.0	191.16	0.0	0.05	0.0	78.98	219.47	129.7	129.8	2.79	0.0	0.0	0.0	29.55	111.65	109.21	0.32	0.07	218.51	203.62	67.88	155.4	214.98	258.51	120.88	231.33	194.23	136.83	255.22	281.96	47.83	237.12	16.08	209.54	455.33	193.33	33.81	55.56	151.11	248.36	167.48	98.42	123.08	61.98	159.56	126.88	28.07	81.48	158.39	203.93	147.2	138.68	12.5	121.61	254.23	56.18	229.92	210.97	5.32	28.71	34.82	151.3	186.92	175.67	169.76	275.53	204.13	173.91	61.55	140.07	175.06	130.18	124.46	83.12	169.27	73.74	59.0	92.79	127.67	139.69	210.21	255.31	267.03	179.61	261.1	155.8	17.5	119.78	87.06	88.55	247.3	0.0	0.0	0.2	0.0	0.04	0.0	93.58	67.55
Kcnab1	0.0	95.46	87.51	0.0	272.96	0.0	0.0	0.0	599.77	362.65	377.04	438.43	549.47	292.18	0.0	0.0	239.04	235.4	475.12	0.0	0.2	388.75	424.77	342.74	312.96	498.33	437.57	440.1	684.16	669.3	449.11	724.18	595.28	167.67	679.62	383.94	256.7	504.97	577.41	132.29	82.71	51.64	531.2	447.24	547.45	495.05	258.41	416.28	356.8	255.64	550.52	447.83	251.16	553.32	65.79	134.35	393.92	426.89	131.21	439.02	439.2	22.18	263.62	11.08	396.0	387.08	570.81	554.35	457.26	356.39	487.23	94.1	133.06	246.65	805.16	680.63	416.82	797.38	138.65	294.64	372.39	840.28	584.31	520.99	533.61	321.91	317.77	543.34	323.55	242.37	753.06	232.14	324.4	490.77	0.12	0.28	0.12	0.0	0.0	0.0	356.99	328.13
