	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1500032L24Rik	121.12	92.84	88.73	231.48	312.12	0.0	61.91	125.42	285.41	161.22	0.79	356.99	0.0	103.26	276.74	0.0	270.48	161.95	89.06	201.77	136.55	98.42	105.95	102.41	243.15	34.97	151.58	136.3	161.54	241.78	203.62	122.34	218.01	71.64	146.65	101.64	266.2	226.69	153.07	119.99	155.27	0.0	154.42	58.68	161.28	115.03	80.31	123.88	182.53	101.71	200.69	0.0	0.93	0.0	0.0	0.0	0.0	0.0	3.87	427.04	81.56	0.0	89.41	325.07	25.99	127.0	43.44	205.23	280.13	223.12	7.38	268.7	47.43	193.76
2810433D01Rik	3.07	21.93	27.29	23.59	1.2	0.33	0.0	11.56	16.94	3.05	10.26	16.11	2.46	0.61	20.78	0.0	12.29	8.21	8.36	15.17	11.2	12.84	11.8	11.56	8.14	7.59	8.61	16.7	8.52	6.46	7.55	11.1	4.02	3.2	1.98	10.69	11.13	15.32	4.77	2.32	2.67	6.18	11.21	5.09	10.15	5.72	3.3	8.14	5.61	1.65	8.84	0.07	0.81	0.0	1.37	2.76	1.27	0.0	1.74	0.58	2.28	0.58	9.36	14.66	15.01	4.88	17.29	8.16	20.29	23.18	4.62	10.85	3.45	14.52
Atp5d	170.72	3.06	74.33	318.23	0.0	0.0	0.0	72.16	289.99	55.28	216.12	97.62	0.0	0.0	284.47	0.0	128.64	78.52	36.33	106.35	54.97	84.52	50.22	27.41	179.77	162.54	100.35	119.95	140.23	233.89	28.41	160.03	134.41	94.81	266.39	85.93	271.48	69.17	85.45	34.17	0.96	55.65	97.56	93.66	106.85	46.72	57.66	70.22	3.0	100.14	70.3	0.0	0.56	0.0	11.87	0.0	0.0	0.0	0.0	0.0	0.57	0.0	278.83	31.04	1.89	107.65	107.29	116.19	100.32	283.73	46.84	3.0	58.26	192.36
Atp6v1b2	350.58	318.42	509.13	417.12	0.0	0.17	0.0	764.42	912.87	47.11	544.71	689.52	0.17	0.16	282.23	0.0	663.64	349.97	497.52	315.73	562.46	329.28	615.5	420.76	654.11	590.24	508.46	743.32	495.1	201.45	448.6	458.57	527.96	232.22	692.16	227.33	620.64	730.96	333.46	284.67	498.03	706.28	228.66	497.39	533.07	508.63	526.15	221.99	543.48	634.82	451.98	0.85	0.18	0.99	144.17	0.0	0.0	0.0	0.38	0.0	0.0	0.0	407.29	392.39	602.69	777.49	583.77	614.55	644.74	272.19	170.98	365.97	249.88	849.01
Bmyc	15.99	28.82	32.46	0.66	0.0	0.0	0.0	62.34	134.81	0.0	71.66	59.77	0.0	0.0	185.46	0.0	76.97	24.29	14.22	110.66	99.52	101.19	10.74	3.88	48.22	32.14	35.11	67.34	65.77	125.68	26.93	35.79	60.86	48.51	2.26	0.37	0.0	13.43	19.86	4.2	0.0	166.28	15.88	95.54	3.91	26.74	0.73	0.0	0.0	29.62	25.61	0.0	0.0	0.0	141.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.59	68.29	16.02	49.39	74.11	21.82	77.55	61.98	25.48	0.24	9.88	66.86
Brp44	68.4	27.23	23.53	4.9	0.0	0.0	0.0	5.78	87.47	1.21	42.29	23.52	7.52	0.0	198.56	0.0	106.14	129.38	4.96	63.38	111.94	118.37	11.36	0.55	20.75	138.26	97.85	128.2	81.62	190.82	98.16	59.3	106.96	68.82	10.74	33.81	19.85	80.63	25.42	32.17	9.98	27.55	77.51	0.0	67.31	173.53	65.03	53.13	0.0	8.28	68.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.13	0.0	128.25	34.04	0.0	35.26	78.85	66.91	98.76	128.67	36.69	8.37	32.14	13.85
Camk2b	48.2	1.22	7.72	60.25	0.0	0.0	0.0	18.69	169.23	96.39	73.92	80.67	0.0	0.0	142.12	0.0	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	41.51	7.63	25.05	5.29	25.65	28.08	43.27	149.22	71.5	14.51	1.02	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	9.98	3.3	24.58	31.18	50.98	54.42	68.23	47.99	35.41	41.81	8.19
Celf4	161.4	59.99	125.34	300.5	1.97	1.42	0.93	122.8	256.16	31.36	354.27	36.19	0.49	0.67	269.62	0.0	153.84	128.1	66.26	299.24	175.95	148.95	88.52	64.94	153.12	224.32	231.4	233.47	243.79	163.62	207.49	153.5	162.01	116.99	96.88	92.04	166.77	103.79	151.14	97.02	72.41	108.69	93.79	369.25	118.07	93.35	94.71	132.43	108.34	106.24	119.84	90.69	6.96	9.66	0.37	0.0	25.88	0.0	0.0	0.94	2.11	18.79	99.61	215.68	70.46	117.85	219.27	217.68	49.7	213.38	47.53	54.03	115.07	307.51
Cend1	165.04	403.47	324.55	468.72	0.0	0.0	0.0	291.03	549.06	0.0	256.35	176.86	0.0	0.0	808.77	0.0	428.08	399.04	234.06	195.6	284.03	442.82	208.67	218.78	523.52	340.49	423.24	321.65	467.44	311.35	784.92	311.29	319.14	332.65	266.07	276.76	660.79	543.5	249.68	211.88	70.18	218.88	253.29	271.71	261.2	296.62	311.57	173.14	622.58	375.43	197.5	12.85	167.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.59	407.04	101.86	358.22	116.68	370.39	404.92	1152.48	277.98	167.32	251.37	397.18
Cgref1	0.0	120.99	0.56	2.63	0.0	0.0	0.0	0.15	167.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.89	0.6	63.39	9.76	66.23	3.07	151.19	79.88	43.87	0.0	140.59	28.62	23.66	0.25	80.83	128.49	136.46	140.38	3.72	71.27	81.41	75.53	0.0	47.4	90.72	0.0	0.0	0.0	77.6	5.72	53.16	0.0	124.6	0.0	49.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.98	0.0	115.84	102.89	32.29	36.57	202.09	0.0	0.0	7.41	61.53	61.57
