	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_44	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2210016L21Rik	46.16	634.23	148.52	0.85	0.0	0.0	0.0	0.36	614.7	0.0	126.1	1.6	275.19	184.81	17.49	251.02	55.43	0.0	0.0	195.65	126.08	11.24	59.38	93.29	236.26	79.76	182.38	194.12	153.32	203.61	184.72	167.49	179.78	167.82	58.04	0.0	2.05	10.74	49.36	0.0	160.82	65.75	0.22	121.15	48.62	76.51	29.74	77.05	107.56	190.3	72.62	105.31	79.86	1.73	2.29	0.52	0.0	0.0	0.48	220.88	199.28	93.7	69.11	136.3	229.7	88.49	141.52	105.57	163.54	289.31	151.64	153.85	167.82	159.92
Ap3b2	40.13	3.81	9.83	28.53	0.0	0.0	0.0	0.0	196.87	0.24	122.91	5.77	6.74	85.64	196.29	166.81	80.2	0.0	0.0	6.35	44.95	43.57	61.92	45.81	0.17	8.72	20.32	0.82	31.81	85.72	94.02	66.42	35.06	4.78	2.92	39.6	40.09	71.36	28.28	5.39	56.23	53.45	1.93	48.54	0.0	37.14	39.05	57.34	0.0	46.38	42.2	125.2	0.0	0.15	0.0	0.0	0.1	0.0	0.0	41.67	18.58	1.5	130.17	105.98	4.91	0.13	23.28	2.1	87.57	16.57	62.38	101.94	104.65	103.91
Aplp2	271.13	166.45	198.0	119.14	0.0	6.37	0.45	780.7	282.62	0.0	264.74	270.81	192.1	326.87	1559.25	487.28	441.02	0.09	0.0	323.56	271.19	243.71	120.62	223.54	71.38	168.29	151.94	365.57	218.23	289.41	424.38	493.63	251.68	265.67	227.46	253.4	344.12	126.43	262.83	221.71	121.81	255.84	355.66	139.98	121.58	418.44	104.66	118.54	68.73	100.9	217.37	149.81	126.22	0.32	118.33	0.38	17.88	0.0	0.0	290.05	112.53	172.59	438.61	211.55	226.9	148.32	348.58	198.74	161.72	253.07	732.51	463.03	454.92	441.05
Atad5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.91	0.0	0.0	0.0	0.0	0.03	0.0	0.04	18.78	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	4.63	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	2.37	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6	40.71	0.0	0.0	0.0	0.0	0.0	0.41	0.0	2.14	2.12	2.4
Atp1a3	366.16	717.46	517.3	180.39	0.0	0.0	0.0	0.0	376.49	0.0	190.15	523.51	292.03	1308.59	373.62	238.36	423.72	0.0	0.0	156.09	226.34	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	349.38	126.28	238.48	248.26	388.98	344.51	335.86	201.95	337.68	230.75	83.59	272.65	310.38	212.08	248.82	134.54	326.61	99.63	250.32	0.0	0.0	0.63	0.0	0.0	0.0	0.0	245.85	247.83	196.96	513.59	431.85	370.84	44.52	335.77	154.68	271.27	160.6	978.49	1301.98	1411.72	1359.05
BC018507	0.0	0.0	13.9	0.05	0.0	0.0	0.0	0.0	51.59	0.0	0.08	0.0	0.0	0.89	0.53	0.04	0.13	0.0	0.0	0.06	0.67	22.96	0.0	12.51	0.46	5.07	18.25	1.18	1.39	6.84	21.09	1.82	15.08	0.0	0.0	36.96	40.69	0.04	0.0	0.0	0.0	0.0	3.75	0.0	0.03	14.56	0.57	24.14	0.0	20.69	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.0	0.29	0.0	15.09	68.9	2.19	0.0	0.0	0.81	0.0	2.96	0.18	59.59	57.31	61.46
C230024C17	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	1.77	0.0	0.78	0.1	0.06	0.31	0.31	0.0	0.75	0.0	0.0	0.1	0.0	0.0	0.21	0.05	0.38	0.09	0.16	0.29	0.09	0.33	0.0	0.3	0.0	0.03	0.0	0.09	0.17	0.0	0.2	0.0	0.0	0.19	0.35	0.28	0.0	0.41	0.17	0.17	0.0	0.12	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.1	0.17	0.96	0.07	0.14	0.12	0.0	0.0	0.03	0.21	0.65	0.81	0.87
Ccdc6	95.05	147.8	58.25	81.21	0.0	16.59	0.09	0.0	263.15	0.0	32.47	0.0	106.45	91.34	61.8	62.57	0.0	0.0	0.0	50.62	218.79	66.59	37.06	118.0	29.66	99.64	52.11	97.91	35.28	63.37	121.65	147.25	54.75	53.98	61.11	127.23	68.6	55.88	23.44	97.57	98.72	128.36	31.1	58.2	87.59	104.83	57.87	101.69	100.3	97.1	103.93	40.75	0.0	0.0	0.09	0.0	0.0	0.0	0.0	89.73	122.96	65.64	117.51	165.4	196.08	235.67	33.98	72.68	72.4	43.63	0.0	23.28	22.81	20.41
Cxx1b	51.89	11.42	33.66	12.64	0.0	0.0	0.0	0.0	113.93	0.0	16.08	2.94	0.0	54.68	51.44	7.84	61.12	0.0	0.0	7.72	16.41	37.23	3.69	35.07	23.9	20.81	2.38	13.31	13.24	29.27	25.97	42.79	30.24	22.55	23.48	7.63	5.75	3.9	16.69	28.91	16.22	31.73	8.98	10.01	13.92	2.78	11.37	4.1	3.05	13.81	4.22	28.62	0.0	0.0	0.0	0.55	0.0	0.0	0.0	1.19	22.3	3.43	18.69	4.5	17.78	0.0	22.46	13.89	23.02	8.31	0.0	172.6	187.06	185.15
Cyfip2	37.94	198.04	71.29	23.53	0.0	0.0	0.0	0.0	211.82	0.0	52.43	58.46	80.97	117.63	147.54	119.52	67.63	0.0	0.0	54.29	58.35	24.81	16.92	100.73	85.5	95.11	6.91	24.39	151.67	49.0	79.38	68.48	35.33	15.01	110.76	49.32	10.43	49.21	52.7	38.08	67.53	46.51	0.04	107.71	27.51	44.87	24.06	45.37	25.55	75.95	37.6	53.35	0.0	0.0	0.31	0.0	0.0	0.0	0.0	8.8	26.48	115.8	93.4	94.07	55.53	0.67	228.32	85.46	78.26	80.25	134.44	420.97	405.91	440.68
