	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_42	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_59	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_36	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_101	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_4	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_5	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_18	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_47	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_97	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_64
4933413L06Rik	77.38	45.23	88.97	72.91	61.58	56.12	36.5	3.21	11.96	7.14	4.2	15.22	53.87	22.59	17.53	7.61	27.83	0.78	3.92	5.12	10.31	13.91	31.22	37.68	1.04	0.48	150.92	1.46	1.22	21.72	3.49	22.24	91.72	58.9	7.21	0.83	1.3	4.64	6.05	12.04	0.0	14.5	6.36	31.33	38.32	37.48	7.02	15.71	2.76	0.68	2.47	50.51	4.3	92.91	43.87	51.09	22.38	13.02	21.27	37.65	0.55	6.48	17.3	0.0	5.75	6.73	148.12	2.87
Adarb2	272.95	0.0	85.24	88.51	166.88	380.19	19.97	0.1	0.0	36.64	0.1	0.0	311.45	275.94	0.0	0.0	0.0	0.0	0.12	0.02	54.89	100.19	93.62	304.59	0.0	0.0	39.6	0.23	0.0	0.0	0.06	0.0	0.0	0.0	58.2	0.2	0.0	0.06	0.28	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.03	0.02	0.22	460.06	203.76	74.07	310.45	302.95	357.19	84.96	197.52	12.2	93.95	409.71
Adra1b	7.04	0.0	26.18	13.98	15.37	31.24	3.75	0.0	0.17	24.75	0.0	0.0	14.25	76.21	0.0	0.21	0.0	0.0	0.0	0.05	33.59	22.93	9.31	9.62	0.0	0.04	26.13	0.0	0.0	0.0	0.09	0.0	0.0	0.06	20.34	0.0	0.0	0.0	0.24	0.12	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.12	0.0	0.0	0.08	160.19	19.8	101.8	77.22	65.85	78.85	0.14	5.95	7.3	20.87	77.33
Arrb1	63.4	0.0	62.62	146.48	51.27	0.0	17.44	0.08	0.0	41.96	59.29	0.0	63.78	37.25	0.0	0.0	0.0	0.45	0.0	17.33	103.34	52.52	0.0	23.87	0.0	0.0	7.3	51.86	27.5	32.02	1.31	0.31	41.95	13.23	8.74	1.5	0.0	0.0	1.46	0.37	2.49	0.15	0.0	1.17	0.0	1.57	0.0	0.0	0.0	0.0	16.04	0.0	29.01	50.15	0.0	3.14	0.06	41.22	153.03	0.0	33.46	56.16	0.0	0.0	27.39	35.53	10.13	0.0
Atf4	215.77	4.95	100.01	15.26	521.02	365.28	160.97	291.03	5.88	116.06	0.0	122.97	179.8	112.3	11.51	124.76	176.88	0.0	68.8	49.63	0.37	279.96	115.4	120.5	374.79	93.34	1.41	0.25	110.26	61.6	80.58	82.64	296.05	704.23	278.41	222.07	0.22	2.24	1.23	51.06	1.68	225.92	250.26	0.0	129.47	41.8	89.17	2.59	100.27	0.0	0.43	0.63	290.61	81.21	153.1	52.33	142.41	39.77	216.39	338.65	350.35	1049.01	218.27	207.12	89.41	369.29	381.1	933.2
Atp1a3	220.89	110.45	14.52	220.96	190.9	275.2	433.06	101.01	0.0	396.21	120.55	252.03	171.88	759.65	13.38	213.06	98.7	281.95	193.48	120.17	412.1	227.53	508.35	287.27	467.06	0.0	565.03	202.36	239.47	258.43	174.82	56.73	270.28	210.37	237.86	323.73	0.0	174.15	84.96	68.73	271.67	338.86	137.78	133.39	340.85	284.73	54.03	148.21	219.9	85.02	188.88	263.48	386.99	254.17	450.92	321.48	266.19	512.99	392.04	429.26	268.07	492.51	482.7	228.61	398.44	198.24	41.71	279.28
Bcat1	180.53	1.25	0.1	178.79	177.52	307.29	168.27	0.0	0.0	0.37	0.0	0.0	178.34	91.38	0.0	0.0	13.12	0.08	0.0	0.02	85.38	0.05	22.02	75.12	118.0	0.0	0.0	0.0	0.0	80.76	32.52	0.0	112.09	119.41	0.04	0.08	0.0	0.0	0.0	0.05	0.0	38.49	18.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.16	0.07	37.45	25.48	71.26	3.61	60.63	214.87	248.54	140.78	88.7	65.45	0.1	75.01	0.06	94.05	73.88
Bex1	331.44	32.55	530.3	528.54	150.76	1065.92	195.62	0.31	245.7	596.76	327.05	96.96	387.34	703.83	343.25	332.93	168.39	323.05	150.5	2.92	756.83	1398.9	822.08	1263.63	489.8	0.0	381.47	560.05	251.14	358.82	86.52	187.67	474.73	350.79	744.65	148.53	0.0	161.84	0.0	429.07	187.57	329.01	48.21	133.29	168.76	171.63	461.5	0.0	349.58	374.84	12.24	433.3	997.4	382.31	154.92	818.31	891.81	677.35	1809.13	477.42	935.36	271.24	756.08	1170.24	745.13	539.42	366.2	1171.97
Chac1	0.2	0.0	0.0	0.0	14.52	97.97	0.0	0.0	0.0	16.05	0.0	0.0	33.21	15.61	11.14	0.0	0.0	0.0	0.0	63.89	0.0	0.28	0.0	138.64	23.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	134.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	119.67	0.0	0.0	0.0	0.0	4.3	5.78	59.01	0.0	0.0	0.0	0.52	15.92	12.19	0.0	0.0	33.7	771.59	17.34	15.19	0.0	0.3	0.98
Cited2	71.33	0.0	10.39	0.0	0.0	93.72	3.16	0.0	0.0	48.94	0.0	28.77	72.81	52.78	0.0	0.0	0.39	0.0	0.0	0.03	0.0	3.95	3.3	11.93	85.69	0.0	0.0	0.0	0.0	53.22	0.0	0.0	3.88	0.0	6.56	39.64	0.0	7.16	0.0	0.0	0.37	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41	9.59	4.97	40.04	67.48	121.32	0.0	0.0	0.0	0.0	80.43	0.0	0.0	92.66	13.2	33.35
