	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
0610007P22Rik	10.68	77.52	0.0	49.5	0.0	0.0	11.94	230.26	0.0	0.0	14.92	12.77	0.0	0.0	0.0	0.09	6.23	0.0	39.01	58.85	21.06	0.0	23.87	0.0	0.25	11.77	0.0	0.0	44.04	0.0	0.19	0.0	0.0	20.72	0.0	0.0	0.0	0.14	35.13	0.0	0.0	0.0	52.61	38.69	24.47	25.35	72.06	0.32	17.62	7.08	14.54	22.68	28.75	44.01	15.19	22.93	16.26	26.3	18.61
1810006K21Rik	196.28	486.91	116.72	363.41	570.95	119.71	474.58	668.57	0.0	0.0	205.79	121.41	156.12	220.92	147.82	134.25	168.03	63.58	360.01	300.26	213.62	95.63	69.84	150.4	154.58	149.65	220.6	153.7	70.36	130.06	195.52	199.39	237.57	214.26	293.34	224.82	89.89	221.62	129.63	1.73	6.26	294.98	270.38	294.12	193.52	177.29	68.63	229.62	172.67	275.16	273.52	233.0	222.86	336.63	279.99	286.53	200.88	271.03	273.63
1810027O10Rik	125.73	403.98	139.49	164.46	0.0	186.92	417.13	674.5	0.0	0.0	146.39	208.49	251.83	120.6	249.56	215.42	158.11	239.42	341.03	225.47	118.84	218.54	88.81	126.86	181.06	351.08	294.32	192.05	101.89	162.73	112.87	84.51	179.09	348.7	26.96	144.9	73.13	112.11	175.79	0.0	2.01	0.0	394.04	301.95	99.83	140.79	156.42	275.28	262.64	266.28	223.06	244.51	229.25	248.86	218.7	326.44	215.84	264.79	258.64
Apip	0.0	135.0	61.02	29.14	0.0	1.49	0.0	141.58	0.0	0.0	128.22	124.73	58.13	0.0	66.29	0.12	39.34	66.49	8.4	0.0	100.76	77.39	0.0	0.49	52.48	135.98	90.88	37.03	0.0	100.9	63.26	0.27	0.29	0.0	10.99	36.3	77.89	46.89	149.26	0.36	0.0	0.0	38.54	24.05	1.66	49.95	1.37	0.2	113.78	87.49	138.72	64.81	82.42	46.1	40.48	70.19	52.65	82.82	62.0
Atp2b1	22.87	55.44	28.72	43.04	14.18	63.17	92.06	89.92	0.0	0.0	68.72	87.97	71.3	26.12	16.23	34.49	41.71	3.6	41.83	14.53	18.52	46.09	14.32	32.81	9.58	15.12	38.39	3.98	21.72	36.43	17.57	7.43	20.14	2.45	13.63	4.97	13.39	35.13	16.66	0.14	0.21	0.0	38.78	45.26	16.05	39.84	3.36	1.36	524.22	545.99	437.9	435.72	534.67	423.36	450.35	406.68	532.17	401.54	376.73
Atxn1	11.83	3.11	4.58	21.21	0.0	12.26	34.12	48.8	0.05	0.0	5.63	5.46	11.34	0.83	0.49	9.25	1.67	0.7	23.53	7.34	2.12	4.19	3.29	9.3	9.13	1.78	18.11	17.62	4.07	9.36	3.86	0.0	0.86	0.0	4.6	3.16	0.0	11.54	2.64	0.0	0.0	0.0	7.93	6.96	2.4	2.54	0.26	3.46	41.14	51.48	28.63	31.73	51.8	24.2	45.54	26.75	80.21	39.68	46.77
Bag6	0.0	4.48	0.19	0.44	0.0	1.03	0.0	38.91	0.0	0.0	0.46	1.53	0.04	0.86	7.1	1.26	0.06	0.0	1.21	0.08	0.0	0.45	0.39	5.47	12.06	7.53	2.12	0.0	0.27	0.0	0.0	5.35	0.0	0.17	10.54	3.1	0.0	0.85	0.0	0.0	1.74	0.0	1.57	0.0	11.04	1.63	0.0	0.0	3.22	15.07	8.36	3.84	3.43	0.27	3.15	0.72	4.1	3.51	2.53
C130071C03Rik	0.0	50.02	0.0	0.0	0.0	0.0	4.89	88.9	0.0	0.0	0.0	0.0	1.3	0.0	80.63	4.28	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	5.3	9.45	0.0	0.0	0.0	0.0	12.48	9.75	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.09	0.0	60.27	2.68	31.81	2.27	1.12	15.01	8.29	31.91	34.12	9.37	15.42	3.37
Cap2	0.0	31.86	0.0	0.08	0.0	0.82	23.13	8.21	0.0	0.0	19.43	0.1	2.94	0.03	40.53	33.55	0.51	9.57	24.1	23.17	19.83	0.0	4.5	0.0	0.15	11.83	76.9	32.68	0.0	10.5	0.0	0.0	0.07	0.06	41.33	29.16	0.0	25.67	20.33	0.0	0.0	0.0	17.6	12.74	0.0	15.69	20.4	0.0	134.53	127.88	134.16	130.09	109.42	142.16	190.85	140.39	157.76	162.81	161.64
Ccdc25	108.33	42.97	43.85	4.4	0.0	51.44	82.53	152.15	0.51	0.0	2.94	33.19	0.24	79.12	0.36	51.09	85.13	46.97	52.25	47.25	28.3	28.56	55.55	0.97	91.95	28.6	50.36	65.83	54.93	25.55	60.93	4.56	0.0	63.84	0.0	112.24	10.68	86.84	1.93	0.18	0.0	0.0	44.54	3.08	0.43	7.89	111.49	0.0	113.26	131.68	156.68	122.1	137.25	105.26	126.75	119.19	113.33	123.58	100.28
