	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42
Prepl	119.62	143.46	32.86	219.18	176.26	60.67	120.99	368.36	99.65	140.25	372.28	142.39	106.32	174.57	351.28	98.48	48.52	157.67	122.51	198.99	421.7	616.8	298.55	8.57	59.9	97.47	17.17	66.85	49.95	102.65	94.42	17.89	364.04	89.37	112.25	262.44	203.44	262.17	230.7	132.73	116.85	424.8	205.62	127.88	6.24	105.42	28.87	14.19	107.38	396.18	532.6	396.13	127.25	167.09	151.94	36.59
Prkar1a	428.7	358.52	221.9	508.46	859.88	45.12	568.16	1083.83	179.44	432.52	710.26	588.13	555.72	93.41	650.53	153.78	174.09	157.33	505.65	389.37	967.46	729.05	597.78	281.94	210.34	360.36	282.55	166.29	212.95	473.76	227.25	186.94	480.9	331.15	118.68	793.61	510.51	658.29	426.93	272.27	264.22	602.0	368.79	291.44	158.24	256.15	152.28	260.06	158.65	125.93	418.93	268.78	214.18	528.06	872.39	476.46
Psmd2	320.39	221.75	94.44	6.89	290.58	69.84	170.13	217.85	104.75	18.62	307.08	357.4	459.42	127.54	83.71	242.71	179.28	195.05	323.53	191.62	187.28	181.45	111.36	24.8	149.64	76.92	52.78	9.63	18.37	35.85	127.85	127.1	101.85	177.41	96.75	244.6	86.04	115.99	53.57	254.47	177.51	279.93	127.05	82.74	24.31	99.02	186.11	105.88	3.72	305.62	82.91	42.9	265.26	56.71	125.61	589.76
Rab11b	232.36	187.29	194.76	184.07	202.79	11.4	236.27	112.63	200.12	154.21	234.38	143.2	135.84	138.08	235.98	325.18	128.24	115.12	244.84	161.61	277.62	87.41	178.27	69.55	102.2	88.68	92.87	125.47	29.13	25.94	35.12	46.17	69.38	85.26	366.33	85.38	110.43	173.71	134.56	190.92	195.97	208.48	202.92	94.65	70.05	39.8	67.27	57.39	113.47	266.0	132.45	127.11	148.64	183.03	365.85	130.53
Scamp1	100.57	68.23	19.35	368.91	316.94	0.0	160.42	660.62	107.39	121.53	380.46	233.65	13.02	234.85	521.91	2.01	76.6	63.98	293.83	22.68	505.82	255.56	223.72	22.38	42.13	107.95	255.09	184.74	160.23	227.48	92.95	131.06	53.62	59.66	87.83	270.32	223.52	342.03	95.88	166.36	95.01	248.72	15.98	142.6	39.2	1.33	154.76	27.31	148.8	104.94	213.94	115.93	82.48	309.94	456.95	163.09
Scn2b	563.58	386.67	400.76	314.46	908.81	430.61	573.64	491.17	379.28	418.66	952.62	897.53	880.02	688.17	505.47	241.84	204.27	622.19	553.34	646.97	1225.84	634.18	1044.67	67.7	24.34	213.33	70.34	136.76	221.78	45.47	116.68	104.24	93.82	465.91	63.09	755.65	597.39	709.66	741.35	827.76	641.72	1536.36	303.94	313.62	19.13	111.29	187.47	194.12	105.56	1039.69	780.99	544.28	947.67	546.64	553.22	462.83
Slc2a3	31.4	47.56	51.82	3.64	0.22	82.51	77.7	0.0	0.0	0.19	163.39	77.87	40.08	11.39	73.49	2.96	65.74	10.15	245.96	0.45	122.38	122.74	54.83	0.3	2.12	33.27	16.11	52.64	0.28	2.53	8.83	52.41	1.47	30.74	0.0	189.09	143.39	76.46	0.0	98.39	31.93	97.82	174.21	39.81	24.12	0.0	5.85	55.91	32.77	117.71	0.31	53.47	59.29	180.13	0.0	0.0
Spryd3	0.0	55.83	59.76	0.15	100.82	1.62	0.0	18.7	40.51	89.25	415.8	20.14	54.22	72.94	0.0	87.42	52.46	80.87	113.64	0.49	248.37	24.76	112.44	6.96	0.87	13.0	0.0	18.92	72.12	1.9	43.8	16.08	0.0	39.02	0.0	66.52	218.62	94.86	5.65	28.75	38.46	109.25	107.61	0.35	43.16	20.98	2.17	0.0	0.0	90.7	38.73	53.67	37.66	90.41	0.0	20.75
Stx12	119.73	157.59	208.78	4.18	320.17	0.0	464.41	424.32	195.09	138.88	130.81	328.81	0.67	288.65	346.89	30.07	9.84	0.0	177.82	1.2	227.44	174.73	369.37	58.76	6.59	115.84	28.77	3.92	78.02	346.32	6.84	160.57	178.42	274.35	8.57	354.67	194.58	429.56	125.17	242.13	138.97	215.22	0.46	137.35	166.77	139.15	196.2	44.86	30.23	0.17	177.74	327.35	114.36	323.89	407.59	327.54
Sult4a1	102.32	259.27	181.64	303.38	230.11	0.0	206.29	443.65	69.77	140.65	384.08	116.51	196.92	195.53	322.97	157.87	120.78	212.43	375.51	582.28	460.78	265.75	176.82	60.89	60.4	48.29	26.83	21.42	93.85	194.15	155.23	70.81	74.53	191.59	0.0	323.26	355.93	302.17	215.78	265.28	213.21	182.75	227.4	12.81	136.53	79.99	22.61	45.18	20.42	79.82	228.58	72.9	186.03	215.69	106.94	54.11
Tacc1	76.59	99.62	2.07	334.45	514.29	27.43	270.23	525.98	131.2	63.64	277.08	185.52	178.29	128.81	169.22	42.1	29.51	83.21	314.95	143.88	211.78	303.77	155.68	261.39	169.02	115.19	40.42	20.84	130.39	82.01	168.95	115.92	91.29	44.42	33.43	154.68	405.36	253.87	107.22	160.36	77.05	448.09	260.62	12.97	0.86	30.35	31.57	1.76	27.09	89.17	116.91	164.2	76.17	283.84	276.75	23.5
Tmem170b	31.18	70.81	5.09	83.36	236.97	0.0	84.39	231.02	31.1	48.83	188.36	133.84	78.66	74.77	190.21	0.52	8.88	35.53	95.07	70.65	351.08	68.49	122.71	0.22	3.85	73.5	63.91	191.08	27.97	2.26	8.33	1.42	5.08	60.83	97.41	96.26	150.5	66.27	146.59	60.25	34.96	368.95	141.22	9.78	0.04	22.47	9.87	0.04	1.65	44.55	68.12	227.61	32.1	67.76	198.43	0.09
Tmem68	83.74	235.78	60.87	292.23	157.12	0.0	238.76	371.07	179.68	71.14	278.47	348.97	0.0	150.17	118.57	13.09	167.07	0.0	243.94	3.66	141.3	329.19	193.38	33.58	135.42	185.97	36.78	10.17	153.73	226.74	4.22	177.29	528.02	94.17	3.0	429.44	303.57	661.72	125.16	125.52	101.0	182.3	219.27	186.1	39.55	74.78	124.51	90.67	55.0	322.57	171.84	786.6	301.02	637.85	375.08	12.43
Txnl4a	201.79	228.92	4.9	297.9	390.3	16.93	190.02	269.03	8.84	19.07	303.24	136.35	310.1	496.3	471.35	64.78	49.55	286.78	522.74	7.99	342.3	290.98	257.55	189.76	113.44	195.79	27.53	327.77	63.32	247.03	73.74	39.58	67.53	101.29	17.69	109.98	262.64	240.2	206.97	283.87	243.81	136.93	17.77	14.17	17.28	191.62	6.14	7.54	3.71	335.73	58.27	187.33	156.21	437.82	513.33	272.21
Ube2h	56.08	80.97	96.17	71.95	81.8	0.0	128.38	115.18	46.33	108.62	148.46	56.75	157.11	112.57	219.07	10.36	82.23	28.6	112.45	55.69	122.69	142.0	113.11	0.5	56.44	57.95	5.45	0.0	24.5	0.24	0.91	1.04	64.27	49.67	0.39	174.92	192.74	232.64	75.2	113.44	82.7	196.6	142.33	166.39	85.1	37.28	9.5	17.65	7.37	143.55	175.24	41.2	80.96	156.57	124.77	66.41
Usp22	260.13	486.41	399.56	655.34	710.17	0.35	471.91	327.13	341.51	568.72	354.18	337.13	562.97	460.65	355.86	289.62	39.19	333.87	379.59	94.67	706.03	530.61	501.19	329.82	294.54	370.04	141.63	175.37	204.28	389.13	248.06	144.44	124.78	384.49	64.43	295.83	336.84	353.64	465.97	442.3	330.84	380.25	679.62	488.47	101.84	333.99	293.59	135.88	346.07	876.04	513.67	445.05	400.86	821.95	614.94	391.18
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.44	33.84	75.42	0.05	0.0	0.0	0.0	0.0	0.0	4.7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.01	0.11	0.07	0.64	0.0	261.93	19.33	8.22	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	3.94	68.82	2.48	0.79	0.16	83.8
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.44	33.84	75.42	0.05	0.0	0.0	0.0	0.0	0.0	4.7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.01	0.11	0.07	0.64	0.0	261.93	19.33	8.22	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	3.94	68.82	2.48	0.79	0.16	83.8
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.44	33.84	75.42	0.05	0.0	0.0	0.0	0.0	0.0	4.7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.01	0.11	0.07	0.64	0.0	261.93	19.33	8.22	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	3.94	68.82	2.48	0.79	0.16	83.8
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.44	33.84	75.42	0.05	0.0	0.0	0.0	0.0	0.0	4.7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.01	0.11	0.07	0.64	0.0	261.93	19.33	8.22	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	3.94	68.82	2.48	0.79	0.16	83.8
