	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42
Csde1	155.73	564.29	155.99	1154.53	1200.86	963.36	1189.61	1219.03	215.97	526.73	830.2	946.45	1352.24	539.6	245.56	143.03	116.06	628.59	658.56	8.21	1131.03	1609.1	1040.38	252.84	126.15	393.53	225.93	93.49	58.77	33.0	82.05	203.46	337.31	416.87	185.29	780.93	961.78	1045.42	1020.66	583.16	507.54	2381.94	928.33	476.58	131.65	214.11	71.96	85.53	137.3	777.4	1152.21	1100.92	638.15	875.65	1060.34	680.22
Ddhd2	58.51	122.38	41.43	97.32	176.65	0.0	106.93	132.22	154.38	176.27	207.87	341.63	244.65	274.42	239.98	47.27	69.39	71.17	118.8	115.37	137.76	126.74	58.95	91.08	82.73	139.33	58.73	82.05	107.21	262.67	93.01	113.06	55.63	78.04	1.16	133.63	62.37	139.7	125.09	180.48	151.21	290.39	390.4	30.53	3.9	73.6	77.62	60.83	72.47	65.0	127.62	325.56	157.09	119.22	254.48	285.6
Dnm1l	170.12	99.8	134.34	303.32	145.78	196.32	137.09	206.35	65.17	89.7	241.31	187.14	201.79	28.97	236.13	17.18	24.78	77.23	26.75	131.08	410.69	114.83	153.93	15.51	38.61	124.35	222.3	21.36	262.56	71.13	80.9	127.02	177.67	132.89	118.22	76.22	58.68	84.81	141.19	85.09	140.08	288.67	410.7	86.07	22.54	88.05	45.56	139.94	73.84	182.67	147.55	195.9	200.57	94.2	446.26	25.53
Dusp3	441.6	122.01	88.17	308.52	472.12	81.27	672.58	499.15	259.48	128.64	486.15	263.46	340.84	510.67	212.13	145.32	134.31	281.42	476.06	74.04	214.25	386.95	334.39	149.19	161.7	155.8	79.93	107.59	139.43	67.06	79.74	4.42	83.44	198.5	35.47	584.47	1410.86	501.57	663.05	473.61	402.32	1299.55	160.85	106.56	26.83	27.21	66.04	63.39	140.89	119.77	423.11	205.2	90.98	299.51	301.43	328.56
Eno2	576.75	354.53	368.31	451.83	518.1	0.3	193.35	384.84	500.72	22.82	812.62	368.34	556.98	412.54	1033.35	421.12	222.52	441.85	753.53	707.03	937.2	958.16	543.39	123.36	261.76	237.92	121.67	192.98	112.66	112.66	271.69	177.19	263.15	269.16	342.2	350.36	422.36	288.32	861.97	508.1	594.24	474.21	704.02	312.07	252.38	240.28	360.29	335.66	340.35	370.04	589.89	541.53	998.4	404.78	620.89	546.96
Fto	2.38	87.26	90.21	61.85	164.75	0.0	48.87	63.91	20.57	121.88	70.99	0.19	0.0	115.44	0.1	0.0	0.9	53.78	126.51	110.99	140.16	23.68	77.05	0.66	60.25	37.44	22.0	0.0	55.23	2.68	60.61	10.44	2.63	42.05	18.7	69.32	78.91	167.96	115.73	76.14	66.48	125.47	87.46	0.08	0.0	45.07	0.0	42.85	1.61	92.58	138.09	9.76	12.25	0.0	0.14	137.21
Gmfb	138.46	170.3	40.18	0.35	14.3	192.23	149.99	215.7	32.91	0.17	123.81	72.89	76.54	49.39	166.15	56.07	32.93	0.08	86.98	86.9	75.02	119.14	83.01	48.57	77.76	92.94	46.72	1.76	241.22	0.83	147.11	55.51	81.13	119.48	0.0	140.42	48.51	91.52	73.36	70.89	55.4	256.33	160.64	38.36	0.0	11.99	118.57	26.57	60.57	29.67	126.23	306.94	79.9	196.83	127.61	307.84
Gmps	186.82	336.18	92.94	316.92	91.3	14.88	150.1	206.02	7.12	45.22	98.11	289.35	95.91	116.87	278.27	173.48	53.39	188.58	181.73	154.52	491.89	262.11	222.34	81.13	68.22	114.84	148.75	102.64	82.95	2.43	12.13	2.35	85.64	207.74	82.23	191.24	218.56	161.02	181.98	159.99	132.72	331.5	349.85	252.23	107.44	35.88	89.44	114.59	3.65	184.84	137.77	484.49	597.84	268.83	406.58	215.11
Grin2b	158.83	421.03	154.64	183.57	149.79	70.91	517.03	380.07	251.16	179.58	327.75	320.86	138.39	261.35	191.92	136.14	168.66	295.67	228.61	327.86	318.6	379.41	208.4	160.55	103.49	165.96	136.61	97.59	74.3	136.21	39.86	68.25	91.34	130.05	38.84	465.23	303.22	507.4	150.7	259.43	249.2	321.05	196.46	186.82	118.88	55.51	70.16	73.91	69.08	172.54	192.1	336.19	207.83	379.26	254.9	319.69
Gtf2f1	41.01	204.73	31.78	67.4	288.6	0.0	118.4	308.87	62.15	0.0	248.4	83.11	224.4	0.0	233.65	4.42	153.63	200.43	88.31	2.8	80.09	105.66	173.96	6.95	22.93	74.39	0.0	79.57	0.0	89.43	27.92	84.05	38.5	94.77	60.54	173.5	7.93	162.29	109.74	56.91	57.28	48.5	103.45	141.53	0.0	103.42	177.62	11.87	17.54	194.28	79.47	119.31	102.63	98.68	0.72	0.0
