	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_17	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_70	Chrna2_tdTpositive_cell_77	Chrna2_tdTpositive_cell_80	Chrna2_tdTpositive_cell_83	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_72	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_54	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_8	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_37	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_104
A030009H04Rik	91.07	346.84	447.65	351.85	228.66	520.95	97.28	561.21	146.65	148.82	80.53	298.86	188.88	59.76	248.71	222.24	0.0	4.19	0.0	0.0	0.0	0.0	17.61	213.05	520.13	347.06	0.0	0.0	160.48	129.4	14.44	0.14	173.51	184.01	137.35	48.49	154.3	5.29	179.89	143.36	102.25	77.07	2.94	233.31	58.68	75.6	56.9	67.93	85.07	0.0	124.8	113.75	116.47	51.52	273.53	68.21	58.62	110.32	0.0	0.0	0.0	0.0	293.03	5.38	98.65	0.37	0.0	0.0	0.0	0.0	0.0	217.04	244.03	609.7	170.49	474.17	480.0	25.38	42.19	220.72	235.79	697.43	320.68
App	273.94	314.83	382.24	381.57	221.51	178.85	283.07	305.61	422.01	87.46	171.08	89.26	343.97	227.16	189.66	40.41	0.0	186.28	0.0	0.0	0.0	0.0	191.22	500.62	230.31	300.57	0.1	0.0	173.44	166.32	254.96	250.68	98.55	100.6	89.05	331.13	315.62	387.82	172.33	253.97	229.49	181.34	196.35	285.86	210.82	234.95	280.09	247.94	289.5	261.83	147.88	164.85	60.41	176.11	240.5	127.93	105.42	137.47	0.0	0.25	0.0	0.19	301.15	5.69	458.09	0.21	0.0	0.0	0.0	0.15	2.22	214.6	525.55	83.85	480.76	537.33	343.91	216.92	433.03	267.7	213.91	388.66	628.11
Atp1a3	366.16	455.76	508.73	454.14	255.7	330.57	517.3	299.46	895.81	160.52	341.13	180.39	476.45	223.53	665.79	348.66	0.0	248.08	0.0	0.0	0.0	0.0	513.01	395.72	239.05	212.63	0.0	0.0	156.09	226.34	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	387.02	349.38	126.28	248.26	335.86	201.95	337.68	83.59	272.65	310.38	212.08	248.82	134.54	326.61	99.63	250.32	0.0	0.0	0.0	0.0	475.86	5.1	388.71	0.16	0.0	0.0	0.0	0.0	0.0	245.85	363.49	196.96	325.6	682.84	406.83	405.01	422.74	543.56	142.07	327.44	935.73
Atp1b1	460.32	720.38	648.74	750.42	540.25	956.65	401.56	709.78	906.3	387.25	519.01	327.94	446.35	307.14	1312.8	882.91	0.0	206.34	49.05	0.0	16.22	9.48	850.37	417.4	481.35	568.09	0.0	0.0	209.46	388.61	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	139.05	232.31	418.76	244.76	352.98	298.32	231.61	175.8	264.41	267.37	292.65	267.22	303.71	242.63	367.15	231.1	0.0	22.53	0.0	0.0	861.25	3.92	723.67	0.4	0.0	0.0	0.0	0.0	0.0	351.47	652.86	453.56	545.04	339.71	1022.59	1056.64	429.55	1001.83	674.02	399.91	964.79
Ccl27b	0.0	0.41	0.39	19.81	0.14	3.68	0.0	4.02	6.41	22.17	0.0	28.87	13.36	8.68	7.67	12.08	0.0	25.74	0.0	0.0	0.0	0.0	0.0	0.0	21.49	31.22	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.81	6.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	46.94	0.0	15.07	3.41	0.0	33.56	6.48	3.13	4.62	3.47
Cend1	165.04	403.47	622.2	532.19	471.13	281.83	324.55	755.07	463.79	407.66	529.77	160.85	225.85	468.72	986.48	488.8	0.0	650.98	0.0	0.0	0.0	0.0	168.79	0.0	465.07	315.17	0.0	0.0	428.08	399.04	234.06	195.6	284.03	442.82	208.67	218.78	523.52	340.49	423.24	321.65	467.44	311.35	311.29	319.14	332.65	276.76	249.68	211.88	70.18	253.29	271.71	261.2	296.62	311.57	173.14	622.58	375.43	197.5	0.0	12.85	0.0	0.0	302.83	1.93	719.9	0.0	0.0	0.0	0.0	0.0	0.0	479.59	473.93	101.86	267.44	615.37	329.84	304.67	727.78	984.42	575.3	493.93	727.27
Dnm1	22.71	65.46	45.42	43.6	56.48	13.28	32.91	47.82	106.32	1.51	13.7	63.53	31.14	8.22	149.76	27.92	0.0	24.18	0.0	0.0	0.0	0.0	89.2	0.0	47.6	18.04	0.0	0.0	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	1.36	36.06	21.22	22.97	0.76	16.44	28.7	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	0.0	0.0	0.0	0.0	88.95	1.38	22.13	0.0	0.0	0.17	0.0	0.12	0.0	44.55	27.11	18.09	18.91	58.89	57.85	104.02	20.35	21.92	14.21	28.98	34.44
Elavl2	96.24	33.58	81.5	152.82	161.38	48.87	89.56	115.24	121.66	36.53	119.85	123.07	205.98	77.55	181.34	115.96	0.0	285.04	0.0	0.0	0.0	0.0	87.68	0.0	26.2	106.77	0.0	0.0	79.08	174.82	56.84	69.94	78.8	52.72	109.66	98.31	99.1	146.36	144.11	172.78	82.07	37.71	65.02	61.46	31.43	202.77	109.26	80.97	55.57	6.53	74.71	99.07	39.31	8.71	113.2	208.23	137.94	86.17	0.0	0.0	0.0	0.0	72.38	0.85	160.89	0.0	0.0	0.0	0.0	0.0	23.21	37.62	243.37	38.76	131.63	321.14	202.18	5.66	153.9	82.21	271.1	150.89	181.19
Gas7	6.59	34.53	71.08	98.83	92.18	22.61	8.02	107.77	82.27	16.81	22.62	1.31	110.4	2.62	157.05	23.56	0.0	17.46	0.0	13.48	0.0	0.0	37.9	63.91	18.3	14.62	0.0	0.0	12.61	5.66	3.27	1.68	2.26	0.19	12.46	47.41	22.17	15.54	22.56	0.39	18.69	32.09	44.78	2.21	16.04	0.79	15.85	19.0	1.19	0.0	0.29	14.51	0.91	15.07	22.75	23.34	4.58	0.92	0.0	0.0	0.0	0.0	61.39	0.75	111.63	0.05	0.0	0.0	0.0	0.07	0.0	9.6	18.9	81.47	73.34	104.11	87.77	2.84	72.66	62.05	43.48	31.12	47.03
Gm13306	0.0	0.41	0.39	19.81	0.14	3.68	0.0	4.02	6.41	22.17	0.0	28.87	13.36	8.68	7.67	12.08	0.0	25.74	0.0	0.0	0.0	0.0	0.0	0.0	21.49	31.22	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.81	6.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	46.94	0.0	15.07	3.41	0.0	33.56	6.48	3.13	4.62	3.47
Gm2506	0.0	0.41	0.39	19.81	0.14	3.68	0.0	4.02	6.41	22.17	0.0	28.87	13.36	8.68	7.67	12.08	0.0	25.74	0.0	0.0	0.0	0.0	0.0	0.0	21.49	31.22	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.81	6.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	46.94	0.0	15.07	3.41	0.0	33.56	6.48	3.13	4.62	3.47
