	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_123	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_136	Rbp4_tdTpositive_cell_169	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
0610009O20Rik	2.94	207.37	10.33	60.49	0.0	21.76	0.58	42.69	0.21	0.0	0.17	0.2	0.0	0.0	1.91	0.84	0.09	45.85	0.0	0.09	0.0	0.0	540.94	0.0	0.0	0.07	0.05	58.9	0.11	0.09	19.26	30.58	0.0	0.13	0.16	4.9	36.13	0.0	0.0	80.52	0.21	73.44	40.66	0.0	0.0	10.5	38.93	0.0	89.21	0.0	4.63	2.43	17.97	12.19	89.26	34.51	0.0	0.0	0.0	68.12	9.58	8.52	20.44	103.77	0.0	69.97	54.11	0.25	0.0	1.49	0.0	0.0	0.0	46.51	0.46	0.0	9.87	0.08	29.42	32.42
2010305A19Rik	33.58	146.3	0.0	0.0	23.54	4.25	10.13	11.26	0.0	0.0	0.0	0.0	0.0	0.0	53.41	0.0	23.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.58	27.96	26.26	31.26	5.77	13.88	12.28	7.36	0.0	21.06	0.0	0.0	21.38	0.0	18.33	22.67	0.0	0.0	25.45	0.0	0.2	10.31	15.08	0.0	27.68	0.0	40.53	0.0	16.12	6.5	0.0	11.74	0.0	0.0	0.0	25.03	0.0	0.0	120.37	6.53	85.42	0.0	18.86	0.0	0.0	0.0	0.0	19.7	0.0	0.0	0.0	0.0	16.14	0.0	11.07	11.72
4933403F05Rik	23.91	61.79	29.76	17.03	0.0	17.31	0.53	12.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	19.3	0.0	0.0	0.0	0.0	0.0	27.44	40.44	0.02	13.88	23.61	18.16	0.02	0.0	7.6	0.0	0.25	0.0	13.47	8.68	4.68	0.0	0.0	0.08	19.89	40.37	12.25	13.48	0.0	17.63	12.76	34.8	1.85	0.0	5.0	16.64	16.01	16.41	3.7	7.32	38.95	0.0	12.67	6.24	24.13	16.45	0.0	11.09	28.43	49.54	0.0	11.57	0.0	0.0	0.0	2.33	35.57	32.17	15.66	10.38	18.38	14.24	12.82
Aes	53.09	63.4	13.21	11.14	7.27	47.01	31.58	13.72	0.0	0.0	147.74	0.0	1.04	5.0	65.04	8.03	66.73	7.7	0.0	271.7	5.35	0.0	0.0	19.21	30.66	1.26	10.15	1.89	20.1	1.17	34.35	15.75	16.0	51.24	2.35	41.81	16.73	28.62	28.79	7.05	29.97	0.23	43.16	22.8	19.1	23.29	4.03	8.43	10.77	1.79	0.58	8.22	6.75	0.22	4.36	12.38	22.56	1.12	0.8	24.06	40.91	1.05	68.37	42.48	10.12	0.0	16.69	0.0	0.0	0.0	0.0	1.74	18.07	5.12	11.24	11.34	37.38	13.7	498.59	577.92
Agrn	20.46	44.42	5.51	20.37	1.83	4.36	14.12	29.1	12.52	0.0	0.0	0.0	0.0	2.39	2.2	1.68	2.08	5.16	0.0	0.0	0.06	0.0	6.88	2.94	9.77	2.56	0.0	0.89	0.17	0.52	6.11	0.19	2.32	3.54	8.51	13.0	7.06	7.87	2.71	8.65	19.04	0.0	0.81	0.25	2.62	11.95	2.56	4.42	1.25	0.63	28.57	0.92	0.15	18.75	10.73	1.72	12.98	0.0	1.75	0.3	26.6	4.12	1.82	34.72	14.43	15.24	19.03	0.0	0.0	0.0	0.0	1.88	13.62	0.0	18.38	1.2	16.12	0.59	84.09	82.45
BC018242	27.52	48.79	11.56	13.98	0.0	0.0	0.06	30.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.83	2.96	0.03	0.0	0.05	0.0	0.04	7.92	6.66	17.73	6.88	0.14	4.2	1.39	13.61	4.05	0.0	0.19	0.23	22.19	0.0	12.35	14.74	1.37	0.0	41.69	0.0	8.51	0.0	2.24	0.0	0.0	8.33	0.0	0.0	39.8	0.32	2.82	12.76	1.74	3.89	0.9	0.1	0.9	0.0	0.0	0.0	0.0	2.31	0.0	9.35	5.77	0.0	0.35	0.61	148.85	160.32
Camk2b	48.2	58.46	261.02	39.11	7.72	79.37	42.96	60.25	0.0	0.0	0.0	0.0	0.0	18.69	169.23	80.67	89.21	20.14	0.0	0.0	0.0	0.0	0.0	61.25	8.38	11.14	13.63	5.33	74.42	38.25	18.98	17.41	40.11	2.33	68.66	25.39	41.51	7.63	25.05	5.29	25.65	28.08	107.37	75.71	43.27	14.51	1.02	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	25.5	5.45	1.92	65.42	98.14	142.37	39.82	103.72	112.06	48.21	72.83	191.17	0.0	37.11	0.0	0.0	3.38	9.98	31.18	50.98	35.41	41.81	8.19	532.26	557.69
Camk2n1	17.45	180.06	64.4	47.55	11.12	160.96	70.3	57.33	0.0	0.0	0.0	0.0	2.74	0.88	14.4	0.0	85.72	0.0	109.57	0.0	0.0	0.0	0.0	21.09	32.01	20.06	38.4	21.39	20.67	18.89	48.1	21.25	17.33	16.31	55.65	63.73	16.86	18.05	114.52	42.49	2.53	0.0	225.96	128.81	42.63	17.15	23.71	30.86	0.0	0.0	46.87	47.83	17.06	27.84	38.12	35.88	32.92	53.25	338.74	159.09	96.54	53.4	139.92	227.9	226.26	138.1	49.73	0.16	0.0	0.0	0.0	28.87	23.14	6.14	69.53	44.1	23.35	83.25	1136.92	1095.01
Ccdc104	55.16	161.45	114.43	92.93	93.89	19.05	151.25	85.76	88.92	0.0	0.0	626.75	0.0	7.92	137.62	71.3	164.68	99.09	0.0	0.0	0.0	0.0	0.0	50.25	226.71	16.11	106.47	56.43	6.04	102.64	2.59	133.71	102.07	81.91	176.95	57.89	14.32	21.99	92.06	4.32	0.0	23.13	127.57	48.47	52.56	35.8	0.0	52.64	36.19	0.0	63.84	66.47	108.02	104.64	73.66	80.97	11.79	25.72	20.06	145.33	154.28	159.6	28.43	97.55	161.1	318.92	11.56	0.0	0.0	0.0	0.0	13.78	1.83	107.15	56.11	126.52	90.94	44.97	99.63	99.4
Chgb	191.39	416.6	516.67	87.57	69.12	683.1	142.92	164.16	0.0	0.0	0.0	0.0	0.0	204.75	111.38	273.65	171.67	75.49	0.0	0.0	0.0	0.0	0.0	199.67	124.87	136.1	79.44	5.23	50.42	122.29	97.22	159.35	227.17	219.51	168.0	203.86	187.7	237.08	198.16	93.65	190.95	7.93	57.55	477.93	91.8	127.46	125.56	80.99	89.24	13.34	118.79	131.64	123.04	110.76	298.34	43.2	117.48	47.94	307.31	43.5	154.14	352.08	104.43	294.77	515.79	444.06	192.31	0.0	0.0	0.0	0.13	202.1	96.6	249.63	222.98	5.47	109.03	228.12	372.17	371.49
