	Gad2_tdTpositive_cell_43	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Nos1_tdTpositive_cell_47	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_84	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_111
1700047I17Rik2	9.25	2.51	15.39	3.22	6.82	24.53	3.54	29.66	11.16	6.99	21.56	10.97	13.82	12.74	6.06	7.94	13.56	1.24	7.31	24.24	7.36	19.03	15.55	27.72	5.43	5.26	16.29	15.25	0.63	2.48	9.58	6.62	4.8	3.78	1.28	8.89	3.27	4.94
2010107E04Rik	1034.18	1695.87	1599.24	1069.86	2011.53	1654.09	1703.11	2208.21	1477.39	1407.62	1754.75	1274.49	1242.57	1479.83	2025.61	1527.79	1129.51	1303.95	1538.38	1948.71	1773.29	1611.23	2783.67	2682.73	1502.81	2324.04	1576.66	1771.04	2260.71	2999.48	1929.35	1869.65	1118.2	1462.19	1027.46	738.14	791.62	1081.38
2310003L22Rik	88.42	83.08	131.87	48.71	131.59	52.08	63.33	55.8	109.44	94.03	82.12	41.64	42.3	74.95	106.64	50.86	58.75	30.43	178.03	69.65	86.99	63.68	170.93	214.22	54.12	46.99	150.02	107.68	131.59	100.01	75.22	39.03	11.26	71.05	23.1	19.72	39.0	0.0
2310016M24Rik	766.66	520.25	678.19	212.08	636.25	458.83	529.94	298.03	606.3	376.54	768.69	601.66	396.37	569.63	518.94	442.97	679.19	295.52	472.31	659.87	381.81	613.3	675.25	1026.33	531.31	656.87	349.69	586.58	688.74	512.3	997.24	600.53	317.72	498.71	441.52	499.91	245.31	346.93
6330512M04Rik	21.52	0.2	23.59	0.0	6.64	6.92	10.38	0.0	0.63	18.98	4.31	2.44	22.28	12.98	14.03	9.81	11.18	8.51	0.0	20.36	0.1	0.11	11.32	14.17	16.14	0.31	25.53	9.51	2.3	11.9	13.78	1.12	8.91	1.56	0.43	0.0	0.09	0.0
Acyp1	310.45	57.03	86.94	100.55	83.49	177.81	50.36	156.85	119.34	443.77	205.84	191.55	120.71	277.29	193.18	151.69	152.03	99.56	76.09	149.2	38.16	312.77	191.2	0.0	171.9	105.53	212.19	265.9	288.78	208.35	52.7	14.98	169.1	133.46	133.59	104.92	147.51	0.0
Arl3	215.87	432.26	293.29	4.59	244.32	97.84	239.72	362.24	258.22	143.71	36.67	102.29	70.94	207.04	66.41	322.46	236.04	167.06	168.5	104.99	149.48	148.81	264.12	310.14	132.28	144.92	282.66	214.55	142.85	232.22	271.92	240.76	71.55	168.01	72.02	72.52	48.83	0.0
Atp1b1	1055.68	580.55	1263.02	422.83	1446.77	1137.11	926.32	1340.72	1097.7	1259.52	1133.42	1077.93	1353.64	1069.96	498.97	1693.2	972.86	580.35	935.0	1123.54	1045.99	980.91	1203.59	1529.41	813.95	1969.89	1114.71	919.28	1133.43	1780.7	1013.91	1110.74	453.48	1069.1	868.0	886.64	409.78	190.07
Atp5e	719.91	662.1	1003.18	583.03	725.96	760.59	845.24	975.63	831.15	889.77	663.51	515.4	841.13	798.21	418.42	653.06	958.16	486.14	927.13	847.25	716.62	758.78	1198.07	1748.01	809.27	1156.48	1085.82	798.31	1325.13	1488.93	838.69	953.33	381.22	902.07	358.68	356.84	663.56	326.91
Atp5f1	2434.13	2357.61	2242.76	1582.72	2162.84	1891.64	2204.17	2376.25	2204.19	2011.33	2026.57	2657.58	2079.65	2174.23	1975.15	2136.66	2446.69	1751.03	2336.89	1904.44	2164.01	3325.77	1489.8	2093.72	1998.8	2214.25	1628.46	1800.47	2442.47	2431.18	2519.73	2241.74	674.71	1956.25	2353.55	1348.17	1480.64	1384.05
