	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_74	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_18	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_154	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_49	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_98	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
Kdm3a	0.0	0.0	0.0	27.77	0.0	0.0	50.22	34.0	71.98	5.5	0.0	0.0	12.43	0.0	4.97	0.0	20.26	105.22	0.0	32.79	0.0	1.98	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.37	33.99	0.33	0.0	91.25	0.0	61.65	61.16	0.0	22.32	0.0	0.0	0.0	0.0	63.39	0.25	0.58	0.0	0.0	5.77	4.42	16.59	6.92	5.07	11.17	12.21	6.82	12.44	5.37	10.86	7.68	7.36	0.0	0.0	3.05
March5	6.58	6.07	12.09	2.9	7.46	4.93	4.49	59.21	8.14	5.79	35.42	74.63	78.19	7.28	6.72	24.12	103.31	13.09	10.03	5.32	4.03	75.85	1.25	1.97	1.2	71.95	66.23	99.04	99.38	2.92	23.25	10.59	70.75	97.51	3.09	5.46	83.48	3.77	10.92	2.58	0.32	0.81	6.45	24.1	38.97	1.92	9.6	10.93	2.26	17.53	14.17	11.26	16.08	22.2	15.63	16.74	13.21	18.29	6.82	15.17	17.18	15.38	6.25	7.41	85.58
Mir297a-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68	29.08	0.0	22.94	37.49	12.43	0.0	17.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.68	7.79	36.02	8.58	6.81	0.0	0.0	0.0	53.26	0.0	0.0	0.0	26.47	0.0	0.0	0.0	0.0	0.0	0.0	19.71	8.45	9.9	8.83	8.43	0.0	0.0	0.0	0.0	0.0	9.04	0.0	7.06	0.07
Mrpl42	395.52	633.24	256.09	208.15	621.75	407.54	282.74	343.77	280.08	381.57	723.77	216.2	651.76	0.0	184.88	103.86	107.46	245.15	172.61	566.71	243.53	642.28	656.19	260.25	719.99	117.17	290.66	469.88	356.69	355.98	258.55	531.28	467.11	124.22	183.18	377.2	574.06	490.23	470.34	337.21	194.46	0.0	559.76	297.98	709.28	267.65	297.12	0.0	0.0	716.63	575.84	620.32	622.42	578.37	476.75	528.11	620.68	697.82	813.88	586.76	535.95	551.02	192.53	299.12	311.44
Mtif3	0.0	141.64	0.03	35.44	0.0	0.0	0.0	30.16	1.07	0.0	0.0	0.0	0.0	0.0	0.05	0.03	6.4	0.11	0.0	0.0	0.09	0.0	37.26	4.87	0.0	48.9	0.34	65.08	3.34	8.54	0.0	0.13	51.54	0.05	17.05	33.25	32.92	0.13	35.94	0.0	0.0	52.86	0.36	0.17	42.97	0.22	0.2	0.0	0.0	5.34	10.38	19.14	19.0	17.96	16.44	15.67	16.7	5.83	9.13	20.51	17.01	15.6	0.13	0.06	32.69
N6amt2	0.0	153.42	0.0	164.1	180.35	0.29	0.43	88.39	241.51	47.0	398.19	149.98	22.88	0.0	186.63	177.54	1.89	0.0	0.0	161.19	167.1	591.87	209.34	194.2	304.72	494.56	0.0	0.0	157.32	323.13	184.76	0.0	283.62	21.91	220.33	263.16	184.56	7.02	92.21	1.57	185.98	0.0	0.0	0.0	541.81	483.11	102.44	0.0	0.0	230.25	254.68	173.64	361.7	332.26	418.52	312.85	328.7	261.37	420.06	271.64	294.71	272.98	189.79	289.04	95.04
Ndufaf1	0.0	0.0	0.0	123.36	0.0	0.16	157.87	179.0	31.85	3.44	404.73	146.95	125.51	0.0	82.57	182.69	138.29	3.21	276.28	0.0	10.9	137.31	1.2	96.51	0.0	0.28	0.0	0.0	120.28	193.86	0.0	15.2	0.0	0.18	81.87	0.29	0.0	0.17	0.22	0.88	0.0	0.0	0.0	207.85	154.55	209.9	0.0	0.96	0.0	44.91	60.14	61.63	67.91	38.23	48.91	81.26	85.79	79.63	73.07	63.12	59.72	51.23	47.62	0.0	0.0
Nop58	191.57	0.0	0.0	86.69	105.1	187.66	90.42	2.58	106.8	117.54	0.0	9.04	85.34	0.0	134.56	8.36	60.16	136.72	9.0	149.34	0.22	11.38	141.63	0.0	137.14	165.78	182.25	297.87	92.06	81.69	15.3	9.82	0.21	285.26	171.17	0.05	0.0	64.37	164.18	1.49	14.33	0.0	152.21	0.0	147.64	0.9	2.14	0.0	0.0	132.8	93.18	29.89	70.73	41.21	81.14	120.8	81.51	105.19	76.86	86.03	71.12	48.38	0.0	1.52	167.5
Oraov1	0.39	0.0	0.0	78.88	0.21	0.12	0.17	5.21	182.57	0.0	0.0	0.89	0.0	0.0	0.34	17.45	19.27	0.0	150.26	0.0	212.66	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.31	137.25	6.86	0.0	0.0	0.05	0.23	0.38	0.0	0.0	0.0	0.0	0.0	209.73	229.97	0.42	0.0	0.0	0.0	34.18	30.23	60.32	36.57	3.83	0.46	38.41	13.55	15.63	32.06	22.28	36.14	26.28	0.0	40.91	0.79
Pdcl3	198.89	0.0	126.59	137.15	105.73	0.54	0.0	50.06	0.4	122.6	0.0	0.0	123.2	0.0	78.43	0.11	61.43	83.78	0.0	0.0	0.0	158.91	180.8	91.92	105.85	0.0	2.47	0.26	160.24	100.2	0.0	0.0	0.0	90.43	112.54	71.76	0.07	40.7	109.0	5.43	0.0	116.04	0.0	0.0	139.68	77.93	0.52	0.0	0.0	54.62	75.92	67.79	57.22	88.3	64.69	67.66	59.77	70.68	53.18	62.74	55.53	53.41	92.79	0.0	49.12
