	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_56	Chat_tdTpositive_cell_2	Chrna2_tdTpositive_cell_72	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Ctgf_tdTpositive_cell_23	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_10	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_5	Htr3a_tdTpositive_cell_17	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_102	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_17	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_48	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_38	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_126	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_19	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_56	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110004E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	8.92	0.0	0.0	0.0	0.0	0.0	0.0	55.16	0.0	8.36	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.18	16.16	94.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	0.21	0.0	0.0	0.26	758.8	0.0	0.0	0.0	0.0	0.0	0.0	8.84	393.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	19.21	60.61	106.37	41.06	48.94	39.53
1700047I17Rik2	83.71	7.98	5.6	1.2	9.16	0.8	2.05	2.8	1.44	0.11	1.11	10.37	19.57	6.05	0.81	6.39	0.31	86.64	23.72	24.47	1.72	1.23	0.52	0.86	5.32	5.44	0.15	14.64	3.42	6.26	7.95	0.0	1.56	0.0	0.97	27.29	5.51	30.94	8.73	5.27	31.78	8.65	35.44	129.08	93.42	2.7	8.13	18.6	8.81	5.46	16.78	15.74	7.99	0.28	80.21	429.48	72.59	20.71	0.4	2.34	3.03	52.58	2.67	26.83	1.9	41.46	52.38	6.42	1.88	6.92	9.06	55.59	11.55	14.19	20.73	28.58	17.56	16.4	17.92
1810029B16Rik	50.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.89	0.0	2.94	0.43	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.67	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	64.12	0.0	16.17	0.0	0.0	93.8	0.0	0.0	0.97	56.71	6.73	24.58	259.85	0.31	0.0	464.63	876.19	0.0	465.02	0.33	0.0	4.41	0.0	138.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.29	0.0	13.86	34.98	0.19	0.0	11.96	9.07	13.96
4732491K20Rik	0.0	0.0	79.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.22	0.0	0.0	74.38	452.52	0.0	0.0	0.0	0.0	245.53	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	363.87	0.0	0.0	7.46	0.0	0.0	3.23	2.95	3.36
4921511C10Rik	38.66	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	12.07	28.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.96	68.1	0.0	0.0	0.0	0.0	0.98	0.0	355.69	0.0	0.0	0.0	0.0	0.0	0.0	32.24	0.0	0.0	60.4	61.05	0.0	187.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.1	39.12	28.34	0.17	0.0	0.0	0.21	388.74	0.0	0.0	0.0	0.0	0.0	0.0	74.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	60.01	0.0	6.95	25.84	13.68	0.0	0.0	0.14
4930520P13Rik	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	1.19	1.13	0.0	0.0	0.0	0.63	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8430427H17Rik	0.0	0.0	0.0	0.0	11.82	0.0	0.0	0.0	0.0	0.0	35.44	80.54	113.35	0.0	0.0	0.0	0.0	0.0	0.0	94.28	0.0	0.0	0.0	0.0	0.29	0.08	0.0	38.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.41	0.03	14.79	75.95	0.0	5.79	0.0	0.0	0.0	1.82	1.49	13.32	0.13	0.06	0.0	6.1	512.24	0.0	0.3	0.12	0.0	0.0	0.08	0.09	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.09	1.82	59.91	0.0	26.31	26.72	26.51
AA387883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	594.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.1	2.43	2.23	2.2
Acbd5	25.22	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	89.06	71.34	0.03	0.0	0.0	0.0	0.0	0.0	10.96	209.28	13.47	0.06	96.93	39.45	30.15	0.0	0.0	12.25	0.0	0.0	42.1	0.0	407.57	0.13	0.0	12.49	30.82	0.0	0.0	0.71	471.39	10.49	0.0	177.14	154.54	0.0	0.21	0.0	12.2	0.0	48.59	0.2	0.69	0.0	453.79	824.84	0.2	0.0	0.0	0.0	0.0	137.13	101.72	0.0	0.0	0.0	0.0	0.0	0.0	165.25	0.15	5.05	0.43	24.57	53.25	59.31	53.68	46.51	52.49
Adcy1	7.74	0.0	0.0	0.0	53.19	0.0	0.0	0.03	0.0	0.0	78.03	70.0	45.13	0.0	0.0	0.0	0.0	0.0	11.45	0.0	109.57	0.76	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	18.46	0.0	0.0	0.0	0.02	11.73	1.69	65.64	54.98	0.0	0.03	12.6	0.0	0.0	0.0	0.0	0.03	11.82	91.97	12.06	22.78	0.02	0.0	0.0	0.0	15.43	0.02	0.03	0.06	0.0	0.0	0.04	3.85	0.0	0.24	0.0	0.0	0.0	0.0	0.34	0.0	0.04	0.04	49.75	30.99	41.82	224.96	212.91	233.52
