	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_30	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	Pvalb_tdTpositive_cell_86	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4
1810046J19Rik	0.0	0.0	0.0	0.0	479.21	391.53	0.0	0.0	0.0	0.0	73.84	0.0	212.93	74.95	206.74	539.0	3.0	145.82	0.0	234.69	128.39	127.84	411.76	279.67	115.28	319.47	204.58	307.4	244.27	98.02	93.99	72.5	21.09	159.73	136.54	243.1	163.42	1.7	0.0	0.37	6.69	404.37	0.0	194.69	182.91	285.42	353.74
Actr2	0.0	741.2	130.62	344.65	792.59	130.74	243.41	0.5	317.28	0.37	447.52	22.52	329.59	500.11	234.23	151.66	278.69	582.42	244.83	252.97	647.03	531.54	473.19	596.27	641.73	512.89	350.47	301.63	643.45	829.83	336.66	473.74	385.16	279.66	397.45	615.16	485.56	162.87	280.84	397.7	198.85	86.13	1064.28	359.36	201.21	202.29	306.68
Apoo	0.0	0.0	0.0	1025.91	0.0	0.0	0.0	0.0	0.0	0.0	438.1	0.0	0.0	223.0	0.24	0.0	4.76	840.61	1.57	129.13	686.94	149.48	683.47	333.68	643.88	121.69	442.33	742.95	432.22	529.79	763.45	279.12	1493.1	546.58	931.21	1099.05	1008.41	1.35	0.0	626.49	682.27	0.0	0.0	86.62	141.35	262.56	488.82
Arl6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.26	97.84	0.0	0.0	27.64	55.11	255.75	24.05	0.0	0.0	0.0	0.0	177.54	84.95	0.0	125.57	82.57	64.63	52.49	0.77	144.73	0.0	0.0	101.43	0.81	0.0	0.17	0.74	0.0	0.0	69.12	61.48	136.72	63.2
Atp1b1	28.5	0.0	71.52	6.53	0.0	107.84	0.0	0.57	350.38	6.51	246.98	0.13	133.33	205.66	1.16	127.96	3.92	1340.72	2592.11	347.13	2100.2	1349.78	1374.24	1780.7	1596.64	1298.39	365.27	1013.91	592.86	754.63	726.59	1135.21	1247.6	739.91	1789.1	729.54	1221.19	49.81	0.0	42.83	702.66	0.0	0.0	120.85	152.75	79.06	295.05
Atp5g1	0.0	0.0	0.62	0.0	326.75	507.76	0.0	0.0	779.33	297.14	441.79	0.21	997.57	501.4	299.11	9.41	13.91	2091.77	716.6	1184.96	1767.8	2818.55	2004.73	1698.39	1241.85	2228.9	1060.66	2232.53	962.9	1360.4	1606.93	1465.77	2829.17	2094.9	2720.85	2606.73	2172.36	425.56	188.88	1.35	337.97	291.75	391.1	598.17	699.4	718.36	1047.82
Atp6v1f	615.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	629.91	660.99	0.0	641.35	119.14	730.9	0.0	19.62	1232.81	2062.2	582.95	687.56	1505.61	1941.7	1398.39	1248.32	1047.54	783.67	706.94	674.8	1941.62	933.43	895.02	1049.93	689.7	1193.19	1754.23	1653.48	466.66	1424.93	581.25	12.62	884.68	751.05	695.85	335.32	214.95	642.28
Atpif1	390.5	0.0	402.67	0.0	319.52	4.97	0.0	11.24	515.7	0.56	627.61	725.67	646.71	1482.49	392.17	1.81	1059.29	1986.75	1165.05	1130.58	1436.53	2445.74	1875.03	2404.62	1151.65	1258.16	695.87	1668.6	1063.67	1148.26	958.05	957.38	1531.13	1428.62	1610.33	1958.76	1874.36	133.36	2.42	379.56	165.04	2.13	413.72	420.61	660.35	588.82	1247.68
Aurkaip1	0.0	0.0	0.0	305.72	0.0	0.0	0.0	0.0	0.0	0.0	60.7	0.0	22.69	180.6	0.0	0.0	84.02	110.1	44.54	277.83	233.41	196.58	520.81	105.17	230.98	62.14	151.85	201.68	79.37	123.82	83.78	103.93	269.61	1.82	335.23	377.16	201.94	0.0	0.0	284.54	29.21	109.98	0.0	147.89	187.48	127.21	120.62
BC031181	0.0	0.0	516.74	32.74	0.0	486.28	0.67	0.46	0.59	0.0	236.93	976.26	257.68	531.11	160.06	574.32	7.28	547.0	668.11	691.93	305.77	385.91	657.31	675.95	592.43	590.5	306.22	348.78	679.66	466.77	442.07	381.89	327.1	1191.81	205.0	513.68	653.35	16.12	0.0	1.52	33.18	858.38	0.0	306.0	341.99	269.99	409.24
