	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_71	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_19	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg2_tdTnegative_cell_14	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19
4933434E20Rik	153.03	0.0	276.69	0.6	26.46	0.0	78.78	0.0	0.0	515.15	888.88	684.55	0.0	0.0	0.0	12.48	0.15	1706.81	1878.33	1022.41	785.92	695.28	995.59	1301.17	416.21	1405.18	723.86	611.56	62.63	893.85	0.0	1436.09	408.26	710.26	254.27	150.93	665.85	175.01	28.94	618.62	30.32	0.53	745.62	745.26	1376.88	1304.81	517.07	1445.38	597.86	1665.47	0.0	473.81	1.56	278.91	0.0	730.6
5031410I06Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	63.68	210.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.96	176.37	10.88	316.28	37.77	0.0	0.0	0.23	14.86	0.0	105.19	0.0	18.14	342.09	54.89	296.24	0.0	10.2	6.0	97.63	0.0	0.0	0.14	0.14	369.37	214.42	0.0	0.0	412.24	78.41	155.13	72.82	417.11	237.6	0.0	0.0	99.65	25.51
6330503K22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.62	219.65	0.0	0.0	0.0	0.0	0.0	0.0	75.49	117.66	134.63	129.02	156.29	12.88	30.73	13.9	402.87	237.18	0.25	753.57	3.31	0.15	235.33	168.77	89.45	0.0	191.2	79.21	537.82	0.0	89.95	0.19	0.25	245.0	13.36	601.32	0.0	3.54	221.0	173.26	240.56	380.59	485.36	0.0	2.4	99.87	139.73
Arrdc3	14.11	0.0	0.0	0.0	172.14	0.0	0.0	0.0	0.0	21.07	385.23	0.0	32.88	0.0	0.0	0.0	0.04	0.0	0.0	581.0	241.82	120.27	0.0	205.84	568.81	0.0	129.87	0.0	5.4	0.0	0.09	1045.55	242.09	145.51	0.27	457.75	801.29	75.49	0.0	222.63	0.23	0.1	347.79	41.78	802.22	278.32	0.0	0.0	33.77	562.71	18.75	70.89	0.0	654.23	1.36	31.8
Aspa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.57	493.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1133.6	1192.13	1557.94	1397.8	1785.61	792.24	1006.42	2446.29	1854.2	0.0	1045.15	0.0	1463.65	1073.33	2096.08	428.54	0.24	3249.04	1265.77	407.44	0.0	364.13	0.0	0.28	1112.25	829.02	1197.52	0.0	611.3	1008.31	2253.79	1143.08	172.6	1047.04	0.0	817.94	2375.68	25.06
Atg4c	0.39	0.82	141.93	0.5	1.77	0.12	0.51	0.0	0.67	0.71	83.68	0.0	14.45	0.19	0.0	20.4	1.43	112.47	0.5	183.23	0.0	0.0	250.07	4.7	2.33	57.56	292.5	4.71	8.55	1.35	0.95	420.5	0.2	0.0	0.32	132.45	436.56	371.48	0.64	1.14	0.37	0.48	1.52	28.1	260.03	2.16	1.93	679.38	0.0	407.6	1.58	0.92	0.0	777.54	319.76	37.55
Bnip3l	1.55	0.0	0.0	214.42	79.89	0.1	0.14	0.0	0.0	386.89	691.9	281.45	394.01	0.11	638.37	203.45	212.89	113.23	177.24	229.4	1146.43	622.57	697.51	639.07	99.66	1166.83	583.7	0.19	226.01	0.0	1168.61	731.79	1340.15	92.26	62.19	334.06	315.93	344.0	232.18	0.27	298.66	0.65	814.09	838.61	4.09	157.53	732.34	987.76	681.17	277.98	516.38	577.7	0.0	395.11	759.71	338.77
C030030A07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.82	849.96	0.0	0.0	0.0	0.0	0.0	0.0	200.78	0.25	951.84	54.31	18.64	0.0	370.49	434.98	2.96	308.76	0.0	24.01	0.0	10.82	1060.02	0.0	69.39	0.18	362.01	36.78	27.0	0.0	0.0	0.0	0.0	0.0	324.16	329.63	0.0	1.25	0.0	0.46	315.49	0.0	555.84	0.61	0.0	457.78	277.4
Cdc42ep2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1064.55	0.0	406.74	342.65	566.02	0.0	0.0	1333.22	914.54	0.0	446.16	0.0	0.0	114.34	492.81	704.12	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	674.47	0.0	0.0	0.0	0.0	506.47	0.0	579.69	521.45	1214.52	0.0	0.0	465.36	337.06
Cnp	0.0	197.77	325.94	0.28	0.0	0.0	0.0	205.84	890.27	5150.82	13373.37	9558.41	0.0	0.0	0.0	4.43	0.0	6707.06	5358.41	9077.91	8300.15	5076.87	4495.37	4785.49	6949.39	5770.17	12491.77	971.24	5735.35	6419.2	7459.93	11418.49	4655.13	6653.95	7079.99	7833.84	8241.95	5291.52	0.28	2168.28	6375.01	2.0	6413.25	6267.96	8068.52	7087.91	9977.21	7207.91	8505.82	9528.34	7346.69	8354.09	1.86	8897.27	6414.57	15180.68
