	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008F13Rik	27.78	17.54	0.0	0.26	0.0	2.49	4.91	29.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.98	74.9	38.71	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.25	9.21	0.0	32.08	16.57	0.0	15.6	0.0	1.16	10.56	23.46	11.24	0.29	1.35	9.99	0.0	0.0	34.54	0.0	79.02	0.0	0.44	0.0	8.99	0.0	17.31	23.23	19.89	10.86	16.1	82.83	95.29	90.67
9030418K01Rik	1.7	0.0	0.0	43.87	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.51	25.86	0.0	0.0	0.0	10.73	5.99	0.0	0.94	0.0	0.0	0.0	35.65	0.0	32.03	0.0	0.0	8.43	31.71	1.88	0.0	0.0	0.12	0.0	0.12	0.0	78.64	0.0	0.0	0.0	35.81	0.0	7.18	36.45	0.0	29.55	9.18	11.07	5.56	5.04	4.93	36.44	33.14	34.81
Arhgef2	0.0	0.0	17.99	0.0	72.27	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.97	0.0	0.0	0.0	0.0	0.0	0.63	0.07	0.0	12.93	3.13	16.28	0.45	0.0	5.39	0.0	25.22	0.0	0.06	0.0	0.18	0.0	10.22	0.1	0.0	0.0	0.0	0.05	26.25	2.17	0.0	0.0	0.0	3.83	9.86	18.93	9.88	8.62	13.1	98.74	102.55	102.46
Arhgef9	16.83	51.67	33.06	0.37	0.02	32.59	0.28	87.15	0.0	0.08	17.42	0.0	0.0	31.36	0.0	0.0	19.2	5.96	17.7	0.13	20.07	16.27	1.29	1.53	1.55	1.15	18.68	2.85	46.02	12.81	28.22	22.56	0.05	3.88	6.22	0.0	0.29	34.4	5.38	0.0	9.14	0.0	26.44	8.77	41.27	12.62	58.5	14.14	18.5	0.5	6.42	0.29	48.25	45.62	67.19	52.31	40.75	220.51	209.27	213.67
Arrdc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.82	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	8.17	0.0	0.38	0.35	0.63	6.49	8.24	6.55
Camk2b	48.2	7.72	1.56	60.25	0.0	169.23	109.33	88.5	96.39	73.92	109.27	0.0	0.0	141.48	0.0	0.0	61.25	11.14	13.63	5.33	38.25	18.98	17.41	40.11	41.51	25.05	5.29	25.65	28.08	42.26	71.5	14.51	1.02	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	1.92	72.99	3.38	9.98	24.58	150.43	133.16	50.98	35.41	41.81	8.19	107.35	93.62	73.92	90.47	114.56	532.26	557.69	545.35
Casp3	4.39	19.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.06	0.0	0.12	0.0	23.82	6.2	0.0	30.19	0.0	22.44	25.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.48	0.0	0.0	0.0	8.12	12.64	17.84	0.0	0.0	90.08	77.32	0.0	0.0	0.0	0.06	7.14	2.81	0.0	1.2	5.34	13.91	12.27	12.6
Cd68	0.0	59.16	0.0	0.0	0.0	0.0	53.81	0.0	260.07	88.38	0.0	0.0	0.0	0.0	0.0	0.0	19.37	0.0	0.0	0.0	22.24	0.0	0.0	22.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.03	0.0	0.0	0.0	0.0	47.89	198.57	369.3	0.0	0.0	0.0	0.0	27.22	10.35	21.53	17.72	18.6	12.02	13.74	13.65
Cpe	679.65	399.04	147.11	552.99	340.47	624.29	396.97	230.17	395.69	730.28	315.81	0.0	1352.83	323.04	0.0	0.0	311.95	385.68	505.07	590.04	397.64	419.04	303.54	323.92	676.33	553.4	472.71	608.18	622.63	483.94	666.75	386.75	807.39	461.05	524.47	297.69	526.19	352.44	672.73	617.78	702.14	697.21	788.6	314.71	361.42	387.09	1758.77	968.97	313.67	844.29	413.14	454.39	1473.97	1505.22	1309.18	1147.33	1093.73	2585.49	2745.14	2616.63
D1Bwg0212e	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.08	0.09	0.0	0.0	0.0	12.86	0.0	0.0	0.0	0.0	0.09	0.69	0.62	0.0	0.0	0.65	0.22	46.23	33.51	0.07	0.0	0.0	0.06	6.05	4.34	0.09	1.19	3.5	24.79	27.22	25.46
