	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500010J02Rik	0.0	0.0	0.0	0.0	0.0	2.45	0.0	2.08	0.0	18.64	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.65	0.0	11.88	0.0	9.25	0.0	0.0	0.0	0.0	6.27	19.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.7	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.29	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	17.67	40.69	13.98	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	187.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.13	0.0	0.0	0.0	0.07	0.0	0.0	0.0	13.45	0.0	0.13	15.2	19.87	0.11	0.0	28.59	23.53	0.0	0.0	0.0	27.38	23.98	24.56	23.93
2500003M10Rik	0.0	0.0	5.55	0.0	0.0	0.0	27.15	7.16	6.93	3.06	0.0	0.0	0.0	0.0	0.0	6.37	0.0	25.86	19.3	0.0	40.56	41.97	214.14	36.32	26.73	46.82	0.96	35.46	0.0	21.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.06	3.49	0.02	0.04	0.05	0.0	19.11	32.12	11.62	0.0	0.0	48.22	0.0	0.65	14.0	0.0	2.33	0.0	50.7	34.71	0.0	0.68	6.04	0.0	0.0	0.0	7.08	1.25	1.02	31.22	6.01	9.83	0.13	1.71	17.19	0.0	0.0	207.49	0.3	0.0	0.0	0.0	0.0	0.0	194.16	0.0	26.28	0.23	0.0	0.09	0.0	0.0	8.88	0.62	0.0	0.0	19.29	0.27	0.0	1.58	0.95	0.0	0.0	0.0	1.49	0.0	11.83	0.3	89.57	118.96	120.09	114.18
2810433D01Rik	0.56	2.56	0.0	9.25	1.43	3.07	21.93	13.19	27.29	9.55	23.59	0.0	1.2	0.36	0.52	0.94	0.0	18.56	11.56	3.83	16.94	11.11	0.0	8.89	5.75	7.18	1.25	8.26	10.26	16.11	3.51	10.01	0.0	0.95	0.0	1.9	0.0	1.76	12.29	8.21	8.36	15.17	11.2	12.84	11.8	11.56	8.14	7.59	8.61	16.7	8.52	6.46	7.55	11.1	4.02	3.2	1.98	4.89	10.69	15.32	4.77	2.32	2.67	6.18	11.21	5.09	10.15	5.72	3.3	8.14	5.61	1.65	8.84	1.76	0.07	2.83	1.66	0.31	1.7	0.0	4.16	2.46	0.27	3.55	11.57	0.97	1.4	0.31	3.76	0.0	9.36	4.01	14.66	15.01	4.88	17.29	16.28	16.83	8.16	20.07	4.62	10.85	3.45	2.1	1.91	14.52	53.48	0.32	0.83	0.84
Agrn	5.45	3.08	0.36	0.0	0.0	20.46	12.69	20.37	1.83	14.12	29.1	0.0	5.32	0.0	0.0	0.33	5.16	59.2	2.39	0.0	2.2	5.46	0.0	1.85	1.16	20.54	5.1	1.32	37.54	1.68	0.0	1.89	0.0	2.63	0.0	0.0	0.0	9.27	2.94	9.77	2.56	0.0	0.89	0.17	0.52	6.11	0.19	2.32	3.54	8.51	13.0	7.06	7.87	2.71	8.65	19.04	0.0	2.04	2.62	3.32	11.95	2.56	4.42	1.25	0.63	28.57	0.92	0.15	18.75	10.73	1.72	12.98	0.0	6.23	0.0	6.87	0.39	0.0	0.0	0.0	1.04	0.0	0.64	2.13	0.45	0.3	0.0	0.0	0.0	0.0	1.88	5.16	13.62	35.71	13.62	0.0	0.14	35.23	18.38	0.31	2.48	1.2	16.12	32.72	28.51	0.59	35.91	84.09	82.45	90.55
Ap2s1	0.0	0.0	0.0	0.0	0.0	39.77	75.02	8.18	4.52	43.25	133.22	9.89	0.0	0.0	0.0	3.74	0.0	154.44	305.37	0.0	190.91	381.13	0.0	60.33	0.86	109.09	9.11	5.43	251.62	53.25	0.0	159.23	0.0	248.82	0.0	27.88	0.0	0.0	64.67	6.3	129.25	4.25	106.99	173.81	137.25	139.4	114.17	161.81	152.6	168.65	129.54	90.26	147.5	0.0	34.25	101.01	60.95	155.46	90.16	89.65	67.5	189.23	191.62	148.9	0.0	281.41	146.47	84.08	20.87	0.0	173.56	39.29	39.18	0.0	0.0	0.0	494.51	0.0	0.0	0.0	1.58	0.0	1.17	191.35	0.34	0.98	0.0	0.38	0.0	0.0	113.7	224.99	92.0	85.65	136.78	193.68	7.06	91.54	264.79	0.0	47.06	161.38	85.89	105.53	116.49	133.5	353.4	233.7	274.11	254.17
Atp1a3	0.0	0.0	0.17	0.12	0.0	366.16	455.76	255.7	517.3	160.52	223.53	0.0	0.0	0.0	0.0	0.0	0.17	523.51	292.03	0.0	1308.59	746.57	0.0	373.62	397.81	573.89	678.24	440.72	354.82	423.72	147.33	259.1	0.0	0.47	0.0	0.07	0.0	0.0	156.09	226.34	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	358.79	374.74	279.42	298.17	387.02	349.38	126.28	238.48	218.19	248.26	344.51	335.86	201.95	337.68	230.75	83.59	272.65	310.38	212.08	248.82	134.54	326.61	99.63	250.32	0.21	0.0	0.42	0.25	0.0	0.0	0.0	0.46	0.0	0.5	0.88	0.13	1.6	0.14	0.22	0.73	0.21	245.85	361.07	247.83	196.96	337.67	513.59	431.85	404.06	370.84	422.74	232.86	154.68	271.27	142.07	327.44	160.6	978.49	1301.98	1411.72	1359.05
Atp6v1b2	13.29	0.0	0.0	384.78	0.26	350.58	318.42	444.58	509.13	31.3	417.12	1.18	0.0	0.0	0.0	0.0	0.0	557.69	764.42	0.2	912.87	374.84	779.51	601.62	871.24	687.96	671.83	865.77	544.71	689.52	541.87	247.84	0.0	0.0	0.0	0.1	0.0	0.17	663.64	349.97	497.52	315.73	562.46	329.28	615.5	420.76	654.11	590.24	508.46	743.32	495.1	201.45	448.6	458.57	527.96	232.22	692.16	543.1	227.33	730.96	333.46	284.67	498.03	706.28	228.66	497.39	533.07	508.63	526.15	221.99	543.48	634.82	451.98	0.0	0.85	72.23	0.0	8.38	0.0	0.0	0.44	0.22	1.82	81.71	1.03	3.5	0.98	0.31	1.57	0.3	407.29	531.94	392.39	602.69	777.49	583.77	1130.0	947.87	614.55	639.91	170.98	365.97	249.88	374.97	818.04	849.01	1043.66	632.08	640.37	607.95
Bc1	96.11	1093.44	166.03	2197.24	30.56	21.08	1352.39	1864.72	2947.18	515.11	28.84	17.94	128.02	112.67	50.73	43.75	474.82	67.22	71.89	56.64	122.04	47.39	12.06	14.55	42.54	24.81	20.88	1813.25	3012.5	3273.06	1261.54	2431.57	158.74	7.44	49.24	104.7	167.28	210.72	534.72	1718.59	1461.33	2839.56	2373.63	3277.9	3095.2	2656.88	1611.36	1140.75	1847.76	2066.18	1010.53	2664.85	3449.06	3361.49	1479.89	1386.52	1477.14	1653.9	2108.77	2775.74	1936.18	1717.55	1342.14	1955.33	3900.71	1687.57	2244.52	2080.65	1388.2	1345.74	1772.98	969.06	2292.53	10.46	45.4	9.05	59.85	220.18	141.09	126.35	304.39	0.0	84.7	54.87	279.81	94.13	25.64	38.14	129.36	21.82	18.97	30.78	20.87	12.45	866.69	2032.37	1654.21	1224.17	1124.46	2443.0	266.16	538.12	1097.56	277.09	218.2	34.42	5709.78	24.97	27.01	28.09
Cacng2	0.0	0.0	0.0	0.0	0.0	1.77	17.54	0.0	5.2	1.88	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.33	0.0	19.7	15.85	0.0	3.72	12.78	0.78	1.08	5.42	2.66	0.17	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.89	2.43	0.04	0.0	5.94	0.8	2.23	0.67	0.0	1.24	1.21	0.14	0.21	0.0	0.0	2.04	0.0	0.1	1.16	2.93	1.72	0.0	0.08	0.0	2.45	0.16	10.4	4.76	1.15	0.0	6.15	0.0	12.05	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.51	0.18	0.0	0.0	0.0	0.0	6.62	4.17	0.82	0.85	0.1	5.06	2.78	0.0	1.13	4.4	0.93	1.58	7.56	0.0	2.75	23.71	32.73	28.9	35.08
Cacybp	0.0	0.0	172.61	0.0	0.0	70.37	149.65	106.96	117.87	62.08	180.09	0.0	0.21	70.11	4.48	0.0	0.0	115.6	198.79	0.0	134.47	223.11	0.0	46.81	203.22	165.73	133.12	84.37	140.07	49.82	49.88	50.84	0.0	429.86	0.0	0.0	0.0	0.0	98.48	188.21	35.58	12.77	54.56	89.87	255.77	17.79	94.2	38.93	121.63	143.2	87.29	87.02	158.23	203.47	69.22	231.47	163.39	269.38	195.11	118.51	60.8	90.49	104.53	94.11	106.95	99.31	89.22	104.2	196.59	119.33	40.54	68.93	49.46	3.11	0.0	0.0	0.0	0.0	0.0	93.67	0.0	0.0	0.42	80.95	0.37	26.16	0.0	0.0	0.0	0.0	176.81	262.43	142.51	141.29	307.78	112.36	18.06	140.24	122.0	395.07	152.0	261.12	239.37	151.33	111.68	164.55	87.11	72.18	69.4	67.36
