	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101
Dram2	2.0	49.01	48.22	23.69	0.0	52.5	0.21	0.0	0.0	0.0	0.0	126.92	195.87	202.53	0.0	0.0	54.82	28.76	479.19	0.0	0.0	39.24	1.34	99.25	0.0	75.23	0.14	135.81	2.31	59.47	109.63	36.86	15.97	71.02	0.0	172.89	15.83	146.38	21.38	82.03	124.03	6.04	169.67	0.0	21.48	90.57	0.0	0.0	38.65	0.0	2.66	43.14	72.44	0.0	0.19	0.3	182.23	48.48	71.98	141.02	34.5	97.8	0.0	218.3	33.02	41.77	0.0	0.0	0.0	90.57	1.82	67.83	7.12	84.29	150.07	0.04
Dync2h1	0.0	0.0	0.19	0.0	1.88	0.0	0.0	0.0	0.0	26.28	0.0	0.31	19.28	42.85	21.65	40.32	0.57	17.72	0.0	0.0	0.0	7.29	13.94	0.15	0.0	13.0	12.68	0.01	0.0	7.8	12.67	6.34	13.07	7.87	0.0	0.76	0.03	13.3	6.35	0.78	6.95	0.0	1.68	0.0	0.0	8.14	1.13	2.1	0.0	3.93	0.08	0.0	1.97	0.0	0.0	6.53	16.14	0.0	11.71	10.67	1.36	4.21	0.0	0.45	33.89	0.47	15.74	0.0	14.25	10.78	0.0	0.01	0.04	20.17	0.03	0.78
Eif4g3	12.48	62.54	67.7	2.22	36.84	2.04	1.48	0.0	0.0	43.94	0.0	10.82	20.86	95.57	55.71	71.47	72.2	26.57	4.85	0.0	0.0	26.38	51.42	17.17	4.04	42.43	20.03	5.75	49.35	44.15	2.58	15.07	40.95	31.45	16.07	40.14	12.92	30.03	34.12	3.96	10.96	18.18	23.05	67.8	24.61	20.95	12.84	2.14	43.48	30.52	17.7	26.46	13.79	0.0	0.0	6.26	3.28	27.84	40.91	37.17	14.18	2.75	59.23	47.73	71.62	21.21	27.58	41.17	81.73	8.2	23.88	25.72	34.91	28.97	35.59	36.1
Elmo2	0.2	1.01	3.45	17.45	0.52	9.6	0.0	0.0	8.39	83.71	3.05	6.43	9.85	92.93	1.89	3.11	2.61	106.91	2.31	0.52	0.0	45.56	18.89	56.14	4.53	1.05	1.07	27.68	25.1	14.25	30.12	42.15	2.01	14.35	1.34	41.43	2.16	38.94	20.17	57.48	23.96	0.98	1.38	1.48	5.87	60.0	2.32	5.64	3.58	12.66	65.71	3.72	29.42	0.13	0.11	28.31	3.34	1.96	5.31	38.74	4.34	84.63	11.28	123.39	3.96	2.35	1.3	78.22	2.89	1.47	19.83	2.05	1.33	76.64	6.68	44.56
Fam65b	15.84	41.62	27.91	17.04	2.01	22.05	0.0	2.28	0.0	45.64	0.0	35.89	1.0	116.85	17.76	66.38	55.22	66.24	0.75	1.52	0.0	8.08	24.98	49.28	21.32	37.64	59.93	24.6	25.25	93.66	21.17	31.47	20.47	15.29	18.23	23.91	53.73	55.2	34.01	39.7	1.91	6.43	0.58	62.43	24.69	16.98	25.88	62.34	16.21	19.64	14.49	48.59	4.01	0.73	0.15	20.34	52.13	16.27	6.99	22.32	13.91	124.08	10.83	38.93	30.98	36.55	4.48	5.56	4.67	4.82	41.12	72.77	84.93	0.66	15.02	40.32
Fbxo38	0.0	0.0	0.0	0.0	0.0	21.22	0.0	0.0	0.0	100.47	0.0	5.33	0.0	123.6	2.31	0.0	0.23	46.53	114.52	0.0	0.0	0.0	22.68	0.14	0.03	0.04	0.0	0.3	0.05	28.28	0.07	50.6	34.03	18.92	0.75	42.49	2.86	10.21	0.0	1.06	40.38	3.03	13.72	48.82	26.27	6.12	0.06	3.23	42.95	0.11	0.16	27.99	0.0	0.0	0.0	34.63	0.0	0.0	4.19	22.06	0.07	9.41	0.0	89.39	0.0	28.17	0.0	0.74	0.0	0.0	0.0	2.38	27.56	72.13	0.0	30.14
Gm10636	0.3	0.31	0.23	0.14	0.0	0.62	7.64	0.57	0.58	1.06	0.0	0.25	0.57	1.95	0.43	0.81	1.54	0.61	0.1	1.14	0.0	0.26	0.62	0.54	0.4	0.86	1.06	0.26	0.21	0.74	0.66	0.3	0.0	0.41	0.82	0.81	0.89	0.14	0.11	0.36	1.14	0.33	0.27	0.15	0.56	0.18	0.81	0.58	0.0	0.68	0.44	0.3	1.23	1.26	0.0	0.38	0.41	0.3	1.08	0.64	0.33	0.86	0.69	1.14	0.41	0.09	0.4	3.07	1.29	0.64	0.83	1.99	0.51	1.5	0.46	0.05
Gm11128	1.6	3.56	1.21	1.86	0.52	1.38	3.17	2.72	3.48	5.87	0.0	2.29	0.91	9.26	5.4	5.32	2.85	4.67	5.44	7.54	0.0	2.63	4.14	4.89	5.36	3.52	6.12	2.1	5.91	3.04	3.94	3.55	3.85	7.89	2.76	2.69	3.12	3.05	2.0	3.73	3.03	2.12	2.15	3.61	2.94	2.91	2.22	2.24	2.42	1.78	2.6	2.06	0.93	3.68	1.33	0.71	1.59	2.05	0.81	3.47	2.81	10.36	4.18	8.68	3.53	3.56	5.31	5.48	6.32	3.01	2.61	3.83	3.49	6.59	4.92	0.46
Gm14295	581.35	868.56	427.3	1020.22	1167.86	414.88	541.36	0.0	0.37	1292.49	0.0	1664.0	2771.2	2053.39	881.78	1148.75	819.57	706.51	37.37	6.68	0.0	826.54	636.76	450.75	513.14	832.26	813.82	732.36	930.93	503.12	447.26	388.27	870.14	468.39	575.42	434.79	268.46	511.24	417.13	648.04	700.06	537.48	720.73	536.77	416.89	796.99	778.97	639.34	1078.76	852.05	599.78	579.2	2106.32	23.29	0.29	800.94	1157.85	816.34	1195.13	1791.34	427.59	1136.06	1177.82	1335.3	941.29	863.37	586.09	473.53	1547.96	957.62	2151.82	523.55	658.46	1516.58	990.04	710.84
Gm14440	18.35	16.03	3.56	0.0	0.0	3.72	0.0	0.0	0.0	21.83	0.0	22.15	55.07	38.88	21.46	6.27	15.4	6.17	0.0	0.0	0.0	20.59	12.78	11.87	4.87	0.0	5.2	15.07	9.76	10.03	20.91	5.31	17.32	6.33	10.03	5.85	11.11	11.69	5.17	19.0	41.96	0.0	7.45	3.26	13.11	15.55	2.57	3.32	22.88	1.17	2.38	0.0	34.14	0.0	0.0	5.56	6.12	0.0	24.08	15.66	6.43	16.33	14.97	20.39	10.4	21.25	0.0	4.51	4.21	45.46	15.04	4.47	5.44	29.74	6.01	0.0
Gm17821	159.2	127.67	144.83	44.72	35.58	109.53	68.76	32.28	73.59	229.6	0.1	183.98	231.94	774.86	126.25	239.42	204.39	211.02	33.95	92.83	61.65	108.53	130.67	139.94	149.2	83.86	160.33	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	120.35	127.92	138.45	152.69	147.65	141.67	132.54	99.22	155.3	179.51	109.01	105.43	150.54	115.41	117.21	127.57	136.93	146.15	86.44	29.62	95.33	227.19	105.99	202.83	140.03	117.85	275.8	187.62	308.99	169.31	86.22	156.61	176.57	147.44	207.51	68.5	99.38	102.26	171.27	138.85	55.36
Gm5431	0.38	0.98	0.0	0.06	0.0	0.54	0.0	2.1	0.0	7.2	0.0	0.32	3.56	7.17	3.38	6.87	0.33	0.52	0.0	0.0	0.0	0.11	1.36	0.4	0.99	0.4	0.09	3.07	0.12	0.08	0.75	1.52	0.13	2.41	1.22	1.87	0.52	0.1	0.1	1.27	3.4	0.55	2.22	0.39	0.43	0.0	0.0	2.16	3.72	2.34	1.09	2.46	0.0	10.58	0.0	0.0	6.77	1.16	4.73	0.0	0.99	1.45	0.12	1.45	0.93	5.87	4.37	1.15	1.96	1.4	1.16	0.64	0.0	2.66	0.15	3.28
Gm5615	0.0	0.1	0.65	0.0	0.17	0.28	0.53	0.75	0.17	0.38	0.0	1.44	0.12	1.9	0.73	0.7	0.74	0.68	0.0	1.47	0.0	0.1	0.63	0.13	0.29	0.43	0.98	0.05	0.29	0.26	0.14	0.13	0.35	0.71	0.15	0.18	0.17	0.5	1.23	0.77	0.0	0.0	0.9	0.35	0.58	0.42	0.36	0.64	0.49	0.28	0.35	0.0	0.74	0.19	0.32	0.12	0.53	0.35	0.15	0.25	0.29	1.11	1.39	1.13	1.38	0.46	0.75	0.11	0.6	0.69	0.37	0.44	0.17	0.83	0.58	0.18
Gm8221	0.0	0.09	0.0	0.02	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.14	0.1	0.3	0.02	0.17	0.24	0.0	0.11	0.0	0.0	0.04	0.0	0.05	0.02	0.02	0.02	0.0	0.01	0.0	0.04	0.0	0.06	0.0	0.0	0.0	0.03	0.06	0.0	0.0	0.06	0.03	0.03	0.0	0.03	0.02	0.0	0.0	0.0	0.0	0.08	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.05	0.05	0.08	0.21	0.05	0.03	0.11	0.0	0.0	0.05	0.0	0.0	0.03	0.0	0.0	0.03
Gm9159	21.45	20.56	8.38	30.29	0.0	19.8	0.96	8.27	3.17	16.61	0.0	13.46	12.86	30.85	15.78	16.39	13.66	24.42	1.92	1.11	49.47	29.01	18.61	18.42	14.41	15.13	16.72	10.48	14.36	37.93	16.76	9.89	18.75	20.2	18.62	10.34	17.54	29.31	12.13	20.91	20.41	9.7	14.31	28.5	19.84	32.41	12.18	24.58	15.39	20.88	19.98	15.41	23.59	2.97	26.43	16.73	22.74	9.63	15.29	12.47	22.12	60.59	27.16	23.56	16.81	17.28	33.82	51.64	20.65	35.26	9.03	22.75	10.74	29.92	21.62	3.07
Gpm6a	967.15	1892.36	795.75	800.92	360.0	1100.1	0.0	0.0	0.0	2877.34	6036.64	3330.3	4544.99	6876.39	2136.21	1898.69	1008.01	1916.87	0.06	0.0	0.0	800.56	1355.91	1220.1	1179.85	967.61	784.28	1078.23	833.37	798.01	1407.75	690.86	1142.5	804.68	1017.62	1511.67	1205.21	1049.3	449.24	919.55	469.25	1237.52	747.5	753.99	750.33	559.34	981.86	760.55	697.62	918.62	927.43	1001.2	2334.37	0.0	0.0	369.39	2924.3	565.43	1850.16	2042.94	918.36	2798.49	1809.8	3861.95	2077.83	1210.27	1691.82	1339.75	2346.0	2369.67	1716.34	1271.85	935.36	2625.4	1475.01	965.85
Gpr35	0.74	0.99	0.32	0.0	0.29	0.86	1.32	0.17	0.0	0.0	0.27	0.58	0.21	2.05	0.32	0.46	0.63	0.44	2.99	0.0	0.0	0.22	0.72	0.37	0.46	0.32	4.34	0.2	0.25	0.18	0.42	0.65	0.58	0.71	0.22	0.4	0.22	0.27	0.4	0.44	0.43	0.39	0.42	0.18	1.0	0.42	0.7	0.35	0.28	0.54	0.14	1.25	1.96	0.29	0.34	0.21	0.44	0.62	2.93	0.43	0.31	1.8	1.06	1.27	1.86	0.1	0.55	0.85	0.68	1.79	0.17	0.26	0.0	0.23	0.28	0.27
Gria4	66.57	64.24	3.82	5.82	14.92	0.0	0.0	0.0	0.0	187.06	0.0	9.92	108.8	223.44	5.19	48.87	5.94	73.1	0.0	0.15	0.0	16.31	29.39	17.96	45.71	0.12	19.46	73.67	36.33	38.09	25.26	55.97	25.86	8.31	80.74	15.23	170.44	29.53	0.66	121.15	157.39	23.78	25.66	75.63	43.69	45.78	17.66	23.61	26.96	55.55	1.1	100.19	94.59	0.0	0.0	23.07	0.8	84.48	26.92	64.09	46.98	31.46	248.26	263.21	49.08	44.92	0.0	124.6	31.54	6.46	16.59	37.66	12.26	32.52	56.62	31.19
Hecw1	7.33	29.94	14.33	17.59	0.0	0.0	0.0	0.0	0.0	9.95	0.0	18.0	26.89	4.21	22.75	1.5	0.16	4.82	0.0	0.0	0.0	0.07	0.04	0.27	34.35	0.03	6.47	0.01	22.68	18.12	0.97	5.73	13.45	17.21	7.41	0.49	28.47	0.88	2.33	11.27	15.38	0.7	9.08	0.0	11.31	15.37	19.31	2.37	0.98	1.85	16.68	0.67	1.07	0.09	0.0	0.0	21.15	6.58	0.42	20.5	39.54	37.49	19.92	32.05	24.35	9.11	27.56	0.34	0.08	0.61	7.32	6.17	1.23	5.53	4.06	0.0
Hook1	16.64	4.18	0.0	0.0	1.03	3.42	0.0	0.0	0.0	31.02	0.0	0.0	0.0	91.61	58.19	3.2	23.1	0.83	0.0	0.0	0.0	0.0	0.0	0.93	0.0	23.29	0.0	5.11	22.66	0.0	0.37	0.0	0.0	15.66	1.27	20.76	0.0	0.0	30.37	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.04	9.02	2.2	13.9	0.0	0.0	2.62	0.0	11.73	0.63	0.11	0.0	0.0	0.93	0.0	49.05	3.57	0.0	61.5	13.27	0.0	0.17	0.67	0.0	0.0	0.0	0.46
Il2ra	0.48	0.4	1.17	0.27	0.25	0.42	0.28	0.28	0.11	0.19	0.0	0.59	0.64	2.29	0.78	2.32	0.87	0.79	0.05	0.51	0.0	0.62	0.75	0.8	0.65	0.37	0.91	0.67	0.72	0.86	0.9	0.25	1.37	1.17	0.22	0.58	0.35	0.39	0.47	0.36	0.17	0.11	0.22	0.39	0.65	0.56	0.48	0.26	0.19	0.43	0.36	0.43	0.46	0.16	0.0	0.24	0.37	0.66	1.24	0.51	0.39	0.74	1.08	1.42	0.47	0.31	1.33	0.82	0.54	1.36	0.21	1.13	0.66	1.27	0.64	0.14
Inpp5f	197.0	313.39	454.58	97.76	106.56	427.99	188.57	0.0	0.2	1288.86	0.0	422.93	1446.66	1416.2	155.85	370.76	236.91	476.88	0.0	0.0	0.0	233.91	421.08	442.55	391.05	218.06	639.01	421.52	200.08	232.04	303.17	289.57	310.07	318.96	275.45	193.57	366.21	94.22	165.84	278.31	244.47	155.03	325.18	108.02	393.54	234.81	275.39	221.55	410.8	409.48	546.27	188.54	407.66	0.09	0.0	376.47	861.21	298.67	417.3	551.09	377.77	859.4	616.16	903.07	741.27	402.05	650.47	688.59	421.4	316.16	435.76	333.68	312.28	594.88	329.01	243.95
Itgam	0.31	0.08	0.15	0.0	0.0	0.22	0.0	0.0	0.0	0.13	0.0	0.0	0.2	0.64	0.42	0.77	0.0	0.23	0.03	0.0	0.0	0.08	0.09	0.18	0.1	0.13	0.0	0.09	0.07	0.27	0.08	0.06	0.38	0.17	0.0	0.29	0.09	0.06	0.11	0.06	0.26	0.19	0.29	0.27	0.21	0.08	0.06	0.34	0.0	0.3	0.26	0.16	0.27	0.0	0.0	0.2	0.07	0.19	0.14	0.03	0.08	0.45	0.56	0.47	0.13	0.07	0.41	0.23	0.2	0.3	0.0	0.12	0.22	0.21	0.18	0.06
Kcnq1ot1	41.78	28.23	32.9	9.39	6.11	28.19	3.54	7.22	28.7	57.81	0.45	47.29	58.82	162.48	33.59	75.0	54.93	43.94	10.02	16.68	16.2	26.73	39.0	38.23	36.61	16.83	40.13	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.95	28.87	31.87	41.06	41.47	37.15	37.47	23.92	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.73	32.11	29.94	16.64	4.8	29.47	57.12	30.75	45.81	34.43	27.94	65.94	44.95	80.16	47.73	17.87	38.63	37.27	30.76	48.6	14.63	19.92	24.37	44.35	32.41	13.18
L2hgdh	29.63	54.09	4.7	0.0	0.0	0.0	0.0	0.0	0.0	112.14	0.0	0.0	0.0	80.6	0.0	0.0	0.0	81.85	0.0	0.0	0.0	9.84	0.77	0.13	0.04	0.0	79.74	13.21	0.06	0.0	0.0	0.0	25.7	0.11	28.09	0.0	0.0	0.0	0.0	7.42	11.36	0.0	0.0	3.84	0.0	0.0	0.0	10.02	0.0	24.4	0.07	1.99	31.08	0.0	0.0	0.09	0.0	0.0	1.89	0.0	26.72	2.23	1.76	105.05	0.14	0.1	0.29	0.28	0.0	7.31	0.0	0.19	0.0	16.7	0.0	0.0
Lcmt1	196.39	267.98	246.64	115.67	56.62	114.49	0.0	0.0	0.0	347.88	1.54	146.95	201.4	306.94	380.21	169.32	381.82	259.77	0.0	0.0	0.0	103.49	283.11	256.1	157.86	183.59	264.96	195.71	57.22	135.9	273.24	77.9	137.51	136.33	160.44	151.57	118.36	193.4	162.24	155.9	236.39	228.36	433.64	3.86	61.76	179.06	217.2	142.36	135.01	57.85	85.09	42.22	260.79	0.0	0.0	261.34	95.36	80.29	267.59	314.76	232.13	108.87	328.76	419.85	156.62	107.08	354.5	177.86	227.26	109.81	156.21	259.61	74.4	214.5	216.88	214.22
Lphn3	0.65	0.06	20.03	1.18	0.0	1.4	0.0	0.0	0.0	35.95	0.0	32.08	12.43	107.98	3.88	92.32	5.91	46.95	213.72	0.0	0.0	0.0	0.0	0.01	0.0	1.05	0.0	2.54	7.48	0.0	8.65	0.0	31.28	40.03	17.5	0.27	0.0	17.95	0.0	0.0	0.0	0.0	2.72	7.72	0.0	0.0	15.79	0.0	0.0	15.86	0.0	0.17	23.13	0.0	0.0	0.0	28.44	0.0	18.21	17.64	1.4	74.14	26.98	1.65	33.42	1.69	0.0	12.46	3.46	65.5	3.22	0.13	0.1	28.14	7.37	2.46
Lrat	0.0	0.23	0.0	0.0	0.0	0.05	0.0	0.02	0.0	0.04	0.0	0.05	0.37	0.36	0.04	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.08	0.0	0.0	0.0	0.0	0.05	0.01	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.07	0.1	0.0	0.0	0.0	0.04	0.0	0.0	0.13	0.1	0.1	0.0	0.0	0.0	0.07	0.25	0.05	0.1	0.0	0.09	0.0	0.0
Mafb	10.35	57.11	29.98	2.96	0.0	0.16	0.12	0.14	0.0	59.6	0.0	63.81	27.44	34.77	10.95	0.08	0.11	0.11	0.0	0.11	0.0	23.13	50.64	21.93	0.0	0.0	63.45	0.09	3.68	0.71	0.12	17.31	11.07	10.24	0.09	29.22	0.0	109.82	0.0	0.16	0.01	0.0	22.45	0.0	0.09	14.84	36.58	14.27	0.0	25.1	10.45	0.0	75.09	0.16	0.0	16.33	75.67	16.27	0.0	17.4	0.0	33.14	132.74	145.16	21.5	1.18	0.28	11.15	117.48	41.13	58.17	42.0	14.65	41.9	48.64	0.77
Mbnl2	0.0	3.89	33.54	3.06	31.1	29.67	0.0	0.0	25.03	23.13	0.0	14.91	0.45	150.33	28.39	56.32	65.02	18.4	0.0	4.45	0.0	9.72	0.16	23.25	30.88	2.68	50.35	0.29	58.37	54.05	44.58	39.03	23.91	68.11	5.05	11.31	10.3	2.23	49.63	15.92	14.5	11.59	25.87	0.0	4.07	10.44	28.91	0.0	0.0	16.04	30.9	12.04	14.8	182.41	0.0	35.76	152.02	46.17	37.47	83.0	0.13	87.8	108.22	4.51	29.48	24.53	46.99	11.83	61.22	0.0	12.84	1.2	5.23	49.64	81.31	20.39
Mir669h	0.0	0.0	51.76	0.0	0.0	19.18	30.99	47.32	12.99	84.51	0.0	89.37	0.0	174.65	44.81	0.0	30.47	79.41	13.3	0.0	0.0	0.0	33.52	2.76	44.06	32.18	55.61	22.02	9.96	39.54	0.0	0.0	0.0	118.36	47.95	0.0	0.0	0.0	39.36	0.0	0.0	50.78	15.09	0.0	53.12	0.75	20.91	0.0	0.0	45.46	0.0	0.0	69.45	0.0	0.0	0.0	0.0	0.0	0.0	32.29	57.15	69.75	91.13	119.08	39.31	66.0	34.98	168.42	51.81	33.75	0.0	38.21	0.0	51.41	0.0	0.0
Myo5a	35.64	65.66	30.08	53.81	29.0	2.38	0.07	0.04	0.0	116.95	0.0	15.46	188.78	127.92	86.93	0.07	102.21	12.07	0.0	0.0	0.0	52.87	44.63	25.4	35.86	21.62	28.42	60.22	54.03	32.52	54.57	52.86	47.22	22.65	24.4	76.78	2.61	48.61	68.03	21.17	31.28	21.98	55.57	10.62	16.42	39.4	13.69	55.24	40.3	55.19	75.41	25.49	80.31	0.0	0.87	28.84	43.68	32.72	31.42	69.07	26.91	116.8	75.5	255.63	77.43	6.22	28.98	25.8	86.46	10.83	58.96	10.86	54.67	83.45	19.64	10.79
Ncf1	0.27	0.76	1.97	0.66	0.47	2.07	0.0	2.03	0.11	1.36	0.0	3.33	1.71	2.61	1.95	2.88	2.39	2.43	1.63	0.0	0.0	0.37	2.07	2.33	0.69	0.87	1.27	0.93	2.32	0.74	1.44	1.78	1.29	1.99	0.56	0.84	1.35	0.89	1.3	0.73	2.57	0.44	1.03	0.41	1.07	0.65	1.39	0.7	0.7	1.27	2.19	2.6	0.47	3.81	0.13	1.37	1.11	1.38	0.91	0.69	0.22	3.2	2.24	1.61	3.66	1.59	5.03	4.42	1.83	1.18	0.34	0.1	0.81	1.48	1.47	0.68
Npy	138375.8	64781.64	173305.25	40775.82	1.6	115124.65	0.0	0.0	0.0	12448.57	0.0	16044.9	6792.77	14635.6	57444.26	45335.24	125016.83	34339.27	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	24726.66	0.0	0.0	145032.54	13964.96	180453.32	92572.95	48343.46	128781.07	23340.13	27044.92	8484.11	7487.26	137945.15	48908.54	70964.58	35571.91	32250.58	49931.63	95298.15	137580.94	65503.76	65353.97	120620.2
Odf2	24.07	11.52	41.65	31.23	0.0	0.54	0.0	0.0	0.0	11.26	0.0	63.84	60.51	104.71	45.86	0.0	70.0	63.37	0.0	0.0	0.0	0.0	48.81	0.42	58.32	53.76	54.03	38.05	15.56	14.07	11.36	38.67	29.0	46.19	52.5	9.84	1.08	0.0	16.26	2.22	64.72	16.97	59.69	0.0	0.06	3.48	0.42	41.18	46.61	24.26	3.55	2.79	0.0	0.0	0.0	0.13	13.19	0.0	12.09	34.68	0.0	73.98	36.44	13.46	45.83	6.95	89.29	63.03	0.0	42.3	0.0	52.89	65.55	30.43	0.0	47.9
Oxr1	158.12	104.21	226.95	119.22	71.28	63.19	0.0	0.0	0.0	950.22	0.0	327.91	546.17	447.21	65.46	170.51	227.51	225.39	0.0	0.44	0.0	175.67	132.65	105.23	162.49	251.96	299.74	210.9	332.54	70.05	168.95	224.57	235.59	147.15	76.34	187.7	192.06	95.54	19.82	291.97	23.69	371.68	170.4	62.06	209.47	170.14	232.31	110.97	177.29	95.97	62.12	152.15	373.4	0.0	0.0	165.78	665.61	204.94	388.53	362.57	133.44	444.31	416.1	884.82	340.26	183.54	164.58	265.0	353.88	161.3	530.03	121.59	193.14	368.33	164.78	144.69
Paip1	234.19	225.62	130.61	67.67	60.6	123.71	0.0	0.15	247.37	404.79	5.74	298.78	293.35	285.23	209.81	156.27	295.35	301.26	15.8	16.82	45.14	123.65	157.92	97.64	177.75	141.92	199.6	157.94	308.82	180.3	181.63	78.35	107.43	153.19	110.75	149.81	108.98	141.03	83.58	124.97	89.84	150.84	104.7	76.52	143.3	116.9	98.98	146.09	215.12	112.89	82.69	109.21	489.9	167.59	27.31	157.71	215.11	150.71	159.5	222.59	90.17	222.48	290.49	293.13	268.83	127.2	230.66	230.09	270.06	263.16	133.66	63.63	62.14	242.74	202.62	119.48
Pax1	0.0	0.0	0.26	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.5	0.26	0.52	0.5	0.62	0.14	0.36	0.14	0.0	0.0	0.0	0.29	0.03	0.05	0.0	0.0	0.0	0.05	0.0	0.12	0.0	0.4	0.16	0.0	0.05	0.0	0.15	0.19	0.11	0.0	0.24	0.08	0.0	0.0	0.25	0.42	0.0	0.0	0.0	0.18	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.26	0.04	0.0	0.28	0.24	0.17	0.0	0.0	0.38	0.18	0.21	0.0	0.27	0.21	0.11	0.23	0.0	0.03
Pdyn	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	879.83	0.0	63.29	0.0	1553.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.87	0.0	60.23	0.0	108.16	1.02	0.73	0.0	0.0	31.29	0.0	17.82	98.66	123.76	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.59	73.0	0.83	168.62	0.67	299.45	0.7	0.0	0.0	0.0	85.48	503.69	6.5	11.5	745.94	17.05	181.88	105.2	662.72	320.16	0.0	0.0	1.32	141.39	7.85	0.0	0.0	0.0	0.66	32.37	39.21
Pmpca	68.17	31.24	50.46	1.26	0.0	46.85	0.41	0.35	0.16	0.0	0.0	64.42	96.95	264.59	46.28	107.27	30.77	209.83	0.0	0.0	0.0	38.78	45.29	6.76	164.04	32.92	74.47	76.56	4.7	23.47	44.71	1.42	143.49	79.2	91.8	25.4	105.21	53.92	53.75	51.04	0.0	1.33	39.51	5.82	52.68	73.09	79.71	0.0	0.0	54.52	30.52	23.74	19.64	0.0	101.16	29.32	59.59	37.72	3.74	89.74	15.2	150.69	0.11	154.68	51.43	42.33	85.97	180.43	0.86	214.27	52.46	9.9	41.46	71.39	77.57	3.73
