	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101
Apol6	2.11	1.74	2.31	0.63	0.2	1.53	0.95	0.85	0.38	2.43	0.0	4.5	2.86	3.73	1.18	1.5	1.0	1.5	0.9	1.35	0.0	1.67	0.57	1.34	0.41	0.75	1.88	0.84	1.18	0.76	1.35	0.62	0.2	0.36	0.78	1.82	1.76	1.37	1.11	0.64	0.36	1.95	0.86	0.0	1.29	0.71	1.82	0.75	1.47	1.09	1.11	1.46	1.55	4.36	0.18	0.87	2.15	1.05	2.53	0.82	1.88	3.45	1.85	5.87	1.32	1.39	0.53	1.88	2.3	1.56	0.64	1.28	2.32	1.93	3.21	0.6
Arl6ip5	117.85	336.28	247.19	339.33	435.17	209.16	0.0	0.0	0.0	342.06	0.0	467.14	176.34	1216.59	180.76	83.27	158.07	243.24	46.27	981.87	0.0	225.72	294.02	267.96	193.53	259.25	253.38	237.03	382.85	242.09	186.8	316.05	378.92	125.6	96.86	282.91	173.71	257.85	250.55	64.81	343.08	168.83	291.25	3.77	144.47	259.43	417.39	230.62	98.86	280.67	157.68	196.69	540.7	0.0	0.0	88.88	312.6	145.1	101.08	249.64	402.58	385.28	207.15	619.47	376.02	282.84	357.54	348.73	424.4	516.5	306.04	424.65	274.4	163.93	505.13	366.36
Arpp19	61.95	99.81	65.72	33.06	4.81	90.93	0.0	0.0	0.0	181.29	0.0	307.83	63.62	173.68	81.44	88.23	44.29	79.04	0.0	555.01	0.0	78.8	66.34	29.27	32.27	2.71	37.1	80.17	138.9	18.19	22.69	25.77	76.23	2.74	23.69	112.07	61.42	74.11	60.28	131.62	20.3	143.15	11.93	46.3	24.34	62.21	130.45	116.23	105.14	29.63	9.83	84.79	65.13	1.59	18.59	55.61	172.79	83.85	7.53	85.73	1.62	174.1	180.97	87.66	67.11	23.6	3.02	51.93	136.16	97.41	68.61	136.3	91.21	3.27	31.61	69.61
Atp6ap2	1171.31	1158.03	1057.27	599.97	576.07	1237.42	0.0	0.0	0.0	2413.74	703.03	1534.0	2319.59	3102.95	1162.69	894.33	596.62	1115.12	1243.54	0.0	0.0	1541.9	1393.52	1524.2	728.56	1550.16	1414.83	1243.05	1294.89	1292.07	1113.13	1884.98	1480.12	1470.68	869.03	1013.82	796.42	1220.01	835.98	1466.06	585.94	1451.39	1115.66	1419.21	795.17	1172.73	953.44	1273.87	1543.36	1359.06	1633.75	1077.91	1603.6	418.43	1203.3	1201.66	1495.86	801.17	2084.19	2537.43	1009.71	1419.7	820.01	1659.14	1221.48	776.53	1643.03	1889.02	1418.64	989.27	1460.74	1336.64	1562.24	2078.05	1720.85	1101.12
Atp6v1h	515.18	421.37	264.68	320.9	406.23	489.63	0.0	0.0	0.0	970.15	42.24	420.43	396.03	968.37	486.97	325.24	393.58	636.18	0.0	0.0	0.0	703.91	414.71	377.67	488.71	175.64	768.85	409.05	277.08	347.81	493.86	846.48	450.64	469.3	486.64	578.59	344.31	454.88	436.51	537.14	550.6	629.12	297.52	204.82	586.91	571.17	208.27	429.36	821.07	353.94	391.41	154.79	964.66	83.73	0.0	545.19	531.35	502.16	724.56	780.01	646.88	586.37	778.95	934.37	335.91	364.65	777.35	445.85	454.52	450.1	644.15	487.27	254.4	844.37	880.26	541.0
B230209E15Rik	34.78	29.52	22.44	47.22	41.25	5.85	0.0	0.0	0.0	1.12	0.0	37.05	16.16	107.58	57.23	15.15	47.05	35.29	0.0	0.0	0.0	29.3	19.58	2.21	45.56	38.78	18.04	85.42	16.1	37.05	3.04	90.83	15.95	45.99	31.15	1.69	46.27	43.6	57.66	77.9	1.74	42.96	38.97	0.0	25.32	39.36	37.23	23.31	30.16	21.91	15.34	31.16	46.32	0.0	0.0	24.54	61.01	41.21	33.91	43.4	53.38	73.73	96.07	16.25	136.62	18.51	51.45	5.88	16.86	44.19	25.7	28.42	7.45	4.11	24.0	26.86
BC030870	0.44	0.0	0.96	0.0	0.0	0.92	5.52	3.28	0.0	1.18	0.0	0.0	0.0	3.45	0.14	0.38	0.8	0.1	1.67	0.0	0.0	0.24	0.49	0.11	0.1	0.79	0.28	0.15	0.35	0.67	0.0	0.4	0.81	1.75	0.0	0.44	0.0	0.89	0.69	1.53	0.22	1.07	0.0	0.18	0.35	0.2	0.0	0.0	0.24	0.63	0.37	0.0	0.0	3.65	0.0	0.59	1.53	0.6	0.44	0.43	0.0	2.21	1.6	1.92	0.96	0.62	3.65	0.64	0.31	0.32	0.0	0.89	0.0	0.76	0.6	0.35
BC033916	11.06	15.31	63.87	12.96	3.29	20.64	63.32	4.98	5.66	26.99	16.76	36.17	24.68	75.46	19.23	69.29	14.57	23.98	15.1	140.11	0.0	8.36	12.77	13.27	22.81	16.7	13.41	8.76	15.66	18.71	19.82	10.65	12.74	27.04	15.6	17.53	23.54	10.05	25.25	15.06	17.86	22.52	9.45	20.38	24.24	14.15	11.72	28.2	7.03	23.56	13.38	18.14	13.63	12.26	2.75	22.04	40.74	28.24	20.56	12.21	29.22	56.63	26.42	45.67	31.42	12.21	30.14	20.92	62.89	33.35	11.27	15.43	26.27	12.34	12.47	31.34
Bend4	45.63	21.74	52.33	17.6	6.66	7.8	0.0	0.0	0.0	43.01	0.0	85.31	70.97	186.03	71.37	0.17	27.16	74.47	0.03	0.0	0.0	35.48	18.84	21.55	31.14	0.59	25.47	93.87	19.08	8.42	62.43	1.2	0.05	25.32	24.97	46.78	23.12	29.97	38.2	9.64	0.28	91.9	50.61	9.88	19.67	0.02	54.27	8.64	111.38	21.27	34.11	0.06	127.41	0.0	0.0	25.52	55.5	24.35	22.79	68.17	18.68	55.13	33.4	58.71	66.09	12.66	169.35	132.46	87.03	1.43	50.84	51.85	32.87	109.28	31.28	18.44
Btbd19	0.83	0.76	2.65	0.8	1.87	2.47	21.13	2.07	5.35	4.22	0.52	2.92	2.49	9.4	2.69	5.67	4.28	3.36	3.7	1.49	0.0	1.54	2.15	1.58	1.23	1.42	2.47	3.18	2.55	2.34	4.3	2.23	1.95	3.58	2.21	2.79	2.16	1.52	2.75	3.31	4.11	2.18	2.55	1.32	2.3	2.09	2.2	3.3	2.6	1.93	4.4	4.05	2.01	1.09	0.38	2.57	3.2	2.18	2.35	1.24	1.81	4.08	4.63	5.39	3.54	1.95	5.76	2.9	3.74	2.61	0.47	2.47	1.4	3.19	2.01	5.94
