	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12
3110082D06Rik	0.0	14.79	6.17	0.0	0.0	0.0	0.0	19.08	0.0	0.0	4.75	22.09	12.2	0.0	0.34	0.0	0.86	0.0	5.58	13.58	4.91	10.05	19.98	0.0	4.01	0.0	0.08	14.6	20.9	4.91	3.34	13.21	0.91	6.0	46.26	14.31	11.85	8.62	80.08	74.72	12.1	21.85	33.41	5.67	0.18	31.21	15.37	6.85	0.0	27.69	3.37	0.0	32.38	13.43	50.01	17.66	3.04	0.0	9.06	15.2	0.0	0.0	0.0	0.0	0.0	0.0
AI597479	0.0	9.46	0.17	0.0	0.0	0.0	2.92	139.4	0.0	0.0	40.0	0.0	0.0	0.86	23.73	0.0	0.57	0.0	3.24	0.0	46.35	0.35	33.26	2.15	53.26	78.03	35.46	0.29	17.65	34.85	68.15	0.0	0.0	0.35	53.09	45.97	6.09	0.12	200.31	65.8	0.12	0.76	172.69	49.76	56.3	18.58	0.0	1.92	0.0	0.0	27.34	53.78	56.54	22.43	5.9	66.6	2.47	47.39	0.0	4.89	1.79	0.0	0.2	0.11	0.0	0.0
Abcg4	0.0	0.0	0.0	0.0	0.0	0.0	2.61	18.59	0.0	0.0	10.51	38.48	1.04	0.16	24.72	13.07	38.72	9.7	33.92	17.96	0.16	48.0	39.16	36.72	2.96	1.96	6.7	24.33	6.94	26.37	34.76	26.18	71.32	0.17	0.0	32.37	0.0	17.19	103.38	70.25	9.47	20.48	26.39	25.0	8.68	0.0	30.79	14.79	40.12	20.65	0.0	1.64	0.59	3.69	0.0	60.45	14.25	83.97	37.79	7.55	67.24	0.0	0.0	0.1	0.0	0.0
Anks1b	0.0	42.12	0.0	0.0	0.0	0.0	33.15	7.23	0.0	0.0	8.57	7.69	17.56	0.51	16.06	9.87	3.53	4.11	18.26	6.58	26.04	5.16	20.69	25.55	5.42	40.12	16.41	15.47	7.96	13.04	20.92	10.39	4.49	2.69	28.29	13.38	4.54	3.54	41.8	42.32	13.98	12.45	1.52	36.61	46.78	2.24	9.0	13.64	10.87	5.66	21.56	2.29	1.61	11.24	39.36	4.82	0.19	8.16	7.32	0.56	23.46	0.08	0.15	0.0	0.11	0.0
Arhgap12	0.19	0.0	71.97	0.0	0.0	0.0	50.42	150.16	29.98	0.0	48.15	96.08	13.83	0.0	68.04	48.03	28.2	53.86	40.24	53.26	51.78	23.75	41.69	5.15	23.24	52.4	85.52	2.13	53.77	39.75	35.82	34.77	14.83	8.6	0.37	54.59	15.88	46.43	170.36	30.39	58.41	21.96	97.77	3.37	48.08	3.04	41.81	20.2	35.26	64.81	31.24	25.38	0.43	1.44	71.73	106.15	27.28	23.81	47.03	50.24	20.64	103.37	0.0	0.0	43.27	0.0
Arhgef3	0.0	0.68	0.0	0.0	0.0	0.0	112.27	182.62	0.08	0.0	55.02	27.91	114.41	0.0	76.82	112.23	57.17	113.27	75.02	76.75	107.56	67.61	101.0	110.27	174.08	164.43	98.61	58.8	67.66	94.93	115.76	44.87	228.64	14.14	73.57	114.4	177.81	5.18	116.06	155.66	82.14	160.52	126.64	42.58	124.23	133.13	122.63	155.12	142.61	94.9	176.69	112.71	30.24	20.41	69.81	79.92	91.03	2.04	82.21	128.06	183.6	0.0	0.1	0.61	0.45	0.0
Azin1	0.0	0.0	0.0	0.0	0.08	1.81	119.77	187.99	0.0	0.0	68.5	94.43	46.43	68.99	74.91	96.13	75.24	60.88	79.61	43.27	72.21	61.57	82.93	129.08	99.54	46.53	82.47	89.54	107.5	78.62	147.88	190.94	0.0	18.27	125.44	126.5	86.67	57.08	207.8	35.27	59.24	201.8	134.23	104.73	163.04	98.3	70.13	85.36	103.58	98.4	89.33	94.08	87.49	35.42	91.51	178.18	64.98	96.74	62.72	88.25	133.69	0.0	0.14	0.08	68.77	471.04
Dnajc6	0.0	12.2	0.0	0.0	0.0	0.0	89.07	13.5	0.05	0.0	30.39	62.87	49.08	0.12	72.47	84.57	48.8	51.87	51.48	98.57	19.52	34.76	44.38	44.09	53.6	31.7	53.05	21.92	48.9	32.3	40.3	44.01	0.15	8.32	23.03	53.22	70.49	64.56	135.4	62.44	46.82	53.83	33.8	91.72	74.96	20.05	54.9	25.59	34.17	52.43	26.02	23.56	30.19	70.11	20.15	60.46	36.68	90.73	68.57	88.3	29.94	0.0	0.0	1.0	0.0	0.0
Dock9	0.0	15.39	0.0	0.0	0.0	0.0	37.58	42.24	0.0	0.0	0.66	2.29	1.44	0.0	7.76	0.0	0.0	16.7	3.21	0.37	7.76	18.86	14.99	12.79	13.82	15.1	9.61	0.0	3.05	4.14	13.5	2.31	0.0	0.0	2.8	0.04	18.97	0.26	50.78	42.26	4.64	0.51	38.46	0.04	10.44	1.97	5.18	0.0	21.97	17.42	13.62	22.2	0.14	1.04	4.5	14.26	8.18	0.17	12.36	5.68	8.28	0.05	0.04	0.0	1.02	0.0
Entpd7	0.0	0.0	0.0	0.0	0.0	0.0	11.19	5.44	0.05	0.0	21.34	6.6	15.48	0.1	43.1	20.0	5.98	8.93	23.14	94.7	36.06	31.86	29.08	87.71	44.98	34.53	58.12	36.89	35.54	45.14	50.8	84.95	19.31	23.65	27.9	19.98	29.95	1.92	58.53	85.56	9.32	35.39	38.77	74.26	22.12	0.27	84.0	31.8	51.92	87.82	32.25	42.48	21.46	8.77	38.34	5.7	34.03	13.59	28.01	38.69	38.67	0.0	0.11	0.24	0.0	0.12
